Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,ADH,ADH,5.8000000000,5.7900000000,5.8500000000,5.7100000000,10035.0000000000,57935.7100000000,45,2330771760.6600000000
2023-04-04,ADH,ADH,5.7500000000,5.8300000000,5.8400000000,5.7200000000,36987.0000000000,212491.4400000000,39,2346873810.8200000000
2023-04-05,ADH,ADH,5.7600000000,5.8000000000,5.8300000000,5.7000000000,18171.0000000000,104481.1800000000,46,2334797273.2000000000
2023-04-06,ADH,ADH,5.7200000000,5.7500000000,5.8200000000,5.7000000000,18042.0000000000,104108.1900000000,32,2314669710.5000000000
2023-04-07,ADH,ADH,5.8200000000,5.8000000000,5.8300000000,5.7300000000,2626934.0000000000,15235911.1200000000,35,2334797273.2000000000
2023-04-10,ADH,ADH,5.8300000000,5.8500000000,5.8600000000,5.7600000000,34925.0000000000,203546.8900000000,79,2354924835.9000000000
2023-04-11,ADH,ADH,5.8000000000,5.8100000000,5.8500000000,5.8000000000,26224.0000000000,152610.2600000000,41,2338822785.7400000000
2023-04-12,ADH,ADH,5.8100000000,5.7600000000,5.8400000000,5.7600000000,42918.0000000000,248517.1900000000,57,2318695223.0400000000
2023-04-13,ADH,ADH,5.7200000000,5.7300000000,5.8000000000,5.7200000000,18666.0000000000,106852.8000000000,39,2306618685.4200000000
2023-04-14,ADH,ADH,5.7300000000,5.7000000000,5.7500000000,5.6500000000,103149.0000000000,586064.9100000000,78,2294542147.8000000000
2023-04-17,ADH,ADH,5.7800000000,5.6700000000,5.7800000000,5.6400000000,72280.0000000000,410340.8000000000,56,2282465610.1800000000
2023-04-18,ADH,ADH,5.7000000000,5.7500000000,5.7500000000,5.6400000000,36271.0000000000,206131.6600000000,38,2314669710.5000000000
2023-04-19,ADH,ADH,5.7400000000,5.6500000000,5.7400000000,5.6500000000,47465.0000000000,270026.5100000000,55,2274414585.1000000000
2023-04-20,ADH,ADH,5.9400000000,5.7500000000,5.9400000000,5.7200000000,164907.0000000000,960976.5500000000,69,2314669710.5000000000
2023-04-21,ADH,ADH,5.7300000000,5.7500000000,5.8000000000,5.6800000000,15013.0000000000,85756.9200000000,40,2314669710.5000000000
2023-04-25,ADH,ADH,5.7000000000,5.8200000000,5.8300000000,5.6800000000,65547.0000000000,376691.5300000000,74,2342848298.2800000000
2023-04-26,ADH,ADH,5.7600000000,6.1600000000,6.1600000000,5.7200000000,429522.0000000000,2609652.9600000000,200,2479715724.6400000000
2023-04-27,ADH,ADH,6.2500000000,6.5200000000,6.5200000000,6.2000000000,799109.0000000000,5162044.2500000000,303,2624634176.0800000000
2023-04-28,ADH,ADH,6.6000000000,6.4500000000,6.7700000000,6.4200000000,208905.0000000000,1374876.9500000000,200,2596455588.3000000000
2023-05-02,ADH,ADH,6.5600000000,6.5500000000,6.6700000000,6.4100000000,302887.0000000000,1971476.9800000000,141,2636710713.7000000000
2023-05-03,ADH,ADH,6.5000000000,6.6000000000,6.6000000000,6.4100000000,121165.0000000000,789500.9900000000,103,2656838276.4000000000
2023-05-04,ADH,ADH,6.5000000000,6.9900000000,6.9900000000,6.5000000000,490196.0000000000,3335403.4900000000,245,2813833265.4600000000
2023-05-05,ADH,ADH,7.0200000000,7.1700000000,7.3500000000,7.0200000000,308977.0000000000,2231104.8100000000,232,2886292491.1800000000
2023-05-08,ADH,ADH,7.1700000000,7.2900000000,7.2900000000,7.0300000000,361886.0000000000,2569504.9200000000,211,2934598641.6600000000
2023-05-09,ADH,ADH,7.2900000000,7.4500000000,7.5400000000,7.2900000000,432440.0000000000,3226812.2700000000,238,2999006842.3000000000
2023-05-10,ADH,ADH,7.4500000000,7.5800000000,7.7300000000,7.3000000000,690998.0000000000,5206113.1500000000,265,3051338505.3200000000
2023-05-11,ADH,ADH,7.6700000000,7.8000000000,7.8000000000,7.5000000000,655759.0000000000,5066014.9500000000,263,3139899781.2000000000
2023-05-12,ADH,ADH,7.8100000000,7.7900000000,7.8800000000,7.4800000000,578312.0000000000,4408412.1400000000,259,3135874268.6600000000
2023-05-15,ADH,ADH,7.8000000000,7.9000000000,8.1000000000,7.7700000000,406585.0000000000,3233607.7900000000,241,3180154906.6000000000
2023-05-16,ADH,ADH,7.8500000000,7.9500000000,8.0000000000,7.8500000000,99992.0000000000,797847.4700000000,77,3200282469.3000000000
2023-05-17,ADH,ADH,7.6400000000,7.5600000000,7.9000000000,7.4800000000,592015.0000000000,4488637.6100000000,216,3043287480.2400000000
2023-05-18,ADH,ADH,7.5200000000,7.5000000000,7.5500000000,7.2800000000,649212.0000000000,4820091.7900000000,272,3019134405.0000000000
2023-05-19,ADH,ADH,7.5200000000,7.5600000000,7.6500000000,7.5100000000,125254.0000000000,947107.0300000000,81,3043287480.2400000000
2023-05-22,ADH,ADH,7.5800000000,7.2900000000,7.6500000000,7.2900000000,218802.0000000000,1612776.5700000000,129,2934598641.6600000000
2023-05-23,ADH,ADH,7.2900000000,7.2000000000,7.4400000000,7.1900000000,465274.0000000000,3387653.1000000000,248,2898369028.8000000000
2023-05-24,ADH,ADH,7.2000000000,7.2000000000,7.2900000000,7.1800000000,135137.0000000000,973208.0100000000,97,2898369028.8000000000
2023-05-25,ADH,ADH,7.1100000000,7.0200000000,7.1900000000,7.0000000000,168827.0000000000,1189617.2100000000,171,2825909803.0800000000
2023-05-26,ADH,ADH,6.8000000000,7.3200000000,7.3400000000,6.8000000000,321940.0000000000,2288862.1600000000,199,2946675179.2800000000
2023-05-29,ADH,ADH,7.3600000000,7.3500000000,7.4300000000,7.3000000000,53960.0000000000,395930.6500000000,105,2958751716.9000000000
2023-05-30,ADH,ADH,7.3100000000,7.2800000000,7.4000000000,7.2000000000,101435.0000000000,740197.5000000000,117,2930573129.1200000000
2023-05-31,ADH,ADH,7.7100000000,7.7100000000,7.7100000000,7.7100000000,158733.0000000000,1223831.4300000000,27,3103670168.3400000000
2023-06-01,ADH,ADH,8.1700000000,8.1700000000,8.1700000000,8.1700000000,1033812.0000000000,8446244.0400000000,167,3288843745.1800000000
2023-06-02,ADH,ADH,8.1700000000,8.3000000000,8.5000000000,8.1100000000,821939.0000000000,6808934.4600000000,499,3341175408.2000000000
2023-06-05,ADH,ADH,8.4200000000,8.7000000000,8.7900000000,8.4100000000,1223754.0000000000,10604769.3500000000,457,3502195909.8000000000
2023-06-06,ADH,ADH,8.7200000000,8.9500000000,9.0700000000,8.7000000000,1464240.0000000000,13062848.8600000000,457,3602833723.3000000000
2023-06-07,ADH,ADH,9.0100000000,8.7400000000,9.2500000000,8.7400000000,2056024.0000000000,18630263.0100000000,570,3518297959.9600000000
2023-06-08,ADH,ADH,8.6900000000,8.2200000000,8.7000000000,8.2200000000,370887.0000000000,3122018.1000000000,310,3308971307.8800000000
