Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,ADI,ADI,61.2000000000,60.4000000000,62.0000000000,60.0000000000,35461.0000000000,2139826.1800000000,129,1333546715.2000000000
2023-04-04,ADI,ADI,60.5000000000,61.4000000000,61.4800000000,60.1000000000,23888.0000000000,1451363.4200000000,86,1355625303.2000000000
2023-04-05,ADI,ADI,61.0000000000,61.0000000000,61.4800000000,60.5200000000,3504.0000000000,213633.7200000000,41,1346793868.0000000000
2023-04-06,ADI,ADI,60.7000000000,61.3700000000,62.5000000000,60.7000000000,16185.0000000000,989199.7200000000,69,1354962945.5600000000
2023-04-07,ADI,ADI,62.3000000000,61.3000000000,62.3000000000,60.4200000000,22370.0000000000,1370377.9600000000,52,1353417444.4000000000
2023-04-10,ADI,ADI,60.5500000000,61.0000000000,62.0000000000,60.0400000000,12853.0000000000,778091.3800000000,62,1346793868.0000000000
2023-04-11,ADI,ADI,61.0000000000,60.0000000000,61.3000000000,59.2000000000,21275.0000000000,1271784.6200000000,93,1324715280.0000000000
2023-04-12,ADI,ADI,60.0000000000,59.5000000000,60.0000000000,58.5000000000,6878.0000000000,404199.3500000000,59,1313675986.0000000000
2023-04-13,ADI,ADI,58.5000000000,60.0000000000,60.0000000000,58.2000000000,17576.0000000000,1042937.1200000000,87,1324715280.0000000000
2023-04-14,ADI,ADI,60.3600000000,59.2600000000,60.8000000000,59.2000000000,4240.0000000000,255000.4700000000,52,1308377124.8800000000
2023-04-17,ADI,ADI,60.9400000000,59.2500000000,60.9400000000,59.2000000000,1460.0000000000,86680.5900000000,24,1308156339.0000000000
2023-04-18,ADI,ADI,59.1000000000,59.0000000000,60.1700000000,59.0000000000,668.0000000000,39420.2000000000,15,1302636692.0000000000
2023-04-19,ADI,ADI,59.5000000000,59.9500000000,60.5000000000,59.0500000000,13465.0000000000,801566.5300000000,33,1323611350.6000000000
2023-04-20,ADI,ADI,59.9000000000,60.4000000000,60.4900000000,59.0500000000,4213.0000000000,252353.3300000000,48,1333546715.2000000000
2023-04-21,ADI,ADI,60.0000000000,59.5000000000,60.0000000000,59.0200000000,699.0000000000,41689.5400000000,10,1313675986.0000000000
2023-04-25,ADI,ADI,60.3600000000,59.9700000000,60.3600000000,58.5500000000,1670.0000000000,98794.3900000000,19,1324052922.3600000000
2023-04-26,ADI,ADI,60.3500000000,59.5000000000,60.3600000000,58.0000000000,25474.0000000000,1501881.2400000000,92,1313675986.0000000000
2023-04-27,ADI,ADI,59.1000000000,61.5000000000,61.9800000000,59.1000000000,45006.0000000000,2737880.3000000000,164,1357833162.0000000000
2023-04-28,ADI,ADI,62.0000000000,64.5000000000,65.0000000000,61.6000000000,67926.0000000000,4313260.6000000000,265,1424068926.0000000000
2023-05-02,ADI,ADI,65.5000000000,64.0000000000,65.5000000000,63.0100000000,5689.0000000000,367883.1000000000,71,1413029632.0000000000
2023-05-03,ADI,ADI,63.9000000000,62.2100000000,63.9000000000,62.0000000000,9981.0000000000,621043.7900000000,57,1373508959.4800000000
2023-05-04,ADI,ADI,61.3100000000,63.8700000000,64.0000000000,61.3100000000,71591.0000000000,4554865.2800000000,127,1410159415.5600000000
2023-05-05,ADI,ADI,64.0000000000,63.9900000000,64.7800000000,63.3000000000,17800.0000000000,1131562.1800000000,78,1412808846.1200000000
2023-05-08,ADI,ADI,63.5100000000,63.5000000000,64.0000000000,62.1000000000,5435.0000000000,342425.8700000000,52,1401990338.0000000000
2023-05-09,ADI,ADI,63.5000000000,62.6600000000,64.0000000000,62.4500000000,20006.0000000000,1258591.8200000000,95,1383444324.0800000000
2023-05-10,ADI,ADI,63.0000000000,64.3400000000,64.5000000000,63.0000000000,24329.0000000000,1556216.5600000000,88,1420536351.9200000000
2023-05-11,ADI,ADI,64.3900000000,64.4900000000,64.9400000000,64.0000000000,19196.0000000000,1236453.2300000000,105,1423848140.1200000000
2023-05-12,ADI,ADI,64.0000000000,64.9000000000,65.4000000000,64.0000000000,27602.0000000000,1788403.5600000000,104,1432900361.2000000000
2023-05-15,ADI,ADI,65.4000000000,66.0000000000,67.8000000000,65.3500000000,32109.0000000000,2122380.5700000000,146,1457186808.0000000000
2023-05-16,ADI,ADI,65.9900000000,67.0000000000,67.0000000000,64.3000000000,25367.0000000000,1672567.5500000000,132,1479265396.0000000000
2023-05-17,ADI,ADI,67.0000000000,65.7000000000,67.0000000000,65.0000000000,11727.0000000000,768811.2000000000,84,1450563231.6000000000
2023-05-18,ADI,ADI,65.5000000000,64.5100000000,66.9000000000,64.2500000000,7837.0000000000,507827.9200000000,55,1424289711.8800000000
2023-05-19,ADI,ADI,65.9500000000,65.0100000000,65.9500000000,64.5500000000,9203.0000000000,596699.7100000000,66,1435329005.8800000000
2023-05-22,ADI,ADI,65.9900000000,64.6000000000,65.9900000000,64.6000000000,4532.0000000000,296363.3700000000,47,1426276784.8000000000
2023-05-23,ADI,ADI,64.5600000000,65.2000000000,65.6500000000,64.0000000000,14062.0000000000,913663.2000000000,67,1439523937.6000000000
2023-05-24,ADI,ADI,64.1500000000,64.5000000000,65.7900000000,64.1500000000,9744.0000000000,629043.9500000000,45,1424068926.0000000000
2023-05-25,ADI,ADI,65.7000000000,63.6000000000,65.7000000000,63.6000000000,9334.0000000000,598087.8300000000,66,1404198196.8000000000
2023-05-26,ADI,ADI,65.0000000000,65.5000000000,65.9900000000,63.2000000000,9728.0000000000,630837.5300000000,83,1446147514.0000000000
2023-05-29,ADI,ADI,66.0000000000,67.0000000000,67.9000000000,66.0000000000,18527.0000000000,1238628.6100000000,113,1479265396.0000000000
2023-05-30,ADI,ADI,66.9800000000,66.6000000000,66.9800000000,65.7100000000,19292.0000000000,1280999.2000000000,123,1470433960.8000000000
2023-05-31,ADI,ADI,67.9900000000,69.8000000000,70.5900000000,67.5000000000,229840.0000000000,15779080.0800000000,399,1541085442.4000000000
2023-06-01,ADI,ADI,69.6000000000,69.5000000000,71.9000000000,69.0100000000,49586.0000000000,3487737.4300000000,172,1534461866.0000000000
2023-06-02,ADI,ADI,69.0300000000,69.9700000000,70.5000000000,67.2500000000,29181.0000000000,2017909.4400000000,149,1544838802.3600000000
2023-06-05,ADI,ADI,71.0000000000,72.2000000000,72.8800000000,70.3500000000,40596.0000000000,2906650.8500000000,175,1594074053.6000000000
2023-06-06,ADI,ADI,72.3000000000,71.0600000000,72.8800000000,71.0600000000,69021.0000000000,4963951.8600000000,216,1568904463.2800000000
2023-06-07,ADI,ADI,71.9800000000,69.5000000000,71.9800000000,69.5000000000,55032.0000000000,3860271.6800000000,206,1534461866.0000000000
2023-06-08,ADI,ADI,69.9000000000,67.7000000000,69.9000000000,67.7000000000,33094.0000000000,2261577.9500000000,188,1494720407.6000000000
2023-06-09,ADI,ADI,68.5500000000,68.5000000000,69.3000000000,68.5000000000,12777.0000000000,879146.6200000000,70,1512383278.0000000000
2023-06-12,ADI,ADI,69.4900000000,70.0000000000,70.8000000000,69.0100000000,29459.0000000000,2063238.3000000000,106,1545501160.0000000000
2023-06-13,ADI,ADI,70.9900000000,73.0000000000,73.0000000000,70.9900000000,127089.0000000000,9153526.0300000000,317,1611736924.0000000000
2023-06-14,ADI,ADI,73.0000000000,73.9000000000,73.9000000000,72.5100000000,143965.0000000000,10573650.6500000000,268,1631607653.2000000000
2023-06-15,ADI,ADI,74.2500000000,78.0000000000,78.0000000000,74.2500000000,353459.0000000000,27143828.9300000000,480,1722129864.0000000000
2023-06-16,ADI,ADI,79.0000000000,75.4500000000,79.8800000000,74.0000000000,155482.0000000000,11755832.9000000000,464,1665829464.6000000000
2023-06-19,ADI,ADI,74.0000000000,75.2000000000,76.0000000000,72.8000000000,40646.0000000000,3016766.9500000000,174,1660309817.6000000000
2023-06-20,ADI,ADI,76.4000000000,79.7100000000,79.7100000000,76.3000000000,116704.0000000000,9147636.3000000000,310,1759884249.4800000000
2023-06-21,ADI,ADI,82.6000000000,79.9800000000,82.6000000000,79.9800000000,95119.0000000000,7752571.6900000000,352,1765845468.2400000000
