Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,AFI,AFI,,360.0000000000,,,,,0,104940000.0000000000
2023-04-04,AFI,AFI,,360.0000000000,,,,,0,104940000.0000000000
2023-04-05,AFI,AFI,370.0000000000,370.0000000000,370.0000000000,370.0000000000,27.0000000000,9990.0000000000,2,107855000.0000000000
2023-04-06,AFI,AFI,370.0000000000,370.0000000000,370.0000000000,370.0000000000,16.0000000000,5920.0000000000,3,107855000.0000000000
2023-04-07,AFI,AFI,360.0000000000,360.0000000000,360.0000000000,360.0000000000,3.0000000000,1080.0000000000,1,104940000.0000000000
2023-04-10,AFI,AFI,,360.0000000000,,,,,0,104940000.0000000000
2023-04-11,AFI,AFI,360.1000000000,360.1000000000,360.1000000000,360.1000000000,20.0000000000,7202.0000000000,1,104969150.0000000000
2023-04-12,AFI,AFI,360.0000000000,360.0000000000,360.0000000000,360.0000000000,43.0000000000,15480.0000000000,7,104940000.0000000000
2023-04-13,AFI,AFI,360.0000000000,360.0000000000,360.0000000000,360.0000000000,253.0000000000,91080.0000000000,5,104940000.0000000000
2023-04-14,AFI,AFI,369.0000000000,369.0000000000,369.0000000000,369.0000000000,10.0000000000,3690.0000000000,1,107563500.0000000000
2023-04-17,AFI,AFI,,369.0000000000,,,,,0,107563500.0000000000
2023-04-18,AFI,AFI,,369.0000000000,,,,,0,107563500.0000000000
2023-04-19,AFI,AFI,,369.0000000000,,,,,0,107563500.0000000000
2023-04-20,AFI,AFI,,369.0000000000,,,,,0,107563500.0000000000
2023-04-21,AFI,AFI,,369.0000000000,,,,,0,107563500.0000000000
2023-04-25,AFI,AFI,,369.0000000000,,,,,0,107563500.0000000000
2023-04-26,AFI,AFI,360.0000000000,360.0000000000,360.0000000000,360.0000000000,8.0000000000,2880.0000000000,1,104940000.0000000000
2023-04-27,AFI,AFI,360.0000000000,360.0000000000,360.0000000000,360.0000000000,20.0000000000,7200.0000000000,5,104940000.0000000000
2023-04-28,AFI,AFI,360.0000000000,350.0000000000,360.0000000000,350.0000000000,262.0000000000,91894.0000000000,4,102025000.0000000000
2023-05-02,AFI,AFI,370.0000000000,370.0000000000,370.0000000000,370.0000000000,6.0000000000,2220.0000000000,4,107855000.0000000000
2023-05-03,AFI,AFI,,370.0000000000,,,,,0,107855000.0000000000
2023-05-04,AFI,AFI,355.0500000000,369.0000000000,369.0000000000,349.0000000000,87.0000000000,30661.9000000000,10,107563500.0000000000
2023-05-05,AFI,AFI,352.1000000000,368.0000000000,368.0000000000,352.1000000000,15.0000000000,5472.2000000000,5,107272000.0000000000
2023-05-08,AFI,AFI,368.0000000000,368.0000000000,368.0000000000,368.0000000000,23.0000000000,8464.0000000000,2,107272000.0000000000
2023-05-09,AFI,AFI,368.0000000000,357.0000000000,368.0000000000,357.0000000000,65.0000000000,23304.0000000000,8,104065500.0000000000
2023-05-10,AFI,AFI,357.0000000000,355.0000000000,357.0000000000,355.0000000000,93.0000000000,33036.0000000000,4,103482500.0000000000
2023-05-11,AFI,AFI,355.1500000000,355.0000000000,367.9000000000,355.0000000000,61.0000000000,21668.6500000000,8,103482500.0000000000
2023-05-12,AFI,AFI,367.7500000000,367.7500000000,367.7500000000,367.7500000000,1.0000000000,367.7500000000,1,107199125.0000000000
2023-05-15,AFI,AFI,365.9500000000,360.0000000000,365.9500000000,355.0000000000,73.0000000000,26144.9500000000,11,104940000.0000000000
2023-05-16,AFI,AFI,363.0000000000,363.0000000000,363.0000000000,363.0000000000,1.0000000000,363.0000000000,1,105814500.0000000000
2023-05-17,AFI,AFI,362.9500000000,362.9500000000,362.9500000000,362.9500000000,4.0000000000,1451.8000000000,2,105799925.0000000000
2023-05-18,AFI,AFI,,362.9500000000,,,,,0,105799925.0000000000
2023-05-19,AFI,AFI,,362.9500000000,,,,,0,105799925.0000000000
2023-05-22,AFI,AFI,361.9000000000,362.0000000000,362.0000000000,361.9000000000,21.0000000000,7601.5000000000,4,105523000.0000000000
2023-05-23,AFI,AFI,360.0000000000,359.0000000000,360.0000000000,359.0000000000,32.0000000000,11508.0000000000,2,104648500.0000000000
2023-05-24,AFI,AFI,356.5000000000,356.5000000000,356.5000000000,356.5000000000,33.0000000000,11764.5000000000,1,103919750.0000000000
2023-05-25,AFI,AFI,361.0000000000,361.0000000000,361.0000000000,361.0000000000,1.0000000000,361.0000000000,1,105231500.0000000000
2023-05-26,AFI,AFI,361.0000000000,361.0000000000,361.0000000000,361.0000000000,37.0000000000,13357.0000000000,4,105231500.0000000000
2023-05-29,AFI,AFI,361.0000000000,361.0000000000,361.0000000000,361.0000000000,59.0000000000,21299.0000000000,2,105231500.0000000000
2023-05-30,AFI,AFI,361.0000000000,360.0000000000,361.0000000000,350.0000000000,516.0000000000,182266.0000000000,20,104940000.0000000000
