Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,AFM,AFM,1275.0000000000,1275.0000000000,1275.0000000000,1275.0000000000,28253.0000000000,36022575.0000000000,3,1275000000.0000000000
2023-04-04,AFM,AFM,1295.0000000000,1295.0000000000,1295.0000000000,1295.0000000000,1.0000000000,1295.0000000000,1,1295000000.0000000000
2023-04-05,AFM,AFM,1295.0000000000,1295.0000000000,1295.0000000000,1295.0000000000,1.0000000000,1295.0000000000,1,1295000000.0000000000
2023-04-06,AFM,AFM,1295.0000000000,1295.0000000000,1295.0000000000,1295.0000000000,1.0000000000,1295.0000000000,1,1295000000.0000000000
2023-04-07,AFM,AFM,1295.0000000000,1295.0000000000,1295.0000000000,1295.0000000000,1.0000000000,1295.0000000000,1,1295000000.0000000000
2023-04-10,AFM,AFM,1295.0000000000,1295.0000000000,1295.0000000000,1295.0000000000,1.0000000000,1295.0000000000,1,1295000000.0000000000
2023-04-11,AFM,AFM,1295.0000000000,1295.0000000000,1295.0000000000,1295.0000000000,1.0000000000,1295.0000000000,1,1295000000.0000000000
2023-04-12,AFM,AFM,1275.0000000000,1275.0000000000,1275.0000000000,1275.0000000000,38201.0000000000,48706275.0000000000,4,1275000000.0000000000
2023-04-13,AFM,AFM,1275.0000000000,1275.0000000000,1275.0000000000,1275.0000000000,1.0000000000,1275.0000000000,1,1275000000.0000000000
2023-04-14,AFM,AFM,1275.0000000000,1275.0000000000,1275.0000000000,1275.0000000000,1.0000000000,1275.0000000000,1,1275000000.0000000000
2023-04-17,AFM,AFM,1275.0000000000,1275.0000000000,1275.0000000000,1275.0000000000,1.0000000000,1275.0000000000,1,1275000000.0000000000
2023-04-18,AFM,AFM,1285.0000000000,1285.0000000000,1285.0000000000,1285.0000000000,1.0000000000,1285.0000000000,1,1285000000.0000000000
2023-04-19,AFM,AFM,1285.0000000000,1285.0000000000,1285.0000000000,1285.0000000000,1.0000000000,1285.0000000000,1,1285000000.0000000000
2023-04-20,AFM,AFM,1295.0000000000,1295.0000000000,1295.0000000000,1295.0000000000,1.0000000000,1295.0000000000,1,1295000000.0000000000
2023-04-21,AFM,AFM,1295.0000000000,1295.0000000000,1295.0000000000,1295.0000000000,1.0000000000,1295.0000000000,1,1295000000.0000000000
