Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,AGM,AGM,,5714.0000000000,,,,,0,1142800000.0000000000
2023-04-04,AGM,AGM,,5714.0000000000,,,,,0,1142800000.0000000000
2023-04-05,AGM,AGM,,5714.0000000000,,,,,0,1142800000.0000000000
2023-04-06,AGM,AGM,,5714.0000000000,,,,,0,1142800000.0000000000
2023-04-07,AGM,AGM,5780.0000000000,5780.0000000000,5780.0000000000,5780.0000000000,1.0000000000,5780.0000000000,1,1156000000.0000000000
2023-04-10,AGM,AGM,,5780.0000000000,,,,,0,1156000000.0000000000
2023-04-11,AGM,AGM,5760.0000000000,5760.0000000000,5760.0000000000,5760.0000000000,201.0000000000,1157760.0000000000,2,1152000000.0000000000
2023-04-12,AGM,AGM,,5760.0000000000,,,,,0,1152000000.0000000000
2023-04-13,AGM,AGM,,5760.0000000000,,,,,0,1152000000.0000000000
2023-04-14,AGM,AGM,,5760.0000000000,,,,,0,1152000000.0000000000
2023-04-17,AGM,AGM,5650.0000000000,5650.0000000000,5650.0000000000,5650.0000000000,1.0000000000,5650.0000000000,1,1130000000.0000000000
2023-04-18,AGM,AGM,5758.0000000000,5758.0000000000,5758.0000000000,5758.0000000000,2400.0000000000,13819200.0000000000,2,1151600000.0000000000
2023-04-19,AGM,AGM,,5758.0000000000,,,,,0,1151600000.0000000000
2023-04-20,AGM,AGM,,5758.0000000000,,,,,0,1151600000.0000000000
2023-04-21,AGM,AGM,,5758.0000000000,,,,,0,1151600000.0000000000
2023-04-25,AGM,AGM,,5758.0000000000,,,,,0,1151600000.0000000000
2023-04-26,AGM,AGM,5750.0000000000,5750.0000000000,5750.0000000000,5750.0000000000,7.0000000000,40250.0000000000,2,1150000000.0000000000
2023-04-27,AGM,AGM,,5750.0000000000,,,,,0,1150000000.0000000000
2023-04-28,AGM,AGM,5750.0000000000,5750.0000000000,5750.0000000000,5750.0000000000,40.0000000000,230000.0000000000,2,1150000000.0000000000
2023-05-02,AGM,AGM,,5750.0000000000,,,,,0,1150000000.0000000000
2023-05-03,AGM,AGM,,5750.0000000000,,,,,0,1150000000.0000000000
2023-05-04,AGM,AGM,5900.0000000000,5900.0000000000,5900.0000000000,5900.0000000000,1.0000000000,5900.0000000000,1,1180000000.0000000000
2023-05-05,AGM,AGM,,5900.0000000000,,,,,0,1180000000.0000000000
2023-05-08,AGM,AGM,,5900.0000000000,,,,,0,1180000000.0000000000
2023-05-09,AGM,AGM,,5900.0000000000,,,,,0,1180000000.0000000000
2023-05-10,AGM,AGM,,5900.0000000000,,,,,0,1180000000.0000000000
2023-05-11,AGM,AGM,5869.0000000000,5869.0000000000,5869.0000000000,5869.0000000000,1.0000000000,5869.0000000000,1,1173800000.0000000000
2023-05-12,AGM,AGM,5870.0000000000,5870.0000000000,5870.0000000000,5870.0000000000,10.0000000000,58700.0000000000,2,1174000000.0000000000
2023-05-15,AGM,AGM,5752.0000000000,5752.0000000000,5752.0000000000,5752.0000000000,4.0000000000,23008.0000000000,2,1150400000.0000000000
2023-05-16,AGM,AGM,5750.0000000000,5750.0000000000,5750.0000000000,5750.0000000000,5.0000000000,28750.0000000000,2,1150000000.0000000000
2023-05-17,AGM,AGM,5800.0000000000,5800.0000000000,5800.0000000000,5800.0000000000,150.0000000000,870000.0000000000,2,1160000000.0000000000
2023-05-18,AGM,AGM,,5800.0000000000,,,,,0,1160000000.0000000000
2023-05-19,AGM,AGM,5765.0000000000,5765.0000000000,5765.0000000000,5765.0000000000,91.0000000000,524615.0000000000,2,1153000000.0000000000
