Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,AKT,AKT,291.0000000000,290.0000000000,291.0000000000,287.0500000000,1527.0000000000,442941.4000000000,24,3673334300.0000000000
2023-04-04,AKT,AKT,290.0000000000,290.0000000000,295.0000000000,287.1000000000,2361.0000000000,686248.5000000000,38,3673334300.0000000000
2023-04-05,AKT,AKT,290.0000000000,296.0000000000,296.0000000000,288.1000000000,7510.0000000000,2212531.2000000000,64,3749334320.0000000000
2023-04-06,AKT,AKT,291.1000000000,297.0000000000,300.0000000000,291.1000000000,17387.0000000000,5196823.4000000000,92,3762000990.0000000000
2023-04-07,AKT,AKT,296.0000000000,297.7000000000,297.7000000000,291.0500000000,1821.0000000000,540614.7000000000,36,3770867659.0000000000
2023-04-10,AKT,AKT,291.2000000000,297.0000000000,298.0000000000,291.2000000000,2503.0000000000,742471.8500000000,37,3762000990.0000000000
2023-04-11,AKT,AKT,293.4000000000,299.6500000000,299.6500000000,293.3500000000,13558.0000000000,4031011.3000000000,54,3795567665.5000000000
2023-04-12,AKT,AKT,299.8000000000,304.8000000000,306.0000000000,299.8000000000,53764.0000000000,16269160.9000000000,217,3860801016.0000000000
2023-04-13,AKT,AKT,305.0000000000,304.9500000000,306.0000000000,302.0000000000,53163.0000000000,16195039.0500000000,101,3862701016.5000000000
2023-04-14,AKT,AKT,302.1000000000,302.5000000000,304.0000000000,301.2000000000,14160.0000000000,4281119.3000000000,51,3831667675.0000000000
2023-04-17,AKT,AKT,298.2000000000,302.0000000000,302.0000000000,298.2000000000,1713.0000000000,515239.0000000000,27,3825334340.0000000000
2023-04-18,AKT,AKT,300.5000000000,303.1000000000,303.1000000000,300.5000000000,3158.0000000000,954775.2000000000,25,3839267677.0000000000
2023-04-19,AKT,AKT,300.6000000000,302.0000000000,304.9000000000,300.6000000000,6194.0000000000,1879551.1000000000,41,3825334340.0000000000
2023-04-20,AKT,AKT,301.0000000000,302.0000000000,303.9500000000,301.0000000000,3043.0000000000,920131.4000000000,21,3825334340.0000000000
2023-04-21,AKT,AKT,302.0000000000,301.5000000000,302.5000000000,301.2500000000,2533.0000000000,763908.6500000000,21,3819001005.0000000000
2023-04-25,AKT,AKT,302.5000000000,302.0000000000,302.5000000000,300.2500000000,266.0000000000,80143.2500000000,15,3825334340.0000000000
2023-04-26,AKT,AKT,300.5000000000,300.5500000000,300.5500000000,300.5000000000,1111.0000000000,333871.2000000000,10,3806967668.5000000000
2023-04-27,AKT,AKT,300.5500000000,302.0000000000,302.0000000000,300.5500000000,870.0000000000,261658.5500000000,11,3825334340.0000000000
2023-04-28,AKT,AKT,300.6500000000,300.6500000000,302.0000000000,300.6000000000,1877.0000000000,564481.9500000000,35,3808234335.5000000000
2023-05-02,AKT,AKT,300.0000000000,298.0000000000,302.0000000000,298.0000000000,2491.0000000000,743962.2000000000,28,3774667660.0000000000
2023-05-03,AKT,AKT,299.0000000000,300.0000000000,302.0000000000,298.2500000000,2164.0000000000,649268.7000000000,22,3800001000.0000000000
2023-05-04,AKT,AKT,300.1500000000,300.0000000000,300.1500000000,298.0000000000,987.0000000000,295994.0000000000,20,3800001000.0000000000
