Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,ALM,ALM,1315.0000000000,1315.0000000000,1315.0000000000,1315.0000000000,14.0000000000,18410.0000000000,2,612729510.0000000000
2023-04-04,ALM,ALM,,1315.0000000000,,,,,0,612729510.0000000000
2023-04-05,ALM,ALM,,1315.0000000000,,,,,0,612729510.0000000000
2023-04-06,ALM,ALM,1308.0000000000,1307.0000000000,1308.0000000000,1307.0000000000,81.0000000000,105877.0000000000,4,609001878.0000000000
2023-04-07,ALM,ALM,1300.0000000000,1300.0000000000,1315.0000000000,1300.0000000000,116.0000000000,150816.0000000000,7,605740200.0000000000
2023-04-10,ALM,ALM,1315.0000000000,1314.0000000000,1315.0000000000,1314.0000000000,9.0000000000,11830.0000000000,3,612263556.0000000000
2023-04-11,ALM,ALM,1313.0000000000,1315.0000000000,1315.0000000000,1313.0000000000,112.0000000000,147219.0000000000,6,612729510.0000000000
2023-04-12,ALM,ALM,1300.0000000000,1300.0000000000,1300.0000000000,1300.0000000000,36.0000000000,46800.0000000000,6,605740200.0000000000
2023-04-13,ALM,ALM,,1300.0000000000,,,,,0,605740200.0000000000
2023-04-14,ALM,ALM,1315.0000000000,1315.0000000000,1315.0000000000,1315.0000000000,10.0000000000,13150.0000000000,3,612729510.0000000000
2023-04-17,ALM,ALM,1300.0000000000,1300.0000000000,1300.0000000000,1300.0000000000,1.0000000000,1300.0000000000,1,605740200.0000000000
2023-04-18,ALM,ALM,1364.0000000000,1305.0000000000,1364.0000000000,1305.0000000000,12.0000000000,15778.0000000000,4,608069970.0000000000
2023-04-19,ALM,ALM,1303.0000000000,1300.0000000000,1303.0000000000,1300.0000000000,90.0000000000,117120.0000000000,6,605740200.0000000000
2023-04-20,ALM,ALM,,1300.0000000000,,,,,0,605740200.0000000000
2023-04-21,ALM,ALM,1301.0000000000,1301.0000000000,1301.0000000000,1301.0000000000,175.0000000000,227675.0000000000,5,606206154.0000000000
2023-04-25,ALM,ALM,1299.0000000000,1291.0000000000,1299.0000000000,1291.0000000000,125.0000000000,162335.0000000000,5,601546614.0000000000
2023-04-26,ALM,ALM,,1291.0000000000,,,,,0,601546614.0000000000
2023-04-27,ALM,ALM,1301.0000000000,1300.0000000000,1301.0000000000,1300.0000000000,110.0000000000,143005.0000000000,3,605740200.0000000000
2023-04-28,ALM,ALM,1329.0000000000,1329.0000000000,1329.0000000000,1329.0000000000,80.0000000000,106320.0000000000,3,619252866.0000000000
2023-05-02,ALM,ALM,1329.0000000000,1330.0000000000,1330.0000000000,1329.0000000000,5.0000000000,6647.0000000000,2,619718820.0000000000
2023-05-03,ALM,ALM,1303.0000000000,1303.0000000000,1303.0000000000,1303.0000000000,3.0000000000,3909.0000000000,2,607138062.0000000000
2023-05-04,ALM,ALM,,1303.0000000000,,,,,0,607138062.0000000000
2023-05-05,ALM,ALM,,1303.0000000000,,,,,0,607138062.0000000000
2023-05-08,ALM,ALM,1315.0000000000,1300.0000000000,1315.0000000000,1300.0000000000,40.0000000000,52444.0000000000,8,605740200.0000000000
2023-05-09,ALM,ALM,,1300.0000000000,,,,,0,605740200.0000000000
2023-05-10,ALM,ALM,1305.0000000000,1320.0000000000,1320.0000000000,1305.0000000000,2.0000000000,2625.0000000000,2,615059280.0000000000
2023-05-11,ALM,ALM,,1320.0000000000,,,,,0,615059280.0000000000
