Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,ARD,ARD,,417.0000000000,,,,,0,4676222988.0000000000
2023-04-04,ARD,ARD,,417.0000000000,,,,,0,4676222988.0000000000
2023-04-05,ARD,ARD,425.0000000000,417.0000000000,425.0000000000,417.0000000000,36.0000000000,15048.0000000000,7,4676222988.0000000000
2023-04-06,ARD,ARD,,417.0000000000,,,,,0,4676222988.0000000000
2023-04-07,ARD,ARD,,417.0000000000,,,,,0,4676222988.0000000000
2023-04-10,ARD,ARD,417.5000000000,429.0000000000,430.0000000000,417.5000000000,221.0000000000,94764.3000000000,12,4810790556.0000000000
2023-04-11,ARD,ARD,,429.0000000000,,,,,0,4810790556.0000000000
2023-04-12,ARD,ARD,428.0000000000,428.0000000000,428.0000000000,428.0000000000,50.0000000000,21400.0000000000,2,4799576592.0000000000
2023-04-13,ARD,ARD,428.0000000000,420.0000000000,428.0000000000,420.0000000000,110.0000000000,47008.0000000000,6,4709864880.0000000000
2023-04-14,ARD,ARD,,420.0000000000,,,,,0,4709864880.0000000000
2023-04-17,ARD,ARD,422.0000000000,417.0000000000,422.0000000000,417.0000000000,7449.0000000000,3106777.3000000000,17,4676222988.0000000000
2023-04-18,ARD,ARD,418.5500000000,418.0000000000,418.5500000000,418.0000000000,40.0000000000,16726.1000000000,3,4687436952.0000000000
2023-04-19,ARD,ARD,,418.0000000000,,,,,0,4687436952.0000000000
2023-04-20,ARD,ARD,427.8500000000,427.8500000000,427.8500000000,427.8500000000,1.0000000000,427.8500000000,1,4797894497.4000000000
2023-04-21,ARD,ARD,427.8000000000,427.8000000000,427.8000000000,427.8000000000,2.0000000000,855.6000000000,1,4797333799.2000000000
2023-04-25,ARD,ARD,,427.8000000000,,,,,0,4797333799.2000000000
2023-04-26,ARD,ARD,427.0000000000,430.0000000000,430.0000000000,420.0000000000,270.0000000000,115479.0000000000,6,4822004520.0000000000
2023-04-27,ARD,ARD,429.5000000000,435.0000000000,435.0000000000,429.5000000000,1960.0000000000,843787.5000000000,12,4878074340.0000000000
2023-04-28,ARD,ARD,435.0000000000,450.0000000000,460.0000000000,435.0000000000,577.0000000000,258527.0000000000,18,5046283800.0000000000
2023-05-02,ARD,ARD,,450.0000000000,,,,,0,5046283800.0000000000
2023-05-03,ARD,ARD,425.1000000000,450.0000000000,450.0000000000,425.1000000000,289.0000000000,126634.0000000000,19,5046283800.0000000000
2023-05-04,ARD,ARD,,450.0000000000,,,,,0,5046283800.0000000000
2023-05-05,ARD,ARD,430.0000000000,430.0000000000,430.0000000000,430.0000000000,10.0000000000,4300.0000000000,4,4822004520.0000000000
2023-05-08,ARD,ARD,430.0000000000,430.0000000000,430.0000000000,419.0500000000,65.0000000000,27521.6000000000,11,4822004520.0000000000
2023-05-09,ARD,ARD,420.5000000000,430.0000000000,430.0000000000,420.5000000000,9.0000000000,3822.5000000000,3,4822004520.0000000000
2023-05-10,ARD,ARD,,430.0000000000,,,,,0,4822004520.0000000000
2023-05-11,ARD,ARD,430.0000000000,430.0000000000,430.0000000000,430.0000000000,44.0000000000,18920.0000000000,2,4822004520.0000000000
2023-05-12,ARD,ARD,430.0000000000,440.8500000000,440.8500000000,420.0000000000,152.0000000000,64524.1000000000,10,4943676029.4000000000
2023-05-15,ARD,ARD,440.0000000000,440.8000000000,440.8000000000,432.0000000000,76.0000000000,33333.4000000000,9,4943115331.2000000000
2023-05-16,ARD,ARD,,440.8000000000,,,,,0,4943115331.2000000000
2023-05-17,ARD,ARD,441.9000000000,441.9000000000,441.9000000000,441.9000000000,50.0000000000,22095.0000000000,2,4955450691.6000000000
2023-05-18,ARD,ARD,441.9000000000,440.0000000000,441.9000000000,440.0000000000,6.0000000000,2641.9000000000,2,4934144160.0000000000
2023-05-19,ARD,ARD,439.5000000000,440.0000000000,441.0000000000,439.5000000000,2032.0000000000,894102.0000000000,4,4934144160.0000000000
2023-05-22,ARD,ARD,439.0000000000,441.0000000000,441.0000000000,430.0000000000,179.0000000000,77108.0000000000,5,4945358124.0000000000
2023-05-23,ARD,ARD,439.9500000000,435.0000000000,441.0000000000,435.0000000000,275.0000000000,120775.7500000000,5,4878074340.0000000000
2023-05-24,ARD,ARD,442.0000000000,442.0000000000,443.0000000000,434.5000000000,94579.0000000000,41765568.5000000000,15,4956572088.0000000000
2023-05-25,ARD,ARD,444.0000000000,444.0000000000,444.0000000000,444.0000000000,16074.0000000000,7136856.0000000000,3,4979000016.0000000000
