Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,ATH,ATH,70.4900000000,69.0000000000,70.5000000000,69.0000000000,81.0000000000,5621.6800000000,9,3470322432.0000000000
2023-04-04,ATH,ATH,71.4900000000,71.4900000000,71.4900000000,71.4900000000,2.0000000000,142.9800000000,2,3595555806.7200000000
2023-04-05,ATH,ATH,69.2000000000,70.0000000000,70.5000000000,69.0000000000,146396.0000000000,10244770.4100000000,17,3520616960.0000000000
2023-04-06,ATH,ATH,70.1100000000,70.1100000000,71.4600000000,70.1100000000,249.0000000000,17470.8900000000,4,3526149358.0800000000
2023-04-07,ATH,ATH,70.3000000000,70.2000000000,70.3000000000,70.2000000000,10200.0000000000,716040.8000000000,4,3530675865.6000000000
2023-04-10,ATH,ATH,71.7500000000,71.0000000000,71.7500000000,70.0000000000,2024.0000000000,141737.2000000000,7,3570911488.0000000000
2023-04-11,ATH,ATH,71.7400000000,70.3000000000,71.7400000000,70.3000000000,156.0000000000,10971.1200000000,3,3535705318.4000000000
2023-04-12,ATH,ATH,72.0100000000,72.5000000000,73.3000000000,72.0100000000,6499.0000000000,468184.3100000000,17,3646353280.0000000000
2023-04-13,ATH,ATH,73.2500000000,72.0000000000,73.2500000000,71.0100000000,82.0000000000,5915.5200000000,7,3621206016.0000000000
2023-04-14,ATH,ATH,72.0000000000,72.0000000000,72.0000000000,72.0000000000,500.0000000000,36000.0000000000,1,3621206016.0000000000
2023-04-17,ATH,ATH,71.0200000000,71.0200000000,71.0200000000,71.0200000000,5.0000000000,355.1000000000,1,3571917378.5600000000
2023-04-18,ATH,ATH,72.3000000000,72.3000000000,72.3000000000,72.3000000000,7.0000000000,506.1000000000,1,3636294374.4000000000
2023-04-19,ATH,ATH,72.0000000000,72.0100000000,72.2800000000,72.0000000000,499.0000000000,35928.3400000000,9,3621708961.2800000000
2023-04-20,ATH,ATH,71.0000000000,70.5000000000,71.0000000000,70.5000000000,983.0000000000,69451.5000000000,5,3545764224.0000000000
2023-04-21,ATH,ATH,71.0000000000,72.5000000000,74.0000000000,71.0000000000,3829.0000000000,277887.0400000000,18,3646353280.0000000000
2023-04-25,ATH,ATH,71.2500000000,72.2500000000,72.2500000000,71.2500000000,22.0000000000,1570.5000000000,2,3633779648.0000000000
2023-04-26,ATH,ATH,72.2500000000,72.2500000000,72.2500000000,72.2500000000,42.0000000000,3034.5000000000,3,3633779648.0000000000
2023-04-27,ATH,ATH,73.0000000000,72.5000000000,73.7900000000,72.5000000000,150.0000000000,10996.1000000000,3,3646353280.0000000000
2023-04-28,ATH,ATH,72.2500000000,70.1000000000,73.7500000000,70.1000000000,2083.0000000000,146219.9000000000,20,3525646412.8000000000
2023-05-02,ATH,ATH,70.5200000000,70.5100000000,71.0000000000,70.5100000000,150.0000000000,10586.9500000000,11,3546267169.2800000000
2023-05-03,ATH,ATH,73.7000000000,73.5000000000,73.7000000000,73.4900000000,25.0000000000,1839.4000000000,3,3696647808.0000000000
2023-05-04,ATH,ATH,73.4800000000,70.7000000000,73.4800000000,70.7000000000,116.0000000000,8245.6800000000,5,3555823129.6000000000
2023-05-05,ATH,ATH,70.5300000000,70.6000000000,73.4400000000,70.5300000000,211.0000000000,15034.9000000000,14,3550793676.8000000000
2023-05-08,ATH,ATH,70.7000000000,73.0000000000,73.0000000000,70.7000000000,131495.0000000000,9598831.6500000000,17,3671500544.0000000000
2023-05-09,ATH,ATH,73.3000000000,72.0000000000,73.3000000000,72.0000000000,460.0000000000,33593.2400000000,12,3621206016.0000000000
2023-05-10,ATH,ATH,72.0000000000,72.0000000000,73.0000000000,72.0000000000,17.0000000000,1239.0000000000,5,3621206016.0000000000
2023-05-11,ATH,ATH,73.0000000000,73.6000000000,74.9000000000,73.0000000000,678.0000000000,49639.9000000000,19,3701677260.8000000000
2023-05-12,ATH,ATH,73.6000000000,73.6000000000,73.6000000000,73.6000000000,30.0000000000,2208.0000000000,1,3701677260.8000000000
2023-05-15,ATH,ATH,73.0500000000,73.1100000000,73.1100000000,73.0500000000,63.0000000000,4605.1500000000,8,3677032942.0800000000
