Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,ATL,ATL,118.1500000000,122.9500000000,122.9500000000,118.1500000000,33.0000000000,4009.3500000000,5,7411868005.2500000000
2023-04-04,ATL,ATL,118.0500000000,121.4000000000,121.4000000000,118.0000000000,8074.0000000000,957571.9500000000,40,7318428433.0000000000
2023-04-05,ATL,ATL,120.9500000000,120.5000000000,120.9500000000,120.5000000000,7.0000000000,846.2000000000,4,7264173197.5000000000
2023-04-06,ATL,ATL,120.5000000000,122.8000000000,122.8000000000,120.5000000000,1004.0000000000,123282.0000000000,10,7402825466.0000000000
2023-04-07,ATL,ATL,122.3500000000,122.3500000000,122.3500000000,122.3500000000,4001.0000000000,489522.3500000000,8,7375697848.2500000000
2023-04-10,ATL,ATL,122.0000000000,122.0000000000,122.0000000000,122.0000000000,272.0000000000,33184.0000000000,2,7354598590.0000000000
2023-04-11,ATL,ATL,,122.0000000000,,,,,0,7354598590.0000000000
2023-04-12,ATL,ATL,119.1500000000,121.9500000000,121.9500000000,119.1500000000,128.0000000000,15329.6000000000,5,7351584410.2500000000
2023-04-13,ATL,ATL,119.6500000000,123.0000000000,123.0000000000,119.6500000000,1115.0000000000,136812.5500000000,15,7414882185.0000000000
2023-04-14,ATL,ATL,119.8000000000,129.0000000000,129.0000000000,119.8000000000,3758.0000000000,484671.6000000000,22,7776583755.0000000000
2023-04-17,ATL,ATL,122.6500000000,122.0000000000,126.0000000000,122.0000000000,1363.0000000000,166679.0000000000,16,7354598590.0000000000
2023-04-18,ATL,ATL,125.0000000000,125.0000000000,125.0000000000,125.0000000000,20.0000000000,2500.0000000000,2,7535449375.0000000000
2023-04-19,ATL,ATL,120.2500000000,122.0000000000,122.0000000000,120.2500000000,340.0000000000,41425.0000000000,6,7354598590.0000000000
2023-04-20,ATL,ATL,122.0000000000,127.0000000000,127.0000000000,122.0000000000,2060.0000000000,261320.0000000000,12,7656016565.0000000000
2023-04-21,ATL,ATL,126.0000000000,132.0000000000,132.0000000000,123.0000000000,8423.0000000000,1099755.0000000000,34,7957434540.0000000000
2023-04-25,ATL,ATL,130.5000000000,129.5000000000,130.5000000000,127.0000000000,2015.0000000000,255943.5000000000,8,7806725552.5000000000
2023-04-26,ATL,ATL,126.7000000000,125.0000000000,128.0000000000,125.0000000000,204.0000000000,25756.3000000000,11,7535449375.0000000000
2023-04-27,ATL,ATL,128.0000000000,128.0000000000,128.0000000000,128.0000000000,2.0000000000,256.0000000000,2,7716300160.0000000000
2023-04-28,ATL,ATL,127.9500000000,130.0000000000,130.0000000000,124.6000000000,9971.0000000000,1292134.5000000000,25,7836867350.0000000000
2023-05-02,ATL,ATL,130.0000000000,130.0000000000,130.0000000000,130.0000000000,10.0000000000,1300.0000000000,4,7836867350.0000000000
2023-05-03,ATL,ATL,125.0000000000,129.8000000000,129.8000000000,125.0000000000,110.0000000000,14230.0000000000,2,7824810631.0000000000
2023-05-04,ATL,ATL,125.0000000000,127.2000000000,129.0000000000,125.0000000000,5022.0000000000,639134.1000000000,11,7668073284.0000000000
2023-05-05,ATL,ATL,128.9500000000,127.0000000000,128.9500000000,127.0000000000,10321.0000000000,1311363.9500000000,12,7656016565.0000000000
2023-05-08,ATL,ATL,127.0000000000,125.3000000000,127.0000000000,125.3000000000,5.0000000000,633.3000000000,2,7553534453.5000000000
2023-05-09,ATL,ATL,125.3000000000,124.8500000000,125.3000000000,124.5000000000,85.0000000000,10595.6000000000,7,7526406835.7500000000
2023-05-10,ATL,ATL,127.0000000000,127.0000000000,127.0000000000,127.0000000000,410.0000000000,52070.0000000000,2,7656016565.0000000000
2023-05-11,ATL,ATL,125.1000000000,127.9000000000,127.9000000000,125.1000000000,32.0000000000,4058.7000000000,4,7710271800.5000000000
2023-05-12,ATL,ATL,125.7000000000,127.1000000000,128.0000000000,125.7000000000,3843.0000000000,489637.9000000000,14,7662044924.5000000000
2023-05-15,ATL,ATL,128.5000000000,127.0000000000,128.5000000000,127.0000000000,46.0000000000,5859.0000000000,5,7656016565.0000000000
2023-05-16,ATL,ATL,127.2000000000,130.0000000000,130.0000000000,127.2000000000,5220.0000000000,678200.0000000000,28,7836867350.0000000000
2023-05-17,ATL,ATL,127.2500000000,127.2500000000,127.2500000000,127.2500000000,796.0000000000,101291.0000000000,5,7671087463.7500000000
