Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,ATW,ATW,400.0000000000,400.0000000000,400.0000000000,400.0000000000,150.0000000000,60000.0000000000,3,86056335600.0000000000
2023-04-04,ATW,ATW,400.0000000000,400.0000000000,402.0000000000,400.0000000000,19590.0000000000,7836177.4500000000,43,86056335600.0000000000
2023-04-05,ATW,ATW,401.9000000000,404.0000000000,404.0000000000,400.0000000000,69967.0000000000,27990143.5500000000,39,86916898956.0000000000
2023-04-06,ATW,ATW,403.9500000000,400.0000000000,403.9500000000,398.0500000000,110864.0000000000,44345507.6500000000,13,86056335600.0000000000
2023-04-07,ATW,ATW,400.0000000000,400.0500000000,402.9500000000,400.0000000000,4621.0000000000,1848668.7500000000,14,86067092641.9500000000
2023-04-10,ATW,ATW,400.0000000000,400.0000000000,400.1000000000,400.0000000000,92575.0000000000,37030000.2000000000,34,86056335600.0000000000
2023-04-11,ATW,ATW,400.0000000000,404.0000000000,404.0000000000,400.0000000000,13237.0000000000,5304514.0000000000,23,86916898956.0000000000
2023-04-12,ATW,ATW,400.0000000000,400.0500000000,403.9500000000,396.6000000000,14658.0000000000,5890454.6500000000,20,86067092641.9500000000
2023-04-13,ATW,ATW,398.0000000000,400.0000000000,402.0000000000,398.0000000000,7019.0000000000,2806941.4000000000,13,86056335600.0000000000
2023-04-14,ATW,ATW,400.0000000000,400.0500000000,402.0000000000,400.0000000000,884.0000000000,353825.0000000000,15,86067092641.9500000000
2023-04-17,ATW,ATW,400.0000000000,400.1000000000,402.0000000000,400.0000000000,10339.0000000000,4135922.9000000000,20,86077849683.9000000000
2023-04-18,ATW,ATW,400.0000000000,400.0000000000,400.0000000000,400.0000000000,21411.0000000000,8564400.0000000000,21,86056335600.0000000000
2023-04-19,ATW,ATW,400.0000000000,400.0500000000,400.0500000000,400.0000000000,27845.0000000000,11138375.0000000000,23,86067092641.9500000000
2023-04-20,ATW,ATW,400.0000000000,400.0000000000,405.0000000000,400.0000000000,3475.0000000000,1392363.0500000000,17,86056335600.0000000000
2023-04-21,ATW,ATW,400.0000000000,402.0000000000,402.0000000000,400.0000000000,18900.0000000000,7597560.0000000000,16,86486617278.0000000000
2023-04-25,ATW,ATW,401.7500000000,405.0000000000,405.0000000000,400.1000000000,21377.0000000000,8640868.8500000000,33,87132039795.0000000000
2023-04-26,ATW,ATW,404.9500000000,400.2000000000,404.9500000000,400.0000000000,29767.0000000000,11941542.7500000000,30,86099363767.8000000000
2023-04-27,ATW,ATW,400.2000000000,403.0000000000,403.0000000000,397.0000000000,5751.0000000000,2305136.4000000000,29,86701758117.0000000000
2023-04-28,ATW,ATW,403.0000000000,404.9000000000,404.9000000000,400.2500000000,13695.0000000000,5542803.5000000000,26,87110525711.1000000000
2023-05-02,ATW,ATW,404.9000000000,400.1000000000,404.9000000000,400.0000000000,9782.0000000000,3915979.0500000000,31,86077849683.9000000000
2023-05-03,ATW,ATW,399.0000000000,399.0000000000,399.0000000000,397.0000000000,6248.0000000000,2489307.0000000000,34,85841194761.0000000000
2023-05-04,ATW,ATW,397.0000000000,398.0000000000,398.0000000000,397.0000000000,3977.0000000000,1581738.0000000000,26,85626053922.0000000000
2023-05-05,ATW,ATW,400.0000000000,398.0500000000,400.0000000000,398.0500000000,5474.0000000000,2181671.4500000000,7,85636810963.9500000000
2023-05-08,ATW,ATW,398.1000000000,396.0000000000,398.8500000000,396.0000000000,6193.0000000000,2458533.7500000000,42,85195772244.0000000000
2023-05-09,ATW,ATW,396.0000000000,396.0000000000,400.0000000000,395.0000000000,15126.0000000000,6002322.2500000000,40,85195772244.0000000000
2023-05-10,ATW,ATW,396.3500000000,397.5000000000,399.9000000000,396.3500000000,15795.0000000000,6285527.0000000000,34,85518483502.5000000000
2023-05-11,ATW,ATW,402.9500000000,398.0000000000,402.9500000000,397.0000000000,14396.0000000000,5726994.5500000000,20,85626053922.0000000000
2023-05-12,ATW,ATW,398.0000000000,406.0000000000,409.9500000000,398.0000000000,55320.0000000000,22426228.6500000000,51,87347180634.0000000000
2023-05-15,ATW,ATW,409.9500000000,405.0000000000,409.9500000000,405.0000000000,4655.0000000000,1889377.5000000000,27,87132039795.0000000000
2023-05-16,ATW,ATW,403.0500000000,412.0000000000,415.0000000000,403.0500000000,32908.0000000000,13525644.5500000000,66,88638025668.0000000000
2023-05-17,ATW,ATW,411.0000000000,408.0000000000,411.0000000000,405.1000000000,11914.0000000000,4861184.7000000000,27,87777462312.0000000000
2023-05-18,ATW,ATW,405.5500000000,405.0000000000,410.0000000000,405.0000000000,14981.0000000000,6078031.9000000000,26,87132039795.0000000000
2023-05-19,ATW,ATW,407.0000000000,408.5000000000,408.5000000000,403.1000000000,10995.0000000000,4490321.8000000000,15,87885032731.5000000000
2023-05-22,ATW,ATW,404.0000000000,407.9000000000,407.9000000000,403.1500000000,2188.0000000000,886265.5000000000,11,87755948228.1000000000
2023-05-23,ATW,ATW,404.2000000000,408.0000000000,409.9500000000,404.2000000000,6068.0000000000,2476201.7500000000,15,87777462312.0000000000
2023-05-24,ATW,ATW,415.1000000000,423.5000000000,424.9500000000,415.1000000000,308775.0000000000,130729004.5000000000,142,91112145316.5000000000
2023-05-25,ATW,ATW,418.1500000000,418.0500000000,421.0000000000,418.0000000000,22704.0000000000,9494425.1000000000,57,89939627743.9500000000
2023-05-26,ATW,ATW,417.1000000000,426.0000000000,426.0000000000,417.1000000000,51243.0000000000,21673766.1000000000,52,91649997414.0000000000
2023-05-29,ATW,ATW,423.0500000000,425.0000000000,425.9500000000,422.0000000000,31720.0000000000,13479786.4000000000,23,91434856575.0000000000
2023-05-30,ATW,ATW,425.0000000000,426.1500000000,426.1500000000,425.0000000000,19089.0000000000,8116928.9500000000,76,91682268539.8500000000
2023-05-31,ATW,ATW,424.0000000000,427.5000000000,428.2500000000,424.0000000000,107675.0000000000,46030892.6000000000,51,91972708672.5000000000
2023-06-01,ATW,ATW,427.5000000000,427.4000000000,428.0000000000,423.5000000000,18301.0000000000,7821195.3000000000,35,91951194588.6000000000
2023-06-02,ATW,ATW,422.0500000000,435.0000000000,435.0000000000,422.0000000000,43766.0000000000,18762801.7500000000,84,93586264965.0000000000
2023-06-05,ATW,ATW,427.0000000000,427.7500000000,434.9500000000,426.1000000000,52146.0000000000,22656547.5500000000,37,92026493882.2500000000
2023-06-06,ATW,ATW,430.0000000000,429.0000000000,430.0000000000,427.5000000000,13073.0000000000,5608384.8000000000,32,92295419931.0000000000
2023-06-07,ATW,ATW,429.0000000000,425.3000000000,429.0000000000,424.0000000000,30461.0000000000,12957879.7500000000,37,91499398826.7000000000
2023-06-08,ATW,ATW,426.0000000000,427.0000000000,428.9500000000,426.0000000000,209.0000000000,89110.4500000000,12,91865138253.0000000000
2023-06-09,ATW,ATW,427.0000000000,429.0000000000,429.0000000000,427.0000000000,20738.0000000000,8863926.0000000000,40,92295419931.0000000000
2023-06-12,ATW,ATW,425.0000000000,425.2000000000,429.0000000000,425.0000000000,3806.0000000000,1618250.9000000000,25,91477884742.8000000000
2023-06-13,ATW,ATW,426.0000000000,429.0000000000,429.0000000000,425.3000000000,3914.0000000000,1666872.4000000000,28,92295419931.0000000000
2023-06-14,ATW,ATW,429.0000000000,434.9500000000,434.9500000000,426.8000000000,108568.0000000000,46752686.2500000000,73,93575507923.0500000000
2023-06-15,ATW,ATW,430.0000000000,438.0000000000,444.0000000000,430.0000000000,16414.0000000000,7212322.3000000000,89,94231687482.0000000000
2023-06-16,ATW,ATW,436.0000000000,440.0000000000,444.0000000000,432.0500000000,16504.0000000000,7249473.4500000000,63,94661969160.0000000000
2023-06-19,ATW,ATW,435.0500000000,439.5000000000,439.9500000000,435.0500000000,24339.0000000000,10636371.7500000000,54,94554398740.5000000000
2023-06-20,ATW,ATW,437.0000000000,449.9000000000,455.5000000000,435.0000000000,123452.0000000000,55665207.1000000000,177,96791863466.1000000000
2023-06-21,ATW,ATW,445.5000000000,440.0000000000,449.9000000000,440.0000000000,18099.0000000000,7993965.5500000000,100,94661969160.0000000000
2023-06-22,ATW,ATW,438.1000000000,439.0000000000,444.9000000000,438.1000000000,19178.0000000000,8431245.9500000000,61,94446828321.0000000000
2023-06-23,ATW,ATW,439.0000000000,445.0000000000,445.0000000000,439.0000000000,87213.0000000000,38753617.0500000000,44,95737673355.0000000000
2023-06-26,ATW,ATW,440.0500000000,440.0000000000,445.0000000000,440.0000000000,11580.0000000000,5096093.8000000000,41,94661969160.0000000000
2023-06-27,ATW,ATW,438.2500000000,443.0000000000,443.0000000000,438.2500000000,5756.0000000000,2542966.0500000000,27,95307391677.0000000000
2023-06-28,ATW,ATW,440.0000000000,444.0000000000,445.0000000000,440.0000000000,39795.0000000000,17650683.7500000000,71,95522532516.0000000000
2023-07-03,ATW,ATW,440.0000000000,430.2500000000,440.0000000000,423.0500000000,3304.0000000000,1429180.8500000000,47,92564345979.7500000000
2023-07-04,ATW,ATW,431.1000000000,435.0000000000,435.0000000000,430.6000000000,8351.0000000000,3599291.7500000000,44,93586264965.0000000000
2023-07-05,ATW,ATW,435.0000000000,439.8000000000,439.8000000000,435.0000000000,8013.0000000000,3508669.5000000000,32,94618940992.2000000000
2023-07-06,ATW,ATW,438.9000000000,437.5000000000,438.9000000000,437.0000000000,38893.0000000000,17015693.0000000000,35,94124117062.5000000000
2023-07-07,ATW,ATW,436.0000000000,433.0000000000,437.4500000000,431.0000000000,17712.0000000000,7669605.0500000000,34,93155983287.0000000000
2023-07-10,ATW,ATW,431.5000000000,433.0000000000,434.9000000000,431.1000000000,10291.0000000000,4446350.7500000000,29,93155983287.0000000000
2023-07-11,ATW,ATW,430.3000000000,433.0000000000,434.5000000000,430.3000000000,12224.0000000000,5270606.6500000000,21,93155983287.0000000000
2023-07-12,ATW,ATW,430.7000000000,435.5000000000,435.6000000000,430.7000000000,35104.0000000000,15243556.1000000000,32,93693835384.5000000000
2023-07-13,ATW,ATW,435.0000000000,435.0000000000,437.0000000000,432.5000000000,23398.0000000000,10177155.7000000000,37,93586264965.0000000000
2023-07-14,ATW,ATW,435.0000000000,437.1500000000,437.1500000000,435.0000000000,27238.0000000000,11876281.4500000000,26,94048817768.8500000000
2023-07-17,ATW,ATW,437.0000000000,438.0500000000,438.0500000000,435.2000000000,41641.0000000000,18229836.3500000000,36,94242444523.9500000000
