Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,BAL,BAL,,160.0000000000,,,,,0,279040000.0000000000
2023-04-04,BAL,BAL,,160.0000000000,,,,,0,279040000.0000000000
2023-04-05,BAL,BAL,,160.0000000000,,,,,0,279040000.0000000000
2023-04-06,BAL,BAL,,160.0000000000,,,,,0,279040000.0000000000
2023-04-07,BAL,BAL,,160.0000000000,,,,,0,279040000.0000000000
2023-04-10,BAL,BAL,,160.0000000000,,,,,0,279040000.0000000000
2023-04-11,BAL,BAL,,160.0000000000,,,,,0,279040000.0000000000
2023-04-12,BAL,BAL,,160.0000000000,,,,,0,279040000.0000000000
2023-04-13,BAL,BAL,,160.0000000000,,,,,0,279040000.0000000000
2023-04-14,BAL,BAL,,160.0000000000,,,,,0,279040000.0000000000
2023-04-17,BAL,BAL,,160.0000000000,,,,,0,279040000.0000000000
2023-04-18,BAL,BAL,,160.0000000000,,,,,0,279040000.0000000000
2023-04-19,BAL,BAL,,160.0000000000,,,,,0,279040000.0000000000
2023-04-20,BAL,BAL,,160.0000000000,,,,,0,279040000.0000000000
2023-04-21,BAL,BAL,,160.0000000000,,,,,0,279040000.0000000000
2023-04-25,BAL,BAL,,160.0000000000,,,,,0,279040000.0000000000
2023-04-26,BAL,BAL,,160.0000000000,,,,,0,279040000.0000000000
2023-04-27,BAL,BAL,,160.0000000000,,,,,0,279040000.0000000000
2023-04-28,BAL,BAL,,160.0000000000,,,,,0,279040000.0000000000
2023-05-02,BAL,BAL,166.3500000000,166.3500000000,166.3500000000,166.3500000000,10.0000000000,1663.5000000000,2,290114400.0000000000
2023-05-03,BAL,BAL,,166.3500000000,,,,,0,290114400.0000000000
2023-05-04,BAL,BAL,,166.3500000000,,,,,0,290114400.0000000000
2023-05-05,BAL,BAL,,166.3500000000,,,,,0,290114400.0000000000
2023-05-08,BAL,BAL,173.0000000000,173.0000000000,173.0000000000,173.0000000000,1.0000000000,173.0000000000,1,301712000.0000000000
2023-05-09,BAL,BAL,,173.0000000000,,,,,0,301712000.0000000000
2023-05-10,BAL,BAL,,173.0000000000,,,,,0,301712000.0000000000
2023-05-11,BAL,BAL,,173.0000000000,,,,,0,301712000.0000000000
2023-05-12,BAL,BAL,,173.0000000000,,,,,0,301712000.0000000000
2023-05-15,BAL,BAL,,173.0000000000,,,,,0,301712000.0000000000
2023-05-16,BAL,BAL,,173.0000000000,,,,,0,301712000.0000000000
2023-05-17,BAL,BAL,170.5000000000,170.5000000000,170.5000000000,170.5000000000,1.0000000000,170.5000000000,1,297352000.0000000000
2023-05-18,BAL,BAL,,170.5000000000,,,,,0,297352000.0000000000
2023-05-19,BAL,BAL,,170.5000000000,,,,,0,297352000.0000000000
2023-05-22,BAL,BAL,,170.5000000000,,,,,0,297352000.0000000000
2023-05-23,BAL,BAL,,170.5000000000,,,,,0,297352000.0000000000
2023-05-24,BAL,BAL,,170.5000000000,,,,,0,297352000.0000000000
2023-05-25,BAL,BAL,,170.5000000000,,,,,0,297352000.0000000000
2023-05-26,BAL,BAL,,170.5000000000,,,,,0,297352000.0000000000
2023-05-29,BAL,BAL,163.7000000000,163.7000000000,163.7000000000,163.7000000000,1.0000000000,163.7000000000,1,285492800.0000000000
2023-05-30,BAL,BAL,,163.7000000000,,,,,0,285492800.0000000000
2023-05-31,BAL,BAL,,163.7000000000,,,,,0,285492800.0000000000
2023-06-01,BAL,BAL,,163.7000000000,,,,,0,285492800.0000000000
2023-06-02,BAL,BAL,,163.7000000000,,,,,0,285492800.0000000000
2023-06-05,BAL,BAL,,163.7000000000,,,,,0,285492800.0000000000
2023-06-06,BAL,BAL,,163.7000000000,,,,,0,285492800.0000000000
