Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,BCI,BCI,460.5000000000,460.2000000000,460.5000000000,460.2000000000,99.0000000000,45574.8000000000,2,6111127417.2000000000
2023-04-04,BCI,BCI,,460.2000000000,,,,,0,6111127417.2000000000
2023-04-05,BCI,BCI,460.2000000000,460.0000000000,460.2000000000,460.0000000000,49.0000000000,22544.0000000000,2,6108471560.0000000000
2023-04-06,BCI,BCI,460.0000000000,440.0000000000,460.0000000000,440.0000000000,489.0000000000,218940.0000000000,8,5842885840.0000000000
2023-04-07,BCI,BCI,450.0000000000,441.0000000000,450.0000000000,441.0000000000,828.0000000000,368100.0000000000,7,5856165126.0000000000
2023-04-10,BCI,BCI,440.0000000000,444.0500000000,444.0500000000,440.0000000000,808.0000000000,358760.0000000000,3,5896666948.3000000000
2023-04-11,BCI,BCI,,444.0500000000,,,,,0,5896666948.3000000000
2023-04-12,BCI,BCI,450.0000000000,455.0000000000,459.7500000000,450.0000000000,1698.0000000000,765321.7000000000,6,6042075130.0000000000
2023-04-13,BCI,BCI,472.8500000000,457.1000000000,472.8500000000,457.0000000000,522.0000000000,240008.4500000000,11,6069961630.6000000000
2023-04-14,BCI,BCI,478.9500000000,450.0000000000,478.9500000000,450.0000000000,526.0000000000,237452.7000000000,9,5975678700.0000000000
2023-04-17,BCI,BCI,440.0000000000,445.0000000000,472.0000000000,440.0000000000,2072.0000000000,912734.0000000000,24,5909282270.0000000000
2023-04-18,BCI,BCI,445.0000000000,450.0000000000,450.0000000000,435.0000000000,1037.0000000000,454978.0000000000,13,5975678700.0000000000
2023-04-19,BCI,BCI,438.0500000000,440.0000000000,440.0000000000,438.0000000000,1550.0000000000,681960.3000000000,6,5842885840.0000000000
2023-04-20,BCI,BCI,438.0000000000,431.0000000000,438.0000000000,431.0000000000,632.0000000000,274717.0000000000,13,5723372266.0000000000
2023-04-21,BCI,BCI,426.1000000000,440.0000000000,440.0000000000,426.1000000000,1992.0000000000,876341.0000000000,9,5842885840.0000000000
2023-04-25,BCI,BCI,444.0000000000,445.0000000000,450.0000000000,444.0000000000,3976.0000000000,1777103.6000000000,9,5909282270.0000000000
2023-04-26,BCI,BCI,440.0000000000,435.0000000000,440.0000000000,435.0000000000,20.0000000000,8715.0000000000,2,5776489410.0000000000
2023-04-27,BCI,BCI,440.1000000000,440.1000000000,440.1000000000,440.1000000000,15.0000000000,6601.5000000000,2,5844213768.6000000000
2023-04-28,BCI,BCI,444.0000000000,445.2500000000,451.0000000000,442.0000000000,2002.0000000000,888213.4500000000,9,5912602091.5000000000
2023-05-02,BCI,BCI,450.0000000000,440.1000000000,450.0000000000,440.1000000000,119.0000000000,52411.4000000000,3,5844213768.6000000000
2023-05-03,BCI,BCI,,440.1000000000,,,,,0,5844213768.6000000000
