Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,BCP,BCP,230.0000000000,235.9500000000,235.9500000000,230.0000000000,3043.0000000000,699901.9000000000,2,47971578004.3500000000
2023-04-04,BCP,BCP,234.9000000000,231.0000000000,234.9000000000,230.0000000000,6534.0000000000,1514755.1500000000,21,46965181263.0000000000
2023-04-05,BCP,BCP,234.4500000000,232.5000000000,234.5000000000,231.0000000000,26694.0000000000,6205987.6500000000,50,47270149972.5000000000
2023-04-06,BCP,BCP,231.0000000000,230.0000000000,233.0000000000,230.0000000000,67001.0000000000,15605231.0000000000,18,46761868790.0000000000
2023-04-07,BCP,BCP,230.0000000000,230.5500000000,230.5500000000,230.0000000000,13001.0000000000,2996806.2000000000,14,46873690650.1500000000
2023-04-10,BCP,BCP,231.0000000000,230.1000000000,231.0000000000,230.1000000000,44624.0000000000,10308099.0000000000,17,46782200037.3000000000
2023-04-11,BCP,BCP,230.0000000000,229.0000000000,231.0000000000,229.0000000000,31584.0000000000,7291840.0000000000,18,46558556317.0000000000
2023-04-12,BCP,BCP,226.0500000000,230.5000000000,232.0000000000,226.0500000000,11288.0000000000,2601682.3000000000,5,46863525026.5000000000
2023-04-13,BCP,BCP,234.6000000000,230.0500000000,234.6000000000,230.0000000000,3508.0000000000,807065.6500000000,9,46772034413.6500000000
2023-04-14,BCP,BCP,233.5000000000,230.0000000000,233.7500000000,230.0000000000,2202.0000000000,507060.6000000000,8,46761868790.0000000000
2023-04-17,BCP,BCP,230.0000000000,230.0000000000,230.0000000000,230.0000000000,120.0000000000,27600.0000000000,4,46761868790.0000000000
2023-04-18,BCP,BCP,227.2000000000,229.0000000000,229.1000000000,227.2000000000,27870.0000000000,6382149.2000000000,12,46558556317.0000000000
2023-04-19,BCP,BCP,232.7500000000,229.1000000000,232.7500000000,229.1000000000,21445.0000000000,4914144.8500000000,15,46578887564.3000000000
2023-04-20,BCP,BCP,230.0000000000,230.0000000000,231.5000000000,229.1000000000,64508.0000000000,14822690.8000000000,20,46761868790.0000000000
2023-04-21,BCP,BCP,231.0000000000,231.0000000000,231.0000000000,231.0000000000,6232.0000000000,1439592.0000000000,4,46965181263.0000000000
2023-04-25,BCP,BCP,231.0000000000,230.0000000000,231.0000000000,230.0000000000,7760.0000000000,1789553.0000000000,9,46761868790.0000000000
2023-04-26,BCP,BCP,230.0000000000,228.0000000000,230.0000000000,228.0000000000,50661.0000000000,11630424.2000000000,20,46355243844.0000000000
2023-04-27,BCP,BCP,227.0000000000,227.5000000000,229.0000000000,227.0000000000,14703.0000000000,3344944.5000000000,23,46253587607.5000000000
2023-04-28,BCP,BCP,228.8000000000,228.8000000000,230.0000000000,228.8000000000,3522.0000000000,805855.6000000000,14,46517893822.4000000000
2023-05-02,BCP,BCP,230.0000000000,228.5000000000,230.0000000000,228.0000000000,6916.0000000000,1580287.5000000000,13,46456900080.5000000000
2023-05-03,BCP,BCP,229.5000000000,227.5500000000,229.5000000000,227.5000000000,645.0000000000,146765.0000000000,9,46263753231.1500000000
2023-05-04,BCP,BCP,227.5500000000,227.1000000000,230.0000000000,227.0000000000,904.0000000000,205269.5000000000,9,46172262618.3000000000
2023-05-05,BCP,BCP,230.0000000000,227.0000000000,230.0000000000,227.0000000000,37.0000000000,8417.8000000000,5,46151931371.0000000000
2023-05-08,BCP,BCP,230.0000000000,229.0000000000,230.0000000000,227.0000000000,45624.0000000000,10447556.1500000000,15,46558556317.0000000000
2023-05-09,BCP,BCP,229.0000000000,228.5000000000,229.0000000000,228.5000000000,11534.0000000000,2638019.0000000000,5,46456900080.5000000000
2023-05-10,BCP,BCP,228.9000000000,228.5000000000,229.0000000000,228.5000000000,2010.0000000000,460085.5000000000,5,46456900080.5000000000
2023-05-11,BCP,BCP,228.5000000000,228.0000000000,228.5000000000,228.0000000000,6286.0000000000,1433213.9000000000,10,46355243844.0000000000
2023-05-12,BCP,BCP,230.0000000000,230.0000000000,230.0000000000,229.3000000000,43529.0000000000,9985318.5000000000,17,46761868790.0000000000
2023-05-15,BCP,BCP,231.0000000000,231.0000000000,231.0000000000,230.0000000000,10779.0000000000,2479943.2000000000,12,46965181263.0000000000
2023-05-16,BCP,BCP,230.0000000000,232.9500000000,233.0000000000,225.0000000000,53895.0000000000,12424602.7500000000,30,47361640585.3500000000
2023-05-17,BCP,BCP,230.0500000000,230.1000000000,230.1000000000,230.0000000000,20889.0000000000,4806484.0000000000,8,46782200037.3000000000
2023-05-18,BCP,BCP,232.9500000000,232.0000000000,232.9500000000,232.0000000000,11.0000000000,2556.7500000000,2,47168493736.0000000000
2023-05-19,BCP,BCP,232.0000000000,231.0000000000,232.0000000000,230.0000000000,400.0000000000,92120.0000000000,4,46965181263.0000000000
2023-05-22,BCP,BCP,229.0000000000,229.2000000000,232.0000000000,229.0000000000,1083.0000000000,248129.2000000000,9,46599218811.6000000000
2023-05-23,BCP,BCP,229.2000000000,231.0000000000,231.0000000000,229.2000000000,638.0000000000,146231.4000000000,4,46965181263.0000000000
2023-05-24,BCP,BCP,231.0000000000,233.0000000000,233.0000000000,230.0000000000,34177.0000000000,7871022.5000000000,43,47371806209.0000000000
