Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,BOA,BOA,163.0000000000,163.0000000000,163.0000000000,163.0000000000,41.0000000000,6683.0000000000,2,34029481801.0000000000
2023-04-04,BOA,BOA,164.0000000000,165.0000000000,165.0000000000,164.0000000000,1012.0000000000,166968.0000000000,7,34447021455.0000000000
2023-04-05,BOA,BOA,165.0000000000,165.0000000000,165.0000000000,163.0000000000,1410.0000000000,232581.0000000000,9,34447021455.0000000000
2023-04-06,BOA,BOA,165.0000000000,164.9500000000,165.0000000000,164.9500000000,146001.0000000000,24082865.0000000000,2,34436582963.6500000000
2023-04-07,BOA,BOA,165.0000000000,163.0500000000,165.0000000000,163.0500000000,3012.0000000000,491130.0000000000,7,34039920292.3500000000
2023-04-10,BOA,BOA,163.0000000000,163.0000000000,163.0000000000,163.0000000000,505.0000000000,82315.0000000000,4,34029481801.0000000000
2023-04-11,BOA,BOA,163.0000000000,164.9500000000,164.9500000000,163.0000000000,2.0000000000,327.9500000000,2,34436582963.6500000000
2023-04-12,BOA,BOA,163.0000000000,164.0000000000,165.0000000000,163.0000000000,1064.0000000000,174440.0000000000,8,34238251628.0000000000
2023-04-13,BOA,BOA,164.5000000000,164.5000000000,164.5000000000,164.5000000000,4.0000000000,658.0000000000,2,34342636541.5000000000
2023-04-14,BOA,BOA,164.5000000000,163.0000000000,164.5000000000,163.0000000000,4748.0000000000,773925.7000000000,9,34029481801.0000000000
2023-04-17,BOA,BOA,163.5000000000,163.5000000000,163.5000000000,163.5000000000,10.0000000000,1635.0000000000,1,34133866714.5000000000
2023-04-18,BOA,BOA,163.5000000000,163.5000000000,163.5000000000,161.0000000000,1430.0000000000,232167.5000000000,16,34133866714.5000000000
2023-04-19,BOA,BOA,163.0000000000,163.0000000000,164.0000000000,163.0000000000,11.0000000000,1794.0000000000,3,34029481801.0000000000
2023-04-20,BOA,BOA,160.0000000000,163.0000000000,163.0000000000,160.0000000000,3068.0000000000,493490.0000000000,11,34029481801.0000000000
2023-04-21,BOA,BOA,163.0000000000,163.0000000000,163.0000000000,163.0000000000,84.0000000000,13692.0000000000,2,34029481801.0000000000
2023-04-25,BOA,BOA,163.0000000000,163.0000000000,164.0000000000,163.0000000000,1287.0000000000,209782.0000000000,6,34029481801.0000000000
2023-04-26,BOA,BOA,163.0000000000,163.0000000000,163.0000000000,163.0000000000,5600.0000000000,912800.0000000000,3,34029481801.0000000000
2023-04-27,BOA,BOA,163.0000000000,162.5000000000,163.0000000000,162.5000000000,10301.0000000000,1674062.9500000000,9,33925096887.5000000000
2023-04-28,BOA,BOA,162.3000000000,162.0000000000,162.5000000000,162.0000000000,2134.0000000000,345715.6500000000,17,33820711974.0000000000
2023-05-02,BOA,BOA,163.0000000000,164.9500000000,164.9500000000,162.0500000000,52461.0000000000,8652109.8000000000,5,34436582963.6500000000
2023-05-03,BOA,BOA,162.5500000000,163.0000000000,163.0000000000,162.5500000000,1050.0000000000,171127.5000000000,3,34029481801.0000000000
2023-05-04,BOA,BOA,162.0000000000,162.0000000000,162.0000000000,162.0000000000,5544.0000000000,898128.0000000000,5,33820711974.0000000000
2023-05-05,BOA,BOA,163.3000000000,161.9000000000,163.3000000000,161.9000000000,142.0000000000,22998.9000000000,8,33799834991.3000000000
2023-05-08,BOA,BOA,162.0000000000,161.0500000000,162.0000000000,161.0500000000,60.0000000000,9672.1500000000,3,33622380638.3500000000
2023-05-09,BOA,BOA,161.0000000000,161.0000000000,162.8000000000,161.0000000000,9514.0000000000,1539256.0000000000,16,33611942147.0000000000
2023-05-10,BOA,BOA,163.0000000000,161.1000000000,163.0000000000,161.1000000000,22.0000000000,3549.9000000000,3,33632819129.7000000000
2023-05-11,BOA,BOA,161.0000000000,163.0000000000,163.0000000000,161.0000000000,4141.0000000000,670774.1500000000,18,34029481801.0000000000
2023-05-12,BOA,BOA,162.0000000000,164.9000000000,164.9000000000,162.0000000000,22251.0000000000,3666235.2000000000,16,34426144472.3000000000
2023-05-15,BOA,BOA,167.0000000000,167.0000000000,167.0000000000,163.0000000000,1900.0000000000,313485.7500000000,20,34864561109.0000000000
2023-05-16,BOA,BOA,167.0000000000,167.0000000000,167.0000000000,162.0000000000,67510.0000000000,10965021.2500000000,37,34864561109.0000000000
2023-05-17,BOA,BOA,166.0000000000,164.0000000000,166.0000000000,164.0000000000,15645.0000000000,2569215.0000000000,14,34238251628.0000000000
2023-05-18,BOA,BOA,167.0000000000,167.0000000000,167.0000000000,164.0000000000,18011.0000000000,2953837.0000000000,4,34864561109.0000000000
2023-05-19,BOA,BOA,163.0500000000,165.0000000000,165.0000000000,163.0500000000,603.0000000000,99475.5000000000,5,34447021455.0000000000
2023-05-22,BOA,BOA,166.9000000000,166.9000000000,166.9000000000,166.9000000000,1.0000000000,166.9000000000,1,34843684126.3000000000
2023-05-23,BOA,BOA,165.0000000000,166.0000000000,166.9000000000,165.0000000000,301.0000000000,50070.1000000000,5,34655791282.0000000000
2023-05-24,BOA,BOA,165.0000000000,166.0000000000,166.9000000000,165.0000000000,36426.0000000000,6046506.9000000000,16,34655791282.0000000000
2023-05-25,BOA,BOA,166.0000000000,165.5000000000,166.0000000000,163.5500000000,60.0000000000,9956.0500000000,5,34551406368.5000000000
2023-05-26,BOA,BOA,165.5000000000,165.0000000000,165.9000000000,163.5500000000,43460.0000000000,7171067.8500000000,13,34447021455.0000000000
2023-05-29,BOA,BOA,165.0000000000,166.0500000000,170.9500000000,165.0000000000,37377.0000000000,6181979.9000000000,32,34666229773.3500000000
2023-05-30,BOA,BOA,170.0000000000,166.0000000000,170.0000000000,166.0000000000,11975.0000000000,1988505.8500000000,26,34655791282.0000000000
