Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2025-12-08,CAP,CAP,219.9500000000,219.9500000000,219.9500000000,219.9500000000,564.0000000000,124051.8000000000,49,5400452145.5000000000
2025-12-09,CAP,CAP,241.9000000000,241.9000000000,241.9000000000,241.9000000000,2300.0000000000,556370.0000000000,82,5939392471.0000000000
2025-12-10,CAP,CAP,266.0500000000,266.0500000000,266.0500000000,266.0500000000,34671.0000000000,9224219.5500000000,440,6532349594.5000000000
2025-12-11,CAP,CAP,292.6500000000,292.6500000000,292.6500000000,292.6500000000,86675.0000000000,25365438.7500000000,1036,7185461788.5000000000
2025-12-12,CAP,CAP,321.9000000000,321.9000000000,321.9000000000,321.9000000000,617786.0000000000,198865313.4000000000,4397,7903639671.0000000000
2025-12-15,CAP,CAP,311.1500000000,319.0000000000,334.0000000000,305.0000000000,723591.0000000000,231454985.1500100000,10780,7832435710.0000000000
2025-12-16,CAP,CAP,312.0000000000,312.0000000000,314.8500000000,307.1000000000,143724.0000000000,44782394.2000000000,4979,7660564080.0000000000
2025-12-17,CAP,CAP,307.2000000000,305.0000000000,310.0000000000,300.4000000000,121979.0000000000,36955665.4000000000,3849,7488692450.0000000000
2025-12-18,CAP,CAP,305.0000000000,310.0000000000,318.9500000000,303.0000000000,98104.0000000000,30449647.7500000000,3858,7611457900.0000000000
2025-12-19,CAP,CAP,312.0000000000,318.0000000000,322.0000000000,312.0000000000,113479.0000000000,36032771.2500000000,2468,7807882620.0000000000
2025-12-22,CAP,CAP,316.0000000000,310.0500000000,317.0000000000,307.5000000000,58475.0000000000,18171999.2000000000,1290,7612685554.5000000000
2025-12-23,CAP,CAP,310.0000000000,307.0500000000,310.0500000000,306.0000000000,45632.0000000000,14051439.1500000000,1024,7539026284.5000000000
2025-12-24,CAP,CAP,306.2000000000,307.0000000000,309.0000000000,306.0000000000,49116.0000000000,15056152.3000000000,1119,7537798630.0000000000
2025-12-25,CAP,CAP,307.0000000000,307.1500000000,308.8000000000,307.0000000000,50470.0000000000,15521283.9000000000,1307,7541481593.5000000000
2025-12-26,CAP,CAP,305.2000000000,310.0000000000,310.0000000000,303.0000000000,68721.0000000000,21087842.3500000000,1510,7611457900.0000000000
2025-12-29,CAP,CAP,301.0500000000,298.0000000000,305.0000000000,292.7000000000,43721.0000000000,13062176.0500000000,1370,7316820820.0000000000
2025-12-30,CAP,CAP,293.5000000000,298.0500000000,298.0500000000,293.0000000000,34644.0000000000,10177951.0000000000,814,7318048474.5000000000
2025-12-31,CAP,CAP,300.0000000000,307.0000000000,307.0000000000,295.0000000000,59615.0000000000,17981384.9500000000,1052,7537798630.0000000000
2026-01-02,CAP,CAP,301.0000000000,310.0000000000,310.0000000000,295.1500000000,27305.0000000000,8381085.0500000000,797,7611457900.0000000000
2026-01-05,CAP,CAP,301.0000000000,313.9500000000,315.5000000000,301.0000000000,31759.0000000000,9866142.2500000000,1000,7708442605.5000000000
2026-01-06,CAP,CAP,310.0000000000,317.9500000000,318.5000000000,309.8000000000,63565.0000000000,20089924.9000000000,1070,7806654965.5000000000
2026-01-07,CAP,CAP,316.0000000000,308.0000000000,317.0000000000,307.0000000000,65873.0000000000,20474767.8000000000,660,7562351720.0000000000
2026-01-08,CAP,CAP,310.0000000000,304.1000000000,310.0000000000,301.0000000000,19203.0000000000,5860292.7500000000,460,7466594669.0000000000
2026-01-09,CAP,CAP,301.7000000000,310.0000000000,310.0000000000,300.1500000000,555791.0000000000,169509647.5500000000,494,7611457900.0000000000
2026-01-12,CAP,CAP,304.0000000000,303.0500000000,307.0000000000,303.0500000000,8593.0000000000,2609769.7500000000,328,7440813924.5000000000
2026-01-13,CAP,CAP,302.5000000000,302.0500000000,304.9500000000,302.0500000000,10394.0000000000,3142185.5500000000,300,7416260834.5000000000
2026-01-15,CAP,CAP,300.1000000000,296.1000000000,301.0000000000,296.0000000000,31669.0000000000,9496425.3000000000,328,7270169949.0000000000
2026-01-16,CAP,CAP,296.0000000000,299.9500000000,300.0000000000,296.0000000000,8277.0000000000,2466106.7000000000,256,7364699345.5000000000
2026-01-19,CAP,CAP,293.5000000000,295.0000000000,296.5000000000,293.5000000000,3365.0000000000,988958.8000000000,205,7243161550.0000000000
2026-01-20,CAP,CAP,290.1000000000,295.0000000000,295.0000000000,288.0000000000,39836.0000000000,11717655.1500000000,359,7243161550.0000000000
2026-01-21,CAP,CAP,290.0000000000,295.0000000000,296.0000000000,290.0000000000,28557.0000000000,8409531.4000000000,228,7243161550.0000000000
