Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,CDM,CDM,,635.0000000000,,,,,0,6909570890.0000000000
2023-04-04,CDM,CDM,,635.0000000000,,,,,0,6909570890.0000000000
2023-04-05,CDM,CDM,,635.0000000000,,,,,0,6909570890.0000000000
2023-04-06,CDM,CDM,610.1000000000,610.1000000000,610.1000000000,610.1000000000,59.0000000000,35995.9000000000,2,6638628661.4000000000
2023-04-07,CDM,CDM,610.0000000000,610.0000000000,610.0000000000,610.0000000000,1743.0000000000,1063230.0000000000,4,6637540540.0000000000
2023-04-10,CDM,CDM,,610.0000000000,,,,,0,6637540540.0000000000
2023-04-11,CDM,CDM,,610.0000000000,,,,,0,6637540540.0000000000
2023-04-12,CDM,CDM,,610.0000000000,,,,,0,6637540540.0000000000
2023-04-13,CDM,CDM,610.0000000000,610.0000000000,610.0000000000,610.0000000000,1050.0000000000,640500.0000000000,1,6637540540.0000000000
2023-04-14,CDM,CDM,611.0000000000,611.0000000000,611.0000000000,611.0000000000,302.0000000000,184522.0000000000,2,6648421754.0000000000
2023-04-17,CDM,CDM,,611.0000000000,,,,,0,6648421754.0000000000
2023-04-18,CDM,CDM,,611.0000000000,,,,,0,6648421754.0000000000
2023-04-19,CDM,CDM,600.0000000000,600.0000000000,600.0000000000,600.0000000000,70.0000000000,42000.0000000000,3,6528728400.0000000000
2023-04-20,CDM,CDM,,600.0000000000,,,,,0,6528728400.0000000000
2023-04-21,CDM,CDM,615.0000000000,615.0000000000,615.0000000000,615.0000000000,200.0000000000,123000.0000000000,2,6691946610.0000000000
2023-04-25,CDM,CDM,,615.0000000000,,,,,0,6691946610.0000000000
2023-04-26,CDM,CDM,630.0000000000,630.0000000000,630.0000000000,630.0000000000,47.0000000000,29610.0000000000,2,6855164820.0000000000
2023-04-27,CDM,CDM,,630.0000000000,,,,,0,6855164820.0000000000
2023-04-28,CDM,CDM,,630.0000000000,,,,,0,6855164820.0000000000
