Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-12-18,CFG,CFG,120.9500000000,120.9500000000,120.9500000000,120.9500000000,1050.0000000000,126997.5000000000,6,4234212762.0000000000
2023-12-19,CFG,CFG,133.0000000000,133.0000000000,133.0000000000,133.0000000000,1072641.0000000000,142661253.0000000000,65,4656058680.0000000000
2023-12-20,CFG,CFG,146.2500000000,146.2500000000,146.2500000000,146.2500000000,1540604.0000000000,225313335.0000000000,1770,5119914150.0000000000
2023-12-21,CFG,CFG,148.9000000000,140.7000000000,148.9000000000,140.5500000000,510479.0000000000,74527471.7500000000,2731,4925619972.0000000000
2023-12-22,CFG,CFG,140.0000000000,141.0000000000,143.9000000000,138.0000000000,215922.0000000000,30454683.9500000000,1150,4936122360.0000000000
2023-12-25,CFG,CFG,142.0000000000,139.5000000000,142.5500000000,139.5000000000,132486.0000000000,18682168.7500000000,493,4883610420.0000000000
2023-12-26,CFG,CFG,139.0000000000,140.0000000000,140.0000000000,139.0000000000,102937.0000000000,14341059.9500000000,450,4901114400.0000000000
2023-12-27,CFG,CFG,139.1500000000,140.5000000000,141.3000000000,139.1500000000,44302.0000000000,6217808.0000000000,308,4918618380.0000000000
2023-12-28,CFG,CFG,140.1000000000,141.0000000000,141.5000000000,140.0000000000,72927.0000000000,10237843.7000000000,292,4936122360.0000000000
2023-12-29,CFG,CFG,141.0000000000,141.5000000000,142.0000000000,141.0000000000,397669.0000000000,56170734.7000000000,316,4953626340.0000000000
2024-01-02,CFG,CFG,141.5000000000,146.0000000000,146.0000000000,141.2000000000,1273570.0000000000,182525247.2500000000,597,5111162160.0000000000
2024-01-03,CFG,CFG,144.5500000000,148.0500000000,148.4500000000,144.5500000000,276798.0000000000,40290977.3500000000,481,5182928478.0000000000
2024-01-04,CFG,CFG,148.1000000000,149.5000000000,149.5000000000,148.1000000000,126960.0000000000,18922288.1000000000,419,5233690020.0000000000
2024-01-05,CFG,CFG,149.7000000000,156.2500000000,156.2500000000,149.1500000000,197450.0000000000,30094428.6000000000,791,5469993750.0000000000
2024-01-08,CFG,CFG,156.5000000000,157.0000000000,159.0000000000,156.0000000000,77559.0000000000,12207841.0500000000,457,5496249720.0000000000
2024-01-09,CFG,CFG,157.0000000000,153.1000000000,157.0000000000,151.0000000000,65107.0000000000,10085132.3000000000,294,5359718676.0000000000
2024-01-10,CFG,CFG,155.0000000000,155.0000000000,156.0000000000,153.1500000000,83691.0000000000,12924329.4000000000,250,5426233800.0000000000
2024-01-12,CFG,CFG,155.0000000000,153.6000000000,155.0000000000,153.5000000000,45636.0000000000,7030492.2000000000,254,5377222656.0000000000
2024-01-15,CFG,CFG,153.6500000000,152.3000000000,153.9000000000,152.0500000000,17333.0000000000,2651455.7500000000,164,5331712308.0000000000
2024-01-16,CFG,CFG,153.5000000000,152.2000000000,153.9000000000,152.0000000000,77625.0000000000,11870858.7500000000,180,5328211512.0000000000
2024-01-17,CFG,CFG,151.9000000000,152.0000000000,152.2000000000,151.1000000000,55364.0000000000,8400710.8500000000,219,5321209920.0000000000
2024-01-18,CFG,CFG,151.1000000000,153.5000000000,153.6500000000,151.0000000000,48572.0000000000,7399177.5000000000,223,5373721860.0000000000
2024-01-19,CFG,CFG,153.1000000000,156.0000000000,156.0000000000,153.0000000000,63300.0000000000,9793096.7000000000,298,5461241760.0000000000
2024-01-22,CFG,CFG,156.0000000000,155.1500000000,156.0000000000,154.1500000000,26952.0000000000,4181039.4000000000,108,5431484994.0000000000
2024-01-23,CFG,CFG,154.2000000000,155.0000000000,155.5000000000,154.0000000000,11607.0000000000,1792638.1000000000,125,5426233800.0000000000
2024-01-24,CFG,CFG,153.0000000000,154.5000000000,155.0000000000,153.0000000000,60025.0000000000,9288540.0000000000,144,5408729820.0000000000
2024-01-25,CFG,CFG,153.2000000000,153.0000000000,154.0000000000,153.0000000000,4857.0000000000,744392.8500000000,69,5356217880.0000000000
2024-01-26,CFG,CFG,153.0000000000,152.3500000000,153.8000000000,152.2000000000,17252.0000000000,2629933.1000000000,99,5333462706.0000000000
2024-01-29,CFG,CFG,152.9000000000,152.0500000000,152.9000000000,152.0000000000,14753.0000000000,2246648.1500000000,115,5322960318.0000000000
2024-01-30,CFG,CFG,151.9500000000,150.9000000000,152.0000000000,150.1000000000,23345.0000000000,3522425.9000000000,129,5282701164.0000000000
2024-01-31,CFG,CFG,150.2500000000,149.6000000000,150.3000000000,148.5000000000,25329.0000000000,3788103.6500000000,198,5237190816.0000000000
2024-02-01,CFG,CFG,149.0000000000,149.0000000000,150.5000000000,149.0000000000,25739.0000000000,3846184.1000000000,134,5216186040.0000000000
