Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2026-04-03,CIH,CIH,367.0000000000,364.5000000000,367.0000000000,360.0000000000,18840.0000000000,6864805.7000000000,28,12978249948.0000000000
2026-04-02,CIH,CIH,366.0000000000,360.2000000000,366.0000000000,356.0500000000,2981.0000000000,1084185.9000000000,42,12825145764.8000000000
2026-04-01,CIH,CIH,365.0000000000,366.9000000000,370.0000000000,364.0000000000,1870.0000000000,685442.8500000000,37,13063703445.6000000000
2026-03-31,CIH,CIH,369.9500000000,363.6000000000,369.9500000000,352.5000000000,2880.0000000000,1022842.7000000000,35,12946204886.4000000000
2026-03-30,CIH,CIH,365.0000000000,364.0000000000,365.0000000000,359.0000000000,766.0000000000,277475.4000000000,31,12960447136.0000000000
2026-03-27,CIH,CIH,362.0000000000,359.9000000000,370.0000000000,359.9000000000,11313.0000000000,4078304.8000000000,84,12814464077.6000000000
2026-03-26,CIH,CIH,375.0000000000,361.0000000000,377.9000000000,361.0000000000,22716.0000000000,8311325.4000000000,51,12853630264.0000000000
2026-03-25,CIH,CIH,368.9000000000,369.0000000000,371.0000000000,361.0000000000,36827.0000000000,13304076.4000000000,53,13138475256.0000000000
2026-03-24,CIH,CIH,389.5000000000,361.0000000000,389.5000000000,361.0000000000,6433.0000000000,2330097.9000000000,45,12853630264.0000000000
2026-03-19,CIH,CIH,373.0000000000,370.0000000000,385.0000000000,370.0000000000,2823.0000000000,1048093.1000000000,39,13174080880.0000000000
2026-03-18,CIH,CIH,376.1000000000,385.0000000000,385.0000000000,376.1000000000,463.0000000000,175274.4000000000,20,13708165240.0000000000
2026-03-17,CIH,CIH,370.0000000000,376.0000000000,376.0000000000,370.0000000000,302.0000000000,112592.5000000000,17,13387714624.0000000000
2026-03-16,CIH,CIH,369.9000000000,369.0000000000,369.9000000000,360.0000000000,672.0000000000,245488.9500000000,21,13138475256.0000000000
2026-03-13,CIH,CIH,363.6000000000,360.0000000000,364.8500000000,358.0000000000,25933.0000000000,9337032.1500000000,76,12818024640.0000000000
2026-03-12,CIH,CIH,370.0000000000,360.0000000000,375.9000000000,360.0000000000,2089.0000000000,753160.8000000000,32,12818024640.0000000000
2026-03-11,CIH,CIH,378.9500000000,364.0500000000,378.9500000000,364.0500000000,1502.0000000000,550796.0500000000,46,12962227417.2000000000
2026-03-10,CIH,CIH,388.5000000000,365.0000000000,388.5000000000,365.0000000000,12191.0000000000,4465299.6000000000,41,12996052760.0000000000
2026-03-09,CIH,CIH,375.0000000000,374.0000000000,383.0000000000,367.0000000000,2340.0000000000,872184.1000000000,43,13316503376.0000000000
2026-03-06,CIH,CIH,392.8000000000,380.0000000000,392.8000000000,374.0000000000,19542.0000000000,7413761.8000000000,71,13530137120.0000000000
2026-03-05,CIH,CIH,362.0000000000,380.0000000000,380.0000000000,360.0000000000,7410.0000000000,2768546.2000000000,77,13530137120.0000000000
2026-03-04,CIH,CIH,355.0000000000,361.8000000000,373.0000000000,355.0000000000,20970.0000000000,7557748.9000000000,114,12882114763.2000000000
2026-03-03,CIH,CIH,377.0000000000,340.0000000000,383.0000000000,340.0000000000,80453.0000000000,27396718.5500000000,120,12105912160.0000000000
2026-03-02,CIH,CIH,375.0000000000,375.0000000000,390.0000000000,371.0500000000,14605.0000000000,5480511.6000000000,111,13352109000.0000000000
2026-02-27,CIH,CIH,404.9000000000,400.0000000000,405.0000000000,393.1000000000,15232.0000000000,6092318.7000000000,35,14242249600.0000000000
2026-02-26,CIH,CIH,404.4000000000,405.0000000000,405.0000000000,396.0000000000,4140.0000000000,1658198.0000000000,29,14420277720.0000000000
2026-02-25,CIH,CIH,396.1000000000,398.0000000000,404.7000000000,396.1000000000,8967.0000000000,3578261.0000000000,33,14171038352.0000000000
2026-02-24,CIH,CIH,404.9500000000,400.0000000000,405.0000000000,395.0000000000,17937.0000000000,7173424.0500000000,26,14242249600.0000000000
2026-02-23,CIH,CIH,396.0500000000,405.0000000000,406.9000000000,396.0500000000,290.0000000000,115522.9000000000,15,14420277720.0000000000
2026-02-20,CIH,CIH,400.5000000000,405.0000000000,407.8500000000,400.0000000000,38073.0000000000,15413383.0000000000,28,14420277720.0000000000
2026-02-19,CIH,CIH,401.0000000000,405.0000000000,407.9000000000,395.0000000000,27859.0000000000,11268356.5500000000,43,14420277720.0000000000
2026-02-18,CIH,CIH,407.9000000000,405.0000000000,407.9000000000,402.2000000000,30966.0000000000,12541312.4000000000,23,14420277720.0000000000
2026-02-17,CIH,CIH,400.0000000000,407.9000000000,408.5000000000,400.0000000000,30671.0000000000,12389666.9000000000,29,14523534029.6000000000
2026-02-16,CIH,CIH,408.0000000000,408.0000000000,408.0000000000,396.2500000000,15973.0000000000,6509724.4000000000,59,14527094592.0000000000
2026-02-13,CIH,CIH,400.0000000000,407.9000000000,407.9000000000,396.0000000000,15326.0000000000,6245357.7000000000,41,14523534029.6000000000
2026-02-12,CIH,CIH,399.9000000000,400.0000000000,400.0000000000,395.0000000000,5643.0000000000,2257164.6000000000,24,14242249600.0000000000
2026-02-11,CIH,CIH,400.0000000000,399.9000000000,400.0000000000,390.0000000000,400.0000000000,157369.6500000000,13,14238689037.6000000000
2026-02-10,CIH,CIH,390.0000000000,400.0000000000,400.0000000000,386.2500000000,3912.0000000000,1557972.3000000000,57,14242249600.0000000000
2026-02-09,CIH,CIH,391.1000000000,393.0000000000,399.4500000000,391.1000000000,2422.0000000000,949907.9000000000,34,13993010232.0000000000
2026-02-06,CIH,CIH,396.9500000000,400.0000000000,400.0000000000,390.0000000000,11699.0000000000,4652947.7000000000,59,14242249600.0000000000
2026-02-05,CIH,CIH,397.0000000000,396.6000000000,397.0000000000,394.0000000000,173.0000000000,68361.3000000000,25,14121190478.4000000000
2026-02-04,CIH,CIH,386.1000000000,396.9500000000,397.4000000000,386.1000000000,1662.0000000000,643805.0000000000,35,14133652446.8000000000
2026-02-03,CIH,CIH,398.0000000000,390.0000000000,398.0000000000,390.0000000000,9161.0000000000,3573803.4500000000,60,13886193360.0000000000
2026-02-02,CIH,CIH,399.0000000000,397.0000000000,399.0000000000,381.0000000000,1768.0000000000,694701.6000000000,51,14135432728.0000000000
2026-01-30,CIH,CIH,400.0000000000,399.0000000000,400.0000000000,394.0000000000,2344.0000000000,927480.5000000000,23,14206643976.0000000000
2026-01-29,CIH,CIH,400.0000000000,399.9000000000,400.0000000000,395.0000000000,1582.0000000000,630023.9500000000,45,14238689037.6000000000
2026-01-28,CIH,CIH,396.0000000000,400.0000000000,400.0000000000,396.0000000000,486.0000000000,192926.8000000000,33,14242249600.0000000000
2026-01-27,CIH,CIH,390.2000000000,395.5000000000,398.4500000000,390.2000000000,1788.0000000000,702612.9000000000,30,14082024292.0000000000
2026-01-26,CIH,CIH,392.0500000000,391.5000000000,398.4500000000,390.1000000000,868.0000000000,341674.9500000000,55,13939601796.0000000000
2026-01-23,CIH,CIH,405.0000000000,391.0000000000,405.1000000000,391.0000000000,22399.0000000000,8780493.7000000000,105,13921798984.0000000000
2026-01-22,CIH,CIH,405.0000000000,405.0000000000,405.0000000000,398.0000000000,4035.0000000000,1606229.0000000000,14,14420277720.0000000000
2026-01-21,CIH,CIH,400.0000000000,393.0000000000,402.0000000000,390.0000000000,1975.0000000000,786030.2500000000,77,13993010232.0000000000
2026-01-20,CIH,CIH,404.0000000000,400.0500000000,404.0000000000,400.0500000000,34113.0000000000,13678737.1000000000,71,14244029881.2000000000
2026-01-19,CIH,CIH,405.0000000000,402.1000000000,407.8500000000,402.1000000000,46709.0000000000,18903259.3500000000,354,14317021410.4000000000
2026-01-16,CIH,CIH,409.0000000000,405.0000000000,409.3000000000,404.0000000000,7336.0000000000,2971018.7000000000,33,14420277720.0000000000
2026-01-15,CIH,CIH,409.6000000000,406.0000000000,409.6000000000,401.0500000000,15894.0000000000,6451691.3000000000,47,14455883344.0000000000
2026-01-13,CIH,CIH,408.9000000000,405.0000000000,408.9000000000,405.0000000000,44157.0000000000,17894660.4000000000,76,14420277720.0000000000
2026-01-12,CIH,CIH,410.1000000000,407.5000000000,414.0000000000,407.5000000000,15323.0000000000,6253918.5500000000,33,14509291780.0000000000
2026-01-09,CIH,CIH,408.5000000000,408.0000000000,412.0000000000,406.0000000000,23216.0000000000,9485290.0000000000,34,14527094592.0000000000
2026-01-08,CIH,CIH,410.0000000000,408.9000000000,413.8000000000,408.5000000000,12259.0000000000,5018708.4000000000,15,14559139653.6000000000
2026-01-07,CIH,CIH,410.0000000000,410.0000000000,412.0000000000,410.0000000000,12381.0000000000,5079085.0000000000,25,14598305840.0000000000
2026-01-06,CIH,CIH,416.9000000000,408.5500000000,416.9000000000,408.5500000000,44796.0000000000,18399036.9000000000,58,14546677685.2000000000
2026-01-05,CIH,CIH,405.5000000000,408.0000000000,415.9000000000,405.5000000000,12462.0000000000,5084817.7000000000,60,14527094592.0000000000
2026-01-02,CIH,CIH,416.9500000000,413.5000000000,417.0000000000,405.1000000000,15323.0000000000,6319617.1000000000,56,14722925524.0000000000
2025-12-31,CIH,CIH,414.9500000000,415.0000000000,415.0000000000,403.0000000000,14390.0000000000,5952662.1000000000,86,14776333960.0000000000
2025-12-30,CIH,CIH,416.2500000000,413.9500000000,416.9000000000,400.2000000000,11285.0000000000,4614646.1000000000,45,14738948054.8000000000
2025-12-29,CIH,CIH,410.0000000000,415.0000000000,415.0000000000,395.9000000000,387788.0000000000,157509081.7000000000,128,14776333960.0000000000
2025-12-26,CIH,CIH,411.0500000000,414.0000000000,414.7000000000,408.0000000000,16774.0000000000,6936664.7500000000,47,14740728336.0000000000
2025-12-25,CIH,CIH,410.6000000000,411.3000000000,416.9000000000,410.6000000000,34813.0000000000,14436590.6500000000,17,14644593151.2000000000
2025-12-24,CIH,CIH,411.0000000000,411.0000000000,414.8000000000,411.0000000000,2052.0000000000,843379.6000000000,9,14633911464.0000000000
2025-12-23,CIH,CIH,412.2000000000,411.0000000000,419.0000000000,407.2500000000,7134.0000000000,2925024.1000000000,17,14633911464.0000000000
2025-12-22,CIH,CIH,420.9000000000,412.2000000000,420.9000000000,410.0000000000,1014.0000000000,423840.4500000000,33,14676638212.8000000000
2025-12-19,CIH,CIH,412.0000000000,420.0000000000,420.0000000000,408.7000000000,33400.0000000000,13842132.1000000000,60,14954362080.0000000000
2025-12-18,CIH,CIH,414.0000000000,412.0000000000,414.4000000000,412.0000000000,29395.0000000000,12112032.9500000000,41,14669517088.0000000000
2025-12-17,CIH,CIH,414.3000000000,411.0000000000,414.3000000000,410.0000000000,12271.0000000000,5034861.5000000000,26,14633911464.0000000000
2025-12-16,CIH,CIH,411.0000000000,410.0000000000,414.0000000000,410.0000000000,1051.0000000000,432169.0000000000,23,14598305840.0000000000
2025-12-15,CIH,CIH,415.0000000000,411.0000000000,415.0000000000,409.0000000000,3219.0000000000,1323567.1500000000,40,14633911464.0000000000
2025-12-12,CIH,CIH,415.0000000000,414.7500000000,415.0000000000,407.5000000000,2608.0000000000,1081061.9000000000,23,14767432554.0000000000
2025-12-11,CIH,CIH,411.0000000000,415.0000000000,415.0000000000,405.1500000000,2480.0000000000,1022910.8500000000,30,14776333960.0000000000
2025-12-10,CIH,CIH,415.5000000000,415.8000000000,415.8000000000,410.0000000000,969.0000000000,401635.1500000000,21,14804818459.2000000000
2025-12-09,CIH,CIH,411.0000000000,415.8000000000,415.8000000000,411.0000000000,118.0000000000,48931.4000000000,14,14804818459.2000000000
2025-12-08,CIH,CIH,416.9000000000,416.0000000000,416.9000000000,410.3000000000,435.0000000000,180966.3000000000,15,14811939584.0000000000
2025-12-05,CIH,CIH,409.0000000000,415.0000000000,415.0000000000,405.1000000000,5635.0000000000,2328775.2500000000,40,14776333960.0000000000
2025-12-04,CIH,CIH,409.0000000000,407.0000000000,409.0000000000,405.0000000000,778.0000000000,315616.1500000000,16,14491488968.0000000000
2025-12-03,CIH,CIH,408.0000000000,407.0000000000,409.0000000000,405.0000000000,18384.0000000000,7482225.6000000000,20,14491488968.0000000000
2025-12-02,CIH,CIH,402.0000000000,404.0000000000,408.9000000000,402.0000000000,52181.0000000000,21129107.4000000000,57,14384672096.0000000000
2025-12-01,CIH,CIH,409.0000000000,409.0000000000,409.0000000000,405.0000000000,24999.0000000000,10132480.4500000000,51,14562700216.0000000000
2025-11-28,CIH,CIH,409.5000000000,402.0000000000,409.5000000000,401.0000000000,5522.0000000000,2221853.6500000000,20,14313460848.0000000000
2025-11-27,CIH,CIH,405.0000000000,401.0000000000,409.0000000000,401.0000000000,10756.0000000000,4332392.0000000000,32,14277855224.0000000000
2025-11-26,CIH,CIH,408.8500000000,409.0000000000,409.0000000000,408.5000000000,1143.0000000000,467475.6000000000,9,14562700216.0000000000
2025-11-25,CIH,CIH,402.2000000000,403.1000000000,408.5000000000,402.2000000000,7109.0000000000,2864157.2500000000,22,14352627034.4000000000
2025-11-24,CIH,CIH,401.0000000000,405.0000000000,411.8000000000,401.0000000000,1288.0000000000,521122.3000000000,26,14420277720.0000000000
2025-11-21,CIH,CIH,401.0000000000,410.0000000000,412.0000000000,401.0000000000,16731.0000000000,6809037.0000000000,17,14598305840.0000000000
2025-11-20,CIH,CIH,410.0000000000,401.0000000000,412.0000000000,401.0000000000,7807.0000000000,3157947.0000000000,44,14277855224.0000000000
2025-11-19,CIH,CIH,410.5500000000,410.3500000000,411.0000000000,410.3500000000,321.0000000000,131798.6500000000,14,14610767808.4000000000
2025-11-17,CIH,CIH,415.2000000000,416.0000000000,420.0000000000,413.0000000000,465.0000000000,193476.4500000000,15,14811939584.0000000000
2025-11-14,CIH,CIH,412.2000000000,420.0000000000,424.0000000000,412.2000000000,8299.0000000000,3485447.6000000000,16,14954362080.0000000000
2025-11-13,CIH,CIH,410.1000000000,424.9000000000,424.9000000000,410.1000000000,2525.0000000000,1063602.5000000000,11,15128829637.6000000000
2025-11-12,CIH,CIH,416.0000000000,420.0000000000,420.0000000000,416.0000000000,140.0000000000,58306.0000000000,6,14954362080.0000000000
2025-11-11,CIH,CIH,416.5000000000,418.0000000000,420.0000000000,411.2000000000,1116.0000000000,464911.3500000000,34,14883150832.0000000000
2025-11-10,CIH,CIH,427.8000000000,427.8000000000,427.8000000000,427.8000000000,80.0000000000,34224.0000000000,1,15232085947.2000000000
2025-11-07,CIH,CIH,417.0000000000,428.4000000000,428.7000000000,417.0000000000,1951.0000000000,825488.7000000000,21,15253449321.6000000000
2025-11-05,CIH,CIH,429.4500000000,428.9000000000,429.4500000000,419.0000000000,1953.0000000000,834645.2500000000,30,15271252133.6000000000
2025-11-04,CIH,CIH,418.1000000000,429.4500000000,429.8000000000,418.1000000000,117.0000000000,50261.8000000000,6,15290835226.8000000000
