date,open,high,low,close,volume
2021-04-02,261.0,265.0,261.0,265.0,1263
2021-04-05,261.5,261.5,260.0,261.5,5149
2021-04-06,260.0,261.0,260.0,261.0,333
2021-04-07,260.05,260.05,260.05,260.05,43
2021-04-09,260.1,265.0,260.1,265.0,8102
2021-04-12,264.0,264.0,258.0,258.0,4420
2021-04-13,265.0,265.0,265.0,265.0,400
2021-04-20,260.5,260.5,260.0,260.0,2600
2021-04-21,258.2,261.0,258.2,261.0,55
2021-04-22,262.0,263.0,262.0,262.0,15000
2021-04-23,264.5,264.5,262.0,262.0,5028
2021-04-26,262.0,262.0,262.0,262.0,3509
2021-04-27,262.0,264.5,262.0,264.5,11800
2021-04-28,261.8,264.9,261.0,264.9,476
2021-04-30,264.9,264.9,264.5,264.5,580
2021-05-03,264.9,264.9,262.15,262.15,4509
2021-05-04,265.0,265.0,265.0,265.0,5300
2021-05-05,265.0,265.0,265.0,265.0,1538
2021-05-06,265.5,270.0,265.0,269.0,72645
2021-05-07,269.9,270.0,269.9,270.0,10333
2021-05-10,269.95,272.0,269.95,270.0,1272
2021-05-11,269.5,271.0,269.5,271.0,254
2021-05-12,269.9,271.0,269.9,271.0,310
2021-05-17,272.0,280.0,272.0,279.0,4234
2021-05-18,279.0,279.0,271.1,276.0,293
2021-05-19,276.0,279.5,276.0,276.1,14023
2021-05-20,271.1,276.0,271.1,276.0,98
2021-05-21,279.9,279.9,276.0,278.95,2003
2021-05-24,279.9,279.9,279.9,279.9,1
2021-05-26,276.0,278.5,270.0,278.5,89
2021-05-27,278.0,278.0,278.0,278.0,180
2021-05-28,277.9,277.9,277.9,277.9,20
2021-05-31,277.0,277.0,270.0,275.95,1316
2021-06-01,275.95,276.95,275.95,276.95,1513
2021-06-02,274.0,274.1,274.0,274.0,12521
2021-06-03,276.9,276.9,274.0,276.0,20788
2021-06-04,271.1,276.0,271.1,275.0,31562
2021-06-07,272.0,272.0,272.0,272.0,50
2021-06-08,277.4,277.4,277.4,277.4,30
2021-06-09,275.0,275.0,271.1,271.1,127
2021-06-10,273.0,273.0,273.0,273.0,400
2021-06-11,276.0,276.0,276.0,276.0,1
2021-06-14,273.6,273.6,272.0,272.05,5328
2021-06-15,271.1,272.5,270.5,272.5,13255
2021-06-16,270.5,272.5,270.5,272.5,16042
2021-06-17,270.0,272.4,270.0,272.4,21
2021-06-18,272.0,280.0,272.0,280.0,6592
2021-06-21,281.0,281.0,273.05,273.05,1703
2021-06-22,273.5,273.5,273.5,273.5,388
2021-06-23,273.5,273.5,273.1,273.1,1510
2021-06-24,276.0,276.0,275.0,275.0,16400
2021-06-25,275.0,276.9,273.1,273.1,16215
2021-06-28,276.0,276.0,276.0,276.0,5
2021-06-29,275.0,275.0,275.0,275.0,6800
2021-06-30,275.0,275.0,274.0,274.0,2395
2021-07-01,275.0,275.0,275.0,275.0,5500
2021-07-02,274.0,277.0,274.0,277.0,1021
2021-07-05,277.0,277.0,274.0,274.0,743
2021-07-06,274.0,275.0,274.0,275.0,2100
2021-07-07,277.0,277.0,277.0,277.0,22
2021-07-08,275.0,277.95,269.55,277.95,2449
2021-07-09,275.0,275.0,271.0,271.0,254
2021-07-12,277.3,277.3,271.5,271.5,20001
2021-07-13,274.0,282.35,272.5,282.35,1610
2021-07-14,283.0,293.6,283.0,290.0,3618
2021-07-15,288.0,288.0,281.0,281.0,84
2021-07-16,281.0,284.95,278.1,278.1,2931
2021-07-19,277.0,280.0,277.0,280.0,1900
2021-07-20,279.0,279.0,279.0,279.0,731
2021-07-23,283.8,283.8,283.8,283.8,152
2021-07-26,279.05,279.05,276.0,276.0,175
2021-07-27,283.85,283.85,280.0,280.0,201
2021-07-29,278.0,278.5,278.0,278.5,164
2021-08-02,278.05,280.0,278.0,280.0,1218
2021-08-03,280.0,280.0,280.0,280.0,190
2021-08-04,277.05,281.9,275.0,281.85,2860
2021-08-05,280.0,284.0,280.0,284.0,28
2021-08-06,283.8,283.8,283.8,283.8,132
2021-08-09,284.0,284.0,283.0,283.0,16
2021-08-12,277.0,277.0,277.0,277.0,350
2021-08-13,282.0,283.0,272.05,283.0,1438
2021-08-17,284.0,288.0,283.0,283.0,2285
2021-08-19,283.0,284.95,283.0,284.95,18
2021-08-23,282.0,282.0,282.0,282.0,1000
2021-08-24,278.0,284.0,278.0,284.0,9
2021-08-25,278.05,283.45,273.0,283.45,511
2021-08-26,284.45,284.45,284.45,284.45,1
2021-08-27,275.05,285.95,275.05,285.95,5744
2021-08-30,277.4,277.4,277.4,277.4,53
2021-08-31,284.9,284.9,279.3,284.0,1005
2021-09-02,280.0,280.0,280.0,280.0,50
2021-09-03,283.95,283.95,283.95,283.95,500
2021-09-06,283.95,286.0,283.95,286.0,100
2021-09-08,283.0,283.0,282.0,282.0,1475
2021-09-09,280.5,288.0,280.0,288.0,2257
2021-09-13,282.05,282.1,282.05,282.1,30
2021-09-14,288.0,288.0,287.0,287.0,90
2021-09-15,282.3,285.0,281.0,285.0,1911
2021-09-16,286.0,286.0,286.0,286.0,1501
2021-09-17,290.0,297.0,290.0,296.4,12232
2021-09-20,295.0,295.0,295.0,295.0,260
2021-09-21,291.0,298.5,291.0,295.0,776
2021-09-22,296.5,302.0,296.5,301.0,14296
2021-09-23,300.0,305.0,300.0,305.0,5093
2021-09-24,300.0,313.0,300.0,313.0,18912
2021-09-27,301.6,314.0,301.6,310.0,245
2021-09-28,305.05,312.0,305.05,305.8,6057
2021-09-29,310.0,310.0,310.0,310.0,253
2021-09-30,310.0,322.0,310.0,322.0,16382
2021-10-01,322.0,325.0,315.0,315.0,7303
2021-10-04,325.0,325.0,315.1,316.1,953
2021-10-05,320.0,320.0,315.0,317.0,19363
2021-10-06,316.0,320.0,316.0,317.0,1397
2021-10-07,320.0,322.0,317.2,317.25,178
2021-10-08,319.0,324.0,318.0,318.0,1983
2021-10-11,319.0,319.0,318.0,318.0,50
2021-10-12,323.0,323.0,315.0,315.1,749
2021-10-13,315.5,320.0,315.1,320.0,5542
2021-10-14,317.0,320.0,317.0,320.0,1047
2021-10-15,315.0,321.85,314.0,320.95,2703
2021-10-18,317.0,325.0,316.0,325.0,31831
2021-10-22,321.1,333.0,321.1,333.0,41177
2021-10-25,335.5,338.0,327.0,338.0,1290
2021-10-26,338.0,340.0,335.0,336.15,32711
2021-10-27,340.0,349.0,340.0,348.45,693
2021-10-28,355.0,355.0,349.0,351.0,3855
2021-10-29,350.0,350.0,345.2,349.0,4534
2021-11-01,350.0,350.0,346.0,350.0,146
2021-11-02,349.0,349.0,349.0,349.0,2
2021-11-03,346.0,346.2,346.0,346.0,55
2021-11-04,342.0,342.0,340.0,340.0,2492
2021-11-05,340.0,344.85,339.7,339.7,1070
2021-11-08,339.0,339.0,339.0,339.0,5
2021-11-09,335.0,339.7,330.5,332.0,702
2021-11-10,339.75,339.75,339.75,339.75,15
2021-11-11,332.2,338.95,332.0,338.95,2086
2021-11-12,336.9,337.0,336.9,337.0,510
2021-11-15,333.1,339.9,333.0,339.9,89
2021-11-16,334.0,334.0,334.0,334.0,3000
2021-11-17,334.0,339.0,333.1,339.0,310
2021-11-19,335.0,336.0,335.0,335.0,5521
2021-11-22,335.0,339.0,335.0,338.9,12330
2021-11-23,335.0,335.5,335.0,335.5,699
2021-11-24,333.5,338.9,333.5,338.45,70
2021-11-26,335.0,335.0,330.0,330.0,12879
2021-11-29,330.0,330.0,329.0,329.45,6850
2021-11-30,329.45,335.0,323.0,335.0,5443
2021-12-01,333.7,334.0,333.7,333.7,166
2021-12-02,330.5,334.0,330.5,334.0,312
2021-12-03,330.7,335.0,330.0,335.0,6048
2021-12-06,332.0,337.5,331.0,331.0,445
2021-12-07,330.0,330.0,330.0,330.0,3
2021-12-08,329.0,333.0,329.0,333.0,145
2021-12-09,330.0,334.0,330.0,334.0,805
2021-12-10,334.0,339.0,334.0,339.0,2423
2021-12-13,339.0,339.0,339.0,339.0,200
2021-12-15,338.9,338.9,338.0,338.0,283
2021-12-16,332.1,338.0,332.0,338.0,212
2021-12-20,330.0,333.0,330.0,333.0,327
2021-12-21,331.0,335.0,330.0,335.0,824
2021-12-22,330.1,334.9,330.05,334.9,1310
2021-12-23,334.0,334.0,331.9,334.0,3800
2021-12-24,333.95,333.95,333.95,333.95,2200
2021-12-27,332.0,334.0,330.5,334.0,3942
2021-12-28,337.0,337.0,330.1,330.1,715
2021-12-29,338.0,338.0,337.9,337.9,2000
2021-12-30,337.0,337.0,337.0,337.0,5000
2021-12-31,337.9,339.0,333.2,339.0,16625
2022-01-05,334.0,334.0,334.0,334.0,60
2022-01-06,336.5,340.0,336.1,340.0,537
2022-01-07,336.1,348.95,335.0,348.95,15743
2022-01-10,349.0,349.0,349.0,349.0,10
2022-01-12,347.0,348.95,347.0,348.95,5003
2022-01-13,348.0,350.0,348.0,348.0,5220
2022-01-14,350.0,350.0,348.05,350.0,11507
2022-01-17,350.0,350.0,345.0,349.5,21
2022-01-18,351.0,359.0,351.0,355.0,22170
2022-01-19,355.0,355.5,345.0,354.0,10500
2022-01-20,353.9,354.0,350.0,350.0,208
2022-01-21,350.0,353.0,350.0,353.0,12844
2022-01-24,350.0,350.0,348.0,349.0,2894
2022-01-25,348.0,350.0,348.0,350.0,1355
2022-01-26,349.0,349.0,342.0,349.0,94
2022-01-27,347.0,347.0,345.1,347.0,2192
2022-01-28,349.0,349.0,347.0,349.0,932
2022-01-31,345.0,345.0,345.0,345.0,4
2022-02-01,346.5,349.0,346.5,346.5,28
2022-02-02,348.9,350.0,347.0,350.0,1850
2022-02-03,350.0,350.0,349.5,350.0,136
2022-02-04,352.0,355.0,350.0,350.0,5664
2022-02-07,350.0,350.0,350.0,350.0,10
2022-02-08,346.0,346.0,346.0,346.0,200
2022-02-09,349.0,350.1,349.0,350.1,1900
2022-02-10,358.5,358.5,350.0,358.4,452734
2022-02-11,354.0,358.4,354.0,355.0,416
2022-02-14,355.0,359.5,350.0,350.0,3906
2022-02-15,358.5,358.5,358.5,358.5,2
2022-02-16,348.0,348.0,348.0,348.0,15
2022-02-17,348.4,349.0,348.25,349.0,1570
2022-02-18,355.0,355.0,350.0,355.0,10100
2022-02-22,351.6,351.6,351.0,351.0,1205
2022-02-23,347.5,350.0,347.5,350.0,5015
2022-02-24,347.85,348.0,337.0,347.0,5561
2022-02-25,355.0,355.0,326.2,355.0,2609
2022-02-28,358.0,358.0,358.0,358.0,100
2022-03-01,355.0,355.0,355.0,355.0,6
2022-03-02,350.0,354.0,350.0,354.0,154
2022-03-04,350.0,355.0,340.1,355.0,3318
2022-03-07,352.0,352.0,352.0,352.0,109
2022-03-08,350.0,350.0,331.0,340.0,26597
2022-03-09,343.95,347.9,338.0,341.0,13908
2022-03-10,341.0,341.0,341.0,341.0,7500
2022-03-11,342.0,345.0,340.0,345.0,5409
2022-03-14,350.0,350.0,342.0,342.0,50
2022-03-15,340.0,342.0,340.0,340.0,180
2022-03-16,342.0,342.0,342.0,342.0,500
2022-03-17,342.0,342.05,342.0,342.05,1706
2022-03-18,342.0,345.0,342.0,345.0,2238
2022-03-21,342.0,343.0,340.0,343.0,3490
2022-03-22,340.0,341.0,340.0,340.0,10208
2022-03-23,343.0,344.0,330.0,330.0,1835
2022-03-24,332.5,332.5,332.5,332.5,3093
2022-03-25,332.0,340.0,330.0,340.0,3111
2022-03-29,340.0,348.0,340.0,340.0,2940
2022-03-30,343.0,343.0,343.0,343.0,161
2022-03-31,346.0,346.0,344.0,344.0,11038
2022-04-05,342.0,342.0,342.0,342.0,99
2022-04-06,345.0,345.0,343.0,344.0,15406
2022-04-07,344.0,344.4,335.2,344.4,404
2022-04-08,340.0,345.0,340.0,344.0,10014
2022-04-11,344.0,344.0,344.0,344.0,100
2022-04-12,344.0,344.0,336.0,344.0,83
2022-04-13,344.0,344.0,344.0,344.0,2869
2022-04-15,344.0,344.1,344.0,344.0,2350
2022-04-18,344.8,345.0,344.8,345.0,4600
2022-04-19,335.7,345.0,335.0,345.0,1790
2022-04-20,345.0,345.0,345.0,345.0,2470
2022-04-21,337.15,337.15,336.3,337.0,1325
2022-04-22,337.3,337.3,337.1,337.1,10
2022-04-25,345.8,345.8,345.8,345.8,40
2022-04-26,345.0,345.0,345.0,345.0,3577
2022-04-27,338.1,338.1,336.5,336.5,150
2022-04-28,341.0,341.0,341.0,341.0,4
2022-04-29,341.0,341.0,340.0,340.0,2966
2022-05-04,344.4,344.4,344.4,344.4,2
2022-05-05,342.0,342.0,342.0,342.0,10
2022-05-06,344.0,344.0,344.0,344.0,4
2022-05-09,337.0,337.0,337.0,337.0,12
2022-05-10,338.1,338.1,325.0,325.0,6598
2022-05-11,335.0,335.0,327.5,335.0,3
2022-05-12,336.9,336.9,330.05,335.0,105
2022-05-13,336.0,336.0,335.0,335.0,313
2022-05-17,330.1,336.9,330.0,332.0,491
