Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,CMA,CMA,1200.0000000000,1180.0000000000,1200.0000000000,1180.0000000000,723.0000000000,854105.0000000000,24,17034484720.0000000000
2023-04-04,CMA,CMA,1199.0000000000,1199.0000000000,1199.0000000000,1199.0000000000,20.0000000000,23980.0000000000,1,17308768796.0000000000
2023-04-05,CMA,CMA,1200.0000000000,1183.0000000000,1200.0000000000,1183.0000000000,233.0000000000,279090.0000000000,12,17077792732.0000000000
2023-04-06,CMA,CMA,1223.0000000000,1190.0000000000,1223.0000000000,1190.0000000000,35.0000000000,41755.0000000000,8,17178844760.0000000000
2023-04-07,CMA,CMA,1200.0000000000,1215.0000000000,1215.0000000000,1185.0000000000,2008.0000000000,2435911.0000000000,15,17539744860.0000000000
2023-04-10,CMA,CMA,1221.0000000000,1225.0000000000,1225.0000000000,1221.0000000000,15.0000000000,18327.0000000000,5,17684104900.0000000000
2023-04-11,CMA,CMA,1239.0000000000,1206.0000000000,1240.0000000000,1206.0000000000,121.0000000000,146264.0000000000,9,17409820824.0000000000
2023-04-12,CMA,CMA,1208.0000000000,1234.0000000000,1234.0000000000,1208.0000000000,22.0000000000,26862.0000000000,3,17814028936.0000000000
2023-04-13,CMA,CMA,1203.0000000000,1235.0000000000,1235.0000000000,1203.0000000000,658.0000000000,812025.0000000000,9,17828464940.0000000000
2023-04-14,CMA,CMA,1219.0000000000,1200.0000000000,1269.0000000000,1200.0000000000,324.0000000000,392219.0000000000,22,17323204800.0000000000
2023-04-17,CMA,CMA,,1200.0000000000,,,,,0,17323204800.0000000000
2023-04-18,CMA,CMA,1206.0000000000,1206.0000000000,1206.0000000000,1206.0000000000,157.0000000000,189342.0000000000,7,17409820824.0000000000
2023-04-19,CMA,CMA,1210.0000000000,1205.0000000000,1210.0000000000,1203.0000000000,82.0000000000,98830.0000000000,11,17395384820.0000000000
2023-04-20,CMA,CMA,1234.0000000000,1223.0000000000,1249.0000000000,1223.0000000000,653.0000000000,808760.0000000000,11,17655232892.0000000000
2023-04-21,CMA,CMA,1240.0000000000,1230.0000000000,1280.0000000000,1230.0000000000,480.0000000000,593837.0000000000,13,17756284920.0000000000
2023-04-25,CMA,CMA,1266.0000000000,1230.0000000000,1266.0000000000,1230.0000000000,4.0000000000,4992.0000000000,2,17756284920.0000000000
2023-04-26,CMA,CMA,,1230.0000000000,,,,,0,17756284920.0000000000
2023-04-27,CMA,CMA,1265.0000000000,1210.0000000000,1265.0000000000,1210.0000000000,134.0000000000,163740.0000000000,21,17467564840.0000000000
2023-04-28,CMA,CMA,1225.0000000000,1225.0000000000,1225.0000000000,1225.0000000000,316.0000000000,387100.0000000000,10,17684104900.0000000000
2023-05-02,CMA,CMA,1247.0000000000,1247.0000000000,1247.0000000000,1247.0000000000,81.0000000000,101007.0000000000,2,18001696988.0000000000
2023-05-03,CMA,CMA,1242.0000000000,1242.0000000000,1242.0000000000,1242.0000000000,1.0000000000,1242.0000000000,1,17929516968.0000000000
2023-05-04,CMA,CMA,1242.0000000000,1239.0000000000,1242.0000000000,1239.0000000000,4.0000000000,4965.0000000000,3,17886208956.0000000000
2023-05-05,CMA,CMA,1244.0000000000,1250.0000000000,1290.0000000000,1244.0000000000,2805.0000000000,3505622.0000000000,21,18045005000.0000000000
2023-05-08,CMA,CMA,1250.0000000000,1285.0000000000,1287.0000000000,1250.0000000000,885.0000000000,1125732.0000000000,15,18550265140.0000000000
2023-05-09,CMA,CMA,1290.0000000000,1303.0000000000,1320.0000000000,1290.0000000000,12750.0000000000,16613584.0000000000,44,18810113212.0000000000
2023-05-10,CMA,CMA,1301.0000000000,1315.0000000000,1320.0000000000,1300.0000000000,4905.0000000000,6451220.0000000000,19,18983345260.0000000000
2023-05-11,CMA,CMA,1320.0000000000,1350.0000000000,1350.0000000000,1320.0000000000,13312.0000000000,17895960.0000000000,32,19488605400.0000000000
2023-05-12,CMA,CMA,1357.0000000000,1360.0000000000,1388.0000000000,1357.0000000000,795.0000000000,1082171.0000000000,18,19632965440.0000000000
2023-05-15,CMA,CMA,1374.0000000000,1372.0000000000,1375.0000000000,1371.0000000000,211.0000000000,289576.0000000000,8,19806197488.0000000000
2023-05-16,CMA,CMA,1369.0000000000,1360.0000000000,1369.0000000000,1360.0000000000,5173.0000000000,7035325.0000000000,8,19632965440.0000000000
2023-05-17,CMA,CMA,1340.0000000000,1366.0000000000,1367.0000000000,1340.0000000000,318.0000000000,426373.0000000000,13,19719581464.0000000000
2023-05-18,CMA,CMA,1360.0000000000,1347.0000000000,1360.0000000000,1320.0000000000,799.0000000000,1080769.0000000000,15,19445297388.0000000000
2023-05-19,CMA,CMA,1313.0000000000,1339.0000000000,1340.0000000000,1300.0000000000,1446.0000000000,1936223.0000000000,12,19329809356.0000000000
2023-05-22,CMA,CMA,1339.0000000000,1339.0000000000,1339.0000000000,1339.0000000000,248.0000000000,332072.0000000000,2,19329809356.0000000000
