Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2024-12-16,CMG,CMG,219.9500000000,219.9500000000,219.9500000000,219.9500000000,23946.0000000000,5266922.7000000000,47,3739347955.0000000000
2024-12-17,CMG,CMG,241.9000000000,241.9000000000,241.9000000000,241.9000000000,9704.0000000000,2347397.6000000000,140,4112517710.0000000000
2024-12-18,CMG,CMG,266.0500000000,266.0500000000,266.0500000000,266.0500000000,235151.0000000000,62561923.5500000000,1235,4523089445.0000000000
2024-12-19,CMG,CMG,286.0000000000,275.1000000000,286.0000000000,275.1000000000,3029705.0000000000,847019214.3000100000,7357,4676947590.0000000000
2024-12-20,CMG,CMG,275.1000000000,277.4000000000,279.8500000000,275.1000000000,335155.0000000000,92762336.8000000000,2448,4716049660.0000000000
2024-12-23,CMG,CMG,275.1500000000,272.8500000000,277.0000000000,266.0500000000,120563.0000000000,32949653.5000000000,1587,4638695565.0000000000
2024-12-24,CMG,CMG,268.0000000000,267.0000000000,270.0000000000,267.0000000000,103209.0000000000,27675294.6000000000,1004,4539240300.0000000000
2024-12-25,CMG,CMG,268.0000000000,273.6500000000,276.5500000000,268.0000000000,119900.0000000000,32498376.4000000000,1051,4652296285.0000000000
2024-12-26,CMG,CMG,275.0000000000,277.0000000000,279.0000000000,273.5000000000,84787.0000000000,23438693.7500000000,715,4709249300.0000000000
2024-12-27,CMG,CMG,276.1000000000,277.4000000000,279.5000000000,275.0000000000,136354.0000000000,37826891.9500000000,548,4716049660.0000000000
2024-12-30,CMG,CMG,277.1000000000,277.8000000000,278.5000000000,276.0000000000,22532.0000000000,6247009.8500000000,321,4722850020.0000000000
2024-12-31,CMG,CMG,278.0500000000,290.0000000000,290.0000000000,278.0500000000,135891.0000000000,38627035.0500000000,1149,4930261000.0000000000
2025-01-02,CMG,CMG,297.1000000000,305.5000000000,315.0000000000,297.1000000000,452140.0000000000,136930096.5000000000,1105,5193774950.0000000000
2025-01-03,CMG,CMG,307.0000000000,315.0000000000,317.0000000000,307.0000000000,357804.0000000000,111435770.7500000000,940,5355283500.0000000000
2025-01-06,CMG,CMG,320.0000000000,317.9000000000,330.0000000000,315.0000000000,237533.0000000000,76297801.9000000000,854,5404586110.0000000000
2025-01-07,CMG,CMG,317.0500000000,344.0000000000,344.0000000000,315.0000000000,240607.0000000000,78031931.0500000000,830,5848309600.0000000000
2025-01-08,CMG,CMG,361.0000000000,362.7000000000,375.0000000000,359.0000000000,281459.0000000000,102585041.8500000000,1101,6166226430.0000000000
2025-01-09,CMG,CMG,364.9000000000,362.0000000000,375.0000000000,361.0000000000,144109.0000000000,52936162.0000000000,710,6154325800.0000000000
2025-01-10,CMG,CMG,363.0000000000,346.0000000000,365.0000000000,339.0000000000,247616.0000000000,86403722.7000000000,927,5882311400.0000000000
2025-01-13,CMG,CMG,346.0000000000,351.0500000000,353.7000000000,336.3000000000,59984.0000000000,20720041.0500000000,454,5968165945.0000000000
2025-01-15,CMG,CMG,352.0000000000,358.9500000000,365.0000000000,351.0000000000,55307.0000000000,19805192.2500000000,336,6102473055.0000000000
2025-01-16,CMG,CMG,359.5000000000,360.0000000000,365.0000000000,356.1000000000,160241.0000000000,57862982.0500000000,437,6120324000.0000000000
2025-01-17,CMG,CMG,358.0000000000,364.0000000000,372.0000000000,357.1000000000,166028.0000000000,60443204.3500000000,481,6188327600.0000000000
2025-01-20,CMG,CMG,365.0000000000,366.0000000000,373.0000000000,364.0000000000,61658.0000000000,22737426.6000000000,330,6222329400.0000000000
2025-01-21,CMG,CMG,366.1000000000,360.0000000000,366.5000000000,359.0000000000,77666.0000000000,28059459.9000000000,316,6120324000.0000000000
2025-01-22,CMG,CMG,358.0000000000,358.0000000000,360.0000000000,342.5000000000,56079.0000000000,19816760.2500000000,320,6086322200.0000000000
2025-01-23,CMG,CMG,355.6000000000,360.1000000000,365.0000000000,355.6000000000,106916.0000000000,38232770.6500000000,241,6122024090.0000000000
