Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,CMT,CMT,1830.0000000000,1829.0000000000,1830.0000000000,1829.0000000000,13.0000000000,23780.0000000000,3,3074975157.0000000000
2023-04-04,CMT,CMT,,1829.0000000000,,,,,0,3074975157.0000000000
2023-04-05,CMT,CMT,1800.0000000000,1781.0000000000,1800.0000000000,1781.0000000000,432.0000000000,776821.0000000000,7,2994275973.0000000000
2023-04-06,CMT,CMT,,1781.0000000000,,,,,0,2994275973.0000000000
2023-04-07,CMT,CMT,1796.0000000000,1800.0000000000,1800.0000000000,1796.0000000000,1213.0000000000,2182820.0000000000,16,3026219400.0000000000
2023-04-10,CMT,CMT,,1800.0000000000,,,,,0,3026219400.0000000000
2023-04-11,CMT,CMT,1780.0000000000,1780.0000000000,1780.0000000000,1780.0000000000,3.0000000000,5340.0000000000,1,2992594740.0000000000
2023-04-12,CMT,CMT,1800.0000000000,1785.0000000000,1800.0000000000,1760.0000000000,2343.0000000000,4174372.0000000000,17,3001000905.0000000000
2023-04-13,CMT,CMT,1869.0000000000,1790.0000000000,1869.0000000000,1780.0000000000,625.0000000000,1115001.0000000000,13,3009407070.0000000000
2023-04-14,CMT,CMT,1859.0000000000,1800.0000000000,1859.0000000000,1800.0000000000,204.0000000000,367377.0000000000,5,3026219400.0000000000
2023-04-17,CMT,CMT,1845.0000000000,1845.0000000000,1845.0000000000,1845.0000000000,5.0000000000,9225.0000000000,1,3101874885.0000000000
2023-04-18,CMT,CMT,1840.0000000000,1906.0000000000,1906.0000000000,1840.0000000000,30.0000000000,55847.0000000000,8,3204430098.0000000000
2023-04-19,CMT,CMT,1848.0000000000,1802.0000000000,1848.0000000000,1802.0000000000,552.0000000000,996085.0000000000,30,3029581866.0000000000
2023-04-20,CMT,CMT,1800.0000000000,1790.0000000000,1800.0000000000,1790.0000000000,800.0000000000,1436531.0000000000,25,3009407070.0000000000
2023-04-21,CMT,CMT,1790.0000000000,1780.0000000000,1790.0000000000,1780.0000000000,354.0000000000,631420.0000000000,10,2992594740.0000000000
2023-04-25,CMT,CMT,,1780.0000000000,,,,,0,2992594740.0000000000
2023-04-26,CMT,CMT,,1780.0000000000,,,,,0,2992594740.0000000000
2023-04-27,CMT,CMT,1781.0000000000,1780.0000000000,1781.0000000000,1780.0000000000,5.0000000000,8902.0000000000,4,2992594740.0000000000
2023-04-28,CMT,CMT,1761.0000000000,1780.0000000000,1790.0000000000,1740.0000000000,176.0000000000,313082.0000000000,13,2992594740.0000000000
2023-05-02,CMT,CMT,1750.0000000000,1674.0000000000,1750.0000000000,1674.0000000000,668.0000000000,1128730.0000000000,39,2814384042.0000000000
2023-05-03,CMT,CMT,1674.0000000000,1635.0000000000,1674.0000000000,1600.0000000000,256.0000000000,416581.0000000000,36,2748815955.0000000000
2023-05-04,CMT,CMT,1645.0000000000,1650.0000000000,1650.0000000000,1645.0000000000,407.0000000000,671450.0000000000,3,2774034450.0000000000
2023-05-05,CMT,CMT,,1650.0000000000,,,,,0,2774034450.0000000000
2023-05-08,CMT,CMT,1635.0000000000,1630.0000000000,1635.0000000000,1630.0000000000,37.0000000000,60365.0000000000,4,2740409790.0000000000
2023-05-09,CMT,CMT,1600.0000000000,1600.0000000000,1600.0000000000,1600.0000000000,132.0000000000,211200.0000000000,13,2689972800.0000000000
2023-05-10,CMT,CMT,1610.0000000000,1610.0000000000,1610.0000000000,1610.0000000000,117.0000000000,188370.0000000000,5,2706785130.0000000000
