Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,COL,COL,41.9800000000,41.9300000000,41.9800000000,41.9300000000,69.0000000000,2893.3200000000,4,675811429.2300000000
2023-04-04,COL,COL,41.5000000000,41.5000000000,41.5000000000,41.5000000000,73.0000000000,3029.5000000000,6,668880856.5000000000
2023-04-05,COL,COL,41.4900000000,40.5000000000,41.4900000000,40.0100000000,711.0000000000,28673.9400000000,21,652763245.5000000000
2023-04-06,COL,COL,41.4900000000,41.4900000000,41.4900000000,40.5000000000,70.0000000000,2869.5600000000,8,668719680.3900000000
2023-04-07,COL,COL,42.0000000000,42.0000000000,42.3700000000,41.5000000000,297.0000000000,12414.1300000000,4,676939662.0000000000
2023-04-10,COL,COL,41.9900000000,41.9900000000,41.9900000000,41.9900000000,50.0000000000,2099.5000000000,4,676778485.8900000000
2023-04-11,COL,COL,41.0000000000,42.0000000000,42.3500000000,41.0000000000,281.0000000000,11558.6000000000,8,676939662.0000000000
2023-04-12,COL,COL,40.3200000000,41.9000000000,41.9000000000,40.3200000000,273.0000000000,11395.7700000000,11,675327900.9000000000
2023-04-13,COL,COL,41.9900000000,41.9900000000,41.9900000000,41.9900000000,2.0000000000,83.9800000000,1,676778485.8900000000
2023-04-14,COL,COL,41.7500000000,41.7500000000,41.7500000000,41.7500000000,260.0000000000,10855.0000000000,4,672910259.2500000000
2023-04-17,COL,COL,41.9900000000,41.7500000000,42.0000000000,41.7500000000,42.0000000000,1758.9700000000,5,672910259.2500000000
2023-04-18,COL,COL,41.0100000000,41.9900000000,41.9900000000,41.0000000000,21.0000000000,864.0700000000,5,676778485.8900000000
2023-04-19,COL,COL,41.0100000000,41.9900000000,41.9900000000,41.0100000000,40.0000000000,1660.0000000000,5,676778485.8900000000
2023-04-20,COL,COL,41.0000000000,41.9700000000,41.9700000000,41.0000000000,218.0000000000,8938.9700000000,8,676456133.6700000000
2023-04-21,COL,COL,41.1000000000,41.1000000000,41.1000000000,41.1000000000,2072.0000000000,85159.2000000000,3,662433812.1000000000
2023-04-25,COL,COL,,41.1000000000,,,,,0,662433812.1000000000
2023-04-26,COL,COL,42.1900000000,42.1200000000,42.1900000000,42.1200000000,43.0000000000,1811.2300000000,2,678873775.3200000000
2023-04-27,COL,COL,42.0700000000,41.9900000000,42.0700000000,41.9900000000,28.0000000000,1177.1200000000,6,676778485.8900000000
2023-04-28,COL,COL,41.9900000000,41.5000000000,42.0800000000,41.5000000000,29.0000000000,1211.1300000000,4,668880856.5000000000
2023-05-02,COL,COL,41.5000000000,41.5000000000,41.5000000000,41.5000000000,3.0000000000,124.5000000000,1,668880856.5000000000
2023-05-03,COL,COL,42.0700000000,42.0700000000,42.0700000000,42.0700000000,44.0000000000,1851.0800000000,2,678067894.7700000000
2023-05-04,COL,COL,42.0400000000,42.0400000000,42.0400000000,42.0400000000,5.0000000000,210.2000000000,1,677584366.4400000000
2023-05-05,COL,COL,42.0700000000,42.0000000000,42.0800000000,42.0000000000,292.0000000000,12264.9500000000,3,676939662.0000000000
2023-05-08,COL,COL,42.0000000000,42.0800000000,42.0800000000,42.0000000000,43.0000000000,1806.0800000000,2,678229070.8800000000
2023-05-09,COL,COL,43.1000000000,42.1500000000,43.1000000000,42.1500000000,1297.0000000000,55823.7500000000,10,679357303.6500000000
2023-05-10,COL,COL,42.1500000000,43.1000000000,43.1000000000,42.1500000000,37.0000000000,1560.5000000000,4,694669034.1000000000
2023-05-11,COL,COL,43.1000000000,43.1000000000,43.1000000000,43.1000000000,388.0000000000,16722.8000000000,7,694669034.1000000000
2023-05-12,COL,COL,43.4000000000,44.0000000000,44.0000000000,43.0000000000,2240.0000000000,97362.0000000000,12,709174884.0000000000
2023-05-15,COL,COL,44.0000000000,44.0000000000,44.4500000000,44.0000000000,141.0000000000,6215.2500000000,6,709174884.0000000000
2023-05-16,COL,COL,44.1000000000,43.2000000000,44.1000000000,43.2000000000,550.0000000000,23805.0000000000,2,696280795.2000000000
2023-05-17,COL,COL,44.1000000000,44.5500000000,44.5500000000,44.1000000000,48.0000000000,2131.7400000000,8,718039570.0500000000
2023-05-18,COL,COL,44.4500000000,44.5500000000,45.0000000000,44.4500000000,1044.0000000000,46725.2400000000,12,718039570.0500000000
2023-05-19,COL,COL,44.4500000000,44.5000000000,44.5000000000,44.4500000000,81.0000000000,3603.9000000000,2,717233689.5000000000
2023-05-22,COL,COL,45.0000000000,45.0000000000,45.0000000000,45.0000000000,12.0000000000,540.0000000000,3,725292495.0000000000
2023-05-23,COL,COL,42.3400000000,44.4900000000,44.7900000000,42.3400000000,511.0000000000,21818.5100000000,10,717072513.3900000000
2023-05-24,COL,COL,44.0000000000,44.0000000000,44.0000000000,43.9900000000,57.0000000000,2507.6600000000,5,709174884.0000000000
2023-05-25,COL,COL,44.0000000000,43.8900000000,44.0000000000,43.0000000000,146.0000000000,6303.5600000000,8,707401946.7900000000
2023-05-26,COL,COL,,43.8900000000,,,,,0,707401946.7900000000
2023-05-29,COL,COL,43.9900000000,44.9900000000,44.9900000000,43.8000000000,443.0000000000,19514.6800000000,9,725131318.8900000000
2023-05-30,COL,COL,43.0000000000,43.5000000000,44.9900000000,43.0000000000,760.0000000000,33377.6500000000,10,701116078.5000000000
