Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,CRS,CRS,,26.0000000000,,,,,0,136890000.0000000000
2023-04-04,CRS,CRS,25.7500000000,25.7000000000,26.0000000000,25.7000000000,41.0000000000,1054.5000000000,3,135310500.0000000000
2023-04-05,CRS,CRS,24.1600000000,25.5000000000,25.5000000000,24.1600000000,40.0000000000,986.5000000000,6,134257500.0000000000
2023-04-06,CRS,CRS,26.0000000000,26.0000000000,26.0000000000,26.0000000000,1.0000000000,26.0000000000,1,136890000.0000000000
2023-04-07,CRS,CRS,27.0000000000,27.0000000000,27.0000000000,27.0000000000,10.0000000000,270.0000000000,2,142155000.0000000000
2023-04-10,CRS,CRS,26.9900000000,26.9900000000,26.9900000000,26.9900000000,15.0000000000,404.8500000000,3,142102350.0000000000
2023-04-11,CRS,CRS,26.9800000000,26.9800000000,26.9800000000,26.9800000000,1.0000000000,26.9800000000,1,142049700.0000000000
2023-04-12,CRS,CRS,,26.9800000000,,,,,0,142049700.0000000000
2023-04-13,CRS,CRS,,26.9800000000,,,,,0,142049700.0000000000
2023-04-14,CRS,CRS,26.9500000000,26.5000000000,26.9500000000,26.5000000000,38.0000000000,1015.1000000000,3,139522500.0000000000
2023-04-17,CRS,CRS,,26.5000000000,,,,,0,139522500.0000000000
2023-04-18,CRS,CRS,,26.5000000000,,,,,0,139522500.0000000000
2023-04-19,CRS,CRS,26.5000000000,26.5000000000,26.5000000000,26.5000000000,200.0000000000,5300.0000000000,1,139522500.0000000000
2023-04-20,CRS,CRS,26.9800000000,26.5000000000,26.9800000000,26.5000000000,30.0000000000,799.8000000000,5,139522500.0000000000
2023-04-21,CRS,CRS,26.5000000000,26.5000000000,26.5000000000,26.5000000000,10.0000000000,265.0000000000,1,139522500.0000000000
2023-04-25,CRS,CRS,,26.5000000000,,,,,0,139522500.0000000000
2023-04-26,CRS,CRS,26.8000000000,26.8000000000,26.8000000000,26.8000000000,180.0000000000,4824.0000000000,2,141102000.0000000000
2023-04-27,CRS,CRS,26.8000000000,26.9000000000,26.9000000000,26.8000000000,24.0000000000,643.4000000000,4,141628500.0000000000
2023-04-28,CRS,CRS,,26.9000000000,,,,,0,141628500.0000000000
2023-05-02,CRS,CRS,25.3100000000,26.9600000000,26.9600000000,25.3100000000,15.0000000000,396.1500000000,3,141944400.0000000000
2023-05-03,CRS,CRS,26.8000000000,26.8000000000,26.8000000000,26.8000000000,10.0000000000,268.0000000000,1,141102000.0000000000
2023-05-04,CRS,CRS,26.7000000000,26.7000000000,26.7000000000,26.7000000000,50.0000000000,1335.0000000000,3,140575500.0000000000
2023-05-05,CRS,CRS,25.4500000000,25.4500000000,25.4500000000,25.4500000000,356.0000000000,9060.2000000000,2,133994250.0000000000
2023-05-08,CRS,CRS,26.2000000000,26.2000000000,26.2000000000,26.2000000000,3.0000000000,78.6000000000,1,137943000.0000000000
2023-05-09,CRS,CRS,25.4500000000,25.4500000000,25.4500000000,25.4500000000,30.0000000000,763.5000000000,3,133994250.0000000000
2023-05-10,CRS,CRS,,25.4500000000,,,,,0,133994250.0000000000
2023-05-11,CRS,CRS,,25.4500000000,,,,,0,133994250.0000000000
2023-05-12,CRS,CRS,,25.4500000000,,,,,0,133994250.0000000000
2023-05-15,CRS,CRS,,25.4500000000,,,,,0,133994250.0000000000
2023-05-16,CRS,CRS,,25.4500000000,,,,,0,133994250.0000000000
2023-05-17,CRS,CRS,26.9000000000,26.9000000000,26.9000000000,26.9000000000,2.0000000000,53.8000000000,1,141628500.0000000000
2023-05-18,CRS,CRS,26.9000000000,26.9000000000,26.9000000000,26.9000000000,2.0000000000,53.8000000000,1,141628500.0000000000
2023-05-19,CRS,CRS,26.8000000000,26.8000000000,26.8000000000,26.8000000000,200.0000000000,5360.0000000000,1,141102000.0000000000
2023-05-22,CRS,CRS,,26.8000000000,,,,,0,141102000.0000000000
2023-05-23,CRS,CRS,,26.8000000000,,,,,0,141102000.0000000000
2023-05-24,CRS,CRS,26.9000000000,27.7000000000,27.7000000000,26.9000000000,381.0000000000,10491.4000000000,5,145840500.0000000000
2023-05-25,CRS,CRS,26.0400000000,26.0400000000,26.0400000000,26.0400000000,2.0000000000,52.0800000000,1,137100600.0000000000
2023-05-26,CRS,CRS,26.0400000000,24.5100000000,26.0400000000,24.5100000000,1350.0000000000,33328.6600000000,12,129045150.0000000000
2023-05-29,CRS,CRS,25.9700000000,25.9800000000,25.9800000000,25.9700000000,408.0000000000,10596.2700000000,11,136784700.0000000000
2023-05-30,CRS,CRS,24.5700000000,25.5000000000,25.5000000000,24.5700000000,101.0000000000,2503.8900000000,6,134257500.0000000000
2023-05-31,CRS,CRS,,25.5000000000,,,,,0,134257500.0000000000
2023-06-01,CRS,CRS,26.0000000000,26.0000000000,26.0000000000,26.0000000000,40.0000000000,1040.0000000000,1,136890000.0000000000
2023-06-02,CRS,CRS,24.5200000000,27.5500000000,27.5500000000,24.5200000000,3953.0000000000,108258.1500000000,17,145050750.0000000000
2023-06-05,CRS,CRS,25.9600000000,27.5300000000,27.5400000000,25.9600000000,42.0000000000,1153.3200000000,4,144945450.0000000000
2023-06-06,CRS,CRS,27.5200000000,27.6000000000,27.6000000000,27.2000000000,475.0000000000,13090.8500000000,5,145314000.0000000000
2023-06-07,CRS,CRS,27.9000000000,27.5000000000,28.0000000000,27.0000000000,511.0000000000,14143.8500000000,15,144787500.0000000000
2023-06-08,CRS,CRS,26.2100000000,27.5000000000,27.5000000000,26.2100000000,76.0000000000,2056.4600000000,5,144787500.0000000000
2023-06-09,CRS,CRS,27.5000000000,27.5000000000,27.5000000000,27.5000000000,2.0000000000,55.0000000000,1,144787500.0000000000
2023-06-12,CRS,CRS,26.2100000000,26.2100000000,26.2100000000,26.2100000000,1.0000000000,26.2100000000,1,137995650.0000000000
2023-06-13,CRS,CRS,27.7800000000,24.6400000000,27.7800000000,24.6400000000,3935.0000000000,96964.6800000000,14,129729600.0000000000
2023-06-14,CRS,CRS,23.1700000000,23.1700000000,23.1700000000,23.1700000000,18248.0000000000,422806.1600000000,30,121990050.0000000000
2023-06-15,CRS,CRS,22.8000000000,23.5000000000,24.0000000000,22.8000000000,20972.0000000000,479714.2000000000,44,123727500.0000000000
2023-06-16,CRS,CRS,23.5000000000,24.0000000000,24.0000000000,23.5000000000,999.0000000000,23503.0000000000,5,126360000.0000000000
2023-06-19,CRS,CRS,23.8000000000,23.8000000000,23.8000000000,23.8000000000,117.0000000000,2784.6000000000,3,125307000.0000000000
2023-06-20,CRS,CRS,23.8000000000,24.4400000000,24.4400000000,23.8000000000,401.0000000000,9544.4400000000,2,128676600.0000000000
2023-06-21,CRS,CRS,24.0000000000,23.9900000000,24.0000000000,23.9900000000,419.0000000000,10055.0900000000,11,126307350.0000000000
2023-06-22,CRS,CRS,24.0000000000,23.6000000000,24.0000000000,23.6000000000,1175.0000000000,28019.0100000000,12,124254000.0000000000
2023-06-23,CRS,CRS,24.0000000000,23.6500000000,24.3700000000,23.6000000000,1394.0000000000,33341.0700000000,12,124517250.0000000000
