Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,CSR,CSR,177.9500000000,177.9500000000,177.9500000000,177.9500000000,2.0000000000,355.9000000000,2,16813987096.8500000000
2023-04-04,CSR,CSR,,177.9500000000,,,,,0,16813987096.8500000000
2023-04-05,CSR,CSR,177.7500000000,177.9000000000,178.0000000000,175.0000000000,1554.0000000000,276434.4500000000,15,16809262739.7000000000
2023-04-06,CSR,CSR,173.1000000000,177.5500000000,177.7000000000,173.1000000000,212.0000000000,36750.9000000000,7,16776192239.6500000000
2023-04-07,CSR,CSR,176.9000000000,174.0000000000,177.9000000000,174.0000000000,5455.0000000000,957489.5000000000,15,16440762882.0000000000
2023-04-10,CSR,CSR,173.6500000000,173.6000000000,173.6500000000,173.6000000000,288.0000000000,50000.1500000000,9,16402968024.8000000000
2023-04-11,CSR,CSR,177.5000000000,176.9000000000,177.7500000000,174.0000000000,4429.0000000000,776159.2000000000,14,16714775596.7000000000
2023-04-12,CSR,CSR,177.0000000000,178.0000000000,178.0000000000,175.0000000000,36926.0000000000,6572343.3000000000,19,16818711454.0000000000
2023-04-13,CSR,CSR,178.0000000000,180.5000000000,180.5000000000,177.9000000000,26386.0000000000,4723802.5000000000,17,17054929311.5000000000
2023-04-14,CSR,CSR,182.0000000000,183.0000000000,183.9000000000,182.0000000000,1907.0000000000,347398.0000000000,16,17291147169.0000000000
2023-04-17,CSR,CSR,183.8500000000,182.0000000000,183.8500000000,180.0000000000,20046.0000000000,3608410.6000000000,11,17196660026.0000000000
2023-04-18,CSR,CSR,183.7500000000,180.0000000000,183.7500000000,180.0000000000,10093.0000000000,1816764.3500000000,10,17007685740.0000000000
2023-04-19,CSR,CSR,181.9500000000,180.5000000000,181.9500000000,176.0000000000,5425.0000000000,978598.9500000000,11,17054929311.5000000000
2023-04-20,CSR,CSR,180.5000000000,180.5000000000,180.5000000000,180.4000000000,40480.0000000000,7305640.0000000000,16,17054929311.5000000000
2023-04-21,CSR,CSR,182.0000000000,182.0000000000,182.0000000000,182.0000000000,10.0000000000,1820.0000000000,3,17196660026.0000000000
2023-04-25,CSR,CSR,180.5000000000,183.0000000000,183.0000000000,180.5000000000,4477.0000000000,812291.0000000000,18,17291147169.0000000000
2023-04-26,CSR,CSR,183.0000000000,178.0000000000,183.0000000000,178.0000000000,32935.0000000000,5888340.5000000000,30,16818711454.0000000000
2023-04-27,CSR,CSR,181.8000000000,180.5000000000,181.8000000000,180.5000000000,90.0000000000,16334.4000000000,8,17054929311.5000000000
2023-04-28,CSR,CSR,180.0000000000,175.5500000000,180.0000000000,175.5500000000,525.0000000000,92275.0000000000,17,16587217953.6500000000
2023-05-02,CSR,CSR,180.5000000000,177.2000000000,180.5000000000,176.5000000000,6242.0000000000,1104482.4000000000,26,16743121739.6000000000
2023-05-03,CSR,CSR,175.1000000000,180.0000000000,180.0000000000,175.1000000000,43287.0000000000,7764602.5500000000,21,17007685740.0000000000
2023-05-04,CSR,CSR,177.0000000000,177.0000000000,180.5000000000,177.0000000000,16800.0000000000,3021619.9000000000,18,16724224311.0000000000
2023-05-05,CSR,CSR,180.0000000000,180.0000000000,180.0000000000,180.0000000000,10407.0000000000,1873260.0000000000,5,17007685740.0000000000
2023-05-08,CSR,CSR,180.9500000000,181.0000000000,182.9000000000,180.9500000000,1747.0000000000,317054.8500000000,13,17102172883.0000000000
2023-05-09,CSR,CSR,178.0500000000,180.0000000000,182.5000000000,178.0500000000,11569.0000000000,2088208.6000000000,32,17007685740.0000000000
2023-05-10,CSR,CSR,181.0000000000,182.9500000000,182.9500000000,180.0000000000,817.0000000000,147455.5500000000,14,17286422811.8500000000
2023-05-11,CSR,CSR,182.0000000000,183.0000000000,183.0000000000,180.0500000000,267.0000000000,48562.5500000000,11,17291147169.0000000000
2023-05-12,CSR,CSR,180.5000000000,185.0500000000,185.0500000000,180.5000000000,65651.0000000000,12146035.9500000000,40,17484845812.1500000000
2023-05-15,CSR,CSR,188.0000000000,187.9000000000,188.0000000000,187.0000000000,1747.0000000000,328424.4000000000,20,17754134169.7000000000
2023-05-16,CSR,CSR,184.0500000000,194.2000000000,196.0000000000,184.0500000000,19661.0000000000,3807109.0000000000,58,18349403170.6000000000
2023-05-17,CSR,CSR,192.0000000000,191.1000000000,194.0000000000,191.1000000000,272.0000000000,52134.4500000000,15,18056493027.3000000000
2023-05-18,CSR,CSR,191.1000000000,191.1000000000,193.7500000000,190.5000000000,5028.0000000000,957892.0500000000,6,18056493027.3000000000
2023-05-19,CSR,CSR,192.0000000000,192.2000000000,192.2000000000,192.0000000000,80.0000000000,15361.6000000000,5,18160428884.6000000000
2023-05-22,CSR,CSR,,192.2000000000,,,,,0,18160428884.6000000000
2023-05-23,CSR,CSR,191.0000000000,189.8000000000,192.1000000000,189.5000000000,11361.0000000000,2153698.0000000000,21,17933659741.4000000000
2023-05-24,CSR,CSR,189.5000000000,190.0000000000,191.8500000000,189.5000000000,86776.0000000000,16471744.8500000000,52,17952557170.0000000000
2023-05-25,CSR,CSR,188.0000000000,188.6000000000,190.0000000000,188.0000000000,49763.0000000000,9380375.3500000000,12,17820275169.8000000000
2023-05-26,CSR,CSR,188.0000000000,191.9500000000,191.9500000000,188.0000000000,34464.0000000000,6524283.2000000000,16,18136807098.8500000000
2023-05-29,CSR,CSR,191.9500000000,191.9000000000,191.9500000000,188.2500000000,200.0000000000,37959.8000000000,17,18132082741.7000000000
2023-05-30,CSR,CSR,191.5000000000,188.0000000000,191.5000000000,188.0000000000,24354.0000000000,4590034.4500000000,42,17763582884.0000000000
2023-05-31,CSR,CSR,188.0000000000,182.1500000000,188.0000000000,182.1500000000,176412.0000000000,32182477.7000000000,75,17210833097.4500000000
2023-06-01,CSR,CSR,186.0000000000,183.0500000000,187.0000000000,182.1500000000,13357.0000000000,2438017.5500000000,26,17295871526.1500000000
2023-06-02,CSR,CSR,183.1000000000,188.0000000000,188.0000000000,183.1000000000,4370.0000000000,820682.5500000000,21,17763582884.0000000000
2023-06-05,CSR,CSR,188.0000000000,189.0000000000,189.0000000000,186.1000000000,27834.0000000000,5232804.2000000000,6,17858070027.0000000000
2023-06-06,CSR,CSR,190.0000000000,188.5000000000,190.0000000000,187.0500000000,222.0000000000,41821.7000000000,13,17810826455.5000000000
2023-06-07,CSR,CSR,188.0000000000,188.5000000000,188.5000000000,188.0000000000,57.0000000000,10736.0000000000,11,17810826455.5000000000
2023-06-08,CSR,CSR,188.5000000000,188.5000000000,188.5000000000,188.5000000000,133.0000000000,25070.5000000000,9,17810826455.5000000000
2023-06-09,CSR,CSR,187.1000000000,187.5000000000,189.9000000000,185.2000000000,17661.0000000000,3310058.4000000000,21,17716339312.5000000000
2023-06-12,CSR,CSR,185.5000000000,187.5000000000,188.9000000000,185.5000000000,2073.0000000000,388589.8500000000,10,17716339312.5000000000
2023-06-13,CSR,CSR,186.2000000000,186.0500000000,186.2000000000,186.0500000000,49826.0000000000,9270129.1000000000,7,17579332955.1500000000
2023-06-14,CSR,CSR,186.1000000000,187.5000000000,188.0000000000,186.0000000000,20905.0000000000,3918531.0000000000,14,17716339312.5000000000
2023-06-15,CSR,CSR,188.7000000000,192.9500000000,193.0000000000,188.6000000000,6354.0000000000,1208547.4500000000,33,18231294241.8500000000
2023-06-16,CSR,CSR,193.5000000000,194.0000000000,197.0000000000,191.1000000000,9068.0000000000,1761822.1000000000,45,18330505742.0000000000
2023-06-19,CSR,CSR,194.0000000000,188.0000000000,194.0000000000,188.0000000000,630.0000000000,119535.9000000000,19,17763582884.0000000000
2023-06-20,CSR,CSR,190.4000000000,192.0000000000,199.0000000000,190.0000000000,44281.0000000000,8595243.8000000000,80,18141531456.0000000000
2023-06-21,CSR,CSR,195.0000000000,191.9500000000,195.0000000000,191.9500000000,16938.0000000000,3268607.4500000000,20,18136807098.8500000000
2023-06-22,CSR,CSR,194.3000000000,193.5000000000,194.3000000000,193.5000000000,21.0000000000,4065.3000000000,5,18283262170.5000000000
2023-06-23,CSR,CSR,193.5000000000,195.0000000000,195.0000000000,193.5000000000,50543.0000000000,9830939.8000000000,38,18424992885.0000000000
2023-06-26,CSR,CSR,197.0000000000,194.0000000000,197.0000000000,194.0000000000,392.0000000000,76516.0000000000,12,18330505742.0000000000
2023-06-27,CSR,CSR,194.0000000000,193.5500000000,194.0000000000,193.3000000000,11613.0000000000,2252238.2000000000,22,18287986527.6500000000
2023-06-28,CSR,CSR,195.0000000000,195.0000000000,197.0000000000,193.7000000000,33351.0000000000,6517510.2500000000,32,18424992885.0000000000
2023-07-03,CSR,CSR,197.5500000000,197.0000000000,198.0000000000,195.0000000000,3524.0000000000,695243.0000000000,16,18613967171.0000000000
2023-07-04,CSR,CSR,198.0000000000,197.0000000000,198.0000000000,197.0000000000,523.0000000000,103160.3000000000,14,18613967171.0000000000
2023-07-05,CSR,CSR,197.5000000000,198.1500000000,200.5000000000,196.0000000000,11404.0000000000,2266184.5500000000,40,18722627385.4500000000
2023-07-06,CSR,CSR,197.5000000000,195.0000000000,198.0000000000,195.0000000000,105.0000000000,20595.5000000000,11,18424992885.0000000000
2023-07-07,CSR,CSR,196.0000000000,195.9000000000,196.0000000000,190.1000000000,1239.0000000000,242449.2000000000,13,18510031313.7000000000
2023-07-10,CSR,CSR,196.5000000000,196.9500000000,197.0000000000,196.5000000000,2041.0000000000,401960.5000000000,4,18609242813.8500000000
2023-07-11,CSR,CSR,195.0000000000,195.0000000000,195.0000000000,195.0000000000,55.0000000000,10725.0000000000,3,18424992885.0000000000
2023-07-12,CSR,CSR,195.0000000000,196.0000000000,196.9500000000,195.0000000000,1003.0000000000,197450.2500000000,5,18519480028.0000000000
2023-07-13,CSR,CSR,196.0000000000,196.0000000000,196.0000000000,196.0000000000,2056.0000000000,402976.0000000000,10,18519480028.0000000000
