Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,CTM,CTM,630.0000000000,630.0000000000,630.0000000000,630.0000000000,5.0000000000,3150.0000000000,1,772366140.0000000000
2023-04-04,CTM,CTM,,630.0000000000,,,,,0,772366140.0000000000
2023-04-05,CTM,CTM,630.0000000000,630.0000000000,630.0000000000,630.0000000000,5.0000000000,3150.0000000000,1,772366140.0000000000
2023-04-06,CTM,CTM,630.0000000000,630.0000000000,630.0000000000,630.0000000000,13.0000000000,8190.0000000000,2,772366140.0000000000
2023-04-07,CTM,CTM,,630.0000000000,,,,,0,772366140.0000000000
2023-04-10,CTM,CTM,,630.0000000000,,,,,0,772366140.0000000000
2023-04-11,CTM,CTM,630.0000000000,630.0000000000,630.0000000000,630.0000000000,12.0000000000,7560.0000000000,1,772366140.0000000000
2023-04-12,CTM,CTM,,630.0000000000,,,,,0,772366140.0000000000
2023-04-13,CTM,CTM,,630.0000000000,,,,,0,772366140.0000000000
2023-04-14,CTM,CTM,,630.0000000000,,,,,0,772366140.0000000000
2023-04-17,CTM,CTM,,630.0000000000,,,,,0,772366140.0000000000
2023-04-18,CTM,CTM,,630.0000000000,,,,,0,772366140.0000000000
2023-04-19,CTM,CTM,611.0000000000,611.0000000000,611.0000000000,611.0000000000,1.0000000000,611.0000000000,1,749072558.0000000000
2023-04-20,CTM,CTM,,611.0000000000,,,,,0,749072558.0000000000
2023-04-21,CTM,CTM,,611.0000000000,,,,,0,749072558.0000000000
2023-04-25,CTM,CTM,586.6000000000,586.6000000000,586.6000000000,586.6000000000,13.0000000000,7625.8000000000,4,719158694.8000000000
2023-04-26,CTM,CTM,600.0000000000,600.0000000000,600.0000000000,600.0000000000,4.0000000000,2400.0000000000,1,735586800.0000000000
2023-04-27,CTM,CTM,600.0000000000,600.0000000000,600.0000000000,600.0000000000,25.0000000000,15000.0000000000,2,735586800.0000000000
2023-04-28,CTM,CTM,600.0000000000,600.0000000000,600.0000000000,600.0000000000,18.0000000000,10800.0000000000,1,735586800.0000000000
2023-05-02,CTM,CTM,,600.0000000000,,,,,0,735586800.0000000000
2023-05-03,CTM,CTM,,600.0000000000,,,,,0,735586800.0000000000
2023-05-04,CTM,CTM,,600.0000000000,,,,,0,735586800.0000000000
2023-05-05,CTM,CTM,600.0000000000,600.0000000000,600.0000000000,600.0000000000,4.0000000000,2400.0000000000,1,735586800.0000000000
2023-05-08,CTM,CTM,588.0000000000,588.0000000000,588.0000000000,588.0000000000,2.0000000000,1176.0000000000,2,720875064.0000000000
2023-05-09,CTM,CTM,,588.0000000000,,,,,0,720875064.0000000000
2023-05-10,CTM,CTM,587.0000000000,587.0000000000,587.0000000000,587.0000000000,193.0000000000,113291.0000000000,7,719649086.0000000000
2023-05-11,CTM,CTM,600.0000000000,600.0000000000,600.0000000000,600.0000000000,20.0000000000,12000.0000000000,1,735586800.0000000000
2023-05-12,CTM,CTM,592.1000000000,592.1000000000,592.1000000000,592.1000000000,20.0000000000,11842.0000000000,2,725901573.8000000000
2023-05-15,CTM,CTM,,592.1000000000,,,,,0,725901573.8000000000
2023-05-16,CTM,CTM,592.3000000000,592.3000000000,592.3000000000,592.3000000000,10.0000000000,5923.0000000000,2,726146769.4000000000
2023-05-17,CTM,CTM,,592.3000000000,,,,,0,726146769.4000000000
2023-05-18,CTM,CTM,,592.3000000000,,,,,0,726146769.4000000000
2023-05-19,CTM,CTM,600.0000000000,600.0000000000,600.0000000000,600.0000000000,20.0000000000,12000.0000000000,3,735586800.0000000000
2023-05-22,CTM,CTM,610.0000000000,610.0000000000,610.0000000000,610.0000000000,1.0000000000,610.0000000000,1,747846580.0000000000
2023-05-23,CTM,CTM,610.0000000000,610.0000000000,610.0000000000,610.0000000000,39.0000000000,23790.0000000000,2,747846580.0000000000
2023-05-24,CTM,CTM,619.0000000000,619.0000000000,619.0000000000,619.0000000000,3.0000000000,1857.0000000000,1,758880382.0000000000
2023-05-25,CTM,CTM,625.0000000000,625.0000000000,625.0000000000,625.0000000000,78.0000000000,48750.0000000000,4,766236250.0000000000
2023-05-26,CTM,CTM,624.0000000000,624.0000000000,624.0000000000,624.0000000000,50.0000000000,31200.0000000000,3,765010272.0000000000
2023-05-29,CTM,CTM,,624.0000000000,,,,,0,765010272.0000000000
2023-05-30,CTM,CTM,599.2000000000,599.2000000000,599.2000000000,599.2000000000,8.0000000000,4793.6000000000,3,734606017.6000000000
2023-05-31,CTM,CTM,599.3000000000,599.3000000000,599.3000000000,599.3000000000,18.0000000000,10787.4000000000,3,734728615.4000000000
2023-06-01,CTM,CTM,600.0000000000,600.0000000000,600.0000000000,600.0000000000,14.0000000000,8400.0000000000,3,735586800.0000000000
2023-06-02,CTM,CTM,,600.0000000000,,,,,0,735586800.0000000000
2023-06-05,CTM,CTM,605.1000000000,605.1000000000,605.1000000000,605.1000000000,12.0000000000,7261.2000000000,1,741839287.8000000000
2023-06-06,CTM,CTM,620.0000000000,620.0000000000,620.0000000000,620.0000000000,30.0000000000,18600.0000000000,1,760106360.0000000000
2023-06-07,CTM,CTM,622.0000000000,622.0000000000,622.0000000000,622.0000000000,10.0000000000,6220.0000000000,1,762558316.0000000000
2023-06-08,CTM,CTM,622.0000000000,622.0000000000,622.0000000000,622.0000000000,15.0000000000,9330.0000000000,2,762558316.0000000000
2023-06-09,CTM,CTM,623.0000000000,623.0000000000,623.0000000000,623.0000000000,5.0000000000,3115.0000000000,2,763784294.0000000000
2023-06-12,CTM,CTM,622.0000000000,622.0000000000,622.0000000000,622.0000000000,21.0000000000,13062.0000000000,3,762558316.0000000000
2023-06-13,CTM,CTM,622.0000000000,622.0000000000,622.0000000000,622.0000000000,3.0000000000,1866.0000000000,1,762558316.0000000000
2023-06-14,CTM,CTM,624.0000000000,624.0000000000,624.0000000000,624.0000000000,6.0000000000,3744.0000000000,1,765010272.0000000000
2023-06-15,CTM,CTM,622.0000000000,622.0000000000,622.0000000000,622.0000000000,4.0000000000,2488.0000000000,1,762558316.0000000000
2023-06-16,CTM,CTM,,622.0000000000,,,,,0,762558316.0000000000
2023-06-19,CTM,CTM,624.0000000000,624.0000000000,624.0000000000,624.0000000000,4.0000000000,2496.0000000000,2,765010272.0000000000
2023-06-20,CTM,CTM,,624.0000000000,,,,,0,765010272.0000000000
2023-06-21,CTM,CTM,,624.0000000000,,,,,0,765010272.0000000000
2023-06-22,CTM,CTM,,624.0000000000,,,,,0,765010272.0000000000
2023-06-23,CTM,CTM,,624.0000000000,,,,,0,765010272.0000000000
2023-06-26,CTM,CTM,625.0000000000,625.0000000000,625.0000000000,625.0000000000,38.0000000000,23750.0000000000,3,766236250.0000000000
2023-06-27,CTM,CTM,625.0000000000,625.0000000000,625.0000000000,625.0000000000,70.0000000000,43750.0000000000,3,766236250.0000000000
2023-06-28,CTM,CTM,624.0000000000,624.0000000000,624.0000000000,624.0000000000,5.0000000000,3120.0000000000,1,765010272.0000000000
2023-07-03,CTM,CTM,625.0000000000,625.0000000000,625.0000000000,625.0000000000,4.0000000000,2500.0000000000,1,766236250.0000000000
2023-07-04,CTM,CTM,,625.0000000000,,,,,0,766236250.0000000000
2023-07-05,CTM,CTM,625.0000000000,625.0000000000,625.0000000000,625.0000000000,10.0000000000,6250.0000000000,1,766236250.0000000000
2023-07-06,CTM,CTM,,625.0000000000,,,,,0,766236250.0000000000
2023-07-07,CTM,CTM,,625.0000000000,,,,,0,766236250.0000000000
2023-07-10,CTM,CTM,,625.0000000000,,,,,0,766236250.0000000000
2023-07-11,CTM,CTM,625.0000000000,625.0000000000,625.0000000000,625.0000000000,2.0000000000,1250.0000000000,2,766236250.0000000000
2023-07-12,CTM,CTM,,625.0000000000,,,,,0,766236250.0000000000
2023-07-13,CTM,CTM,639.0000000000,639.0000000000,639.0000000000,639.0000000000,3.0000000000,1917.0000000000,1,783399942.0000000000
2023-07-14,CTM,CTM,,639.0000000000,,,,,0,783399942.0000000000
2023-07-17,CTM,CTM,,639.0000000000,,,,,0,783399942.0000000000
2023-07-18,CTM,CTM,,639.0000000000,,,,,0,783399942.0000000000
2023-07-20,CTM,CTM,,639.0000000000,,,,,0,783399942.0000000000
2023-07-21,CTM,CTM,,639.0000000000,,,,,0,783399942.0000000000
2023-07-24,CTM,CTM,640.0000000000,640.0000000000,640.0000000000,640.0000000000,23.0000000000,14720.0000000000,3,784625920.0000000000
2023-07-25,CTM,CTM,630.0000000000,630.0000000000,630.0000000000,630.0000000000,10.0000000000,6300.0000000000,2,772366140.0000000000
2023-07-26,CTM,CTM,610.0000000000,610.0000000000,610.0000000000,610.0000000000,10.0000000000,6100.0000000000,3,747846580.0000000000
2023-07-27,CTM,CTM,609.1000000000,609.1000000000,609.1000000000,609.1000000000,22.0000000000,13400.2000000000,3,746743199.8000000000
2023-07-28,CTM,CTM,,609.1000000000,,,,,0,746743199.8000000000
2023-07-31,CTM,CTM,,609.1000000000,,,,,0,746743199.8000000000
2023-08-01,CTM,CTM,612.5000000000,612.5000000000,612.5000000000,612.5000000000,19.0000000000,11637.5000000000,4,750911525.0000000000
2023-08-02,CTM,CTM,633.0000000000,633.0000000000,633.0000000000,633.0000000000,11.0000000000,6963.0000000000,3,776044074.0000000000
2023-08-03,CTM,CTM,607.7000000000,607.7000000000,607.7000000000,607.7000000000,189.0000000000,114855.3000000000,13,745026830.6000000000
2023-08-04,CTM,CTM,608.1000000000,608.1000000000,608.1000000000,608.1000000000,282.0000000000,171484.2000000000,7,745517221.8000000000
2023-08-07,CTM,CTM,608.1000000000,608.1000000000,608.1000000000,608.1000000000,73.0000000000,44391.3000000000,6,745517221.8000000000
2023-08-08,CTM,CTM,609.0000000000,609.0000000000,609.0000000000,609.0000000000,24.0000000000,14616.0000000000,2,746620602.0000000000
2023-08-09,CTM,CTM,610.0000000000,610.0000000000,610.0000000000,610.0000000000,25.0000000000,15250.0000000000,3,747846580.0000000000
2023-08-10,CTM,CTM,,610.0000000000,,,,,0,747846580.0000000000
2023-08-11,CTM,CTM,610.0000000000,610.0000000000,610.0000000000,610.0000000000,700.0000000000,427000.0000000000,8,747846580.0000000000
2023-08-15,CTM,CTM,615.0000000000,615.0000000000,615.0000000000,615.0000000000,21.0000000000,12915.0000000000,2,753976470.0000000000
2023-08-16,CTM,CTM,,615.0000000000,,,,,0,753976470.0000000000
2023-08-17,CTM,CTM,616.1000000000,616.1000000000,616.1000000000,616.1000000000,150.0000000000,92415.0000000000,1,755325045.8000000000
2023-08-18,CTM,CTM,616.1000000000,616.1000000000,616.1000000000,616.1000000000,114.0000000000,70235.4000000000,3,755325045.8000000000
2023-08-22,CTM,CTM,620.0000000000,620.0000000000,620.0000000000,620.0000000000,1.0000000000,620.0000000000,1,760106360.0000000000
2023-08-23,CTM,CTM,617.5000000000,617.5000000000,617.5000000000,617.5000000000,100.0000000000,61750.0000000000,5,757041415.0000000000
2023-08-24,CTM,CTM,,617.5000000000,,,,,0,757041415.0000000000
2023-08-25,CTM,CTM,620.0000000000,620.0000000000,620.0000000000,620.0000000000,175.0000000000,108500.0000000000,2,760106360.0000000000
2023-08-28,CTM,CTM,617.5000000000,617.5000000000,617.5000000000,617.5000000000,190.0000000000,117325.0000000000,6,757041415.0000000000
2023-08-29,CTM,CTM,620.0000000000,620.0000000000,620.0000000000,620.0000000000,2.0000000000,1240.0000000000,1,760106360.0000000000
2023-08-30,CTM,CTM,,620.0000000000,,,,,0,760106360.0000000000
2023-08-31,CTM,CTM,617.8000000000,617.8000000000,617.8000000000,617.8000000000,5.0000000000,3089.0000000000,2,757409208.4000000000
2023-09-01,CTM,CTM,631.5000000000,631.5000000000,631.5000000000,631.5000000000,5.0000000000,3157.5000000000,1,774205107.0000000000
2023-09-04,CTM,CTM,,631.5000000000,,,,,0,774205107.0000000000
2023-09-05,CTM,CTM,617.6000000000,617.6000000000,617.6000000000,617.6000000000,134.0000000000,82758.4000000000,11,757164012.8000000000
2023-09-06,CTM,CTM,610.0000000000,610.0000000000,610.0000000000,610.0000000000,270.0000000000,164700.0000000000,10,747846580.0000000000
2023-09-07,CTM,CTM,629.7000000000,629.7000000000,629.7000000000,629.7000000000,3.0000000000,1889.1000000000,1,771998346.6000000000
2023-09-08,CTM,CTM,611.0000000000,611.0000000000,611.0000000000,611.0000000000,110.0000000000,67210.0000000000,4,749072558.0000000000
2023-09-11,CTM,CTM,610.0000000000,610.0000000000,610.0000000000,610.0000000000,134.0000000000,81740.0000000000,7,747846580.0000000000
2023-09-12,CTM,CTM,610.0000000000,610.0000000000,610.0000000000,610.0000000000,71.0000000000,43310.0000000000,8,747846580.0000000000
2023-09-13,CTM,CTM,610.0000000000,610.0000000000,610.0000000000,610.0000000000,52.0000000000,31720.0000000000,4,747846580.0000000000
2023-09-14,CTM,CTM,600.0000000000,600.0000000000,600.0000000000,600.0000000000,1.0000000000,600.0000000000,1,735586800.0000000000
2023-09-15,CTM,CTM,,600.0000000000,,,,,0,735586800.0000000000
2023-09-18,CTM,CTM,596.0000000000,596.0000000000,596.0000000000,596.0000000000,18.0000000000,10728.0000000000,5,730682888.0000000000
2023-09-19,CTM,CTM,596.0000000000,596.0000000000,596.0000000000,596.0000000000,618.0000000000,368328.0000000000,4,730682888.0000000000
2023-09-20,CTM,CTM,592.0000000000,592.0000000000,592.0000000000,592.0000000000,27.0000000000,15984.0000000000,5,725778976.0000000000
