Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,DHO,DHO,25.6000000000,25.9800000000,25.9800000000,25.6000000000,55.0000000000,1413.6500000000,5,2275848000.0000000000
2023-04-04,DHO,DHO,25.9800000000,25.6000000000,26.2800000000,25.6000000000,605.0000000000,15644.0600000000,7,2242560000.0000000000
2023-04-05,DHO,DHO,25.6100000000,26.0000000000,26.1500000000,25.6100000000,386.0000000000,9921.1000000000,10,2277600000.0000000000
2023-04-06,DHO,DHO,25.0000000000,25.9000000000,25.9900000000,25.0000000000,9261.0000000000,233074.5900000000,27,2268840000.0000000000
2023-04-07,DHO,DHO,26.1000000000,25.5000000000,26.1000000000,25.5000000000,295.0000000000,7543.2500000000,13,2233800000.0000000000
2023-04-10,DHO,DHO,25.5000000000,25.0100000000,25.5000000000,25.0100000000,916.0000000000,23138.3200000000,15,2190876000.0000000000
2023-04-11,DHO,DHO,25.0200000000,25.0200000000,25.0200000000,25.0200000000,1160.0000000000,29023.2000000000,10,2191752000.0000000000
2023-04-12,DHO,DHO,25.1000000000,25.5000000000,25.5000000000,25.1000000000,15.0000000000,380.5000000000,3,2233800000.0000000000
2023-04-13,DHO,DHO,25.8500000000,25.2000000000,25.8500000000,25.2000000000,303.0000000000,7640.5500000000,5,2207520000.0000000000
2023-04-14,DHO,DHO,,25.2000000000,,,,,0,2207520000.0000000000
2023-04-17,DHO,DHO,25.2500000000,25.2500000000,25.2500000000,25.2500000000,450.0000000000,11362.5000000000,3,2211900000.0000000000
2023-04-18,DHO,DHO,25.8400000000,25.8400000000,25.8400000000,25.8400000000,9.0000000000,232.5600000000,1,2263584000.0000000000
2023-04-19,DHO,DHO,25.1800000000,25.8400000000,25.8400000000,25.1800000000,1367.0000000000,34423.0400000000,8,2263584000.0000000000
2023-04-20,DHO,DHO,25.8300000000,25.2500000000,25.8300000000,25.2500000000,20.0000000000,510.8000000000,3,2211900000.0000000000
2023-04-21,DHO,DHO,25.8300000000,25.2600000000,25.8300000000,25.2600000000,202.0000000000,5153.8200000000,3,2212776000.0000000000
2023-04-25,DHO,DHO,25.2300000000,25.8000000000,25.8000000000,25.2300000000,16.0000000000,409.3800000000,2,2260080000.0000000000
2023-04-26,DHO,DHO,25.7700000000,25.8000000000,25.8000000000,25.7700000000,264.0000000000,6807.5000000000,6,2260080000.0000000000
2023-04-27,DHO,DHO,25.8000000000,25.5000000000,25.8400000000,25.5000000000,21584.0000000000,550842.4000000000,14,2233800000.0000000000
2023-04-28,DHO,DHO,25.9900000000,25.3000000000,25.9900000000,25.3000000000,1102.0000000000,27950.6000000000,7,2216280000.0000000000
2023-05-02,DHO,DHO,26.0000000000,25.1700000000,26.0000000000,25.1700000000,2082.0000000000,52603.7100000000,16,2204892000.0000000000
2023-05-03,DHO,DHO,25.2700000000,25.2000000000,25.8600000000,25.2000000000,574.0000000000,14506.2800000000,8,2207520000.0000000000
2023-05-04,DHO,DHO,25.7500000000,25.7000000000,25.7500000000,25.2500000000,246.0000000000,6232.4500000000,3,2251320000.0000000000
2023-05-05,DHO,DHO,25.7400000000,25.9200000000,25.9400000000,25.3000000000,360.0000000000,9189.0000000000,5,2270592000.0000000000
2023-05-08,DHO,DHO,25.2600000000,25.9400000000,25.9400000000,25.2600000000,85.0000000000,2150.5000000000,2,2272344000.0000000000
2023-05-09,DHO,DHO,25.8900000000,25.9400000000,25.9400000000,25.2700000000,1109.0000000000,28040.2600000000,7,2272344000.0000000000
2023-05-10,DHO,DHO,25.2800000000,25.9200000000,25.9400000000,25.2800000000,89.0000000000,2264.1000000000,6,2270592000.0000000000
2023-05-11,DHO,DHO,25.9200000000,25.9400000000,25.9700000000,25.5200000000,21.0000000000,540.6700000000,4,2272344000.0000000000
2023-05-12,DHO,DHO,25.5100000000,25.4500000000,25.8900000000,25.3000000000,159492.0000000000,4051436.6800000000,35,2229420000.0000000000
2023-05-15,DHO,DHO,25.9200000000,25.5000000000,25.9200000000,25.2600000000,8680.0000000000,220460.2100000000,19,2233800000.0000000000
2023-05-16,DHO,DHO,25.5000000000,25.3000000000,25.5000000000,25.3000000000,5019.0000000000,127617.3000000000,16,2216280000.0000000000
2023-05-17,DHO,DHO,25.3600000000,25.5000000000,25.5000000000,25.3500000000,114644.0000000000,2918378.4100000000,17,2233800000.0000000000
2023-05-18,DHO,DHO,25.5000000000,25.6000000000,26.4000000000,25.5000000000,163467.0000000000,4178304.3000000000,52,2242560000.0000000000
2023-05-19,DHO,DHO,26.0000000000,26.0000000000,26.3000000000,26.0000000000,58301.0000000000,1515832.3000000000,10,2277600000.0000000000
2023-05-22,DHO,DHO,26.0100000000,26.0100000000,26.0100000000,26.0100000000,1.0000000000,26.0100000000,1,2278476000.0000000000
2023-05-23,DHO,DHO,26.0300000000,26.3500000000,27.3000000000,26.0100000000,2755.0000000000,73485.1300000000,20,2308260000.0000000000
2023-05-24,DHO,DHO,27.0000000000,26.5500000000,27.0000000000,26.4600000000,340.0000000000,9172.2600000000,3,2325780000.0000000000
2023-05-25,DHO,DHO,27.0000000000,27.0000000000,27.1900000000,27.0000000000,1390.0000000000,37553.1900000000,12,2365200000.0000000000
2023-05-26,DHO,DHO,27.2000000000,27.4000000000,27.4400000000,27.2000000000,96186.0000000000,2631332.1500000000,21,2400240000.0000000000
2023-05-29,DHO,DHO,27.4400000000,27.4800000000,27.4800000000,27.4400000000,849.0000000000,23314.6200000000,8,2407248000.0000000000
2023-05-30,DHO,DHO,27.4400000000,27.4300000000,27.4400000000,26.2600000000,41781.0000000000,1127835.8800000000,11,2402868000.0000000000
