Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,DIS,DIS,,,,,,,0,27651855.0000000000
2023-04-04,DIS,DIS,,,,,,,0,27651855.0000000000
2023-04-05,DIS,DIS,,,,,,,0,27651855.0000000000
2023-04-06,DIS,DIS,,,,,,,0,27651855.0000000000
2023-04-07,DIS,DIS,,,,,,,0,27651855.0000000000
2023-04-10,DIS,DIS,,,,,,,0,27651855.0000000000
2023-04-11,DIS,DIS,,,,,,,0,27651855.0000000000
2023-04-12,DIS,DIS,,,,,,,0,27651855.0000000000
2023-04-13,DIS,DIS,,,,,,,0,27651855.0000000000
2023-04-14,DIS,DIS,,,,,,,0,27651855.0000000000
2023-04-17,DIS,DIS,,,,,,,0,27651855.0000000000
2023-04-18,DIS,DIS,,,,,,,0,27651855.0000000000
2023-04-19,DIS,DIS,,,,,,,0,27651855.0000000000
2023-04-20,DIS,DIS,,,,,,,0,27651855.0000000000
2023-04-21,DIS,DIS,,,,,,,0,27651855.0000000000
2023-04-25,DIS,DIS,,,,,,,0,27651855.0000000000
2023-04-26,DIS,DIS,,,,,,,0,27651855.0000000000
2023-04-27,DIS,DIS,,,,,,,0,27651855.0000000000
2023-04-28,DIS,DIS,,,,,,,0,27651855.0000000000
2023-05-02,DIS,DIS,,,,,,,0,27651855.0000000000
2023-05-03,DIS,DIS,,,,,,,0,27651855.0000000000
2023-05-04,DIS,DIS,,,,,,,0,27651855.0000000000
2023-05-05,DIS,DIS,,,,,,,0,27651855.0000000000
2023-05-08,DIS,DIS,,,,,,,0,27651855.0000000000
2023-05-09,DIS,DIS,,,,,,,0,27651855.0000000000
2023-05-10,DIS,DIS,,,,,,,0,27651855.0000000000
2023-05-11,DIS,DIS,,,,,,,0,27651855.0000000000
2023-05-12,DIS,DIS,,,,,,,0,27651855.0000000000
2023-05-15,DIS,DIS,,,,,,,0,27651855.0000000000
2023-05-16,DIS,DIS,,,,,,,0,27651855.0000000000
2023-05-17,DIS,DIS,,,,,,,0,27651855.0000000000
2023-05-18,DIS,DIS,,,,,,,0,27651855.0000000000
2023-05-19,DIS,DIS,,,,,,,0,27651855.0000000000
2023-05-22,DIS,DIS,,,,,,,0,27651855.0000000000
2023-05-23,DIS,DIS,,,,,,,0,27651855.0000000000
2023-05-24,DIS,DIS,,,,,,,0,27651855.0000000000
2023-05-25,DIS,DIS,,,,,,,0,27651855.0000000000
2023-05-26,DIS,DIS,,,,,,,0,27651855.0000000000
2023-05-29,DIS,DIS,,,,,,,0,27651855.0000000000
2023-05-30,DIS,DIS,,,,,,,0,27651855.0000000000
2023-05-31,DIS,DIS,,,,,,,0,27651855.0000000000
2023-06-01,DIS,DIS,,,,,,,0,27651855.0000000000
2023-06-02,DIS,DIS,,,,,,,0,27651855.0000000000
2023-06-05,DIS,DIS,,,,,,,0,27651855.0000000000
2023-06-06,DIS,DIS,,,,,,,0,27651855.0000000000
2023-06-07,DIS,DIS,,,,,,,0,27651855.0000000000
2023-06-08,DIS,DIS,,,,,,,0,27651855.0000000000
2023-06-09,DIS,DIS,,,,,,,0,27651855.0000000000
2023-06-12,DIS,DIS,,,,,,,0,27651855.0000000000
2023-06-13,DIS,DIS,,,,,,,0,27651855.0000000000
2023-06-14,DIS,DIS,,,,,,,0,27651855.0000000000
2023-06-15,DIS,DIS,,,,,,,0,27651855.0000000000
2023-06-16,DIS,DIS,,,,,,,0,27651855.0000000000
2023-06-19,DIS,DIS,,,,,,,0,27651855.0000000000
2023-06-20,DIS,DIS,,,,,,,0,27651855.0000000000
2023-06-21,DIS,DIS,,,,,,,0,27651855.0000000000
2023-06-22,DIS,DIS,,,,,,,0,27651855.0000000000
2023-06-23,DIS,DIS,,,,,,,0,27651855.0000000000
2023-06-26,DIS,DIS,,,,,,,0,27651855.0000000000
2023-06-27,DIS,DIS,,,,,,,0,27651855.0000000000
2023-06-28,DIS,DIS,,,,,,,0,27651855.0000000000
2023-07-03,DIS,DIS,,,,,,,0,27651855.0000000000
2023-07-04,DIS,DIS,,,,,,,0,27651855.0000000000
2023-07-05,DIS,DIS,,,,,,,0,27651855.0000000000
2023-07-06,DIS,DIS,,,,,,,0,27651855.0000000000
2023-07-07,DIS,DIS,,,,,,,0,27651855.0000000000
2023-07-10,DIS,DIS,,,,,,,0,27651855.0000000000
2023-07-11,DIS,DIS,,,,,,,0,27651855.0000000000
2023-07-12,DIS,DIS,,,,,,,0,27651855.0000000000
2023-07-13,DIS,DIS,,,,,,,0,27651855.0000000000
2023-07-14,DIS,DIS,,,,,,,0,27651855.0000000000
2023-07-17,DIS,DIS,,,,,,,0,27651855.0000000000
2023-07-18,DIS,DIS,,,,,,,0,27651855.0000000000
2023-07-20,DIS,DIS,,,,,,,0,27651855.0000000000
2023-07-21,DIS,DIS,,,,,,,0,27651855.0000000000
2023-07-24,DIS,DIS,,,,,,,0,27651855.0000000000
2023-07-25,DIS,DIS,,,,,,,0,27651855.0000000000
2023-07-26,DIS,DIS,,,,,,,0,27651855.0000000000
2023-07-27,DIS,DIS,,,,,,,0,27651855.0000000000
2023-07-28,DIS,DIS,,,,,,,0,27651855.0000000000
2023-07-31,DIS,DIS,,,,,,,0,27651855.0000000000
2023-08-01,DIS,DIS,,,,,,,0,27651855.0000000000
2023-08-02,DIS,DIS,,,,,,,0,27651855.0000000000
2023-08-03,DIS,DIS,,,,,,,0,27651855.0000000000
2023-08-04,DIS,DIS,,,,,,,0,27651855.0000000000
2023-08-07,DIS,DIS,,,,,,,0,27651855.0000000000
2023-08-08,DIS,DIS,,,,,,,0,27651855.0000000000
2023-08-09,DIS,DIS,,,,,,,0,27651855.0000000000
2023-08-10,DIS,DIS,,,,,,,0,27651855.0000000000
2023-08-11,DIS,DIS,,,,,,,0,27651855.0000000000
2023-08-15,DIS,DIS,,,,,,,0,27651855.0000000000
2023-08-16,DIS,DIS,,,,,,,0,27651855.0000000000
2023-08-17,DIS,DIS,,,,,,,0,27651855.0000000000
2023-08-18,DIS,DIS,,,,,,,0,27651855.0000000000
2023-08-22,DIS,DIS,,,,,,,0,27651855.0000000000
2023-08-23,DIS,DIS,,,,,,,0,27651855.0000000000
2023-08-24,DIS,DIS,,,,,,,0,27651855.0000000000
2023-08-25,DIS,DIS,,,,,,,0,27651855.0000000000
2023-08-28,DIS,DIS,,,,,,,0,27651855.0000000000
2023-08-29,DIS,DIS,,,,,,,0,27651855.0000000000
2023-08-30,DIS,DIS,,,,,,,0,27651855.0000000000
2023-08-31,DIS,DIS,,,,,,,0,27651855.0000000000
2023-09-01,DIS,DIS,,,,,,,0,27651855.0000000000
2023-09-04,DIS,DIS,,,,,,,0,27651855.0000000000
2023-09-05,DIS,DIS,,,,,,,0,27651855.0000000000
2023-09-06,DIS,DIS,,,,,,,0,27651855.0000000000
2023-09-07,DIS,DIS,,,,,,,0,27651855.0000000000
2023-09-08,DIS,DIS,,,,,,,0,27651855.0000000000
2023-09-11,DIS,DIS,,,,,,,0,27651855.0000000000
2023-09-12,DIS,DIS,,,,,,,0,27651855.0000000000
2023-09-13,DIS,DIS,,,,,,,0,27651855.0000000000
2023-09-14,DIS,DIS,,,,,,,0,27651855.0000000000
2023-09-15,DIS,DIS,,,,,,,0,27651855.0000000000
2023-09-18,DIS,DIS,,,,,,,0,27651855.0000000000
