Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,DRI,DRI,,3638.0000000000,,,,,0,1085488250.0000000000
2023-04-04,DRI,DRI,,3638.0000000000,,,,,0,1085488250.0000000000
2023-04-05,DRI,DRI,,3638.0000000000,,,,,0,1085488250.0000000000
2023-04-06,DRI,DRI,,3638.0000000000,,,,,0,1085488250.0000000000
2023-04-07,DRI,DRI,,3638.0000000000,,,,,0,1085488250.0000000000
2023-04-10,DRI,DRI,,3638.0000000000,,,,,0,1085488250.0000000000
2023-04-11,DRI,DRI,,3638.0000000000,,,,,0,1085488250.0000000000
2023-04-12,DRI,DRI,,3638.0000000000,,,,,0,1085488250.0000000000
2023-04-13,DRI,DRI,3750.0000000000,3750.0000000000,3750.0000000000,3750.0000000000,600.0000000000,2250000.0000000000,2,1118906250.0000000000
2023-04-14,DRI,DRI,,3750.0000000000,,,,,0,1118906250.0000000000
2023-04-17,DRI,DRI,,3750.0000000000,,,,,0,1118906250.0000000000
2023-04-18,DRI,DRI,,3750.0000000000,,,,,0,1118906250.0000000000
2023-04-19,DRI,DRI,,3750.0000000000,,,,,0,1118906250.0000000000
2023-04-20,DRI,DRI,,3750.0000000000,,,,,0,1118906250.0000000000
2023-04-21,DRI,DRI,,3750.0000000000,,,,,0,1118906250.0000000000
2023-04-25,DRI,DRI,,3750.0000000000,,,,,0,1118906250.0000000000
2023-04-26,DRI,DRI,3651.0000000000,3651.0000000000,3651.0000000000,3651.0000000000,5.0000000000,18255.0000000000,1,1089367125.0000000000
2023-04-27,DRI,DRI,3649.0000000000,3649.0000000000,3649.0000000000,3649.0000000000,5.0000000000,18245.0000000000,1,1088770375.0000000000
2023-04-28,DRI,DRI,,3649.0000000000,,,,,0,1088770375.0000000000
2023-05-02,DRI,DRI,,3649.0000000000,,,,,0,1088770375.0000000000
2023-05-03,DRI,DRI,,3649.0000000000,,,,,0,1088770375.0000000000
2023-05-04,DRI,DRI,,3649.0000000000,,,,,0,1088770375.0000000000
2023-05-05,DRI,DRI,,3649.0000000000,,,,,0,1088770375.0000000000
2023-05-08,DRI,DRI,,3649.0000000000,,,,,0,1088770375.0000000000
2023-05-09,DRI,DRI,,3649.0000000000,,,,,0,1088770375.0000000000
2023-05-10,DRI,DRI,,3649.0000000000,,,,,0,1088770375.0000000000
2023-05-11,DRI,DRI,,3649.0000000000,,,,,0,1088770375.0000000000
2023-05-12,DRI,DRI,,3649.0000000000,,,,,0,1088770375.0000000000
2023-05-15,DRI,DRI,,3649.0000000000,,,,,0,1088770375.0000000000
2023-05-16,DRI,DRI,,3649.0000000000,,,,,0,1088770375.0000000000
2023-05-17,DRI,DRI,,3649.0000000000,,,,,0,1088770375.0000000000
2023-05-18,DRI,DRI,,3649.0000000000,,,,,0,1088770375.0000000000
2023-05-19,DRI,DRI,,3649.0000000000,,,,,0,1088770375.0000000000
2023-05-22,DRI,DRI,,3649.0000000000,,,,,0,1088770375.0000000000
2023-05-23,DRI,DRI,3504.0000000000,3504.0000000000,3504.0000000000,3504.0000000000,1.0000000000,3504.0000000000,1,1045506000.0000000000
2023-05-24,DRI,DRI,3364.0000000000,3364.0000000000,3364.0000000000,3364.0000000000,5.0000000000,16820.0000000000,1,1003733500.0000000000
2023-05-25,DRI,DRI,3300.0000000000,3300.0000000000,3300.0000000000,3300.0000000000,1.0000000000,3300.0000000000,1,984637500.0000000000
2023-05-26,DRI,DRI,,3300.0000000000,,,,,0,984637500.0000000000
2023-05-29,DRI,DRI,3430.0000000000,3430.0000000000,3430.0000000000,3430.0000000000,5.0000000000,17150.0000000000,2,1023426250.0000000000
2023-05-30,DRI,DRI,3560.0000000000,3560.0000000000,3560.0000000000,3560.0000000000,8.0000000000,28480.0000000000,2,1062215000.0000000000
2023-05-31,DRI,DRI,3700.0000000000,3700.0000000000,3700.0000000000,3700.0000000000,8.0000000000,29600.0000000000,4,1103987500.0000000000
2023-06-01,DRI,DRI,,3700.0000000000,,,,,0,1103987500.0000000000
2023-06-02,DRI,DRI,,3700.0000000000,,,,,0,1103987500.0000000000
2023-06-05,DRI,DRI,,3700.0000000000,,,,,0,1103987500.0000000000
2023-06-06,DRI,DRI,3700.0000000000,3700.0000000000,3700.0000000000,3700.0000000000,5.0000000000,18500.0000000000,1,1103987500.0000000000
2023-06-07,DRI,DRI,,3700.0000000000,,,,,0,1103987500.0000000000
2023-06-08,DRI,DRI,,3700.0000000000,,,,,0,1103987500.0000000000
2023-06-09,DRI,DRI,,3700.0000000000,,,,,0,1103987500.0000000000
2023-06-12,DRI,DRI,,3700.0000000000,,,,,0,1103987500.0000000000
2023-06-13,DRI,DRI,3560.0000000000,3560.0000000000,3560.0000000000,3560.0000000000,3.0000000000,10680.0000000000,2,1062215000.0000000000
2023-06-14,DRI,DRI,3418.0000000000,3418.0000000000,3418.0000000000,3418.0000000000,8.0000000000,27344.0000000000,1,1019845750.0000000000
2023-06-15,DRI,DRI,3283.0000000000,3283.0000000000,3283.0000000000,3283.0000000000,759.0000000000,2491797.0000000000,2,979565125.0000000000
2023-06-16,DRI,DRI,3414.0000000000,3414.0000000000,3414.0000000000,3414.0000000000,3.0000000000,10242.0000000000,1,1018652250.0000000000
2023-06-19,DRI,DRI,,3414.0000000000,,,,,0,1018652250.0000000000
2023-06-20,DRI,DRI,3550.0000000000,3550.0000000000,3550.0000000000,3550.0000000000,1.0000000000,3550.0000000000,1,1059231250.0000000000
2023-06-21,DRI,DRI,3691.0000000000,3691.0000000000,3691.0000000000,3691.0000000000,7.0000000000,25837.0000000000,2,1101302125.0000000000
2023-06-22,DRI,DRI,3730.0000000000,3730.0000000000,3730.0000000000,3730.0000000000,10.0000000000,37300.0000000000,1,1112938750.0000000000
2023-06-23,DRI,DRI,,3730.0000000000,,,,,0,1112938750.0000000000
2023-06-26,DRI,DRI,,3730.0000000000,,,,,0,1112938750.0000000000
2023-06-27,DRI,DRI,,3730.0000000000,,,,,0,1112938750.0000000000
2023-06-28,DRI,DRI,,3730.0000000000,,,,,0,1112938750.0000000000
2023-07-03,DRI,DRI,,3730.0000000000,,,,,0,1112938750.0000000000
2023-07-04,DRI,DRI,,3730.0000000000,,,,,0,1112938750.0000000000
2023-07-05,DRI,DRI,,3730.0000000000,,,,,0,1112938750.0000000000
2023-07-06,DRI,DRI,,3730.0000000000,,,,,0,1112938750.0000000000
2023-07-07,DRI,DRI,,3730.0000000000,,,,,0,1112938750.0000000000
2023-07-10,DRI,DRI,,3730.0000000000,,,,,0,1112938750.0000000000
2023-07-11,DRI,DRI,3730.0000000000,3730.0000000000,3730.0000000000,3730.0000000000,20.0000000000,74600.0000000000,1,1112938750.0000000000
2023-07-12,DRI,DRI,,3730.0000000000,,,,,0,1112938750.0000000000
2023-07-13,DRI,DRI,,3730.0000000000,,,,,0,1112938750.0000000000
2023-07-14,DRI,DRI,,3730.0000000000,,,,,0,1112938750.0000000000
2023-07-17,DRI,DRI,,3730.0000000000,,,,,0,1112938750.0000000000
