Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,DWY,DWY,,748.0000000000,,,,,0,1410549976.0000000000
2023-04-04,DWY,DWY,,748.0000000000,,,,,0,1410549976.0000000000
2023-04-05,DWY,DWY,,748.0000000000,,,,,0,1410549976.0000000000
2023-04-06,DWY,DWY,745.0000000000,720.0000000000,745.0000000000,720.0000000000,416.0000000000,300125.0000000000,9,1357748640.0000000000
2023-04-07,DWY,DWY,710.0000000000,739.0000000000,739.0000000000,710.0000000000,7.0000000000,5028.0000000000,4,1393578118.0000000000
2023-04-10,DWY,DWY,744.9000000000,743.0000000000,744.9000000000,743.0000000000,8.0000000000,5949.6000000000,4,1401121166.0000000000
2023-04-11,DWY,DWY,,743.0000000000,,,,,0,1401121166.0000000000
2023-04-12,DWY,DWY,716.0000000000,710.0000000000,716.0000000000,710.0000000000,842.0000000000,598875.3000000000,284,1338891020.0000000000
2023-04-13,DWY,DWY,705.0000000000,729.9000000000,729.9000000000,705.0000000000,2.0000000000,1434.9000000000,2,1376417683.8000000000
2023-04-14,DWY,DWY,705.5000000000,720.0000000000,720.0000000000,705.5000000000,6.0000000000,4247.5000000000,3,1357748640.0000000000
2023-04-17,DWY,DWY,719.9000000000,719.9000000000,719.9000000000,719.9000000000,1.0000000000,719.9000000000,1,1357560063.8000000000
2023-04-18,DWY,DWY,,719.9000000000,,,,,0,1357560063.8000000000
2023-04-19,DWY,DWY,,719.9000000000,,,,,0,1357560063.8000000000
2023-04-20,DWY,DWY,720.0000000000,720.0000000000,720.0000000000,720.0000000000,5.0000000000,3600.0000000000,1,1357748640.0000000000
2023-04-21,DWY,DWY,729.9000000000,729.9000000000,729.9000000000,729.9000000000,2.0000000000,1459.8000000000,2,1376417683.8000000000
2023-04-25,DWY,DWY,719.9000000000,719.9000000000,719.9000000000,719.9000000000,1200.0000000000,863880.0000000000,1,1357560063.8000000000
2023-04-26,DWY,DWY,708.0000000000,705.0000000000,708.0000000000,700.0000000000,161.0000000000,113567.3000000000,8,1329462210.0000000000
2023-04-27,DWY,DWY,705.0000000000,730.0000000000,730.0000000000,705.0000000000,87.0000000000,61410.0000000000,12,1376606260.0000000000
2023-04-28,DWY,DWY,729.5000000000,729.5000000000,729.5000000000,729.5000000000,8.0000000000,5836.0000000000,2,1375663379.0000000000
