Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,DYT,DYT,184.0000000000,184.0000000000,184.0000000000,184.0000000000,56.0000000000,10304.0000000000,3,183652240.0000000000
2023-04-04,DYT,DYT,186.5000000000,183.3000000000,186.5000000000,183.3000000000,367.0000000000,67303.1000000000,9,182953563.0000000000
2023-04-05,DYT,DYT,,183.3000000000,,,,,0,182953563.0000000000
2023-04-06,DYT,DYT,183.3000000000,183.3000000000,183.3000000000,183.3000000000,40.0000000000,7332.0000000000,1,182953563.0000000000
2023-04-07,DYT,DYT,185.9500000000,185.9000000000,185.9500000000,185.9000000000,8.0000000000,1487.3500000000,2,185548649.0000000000
2023-04-10,DYT,DYT,185.0000000000,185.0000000000,185.0000000000,185.0000000000,7.0000000000,1295.0000000000,1,184650350.0000000000
2023-04-11,DYT,DYT,,185.0000000000,,,,,0,184650350.0000000000
2023-04-12,DYT,DYT,184.0000000000,184.0000000000,184.0000000000,184.0000000000,315.0000000000,57960.0000000000,3,183652240.0000000000
2023-04-13,DYT,DYT,184.5000000000,184.5000000000,184.5000000000,184.5000000000,1.0000000000,184.5000000000,1,184151295.0000000000
2023-04-14,DYT,DYT,184.5000000000,184.5000000000,184.5000000000,184.5000000000,4.0000000000,738.0000000000,1,184151295.0000000000
2023-04-17,DYT,DYT,185.0000000000,185.0000000000,185.0000000000,185.0000000000,279.0000000000,51615.0000000000,3,184650350.0000000000
2023-04-18,DYT,DYT,,185.0000000000,,,,,0,184650350.0000000000
2023-04-19,DYT,DYT,,185.0000000000,,,,,0,184650350.0000000000
2023-04-20,DYT,DYT,185.0000000000,184.0000000000,185.0000000000,184.0000000000,361.0000000000,66774.0000000000,5,183652240.0000000000
2023-04-21,DYT,DYT,,184.0000000000,,,,,0,183652240.0000000000
2023-04-25,DYT,DYT,,184.0000000000,,,,,0,183652240.0000000000
2023-04-26,DYT,DYT,,184.0000000000,,,,,0,183652240.0000000000
2023-04-27,DYT,DYT,182.1000000000,180.0000000000,182.1000000000,180.0000000000,650.0000000000,117440.4000000000,7,179659800.0000000000
2023-04-28,DYT,DYT,180.2000000000,185.3000000000,185.3000000000,180.0000000000,1218.0000000000,219900.1500000000,24,184949783.0000000000
2023-05-02,DYT,DYT,183.7000000000,180.0000000000,189.9500000000,180.0000000000,811.0000000000,147535.6500000000,23,179659800.0000000000
2023-05-03,DYT,DYT,184.8000000000,184.8000000000,184.8000000000,184.8000000000,1.0000000000,184.8000000000,1,184450728.0000000000
2023-05-04,DYT,DYT,184.9000000000,185.0000000000,185.0000000000,184.9000000000,175.0000000000,32368.5000000000,4,184650350.0000000000
2023-05-05,DYT,DYT,185.0000000000,185.0000000000,186.3000000000,185.0000000000,419.0000000000,77645.0000000000,6,184650350.0000000000
2023-05-08,DYT,DYT,187.0000000000,183.5500000000,187.0000000000,183.5000000000,36.0000000000,6641.5500000000,4,183203090.5000000000
2023-05-09,DYT,DYT,187.7000000000,187.7000000000,187.7000000000,187.7000000000,1.0000000000,187.7000000000,1,187345247.0000000000
2023-05-10,DYT,DYT,184.0000000000,184.0000000000,184.0000000000,184.0000000000,9.0000000000,1656.0000000000,1,183652240.0000000000
2023-05-11,DYT,DYT,185.0000000000,185.0000000000,185.0500000000,185.0000000000,707.0000000000,130795.0500000000,12,184650350.0000000000
2023-05-12,DYT,DYT,188.0000000000,188.0000000000,188.0000000000,184.0000000000,152.0000000000,28023.4500000000,8,187644680.0000000000
2023-05-15,DYT,DYT,188.0000000000,195.0000000000,199.2500000000,188.0000000000,1819.0000000000,351861.1500000000,52,194631450.0000000000
2023-05-16,DYT,DYT,195.0000000000,195.0000000000,204.9500000000,191.2000000000,1084.0000000000,214969.9000000000,28,194631450.0000000000
2023-05-17,DYT,DYT,200.0500000000,200.0000000000,204.9000000000,196.0000000000,4605.0000000000,921216.1000000000,38,199622000.0000000000
2023-05-18,DYT,DYT,204.8000000000,204.9000000000,205.0000000000,200.0000000000,368.0000000000,74599.4000000000,24,204512739.0000000000
2023-05-19,DYT,DYT,204.9000000000,200.0000000000,204.9500000000,200.0000000000,584.0000000000,117016.3000000000,14,199622000.0000000000
2023-05-22,DYT,DYT,200.1000000000,200.0000000000,204.9000000000,200.0000000000,393.0000000000,78688.6000000000,6,199622000.0000000000
2023-05-23,DYT,DYT,199.8500000000,199.8000000000,204.3500000000,199.8000000000,1149.0000000000,229574.8500000000,15,199422378.0000000000
2023-05-24,DYT,DYT,198.0000000000,199.4000000000,199.5000000000,196.8500000000,344.0000000000,67848.4000000000,13,199023134.0000000000
2023-05-25,DYT,DYT,199.7500000000,199.7500000000,199.7500000000,199.7500000000,20.0000000000,3995.0000000000,1,199372472.5000000000
2023-05-26,DYT,DYT,199.8500000000,200.0000000000,200.0000000000,197.0000000000,103.0000000000,20470.7000000000,7,199622000.0000000000
2023-05-29,DYT,DYT,,200.0000000000,,,,,0,199622000.0000000000
2023-05-30,DYT,DYT,197.0000000000,200.0000000000,200.0000000000,196.8500000000,98.0000000000,19464.4500000000,7,199622000.0000000000
2023-05-31,DYT,DYT,202.0000000000,196.8500000000,202.0000000000,196.8500000000,2202.0000000000,433768.7500000000,29,196477953.5000000000
2023-06-01,DYT,DYT,196.8000000000,196.8000000000,196.8000000000,196.8000000000,115.0000000000,22632.0000000000,2,196428048.0000000000
2023-06-02,DYT,DYT,196.8000000000,195.0000000000,196.8000000000,195.0000000000,300.0000000000,58520.0000000000,13,194631450.0000000000
2023-06-05,DYT,DYT,196.8000000000,193.1000000000,196.8000000000,193.1000000000,214.0000000000,41475.7000000000,6,192735041.0000000000
2023-06-06,DYT,DYT,195.0000000000,193.5000000000,196.0000000000,193.5000000000,137.0000000000,26715.5000000000,6,193134285.0000000000
2023-06-07,DYT,DYT,196.0000000000,187.0000000000,196.0000000000,187.0000000000,2539.0000000000,482349.4500000000,39,186646570.0000000000
2023-06-08,DYT,DYT,187.1000000000,190.0000000000,191.0000000000,187.1000000000,126.0000000000,23927.0000000000,6,189640900.0000000000
2023-06-09,DYT,DYT,191.0000000000,191.0000000000,191.0000000000,186.2500000000,152.0000000000,28533.2500000000,7,190639010.0000000000
2023-06-12,DYT,DYT,191.0000000000,191.0000000000,191.0000000000,191.0000000000,257.0000000000,49087.0000000000,2,190639010.0000000000
2023-06-13,DYT,DYT,188.1500000000,194.0000000000,194.0000000000,188.1500000000,508.0000000000,96736.0000000000,9,193633340.0000000000
2023-06-14,DYT,DYT,193.9500000000,192.5000000000,193.9500000000,190.0000000000,137.0000000000,26307.8500000000,6,192136175.0000000000
2023-06-15,DYT,DYT,194.0000000000,194.0000000000,194.0000000000,194.0000000000,3.0000000000,582.0000000000,1,193633340.0000000000
2023-06-16,DYT,DYT,191.2000000000,193.0000000000,193.8000000000,191.2000000000,140.0000000000,27018.0000000000,4,192635230.0000000000
2023-06-19,DYT,DYT,193.0000000000,198.0000000000,199.0000000000,193.0000000000,1148.0000000000,223517.5000000000,14,197625780.0000000000
2023-06-20,DYT,DYT,198.0000000000,200.0000000000,202.0000000000,198.0000000000,6518.0000000000,1301719.5000000000,38,199622000.0000000000
2023-06-21,DYT,DYT,202.0000000000,200.1000000000,203.9000000000,200.1000000000,450.0000000000,90920.9000000000,10,199721811.0000000000
2023-06-22,DYT,DYT,202.3000000000,206.0000000000,208.9500000000,202.3000000000,1625.0000000000,333108.6000000000,23,205610660.0000000000
2023-06-23,DYT,DYT,206.0000000000,208.0000000000,208.5000000000,206.0000000000,628.0000000000,129539.5000000000,10,207606880.0000000000
2023-06-26,DYT,DYT,208.0000000000,207.9500000000,208.0000000000,207.9500000000,11.0000000000,2287.5000000000,2,207556974.5000000000
2023-06-27,DYT,DYT,204.0000000000,206.9000000000,206.9000000000,204.0000000000,586.0000000000,119697.4000000000,10,206508959.0000000000
2023-06-28,DYT,DYT,202.1000000000,206.0000000000,206.0000000000,202.0000000000,611.0000000000,124400.0000000000,9,205610660.0000000000
2023-07-03,DYT,DYT,202.1000000000,202.0000000000,202.1000000000,202.0000000000,80.0000000000,16165.5000000000,3,201618220.0000000000
2023-07-04,DYT,DYT,203.0000000000,203.0000000000,203.1000000000,203.0000000000,134.0000000000,27202.1000000000,5,202616330.0000000000
2023-07-05,DYT,DYT,202.0000000000,201.0000000000,207.3000000000,201.0000000000,853.0000000000,172730.3000000000,9,200620110.0000000000
2023-07-06,DYT,DYT,204.0000000000,204.0000000000,204.0000000000,204.0000000000,4.0000000000,816.0000000000,2,203614440.0000000000
2023-07-07,DYT,DYT,206.0000000000,205.0000000000,206.0000000000,201.0000000000,24.0000000000,4899.0000000000,4,204612550.0000000000
2023-07-10,DYT,DYT,200.0000000000,203.5000000000,204.0000000000,200.0000000000,259.0000000000,52794.0000000000,4,203115385.0000000000
2023-07-11,DYT,DYT,202.0000000000,204.9500000000,204.9500000000,200.2000000000,277.0000000000,55972.7000000000,8,204562644.5000000000
2023-07-12,DYT,DYT,,204.9500000000,,,,,0,204562644.5000000000
2023-07-13,DYT,DYT,200.0000000000,201.0000000000,204.0000000000,200.0000000000,202.0000000000,40824.0000000000,4,200620110.0000000000
2023-07-14,DYT,DYT,201.1500000000,204.0000000000,204.0000000000,201.1500000000,55.0000000000,11077.5000000000,2,203614440.0000000000
2023-07-17,DYT,DYT,204.0000000000,204.0000000000,204.0000000000,202.0000000000,37.0000000000,7534.0000000000,4,203614440.0000000000
2023-07-18,DYT,DYT,204.0000000000,201.0000000000,204.0000000000,200.0000000000,266.0000000000,53665.3500000000,21,200620110.0000000000
2023-07-20,DYT,DYT,204.0000000000,202.1000000000,204.0000000000,202.0500000000,188.0000000000,38057.7500000000,12,201718031.0000000000
2023-07-21,DYT,DYT,203.0000000000,204.0000000000,204.0000000000,203.0000000000,333.0000000000,67888.3000000000,13,203614440.0000000000
2023-07-24,DYT,DYT,205.0000000000,204.0000000000,205.0000000000,204.0000000000,1163.0000000000,237276.0000000000,12,203614440.0000000000
2023-07-25,DYT,DYT,204.0000000000,204.0000000000,204.0000000000,203.3000000000,766.0000000000,156232.0000000000,11,203614440.0000000000
2023-07-26,DYT,DYT,204.0000000000,205.2000000000,205.2000000000,204.0000000000,722.0000000000,147606.7000000000,20,204812172.0000000000
2023-07-27,DYT,DYT,205.2500000000,207.5000000000,209.9000000000,205.2500000000,1048.0000000000,217549.1000000000,30,207107825.0000000000
2023-07-28,DYT,DYT,203.0000000000,200.0000000000,203.0000000000,197.0000000000,5898.0000000000,1164740.0000000000,33,199622000.0000000000
2023-07-31,DYT,DYT,200.0000000000,200.0000000000,204.0000000000,199.0000000000,798.0000000000,159633.0000000000,10,199622000.0000000000
2023-08-01,DYT,DYT,200.0000000000,200.0000000000,200.2500000000,200.0000000000,853.0000000000,170613.6000000000,11,199622000.0000000000
2023-08-02,DYT,DYT,202.9000000000,200.0500000000,203.0000000000,200.0500000000,254.0000000000,50974.0000000000,6,199671905.5000000000
2023-08-03,DYT,DYT,201.0000000000,200.0000000000,202.2500000000,200.0000000000,608.0000000000,121923.1000000000,13,199622000.0000000000
2023-08-04,DYT,DYT,200.0000000000,202.9000000000,202.9000000000,200.0000000000,14.0000000000,2808.7000000000,5,202516519.0000000000
2023-08-07,DYT,DYT,202.9000000000,199.0000000000,202.9000000000,198.8000000000,201.0000000000,40027.6000000000,10,198623890.0000000000
2023-08-08,DYT,DYT,199.0000000000,199.0500000000,199.0500000000,199.0000000000,132.0000000000,26272.1000000000,7,198673795.5000000000
2023-08-09,DYT,DYT,199.0000000000,199.0000000000,199.0000000000,198.9000000000,220.0000000000,43775.6000000000,6,198623890.0000000000
2023-08-10,DYT,DYT,,199.0000000000,,,,,0,198623890.0000000000
2023-08-11,DYT,DYT,199.5000000000,200.0000000000,202.9500000000,198.9000000000,86.0000000000,17191.5500000000,9,199622000.0000000000
2023-08-15,DYT,DYT,199.0000000000,202.0000000000,202.0000000000,198.8000000000,450.0000000000,89648.8000000000,9,201618220.0000000000
2023-08-16,DYT,DYT,199.0000000000,199.0000000000,199.0000000000,199.0000000000,20.0000000000,3980.0000000000,2,198623890.0000000000
2023-08-17,DYT,DYT,201.0000000000,198.4500000000,201.0000000000,198.4500000000,8.0000000000,1595.2500000000,2,198074929.5000000000
2023-08-18,DYT,DYT,198.4500000000,200.9500000000,200.9500000000,198.0000000000,209.0000000000,41410.5000000000,14,200570204.5000000000
2023-08-22,DYT,DYT,200.0000000000,199.0000000000,200.0000000000,199.0000000000,7.0000000000,1399.0000000000,2,198623890.0000000000
2023-08-23,DYT,DYT,198.0000000000,197.6000000000,198.0000000000,197.6000000000,111.0000000000,21973.6000000000,4,197226536.0000000000
2023-08-24,DYT,DYT,197.5500000000,197.0000000000,197.5500000000,197.0000000000,250.0000000000,49355.5000000000,3,196627670.0000000000
2023-08-25,DYT,DYT,,197.0000000000,,,,,0,196627670.0000000000
2023-08-28,DYT,DYT,197.1500000000,195.2500000000,197.1500000000,195.2500000000,448.0000000000,88296.2000000000,8,194880977.5000000000
2023-08-29,DYT,DYT,195.1000000000,198.0000000000,198.0000000000,195.0500000000,43.0000000000,8426.4000000000,5,197625780.0000000000
2023-08-30,DYT,DYT,198.4500000000,197.1000000000,198.4500000000,195.0000000000,274.0000000000,53936.9000000000,9,196727481.0000000000
