Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,EQD,EQD,,875.0000000000,,,,,0,1461468750.0000000000
2023-04-04,EQD,EQD,909.9000000000,909.9000000000,909.9000000000,909.9000000000,1.0000000000,909.9000000000,1,1519760475.0000000000
2023-04-05,EQD,EQD,,909.9000000000,,,,,0,1519760475.0000000000
2023-04-06,EQD,EQD,,909.9000000000,,,,,0,1519760475.0000000000
2023-04-07,EQD,EQD,,909.9000000000,,,,,0,1519760475.0000000000
2023-04-10,EQD,EQD,,909.9000000000,,,,,0,1519760475.0000000000
2023-04-11,EQD,EQD,,909.9000000000,,,,,0,1519760475.0000000000
2023-04-12,EQD,EQD,,909.9000000000,,,,,0,1519760475.0000000000
2023-04-13,EQD,EQD,,909.9000000000,,,,,0,1519760475.0000000000
2023-04-14,EQD,EQD,946.0000000000,946.0000000000,946.0000000000,946.0000000000,20.0000000000,18920.0000000000,2,1580056500.0000000000
2023-04-17,EQD,EQD,,946.0000000000,,,,,0,1580056500.0000000000
2023-04-18,EQD,EQD,,946.0000000000,,,,,0,1580056500.0000000000
2023-04-19,EQD,EQD,,946.0000000000,,,,,0,1580056500.0000000000
2023-04-20,EQD,EQD,981.0000000000,981.0000000000,981.0000000000,981.0000000000,4.0000000000,3924.0000000000,1,1638515250.0000000000
2023-04-21,EQD,EQD,,981.0000000000,,,,,0,1638515250.0000000000
2023-04-25,EQD,EQD,,981.0000000000,,,,,0,1638515250.0000000000
2023-04-26,EQD,EQD,946.0000000000,946.0000000000,946.0000000000,946.0000000000,4.0000000000,3784.0000000000,2,1580056500.0000000000
2023-04-27,EQD,EQD,939.0000000000,939.0000000000,939.0000000000,939.0000000000,48.0000000000,45072.0000000000,2,1568364750.0000000000
2023-04-28,EQD,EQD,970.0000000000,970.0000000000,970.0000000000,970.0000000000,62.0000000000,60140.0000000000,2,1620142500.0000000000
2023-05-02,EQD,EQD,,970.0000000000,,,,,0,1620142500.0000000000
2023-05-03,EQD,EQD,,970.0000000000,,,,,0,1620142500.0000000000
2023-05-04,EQD,EQD,1005.0000000000,1005.0000000000,1005.0000000000,1005.0000000000,196.0000000000,196980.0000000000,5,1678601250.0000000000
2023-05-05,EQD,EQD,,1005.0000000000,,,,,0,1678601250.0000000000
2023-05-08,EQD,EQD,,1005.0000000000,,,,,0,1678601250.0000000000
2023-05-09,EQD,EQD,,1005.0000000000,,,,,0,1678601250.0000000000
2023-05-10,EQD,EQD,,1005.0000000000,,,,,0,1678601250.0000000000
2023-05-11,EQD,EQD,,1005.0000000000,,,,,0,1678601250.0000000000
2023-05-12,EQD,EQD,997.0000000000,997.0000000000,997.0000000000,997.0000000000,320.0000000000,319040.0000000000,2,1665239250.0000000000
2023-05-15,EQD,EQD,,997.0000000000,,,,,0,1665239250.0000000000
2023-05-16,EQD,EQD,,997.0000000000,,,,,0,1665239250.0000000000
2023-05-17,EQD,EQD,,997.0000000000,,,,,0,1665239250.0000000000
2023-05-18,EQD,EQD,,997.0000000000,,,,,0,1665239250.0000000000
2023-05-19,EQD,EQD,,997.0000000000,,,,,0,1665239250.0000000000
2023-05-22,EQD,EQD,,997.0000000000,,,,,0,1665239250.0000000000
2023-05-23,EQD,EQD,,997.0000000000,,,,,0,1665239250.0000000000
2023-05-24,EQD,EQD,,997.0000000000,,,,,0,1665239250.0000000000
2023-05-25,EQD,EQD,,997.0000000000,,,,,0,1665239250.0000000000
2023-05-26,EQD,EQD,995.0000000000,995.0000000000,995.0000000000,995.0000000000,200.0000000000,199000.0000000000,2,1661898750.0000000000
2023-05-29,EQD,EQD,995.0000000000,995.0000000000,995.0000000000,995.0000000000,30.0000000000,29850.0000000000,2,1661898750.0000000000
2023-05-30,EQD,EQD,,995.0000000000,,,,,0,1661898750.0000000000
2023-05-31,EQD,EQD,980.0000000000,980.0000000000,980.0000000000,980.0000000000,46.0000000000,45080.0000000000,5,1636845000.0000000000
2023-06-01,EQD,EQD,980.0000000000,980.0000000000,980.0000000000,980.0000000000,80.0000000000,78400.0000000000,1,1636845000.0000000000
