Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,FBR,FBR,,118.0000000000,,,,,0,169800112.0000000000
2023-04-04,FBR,FBR,,118.0000000000,,,,,0,169800112.0000000000
2023-04-05,FBR,FBR,,118.0000000000,,,,,0,169800112.0000000000
2023-04-06,FBR,FBR,,118.0000000000,,,,,0,169800112.0000000000
2023-04-07,FBR,FBR,,118.0000000000,,,,,0,169800112.0000000000
2023-04-10,FBR,FBR,111.1000000000,114.0000000000,117.9500000000,111.1000000000,37.0000000000,4172.6500000000,3,164044176.0000000000
2023-04-11,FBR,FBR,,114.0000000000,,,,,0,164044176.0000000000
2023-04-12,FBR,FBR,111.0500000000,118.1000000000,118.1000000000,111.0500000000,2.0000000000,229.1500000000,2,169944010.4000000000
2023-04-13,FBR,FBR,,118.1000000000,,,,,0,169944010.4000000000
2023-04-14,FBR,FBR,112.0500000000,112.1000000000,112.1500000000,112.0500000000,107.0000000000,11995.4000000000,4,161310106.4000000000
2023-04-17,FBR,FBR,118.8000000000,118.8000000000,118.8000000000,118.8000000000,701.0000000000,83278.8000000000,5,170951299.2000000000
2023-04-18,FBR,FBR,,118.8000000000,,,,,0,170951299.2000000000
2023-04-19,FBR,FBR,118.5000000000,118.5000000000,118.5000000000,118.5000000000,10.0000000000,1185.0000000000,1,170519604.0000000000
2023-04-20,FBR,FBR,,118.5000000000,,,,,0,170519604.0000000000
2023-04-21,FBR,FBR,118.0000000000,118.0000000000,118.0000000000,118.0000000000,50.0000000000,5900.0000000000,2,169800112.0000000000
2023-04-25,FBR,FBR,,118.0000000000,,,,,0,169800112.0000000000
2023-04-26,FBR,FBR,112.4500000000,117.4500000000,117.4500000000,112.4500000000,358.0000000000,40273.8000000000,7,169008670.8000000000
2023-04-27,FBR,FBR,110.4500000000,116.8000000000,117.0000000000,110.4500000000,771.0000000000,86243.1500000000,26,168073331.2000000000
2023-04-28,FBR,FBR,116.0000000000,117.9500000000,118.0000000000,116.0000000000,728.0000000000,84457.8500000000,12,169728162.8000000000
2023-05-02,FBR,FBR,116.0000000000,116.0000000000,116.0000000000,116.0000000000,3.0000000000,348.0000000000,2,166922144.0000000000
2023-05-03,FBR,FBR,116.0000000000,116.0000000000,116.0000000000,116.0000000000,15.0000000000,1740.0000000000,1,166922144.0000000000
2023-05-04,FBR,FBR,116.0000000000,116.0000000000,116.0000000000,116.0000000000,10.0000000000,1160.0000000000,3,166922144.0000000000
2023-05-05,FBR,FBR,111.6000000000,111.6000000000,111.6000000000,111.6000000000,100.0000000000,11160.0000000000,6,160590614.4000000000
2023-05-08,FBR,FBR,115.8000000000,115.8000000000,115.8000000000,115.8000000000,2.0000000000,231.6000000000,2,166634347.2000000000
2023-05-09,FBR,FBR,115.7500000000,113.0000000000,115.7500000000,111.8500000000,51.0000000000,5749.1500000000,5,162605192.0000000000
2023-05-10,FBR,FBR,111.9000000000,117.7500000000,117.7500000000,111.9000000000,267.0000000000,30926.1500000000,10,169440366.0000000000
2023-05-11,FBR,FBR,,117.7500000000,,,,,0,169440366.0000000000
2023-05-12,FBR,FBR,123.0000000000,123.0000000000,123.0000000000,123.0000000000,115.0000000000,14145.0000000000,8,176995032.0000000000
2023-05-15,FBR,FBR,123.0000000000,115.6500000000,123.0000000000,115.6500000000,1468.0000000000,170089.9000000000,54,166418499.6000000000
2023-05-16,FBR,FBR,115.6500000000,115.0000000000,115.6500000000,113.0000000000,240.0000000000,27604.0000000000,11,165483160.0000000000
2023-05-17,FBR,FBR,114.0000000000,113.0500000000,114.0000000000,113.0500000000,46.0000000000,5216.3000000000,6,162677141.2000000000
