Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,GAZ,GAZ,4000.0000000000,4000.0000000000,4000.0000000000,4000.0000000000,3.0000000000,12000.0000000000,2,13750000000.0000000000
2023-04-04,GAZ,GAZ,4000.0000000000,4000.0000000000,4000.0000000000,4000.0000000000,12.0000000000,48000.0000000000,3,13750000000.0000000000
2023-04-05,GAZ,GAZ,4000.0000000000,4000.0000000000,4000.0000000000,4000.0000000000,46.0000000000,184000.0000000000,5,13750000000.0000000000
2023-04-06,GAZ,GAZ,4098.0000000000,3920.0000000000,4098.0000000000,3920.0000000000,4.0000000000,15858.0000000000,4,13475000000.0000000000
2023-04-07,GAZ,GAZ,4000.0000000000,3706.0000000000,4000.0000000000,3706.0000000000,213.0000000000,793200.0000000000,22,12739375000.0000000000
2023-04-10,GAZ,GAZ,3900.0000000000,3925.0000000000,3925.0000000000,3899.0000000000,54.0000000000,210648.0000000000,6,13492187500.0000000000
2023-04-11,GAZ,GAZ,4000.0000000000,4000.0000000000,4000.0000000000,4000.0000000000,380.0000000000,1520000.0000000000,6,13750000000.0000000000
2023-04-12,GAZ,GAZ,4000.0000000000,4000.0000000000,4000.0000000000,3925.0000000000,7829.0000000000,31315775.0000000000,8,13750000000.0000000000
2023-04-13,GAZ,GAZ,4000.0000000000,4000.0000000000,4000.0000000000,3999.0000000000,1310.0000000000,5239550.0000000000,7,13750000000.0000000000
2023-04-14,GAZ,GAZ,3851.0000000000,3851.0000000000,3851.0000000000,3851.0000000000,200.0000000000,770200.0000000000,3,13237812500.0000000000
2023-04-17,GAZ,GAZ,4080.0000000000,4080.0000000000,4080.0000000000,4080.0000000000,10.0000000000,40800.0000000000,3,14025000000.0000000000
2023-04-18,GAZ,GAZ,,4080.0000000000,,,,,0,14025000000.0000000000
2023-04-19,GAZ,GAZ,4000.0000000000,3900.0000000000,4000.0000000000,3900.0000000000,7.0000000000,27800.0000000000,2,13406250000.0000000000
2023-04-20,GAZ,GAZ,3860.0000000000,3860.0000000000,3860.0000000000,3860.0000000000,10.0000000000,38600.0000000000,6,13268750000.0000000000
2023-04-21,GAZ,GAZ,3830.0000000000,3830.0000000000,3830.0000000000,3830.0000000000,25.0000000000,95750.0000000000,11,13165625000.0000000000
2023-04-25,GAZ,GAZ,3998.0000000000,3841.0000000000,3998.0000000000,3841.0000000000,3.0000000000,11680.0000000000,3,13203437500.0000000000
2023-04-26,GAZ,GAZ,3999.0000000000,3998.0000000000,3999.0000000000,3998.0000000000,11.0000000000,43979.0000000000,5,13743125000.0000000000
2023-04-27,GAZ,GAZ,3822.0000000000,3900.0000000000,3900.0000000000,3822.0000000000,15.0000000000,57408.0000000000,7,13406250000.0000000000
2023-04-28,GAZ,GAZ,3900.0000000000,3900.0000000000,3900.0000000000,3900.0000000000,30.0000000000,117000.0000000000,6,13406250000.0000000000
2023-05-02,GAZ,GAZ,3852.0000000000,3851.0000000000,3852.0000000000,3851.0000000000,2.0000000000,7703.0000000000,2,13237812500.0000000000
2023-05-03,GAZ,GAZ,,3851.0000000000,,,,,0,13237812500.0000000000
2023-05-04,GAZ,GAZ,3852.0000000000,3853.0000000000,3853.0000000000,3852.0000000000,3.0000000000,11557.0000000000,3,13244687500.0000000000
2023-05-05,GAZ,GAZ,3900.0000000000,3900.0000000000,3900.0000000000,3855.0000000000,17.0000000000,66255.0000000000,5,13406250000.0000000000
2023-05-08,GAZ,GAZ,3900.0000000000,3900.0000000000,3900.0000000000,3900.0000000000,10.0000000000,39000.0000000000,2,13406250000.0000000000
2023-05-09,GAZ,GAZ,3995.0000000000,3940.0000000000,3999.0000000000,3940.0000000000,3009.0000000000,11855983.0000000000,6,13543750000.0000000000
2023-05-10,GAZ,GAZ,3902.0000000000,3950.0000000000,3950.0000000000,3902.0000000000,210.0000000000,829020.0000000000,6,13578125000.0000000000
2023-05-11,GAZ,GAZ,3994.0000000000,3994.0000000000,3994.0000000000,3994.0000000000,5.0000000000,19970.0000000000,1,13729375000.0000000000
2023-05-12,GAZ,GAZ,3994.0000000000,4050.0000000000,4050.0000000000,3994.0000000000,6549.0000000000,26522327.0000000000,7,13921875000.0000000000
2023-05-15,GAZ,GAZ,3920.0000000000,3920.0000000000,3920.0000000000,3920.0000000000,1.0000000000,3920.0000000000,1,13475000000.0000000000
2023-05-16,GAZ,GAZ,3995.0000000000,3990.0000000000,3995.0000000000,3990.0000000000,215.0000000000,857860.0000000000,2,13715625000.0000000000
2023-05-17,GAZ,GAZ,4090.0000000000,4100.0000000000,4100.0000000000,4090.0000000000,48.0000000000,196742.0000000000,9,14093750000.0000000000
2023-05-18,GAZ,GAZ,4004.0000000000,4005.0000000000,4005.0000000000,4004.0000000000,7.0000000000,28032.0000000000,4,13767187500.0000000000
2023-05-19,GAZ,GAZ,4100.0000000000,4000.0000000000,4100.0000000000,4000.0000000000,160.0000000000,650700.0000000000,18,13750000000.0000000000
2023-05-22,GAZ,GAZ,4050.0000000000,3861.0000000000,4050.0000000000,3861.0000000000,18.0000000000,70860.0000000000,9,13272187500.0000000000
2023-05-23,GAZ,GAZ,4000.0000000000,4000.0000000000,4000.0000000000,4000.0000000000,10.0000000000,40000.0000000000,3,13750000000.0000000000
2023-05-24,GAZ,GAZ,,4000.0000000000,,,,,0,13750000000.0000000000
2023-05-25,GAZ,GAZ,,4000.0000000000,,,,,0,13750000000.0000000000
2023-05-26,GAZ,GAZ,3950.0000000000,3950.0000000000,3950.0000000000,3950.0000000000,1.0000000000,3950.0000000000,1,13578125000.0000000000
2023-05-29,GAZ,GAZ,4011.0000000000,4000.0000000000,4012.0000000000,4000.0000000000,254.0000000000,1016046.0000000000,4,13750000000.0000000000
2023-05-30,GAZ,GAZ,4000.0000000000,4000.0000000000,4000.0000000000,4000.0000000000,1515.0000000000,6060000.0000000000,8,13750000000.0000000000
2023-05-31,GAZ,GAZ,4000.0000000000,4000.0000000000,4000.0000000000,4000.0000000000,87.0000000000,348000.0000000000,1,13750000000.0000000000
2023-06-01,GAZ,GAZ,4005.0000000000,4005.0000000000,4005.0000000000,4005.0000000000,1.0000000000,4005.0000000000,1,13767187500.0000000000
2023-06-02,GAZ,GAZ,3992.0000000000,4000.0000000000,4000.0000000000,3991.0000000000,153.0000000000,611974.0000000000,3,13750000000.0000000000
2023-06-05,GAZ,GAZ,4006.0000000000,4000.0000000000,4006.0000000000,4000.0000000000,1321.0000000000,5287123.0000000000,5,13750000000.0000000000
