Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2025-12-16,GTM,GTM,461.9500000000,461.9500000000,461.9500000000,461.9500000000,7352.0000000000,3396256.4000000000,74,27717000000.0000000000
2025-12-17,GTM,GTM,508.1000000000,508.1000000000,508.1000000000,508.1000000000,5041.0000000000,2561332.1000000000,164,30486000000.0000000000
2025-12-18,GTM,GTM,558.9000000000,558.9000000000,558.9000000000,558.9000000000,12213.0000000000,6825845.7000000000,427,33534000000.0000000000
2025-12-19,GTM,GTM,614.7000000000,614.7000000000,614.7000000000,614.7000000000,57921.0000000000,35604038.7000000000,1309,36882000000.0000000000
2025-12-22,GTM,GTM,676.1000000000,676.1000000000,676.1000000000,676.1000000000,93136.0000000000,62969249.6000000000,1678,40566000000.0000000000
2025-12-23,GTM,GTM,743.7000000000,743.7000000000,743.7000000000,743.7000000000,289299.0000000000,215151666.3000000000,2283,44622000000.0000000000
2025-12-24,GTM,GTM,818.0000000000,818.0000000000,818.0000000000,818.0000000000,506005.0000000000,413912090.0000000000,4073,49080000000.0000000000
2025-12-25,GTM,GTM,899.7000000000,899.7000000000,899.7000000000,899.7000000000,635778.0000000000,572009466.6000000000,5990,53982000000.0000000000
2025-12-26,GTM,GTM,989.0000000000,809.8000000000,989.0000000000,809.8000000000,2040632.0000000000,1950300767.1000000000,19031,48588000000.0000000000
2025-12-29,GTM,GTM,770.0000000000,760.0000000000,798.0000000000,734.0000000000,925520.0000000000,699522517.7000000000,16506,45600000000.0000000000
2025-12-30,GTM,GTM,790.0000000000,835.9000000000,835.9000000000,781.0000000000,490620.0000000000,399938780.0000000000,8011,50154000000.0000000000
2025-12-31,GTM,GTM,861.2000000000,915.0000000000,915.0000000000,861.2000000000,379094.0000000000,340256111.8000000000,8129,54900000000.0000000000
2026-01-02,GTM,GTM,910.0000000000,940.0000000000,940.0000000000,882.0000000000,161689.0000000000,149165456.0000000000,4116,56400000000.0000000000
2026-01-05,GTM,GTM,930.0000000000,950.0000000000,960.0000000000,930.0000000000,250529.0000000000,237131825.4000000000,4213,57000000000.0000000000
2026-01-06,GTM,GTM,931.0000000000,943.0000000000,953.0000000000,931.0000000000,125376.0000000000,118266907.6000000000,2658,56580000000.0000000000
2026-01-07,GTM,GTM,943.0000000000,929.0000000000,960.0000000000,921.2000000000,188982.0000000000,177852530.0000000000,2848,55740000000.0000000000
2026-01-08,GTM,GTM,923.0000000000,905.1000000000,930.0000000000,900.0000000000,68188.0000000000,62075223.9000000000,2072,54306000000.0000000000
2026-01-09,GTM,GTM,903.2000000000,915.0000000000,915.0000000000,891.1000000000,76354.0000000000,68968273.6000000000,1959,54900000000.0000000000
2026-01-12,GTM,GTM,905.5000000000,899.9000000000,920.0000000000,894.6000000000,37193.0000000000,33640449.6000000000,1215,53994000000.0000000000
2026-01-13,GTM,GTM,885.3000000000,886.0000000000,899.9000000000,885.3000000000,61282.0000000000,54451888.7000000000,1216,53160000000.0000000000
2026-01-15,GTM,GTM,880.0000000000,878.5000000000,885.0000000000,863.5000000000,34906.0000000000,30553134.1000000000,1399,52710000000.0000000000
2026-01-16,GTM,GTM,870.0000000000,875.0000000000,875.0000000000,860.1000000000,47971.0000000000,41675595.8000000000,1127,52500000000.0000000000
2026-01-19,GTM,GTM,866.0000000000,851.0000000000,870.0000000000,850.3000000000,21741.0000000000,18632183.0000000000,987,51060000000.0000000000
2026-01-20,GTM,GTM,849.0000000000,848.9000000000,849.0000000000,822.0000000000,48152.0000000000,40320798.8000000000,1647,50934000000.0000000000
2026-01-21,GTM,GTM,830.2000000000,824.2000000000,838.9000000000,822.3000000000,19763.0000000000,16369072.6000000000,909,49452000000.0000000000
2026-01-22,GTM,GTM,820.0000000000,832.0000000000,864.0000000000,820.0000000000,38724.0000000000,32624722.3000000000,1273,49920000000.0000000000
2026-01-23,GTM,GTM,836.0000000000,839.0000000000,842.0000000000,835.0000000000,19875.0000000000,16642367.8000000000,562,50340000000.0000000000
2026-01-26,GTM,GTM,832.1000000000,818.0000000000,838.0000000000,806.0000000000,31565.0000000000,25912907.3000000000,995,49080000000.0000000000
2026-01-27,GTM,GTM,806.1000000000,809.1000000000,819.9000000000,805.0000000000,35106.0000000000,28435958.9000000000,777,48546000000.0000000000
2026-01-28,GTM,GTM,825.0000000000,881.0000000000,881.0000000000,825.0000000000,54578.0000000000,46678846.3000000000,1308,52860000000.0000000000
2026-01-29,GTM,GTM,888.0000000000,860.0000000000,892.0000000000,855.1000000000,36050.0000000000,31406030.6000000000,702,51600000000.0000000000
2026-01-30,GTM,GTM,846.0000000000,848.0000000000,870.0000000000,840.1000000000,12743.0000000000,10825914.7000000000,477,50880000000.0000000000
2026-02-02,GTM,GTM,840.0000000000,835.1000000000,841.0000000000,800.0000000000,15663.0000000000,12956581.0000000000,602,50106000000.0000000000
2026-02-03,GTM,GTM,824.0000000000,825.0000000000,838.0000000000,820.3000000000,13774.0000000000,11380948.3000000000,402,49500000000.0000000000
2026-02-04,GTM,GTM,817.1000000000,819.0000000000,830.0000000000,817.1000000000,21009.0000000000,17224240.2000000000,350,49140000000.0000000000
2026-02-05,GTM,GTM,815.0000000000,816.0000000000,830.0000000000,815.0000000000,32861.0000000000,26937881.6000000000,532,48960000000.0000000000
2026-02-06,GTM,GTM,805.0000000000,835.0000000000,835.0000000000,795.0000000000,56015.0000000000,45608334.5000000000,1166,50100000000.0000000000
2026-02-09,GTM,GTM,826.0000000000,827.0000000000,832.0000000000,816.0000000000,9098.0000000000,7492944.4000000000,412,49620000000.0000000000
2026-02-10,GTM,GTM,811.0000000000,818.0000000000,824.5000000000,808.0000000000,32279.0000000000,26370685.3000000000,422,49080000000.0000000000
2026-02-11,GTM,GTM,810.0000000000,820.0000000000,820.0000000000,810.0000000000,7372.0000000000,5985428.0000000000,303,49200000000.0000000000
2026-02-12,GTM,GTM,820.0000000000,845.0000000000,845.0000000000,810.5000000000,23890.0000000000,19840863.6000000000,650,50700000000.0000000000
2026-02-13,GTM,GTM,832.1000000000,850.0000000000,850.0000000000,826.0000000000,43753.0000000000,36894643.4000000000,699,51000000000.0000000000
2026-02-16,GTM,GTM,840.0000000000,848.0000000000,848.0000000000,830.1000000000,225511.0000000000,187447154.0000000000,467,50880000000.0000000000
2026-02-17,GTM,GTM,840.0000000000,830.0000000000,845.0000000000,830.0000000000,10109.0000000000,8440194.6000000000,319,49800000000.0000000000
2026-02-18,GTM,GTM,830.0000000000,830.1000000000,835.0000000000,830.0000000000,6865.0000000000,5699326.8000000000,261,49806000000.0000000000
2026-02-19,GTM,GTM,830.0000000000,835.0000000000,835.0000000000,820.1000000000,11457.0000000000,9502500.7000000000,263,50100000000.0000000000
2026-02-20,GTM,GTM,829.0000000000,838.0000000000,838.0000000000,823.1000000000,13245.0000000000,11034218.5000000000,248,50280000000.0000000000
2026-02-23,GTM,GTM,826.1000000000,825.0000000000,830.0000000000,825.0000000000,19532.0000000000,16133295.7000000000,232,49500000000.0000000000
2026-02-24,GTM,GTM,820.0000000000,828.0000000000,829.5000000000,820.0000000000,25145.0000000000,20769421.4000000000,257,49680000000.0000000000
2026-02-25,GTM,GTM,822.2000000000,830.0000000000,833.0000000000,822.0000000000,8289.0000000000,6869659.5000000000,261,49800000000.0000000000
2026-02-26,GTM,GTM,829.0000000000,825.0000000000,830.0000000000,821.4000000000,8758.0000000000,7247474.9000000000,239,49500000000.0000000000
2026-02-27,GTM,GTM,834.9000000000,820.0000000000,835.0000000000,820.0000000000,97861.0000000000,80882566.1000000000,430,49200000000.0000000000
2026-03-02,GTM,GTM,759.0000000000,757.0000000000,780.0000000000,742.0000000000,230544.0000000000,176665892.9000000000,1336,45420000000.0000000000
2026-03-03,GTM,GTM,735.0000000000,700.1000000000,740.0000000000,683.0000000000,106748.0000000000,75213321.2000000000,1430,42006000000.0000000000
2026-03-04,GTM,GTM,699.0000000000,700.0000000000,720.0000000000,689.0000000000,192870.0000000000,135951024.4000000000,2195,42000000000.0000000000
2026-03-05,GTM,GTM,714.9000000000,745.0000000000,745.0000000000,714.0000000000,44153.0000000000,32466858.6000000000,687,44700000000.0000000000
2026-03-06,GTM,GTM,760.0000000000,730.0000000000,764.0000000000,720.0000000000,53853.0000000000,39497716.8000000000,822,43800000000.0000000000
2026-03-09,GTM,GTM,700.0000000000,700.0000000000,715.0000000000,695.0000000000,25355.0000000000,17757370.2000000000,749,42000000000.0000000000
2026-03-10,GTM,GTM,732.0000000000,700.0000000000,758.9000000000,700.0000000000,30574.0000000000,21863716.9000000000,609,42000000000.0000000000
2026-03-11,GTM,GTM,707.0000000000,702.0000000000,724.9000000000,702.0000000000,20978.0000000000,14830877.4000000000,373,42120000000.0000000000
2026-03-12,GTM,GTM,705.0000000000,701.0000000000,709.7000000000,701.0000000000,26778.0000000000,18839576.0000000000,432,42060000000.0000000000
2026-03-13,GTM,GTM,704.9000000000,690.0000000000,705.0000000000,690.0000000000,501623.0000000000,350342984.2000000000,941,41400000000.0000000000
2026-03-16,GTM,GTM,695.0000000000,696.0000000000,700.0000000000,690.0000000000,18685.0000000000,12993791.7000000000,374,41760000000.0000000000
2026-03-17,GTM,GTM,695.0000000000,700.0000000000,707.0000000000,690.1000000000,20716.0000000000,14446973.4000000000,382,42000000000.0000000000
2026-03-18,GTM,GTM,723.0000000000,730.0000000000,733.0000000000,718.5000000000,37247.0000000000,27044147.8000000000,566,43800000000.0000000000
2026-03-19,GTM,GTM,723.0000000000,720.0000000000,724.9000000000,708.1000000000,15901.0000000000,11401574.9000000000,306,43200000000.0000000000
2026-03-24,GTM,GTM,725.0000000000,713.1000000000,730.0000000000,711.0000000000,14900.0000000000,10690719.5000000000,435,42786000000.0000000000
2026-03-25,GTM,GTM,713.0000000000,730.0000000000,730.0000000000,711.0000000000,45788.0000000000,33012634.6000000000,401,43800000000.0000000000
2026-03-26,GTM,GTM,729.0000000000,717.6000000000,729.0000000000,716.2000000000,21447.0000000000,15453120.7000000000,269,43056000000.0000000000
2026-03-27,GTM,GTM,720.1000000000,720.0000000000,725.0000000000,720.0000000000,8829.0000000000,6359647.4000000000,249,43200000000.0000000000
2026-03-30,GTM,GTM,720.0000000000,701.6000000000,720.0000000000,701.0000000000,13593.0000000000,9609351.0000000000,517,42096000000.0000000000
2026-03-31,GTM,GTM,705.0000000000,717.5000000000,719.0000000000,702.0000000000,19926.0000000000,14091689.5000000000,324,43050000000.0000000000
2026-04-01,GTM,GTM,720.0000000000,725.1000000000,730.0000000000,720.0000000000,9967.0000000000,7215649.5000000000,413,43506000000.0000000000
2026-04-02,GTM,GTM,718.4000000000,720.0000000000,726.0000000000,710.5000000000,15962.0000000000,11463720.3000000000,253,43200000000.0000000000
2026-04-03,GTM,GTM,712.5000000000,710.0000000000,720.0000000000,710.0000000000,43456.0000000000,31049338.8000000000,434,42600000000.0000000000
