Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,HPS,HPS,6251.0000000000,6497.0000000000,6497.0000000000,6251.0000000000,5.0000000000,32239.0000000000,3,4571282703.0000000000
2023-04-04,HPS,HPS,6500.0000000000,6500.0000000000,6500.0000000000,6500.0000000000,22.0000000000,143000.0000000000,4,4573393500.0000000000
2023-04-05,HPS,HPS,6485.0000000000,6498.0000000000,6498.0000000000,6485.0000000000,67.0000000000,435314.0000000000,4,4571986302.0000000000
2023-04-06,HPS,HPS,,6498.0000000000,,,,,0,4571986302.0000000000
2023-04-07,HPS,HPS,,6498.0000000000,,,,,0,4571986302.0000000000
2023-04-10,HPS,HPS,,6498.0000000000,,,,,0,4571986302.0000000000
2023-04-11,HPS,HPS,6495.0000000000,6495.0000000000,6495.0000000000,6495.0000000000,10.0000000000,64950.0000000000,2,4569875505.0000000000
2023-04-12,HPS,HPS,6310.0000000000,6300.0000000000,6310.0000000000,6300.0000000000,2747.0000000000,17306200.0000000000,9,4432673700.0000000000
2023-04-13,HPS,HPS,6480.0000000000,6300.0000000000,6480.0000000000,6300.0000000000,30.0000000000,190800.0000000000,4,4432673700.0000000000
2023-04-14,HPS,HPS,6300.0000000000,6300.0000000000,6300.0000000000,6150.0000000000,986.0000000000,6095828.0000000000,11,4432673700.0000000000
2023-04-17,HPS,HPS,,6300.0000000000,,,,,0,4432673700.0000000000
2023-04-18,HPS,HPS,6300.0000000000,6300.0000000000,6300.0000000000,6300.0000000000,2194.0000000000,13822200.0000000000,1,4432673700.0000000000
2023-04-19,HPS,HPS,6298.0000000000,6298.0000000000,6298.0000000000,6298.0000000000,80.0000000000,503840.0000000000,1,4431266502.0000000000
2023-04-20,HPS,HPS,,6298.0000000000,,,,,0,4431266502.0000000000
2023-04-21,HPS,HPS,6200.0000000000,6249.0000000000,6249.0000000000,6200.0000000000,950.0000000000,5890735.0000000000,2,4396790151.0000000000
2023-04-25,HPS,HPS,6199.0000000000,6200.0000000000,6200.0000000000,6199.0000000000,41.0000000000,254160.0000000000,2,4362313800.0000000000
2023-04-26,HPS,HPS,6020.0000000000,6200.0000000000,6200.0000000000,6020.0000000000,25.0000000000,153200.0000000000,7,4362313800.0000000000
2023-04-27,HPS,HPS,,6200.0000000000,,,,,0,4362313800.0000000000
2023-04-28,HPS,HPS,,6200.0000000000,,,,,0,4362313800.0000000000
2023-05-02,HPS,HPS,5955.0000000000,5955.0000000000,5955.0000000000,5955.0000000000,45.0000000000,267975.0000000000,7,4189932045.0000000000
2023-05-03,HPS,HPS,5951.0000000000,6000.0000000000,6000.0000000000,5950.0000000000,18.0000000000,107852.0000000000,4,4221594000.0000000000
2023-05-04,HPS,HPS,5850.0000000000,6190.0000000000,6190.0000000000,5850.0000000000,27.0000000000,166450.0000000000,7,4355277810.0000000000
2023-05-05,HPS,HPS,6200.0000000000,6200.0000000000,6200.0000000000,6200.0000000000,90.0000000000,558000.0000000000,3,4362313800.0000000000
2023-05-08,HPS,HPS,6100.0000000000,6200.0000000000,6200.0000000000,6100.0000000000,15.0000000000,92500.0000000000,4,4362313800.0000000000
2023-05-09,HPS,HPS,6000.0000000000,6320.0000000000,6320.0000000000,6000.0000000000,1089.0000000000,6535600.0000000000,5,4446745680.0000000000
2023-05-10,HPS,HPS,6320.0000000000,6000.0000000000,6320.0000000000,6000.0000000000,14.0000000000,84451.0000000000,10,4221594000.0000000000
2023-05-11,HPS,HPS,6000.0000000000,5900.0000000000,6000.0000000000,5800.0000000000,6423.0000000000,38170230.0000000000,45,4151234100.0000000000
2023-05-12,HPS,HPS,5900.0000000000,5900.0000000000,5900.0000000000,5900.0000000000,69.0000000000,407100.0000000000,2,4151234100.0000000000
2023-05-15,HPS,HPS,6198.0000000000,6000.0000000000,6198.0000000000,6000.0000000000,12.0000000000,72948.0000000000,4,4221594000.0000000000
2023-05-16,HPS,HPS,6100.0000000000,5900.0000000000,6100.0000000000,5900.0000000000,173.0000000000,1020910.0000000000,11,4151234100.0000000000
2023-05-17,HPS,HPS,5900.0000000000,5900.0000000000,5900.0000000000,5900.0000000000,5332.0000000000,31458800.0000000000,9,4151234100.0000000000
2023-05-18,HPS,HPS,5910.0000000000,5910.0000000000,5910.0000000000,5910.0000000000,2.0000000000,11820.0000000000,1,4158270090.0000000000
2023-05-19,HPS,HPS,5911.0000000000,5910.0000000000,5911.0000000000,5910.0000000000,5.0000000000,29553.0000000000,2,4158270090.0000000000
2023-05-22,HPS,HPS,5945.0000000000,5900.0000000000,5945.0000000000,5900.0000000000,502.0000000000,2962476.0000000000,7,4151234100.0000000000
2023-05-23,HPS,HPS,5900.0000000000,5900.0000000000,5901.0000000000,5900.0000000000,205.0000000000,1209510.0000000000,4,4151234100.0000000000
2023-05-24,HPS,HPS,,5900.0000000000,,,,,0,4151234100.0000000000
2023-05-25,HPS,HPS,5870.0000000000,5780.0000000000,5870.0000000000,5780.0000000000,480.0000000000,2791324.0000000000,31,4066802220.0000000000
2023-05-26,HPS,HPS,5800.0000000000,5500.0000000000,5800.0000000000,5500.0000000000,519.0000000000,2877005.0000000000,29,3869794500.0000000000
2023-05-29,HPS,HPS,5829.0000000000,5700.0000000000,5829.0000000000,5700.0000000000,87.0000000000,496816.0000000000,14,4010514300.0000000000
2023-05-30,HPS,HPS,5700.0000000000,5700.0000000000,5700.0000000000,5700.0000000000,373.0000000000,2126100.0000000000,6,4010514300.0000000000
2023-05-31,HPS,HPS,5700.0000000000,5500.0000000000,5701.0000000000,5500.0000000000,2123.0000000000,11741901.0000000000,50,3869794500.0000000000
2023-06-01,HPS,HPS,5535.0000000000,5560.0000000000,5560.0000000000,5535.0000000000,353.0000000000,1957580.0000000000,11,3912010440.0000000000
2023-06-02,HPS,HPS,5890.0000000000,5890.0000000000,5890.0000000000,5890.0000000000,299.0000000000,1761110.0000000000,15,4144198110.0000000000
2023-06-05,HPS,HPS,5890.0000000000,5890.0000000000,5890.0000000000,5890.0000000000,981.0000000000,5778090.0000000000,1,4144198110.0000000000
2023-06-06,HPS,HPS,5875.0000000000,5630.0000000000,5875.0000000000,5630.0000000000,795.0000000000,4477810.0000000000,29,3961262370.0000000000
2023-06-07,HPS,HPS,5780.0000000000,5780.0000000000,5780.0000000000,5780.0000000000,87.0000000000,502860.0000000000,9,4066802220.0000000000
2023-06-08,HPS,HPS,5630.0000000000,5740.0000000000,5740.0000000000,5630.0000000000,1045.0000000000,5887200.0000000000,7,4038658260.0000000000
2023-06-09,HPS,HPS,5789.0000000000,5789.0000000000,5789.0000000000,5789.0000000000,385.0000000000,2228765.0000000000,6,4073134611.0000000000
2023-06-12,HPS,HPS,5730.0000000000,5730.0000000000,5730.0000000000,5730.0000000000,60.0000000000,343800.0000000000,1,4031622270.0000000000
2023-06-13,HPS,HPS,5800.0000000000,5800.0000000000,5800.0000000000,5800.0000000000,1.0000000000,5800.0000000000,1,4080874200.0000000000
2023-06-14,HPS,HPS,5780.0000000000,5850.0000000000,5850.0000000000,5731.0000000000,389.0000000000,2264706.0000000000,15,4116054150.0000000000
2023-06-15,HPS,HPS,5750.0000000000,5950.0000000000,6000.0000000000,5750.0000000000,204.0000000000,1211798.0000000000,13,4186414050.0000000000
2023-06-16,HPS,HPS,5900.0000000000,5900.0000000000,5900.0000000000,5900.0000000000,195.0000000000,1150500.0000000000,1,4151234100.0000000000
