Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,IAM,IAM,84.5000000000,85.5000000000,86.1900000000,84.5000000000,1232.0000000000,105025.0400000000,21,75162651570.0000000000
2023-04-04,IAM,IAM,85.5000000000,84.9400000000,85.9800000000,84.9400000000,7985.0000000000,680766.7700000000,47,74670358179.6000000000
2023-04-05,IAM,IAM,85.0000000000,83.0000000000,85.9700000000,83.0000000000,25686.0000000000,2157685.8100000000,71,72964913220.0000000000
2023-04-06,IAM,IAM,85.2000000000,84.0000000000,85.3000000000,84.0000000000,15676.0000000000,1324390.6800000000,28,73844008560.0000000000
2023-04-07,IAM,IAM,85.2800000000,85.0000000000,85.4900000000,84.5000000000,35776.0000000000,3040997.1900000000,30,74723103900.0000000000
2023-04-10,IAM,IAM,85.9800000000,84.0200000000,85.9800000000,84.0200000000,11547.0000000000,975863.6500000000,71,73861590466.8000000000
2023-04-11,IAM,IAM,84.0200000000,84.1200000000,85.0000000000,84.0200000000,52332.0000000000,4421152.5100000000,20,73949500000.8000000000
2023-04-12,IAM,IAM,84.1500000000,84.2500000000,85.0000000000,84.1500000000,4808.0000000000,405187.1100000000,24,74063782395.0000000000
2023-04-13,IAM,IAM,84.4000000000,82.5000000000,84.4000000000,81.0100000000,110165.0000000000,9085851.0600000000,107,72525365550.0000000000
2023-04-14,IAM,IAM,84.0000000000,82.6100000000,84.0000000000,82.6100000000,11685.0000000000,966993.6600000000,26,72622066037.4000000000
2023-04-17,IAM,IAM,83.9000000000,82.5000000000,83.9000000000,82.2800000000,22862.0000000000,1890212.1000000000,65,72525365550.0000000000
2023-04-18,IAM,IAM,82.6000000000,82.0000000000,82.6100000000,82.0000000000,10443.0000000000,857584.8300000000,55,72085817880.0000000000
2023-04-19,IAM,IAM,82.0000000000,81.5000000000,82.0000000000,81.4000000000,63249.0000000000,5167281.5400000000,84,71646270210.0000000000
2023-04-20,IAM,IAM,81.9900000000,81.9900000000,81.9900000000,81.3000000000,4507.0000000000,368604.9700000000,36,72077026926.6000000000
2023-04-21,IAM,IAM,81.9900000000,81.0600000000,81.9900000000,81.0600000000,202233.0000000000,16413439.0500000000,95,71259468260.4000000000
2023-04-25,IAM,IAM,82.0000000000,81.5000000000,82.5000000000,81.1100000000,42826.0000000000,3489848.2300000000,38,71646270210.0000000000
2023-04-26,IAM,IAM,81.5000000000,80.1100000000,81.5000000000,80.1100000000,82537.0000000000,6653699.2700000000,150,70424327687.4000000000
2023-04-27,IAM,IAM,80.8900000000,80.4000000000,80.9900000000,80.1500000000,39174.0000000000,3144450.1100000000,98,70679265336.0000000000
2023-04-28,IAM,IAM,81.0000000000,81.0500000000,82.0000000000,81.0000000000,110024.0000000000,8915094.4800000000,77,71250677307.0000000000
2023-05-02,IAM,IAM,82.0000000000,79.0000000000,82.0000000000,79.0000000000,52579.0000000000,4209529.5800000000,186,69448531860.0000000000
2023-05-03,IAM,IAM,79.8000000000,78.3200000000,79.9900000000,78.3200000000,34889.0000000000,2746516.6200000000,154,68850747028.8000000000
2023-05-04,IAM,IAM,78.1000000000,80.0000000000,80.0000000000,77.8500000000,37080.0000000000,2924807.8300000000,137,70327627200.0000000000
2023-05-05,IAM,IAM,80.0000000000,75.5500000000,80.0000000000,75.5500000000,24722.0000000000,1881934.9200000000,113,66415652937.0000000000
2023-05-08,IAM,IAM,77.8000000000,76.1100000000,78.4500000000,76.0000000000,73258.0000000000,5601121.4900000000,137,66907946327.4000000000
2023-05-09,IAM,IAM,76.1200000000,76.2000000000,77.7000000000,75.9500000000,58826.0000000000,4475715.9700000000,114,66987064908.0000000000
2023-05-10,IAM,IAM,77.7400000000,78.7500000000,80.2000000000,77.1100000000,623648.0000000000,49037932.9300000000,234,69228758025.0000000000
2023-05-11,IAM,IAM,79.9500000000,80.5500000000,81.0000000000,79.9500000000,80201.0000000000,6426027.1400000000,94,70811129637.0000000000
2023-05-12,IAM,IAM,81.0000000000,83.0000000000,83.4900000000,81.0000000000,195548.0000000000,16224218.3200000000,197,72964913220.0000000000
2023-05-15,IAM,IAM,83.5500000000,84.9000000000,85.4400000000,83.3500000000,126026.0000000000,10726456.3600000000,127,74635194366.0000000000
2023-05-16,IAM,IAM,84.8500000000,84.3500000000,84.8500000000,84.0000000000,60337.0000000000,5088682.6100000000,64,74151691929.0000000000
2023-05-17,IAM,IAM,84.3500000000,84.0000000000,85.7000000000,83.9000000000,110013.0000000000,9248180.0500000000,126,73844008560.0000000000
2023-05-18,IAM,IAM,84.0000000000,83.5000000000,84.0000000000,83.0000000000,58287.0000000000,4866892.1900000000,67,73404460890.0000000000
2023-05-19,IAM,IAM,83.5000000000,83.5000000000,83.5000000000,83.1700000000,7679.0000000000,640467.0900000000,33,73404460890.0000000000
2023-05-22,IAM,IAM,83.9000000000,84.0000000000,84.5000000000,83.1700000000,134280.0000000000,11278935.8500000000,47,73844008560.0000000000
2023-05-23,IAM,IAM,84.0000000000,85.0000000000,85.0000000000,84.0000000000,62093.0000000000,5257168.3500000000,63,74723103900.0000000000
2023-05-24,IAM,IAM,85.0000000000,86.0000000000,86.1000000000,84.7000000000,83153.0000000000,7133733.2500000000,88,75602199240.0000000000
2023-05-25,IAM,IAM,85.9900000000,84.9500000000,85.9900000000,84.9500000000,33448.0000000000,2845904.7600000000,55,74679149133.0000000000
2023-05-26,IAM,IAM,85.7000000000,86.8000000000,87.0000000000,85.2500000000,260299.0000000000,22483164.5400000000,95,76305475512.0000000000
2023-05-29,IAM,IAM,86.5000000000,87.5000000000,87.5000000000,86.5000000000,66706.0000000000,5806570.9000000000,77,76920842250.0000000000
2023-05-30,IAM,IAM,87.5000000000,87.2000000000,88.1100000000,86.1000000000,146752.0000000000,12866063.2200000000,114,76657113648.0000000000
2023-05-31,IAM,IAM,87.2000000000,87.7000000000,87.7900000000,87.2000000000,52821.0000000000,4629383.9200000000,43,77096661318.0000000000
2023-06-01,IAM,IAM,87.4000000000,87.4000000000,87.9500000000,87.3000000000,47329.0000000000,4140004.8700000000,57,76832932716.0000000000
2023-06-02,IAM,IAM,87.4000000000,87.0000000000,87.4000000000,87.0000000000,64706.0000000000,5643348.0500000000,82,76481294580.0000000000
2023-06-05,IAM,IAM,86.8000000000,87.0000000000,87.2500000000,86.6000000000,145081.0000000000,12612352.1800000000,75,76481294580.0000000000
2023-06-06,IAM,IAM,87.5000000000,86.7000000000,87.5000000000,86.7000000000,26258.0000000000,2283735.9400000000,59,76217565978.0000000000
2023-06-07,IAM,IAM,86.9000000000,86.4500000000,87.0000000000,86.4500000000,52412.0000000000,4540108.4300000000,56,75997792143.0000000000
2023-06-08,IAM,IAM,86.4500000000,86.0200000000,86.7500000000,86.0000000000,12626.0000000000,1088877.1600000000,49,75619781146.8000000000
2023-06-09,IAM,IAM,86.0000000000,86.0500000000,86.3200000000,86.0000000000,148348.0000000000,12761050.9400000000,93,75646154007.0000000000
2023-06-12,IAM,IAM,86.0600000000,86.2000000000,86.3000000000,85.8500000000,3177.0000000000,273473.7300000000,21,75778018308.0000000000
2023-06-13,IAM,IAM,86.2000000000,86.5100000000,87.0000000000,86.1000000000,88257.0000000000,7623435.4100000000,73,76050537863.4000000000
2023-06-14,IAM,IAM,86.7000000000,87.2000000000,87.2000000000,86.7000000000,46023.0000000000,4006220.6500000000,68,76657113648.0000000000
2023-06-15,IAM,IAM,87.0000000000,91.7000000000,91.7000000000,87.0000000000,95445.0000000000,8617870.0600000000,194,80613042678.0000000000
2023-06-16,IAM,IAM,92.0000000000,95.0000000000,95.0000000000,91.7100000000,208201.0000000000,19534741.3400000000,209,83514057300.0000000000
2023-06-19,IAM,IAM,95.9700000000,95.8000000000,95.9700000000,93.0000000000,233598.0000000000,22241336.7900000000,220,84217333572.0000000000
2023-06-20,IAM,IAM,95.5000000000,98.7500000000,101.5000000000,95.5000000000,903849.0000000000,90640280.5800000000,336,86810664825.0000000000
2023-06-21,IAM,IAM,98.9000000000,96.0000000000,98.9800000000,96.0000000000,352774.0000000000,34224225.6500000000,236,84393152640.0000000000
2023-06-22,IAM,IAM,96.0000000000,96.2000000000,96.9500000000,95.5000000000,86473.0000000000,8294158.1800000000,82,84568971708.0000000000
2023-06-23,IAM,IAM,96.0000000000,97.5000000000,100.0000000000,96.0000000000,384197.0000000000,38082910.3700000000,137,85711795650.0000000000
2023-06-26,IAM,IAM,97.0500000000,97.0000000000,98.0000000000,97.0000000000,6317626.0000000000,616565903.5800000000,54,85272247980.0000000000
