Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,IBC,IBC,,18.2000000000,,,,,0,7598245.2000000000
2023-04-04,IBC,IBC,18.9200000000,18.9200000000,18.9200000000,18.9200000000,1.0000000000,18.9200000000,1,7898835.1200000000
2023-04-05,IBC,IBC,,18.9200000000,,,,,0,7898835.1200000000
2023-04-06,IBC,IBC,,18.9200000000,,,,,0,7898835.1200000000
2023-04-07,IBC,IBC,,18.9200000000,,,,,0,7898835.1200000000
2023-04-10,IBC,IBC,19.6700000000,19.6700000000,19.6700000000,19.6700000000,1.0000000000,19.6700000000,1,8211949.6200000000
2023-04-11,IBC,IBC,,19.6700000000,,,,,0,8211949.6200000000
2023-04-12,IBC,IBC,,19.6700000000,,,,,0,8211949.6200000000
2023-04-13,IBC,IBC,20.4500000000,20.4500000000,20.4500000000,20.4500000000,4.0000000000,81.8000000000,4,8537588.7000000000
2023-04-14,IBC,IBC,20.5000000000,20.5000000000,20.5000000000,20.5000000000,107.0000000000,2193.5000000000,7,8558463.0000000000
2023-04-17,IBC,IBC,21.0000000000,21.0000000000,21.0000000000,21.0000000000,8.0000000000,168.0000000000,5,8767206.0000000000
2023-04-18,IBC,IBC,21.8300000000,21.8300000000,21.8300000000,21.8300000000,13.0000000000,283.7900000000,4,9113719.3800000000
2023-04-19,IBC,IBC,,21.8300000000,,,,,0,9113719.3800000000
2023-04-20,IBC,IBC,20.9600000000,20.9600000000,20.9600000000,20.9600000000,6.0000000000,125.7600000000,1,8750506.5600000000
2023-04-21,IBC,IBC,21.7900000000,21.7900000000,21.7900000000,21.7900000000,3.0000000000,65.3700000000,1,9097019.9400000000
2023-04-25,IBC,IBC,22.2000000000,22.2000000000,22.2000000000,22.2000000000,140.0000000000,3108.0000000000,4,9268189.2000000000
2023-04-26,IBC,IBC,,22.2000000000,,,,,0,9268189.2000000000
2023-04-27,IBC,IBC,,22.2000000000,,,,,0,9268189.2000000000
2023-04-28,IBC,IBC,,22.2000000000,,,,,0,9268189.2000000000
2023-05-02,IBC,IBC,22.9500000000,22.9500000000,22.9500000000,22.9500000000,1.0000000000,22.9500000000,1,9581303.7000000000
2023-05-03,IBC,IBC,,22.9500000000,,,,,0,9581303.7000000000
2023-05-04,IBC,IBC,22.9000000000,22.9000000000,22.9000000000,22.9000000000,1.0000000000,22.9000000000,1,9560429.4000000000
2023-05-05,IBC,IBC,21.9900000000,21.9900000000,21.9900000000,21.9900000000,105.0000000000,2308.9500000000,4,9180517.1400000000
2023-05-08,IBC,IBC,,21.9900000000,,,,,0,9180517.1400000000
2023-05-09,IBC,IBC,21.1200000000,21.1200000000,21.1200000000,21.1200000000,102.0000000000,2154.2400000000,2,8817304.3200000000
2023-05-10,IBC,IBC,20.3100000000,20.3100000000,20.3100000000,20.3100000000,3.0000000000,60.9300000000,1,8479140.6600000000
2023-05-11,IBC,IBC,,20.3100000000,,,,,0,8479140.6600000000
2023-05-12,IBC,IBC,20.2600000000,20.2600000000,20.2600000000,20.2600000000,48.0000000000,972.4800000000,5,8458266.3600000000
2023-05-15,IBC,IBC,20.0000000000,20.0000000000,20.0000000000,20.0000000000,303.0000000000,6060.0000000000,3,8349720.0000000000
2023-05-16,IBC,IBC,,20.0000000000,,,,,0,8349720.0000000000
2023-05-17,IBC,IBC,20.0000000000,20.0000000000,20.0000000000,20.0000000000,4.0000000000,80.0000000000,1,8349720.0000000000
2023-05-18,IBC,IBC,20.0000000000,20.0000000000,20.0000000000,20.0000000000,106.0000000000,2120.0000000000,3,8349720.0000000000
2023-05-19,IBC,IBC,20.0000000000,20.0000000000,20.0000000000,20.0000000000,5.0000000000,100.0000000000,1,8349720.0000000000
2023-05-22,IBC,IBC,,20.0000000000,,,,,0,8349720.0000000000
2023-05-23,IBC,IBC,20.0000000000,20.0000000000,20.0000000000,20.0000000000,4.0000000000,80.0000000000,1,8349720.0000000000
2023-05-24,IBC,IBC,20.0100000000,20.0100000000,20.0100000000,20.0100000000,5.0000000000,100.0500000000,1,8353894.8600000000
2023-05-25,IBC,IBC,20.0600000000,20.0600000000,20.0600000000,20.0600000000,14.0000000000,280.8400000000,2,8374769.1600000000
2023-05-26,IBC,IBC,,20.0600000000,,,,,0,8374769.1600000000
2023-05-29,IBC,IBC,20.8000000000,20.8000000000,20.8000000000,20.8000000000,1.0000000000,20.8000000000,1,8683708.8000000000
2023-05-30,IBC,IBC,20.0200000000,20.0200000000,20.0200000000,20.0200000000,11.0000000000,220.2200000000,2,8358069.7200000000
2023-05-31,IBC,IBC,20.8000000000,20.8000000000,20.8000000000,20.8000000000,22.0000000000,457.6000000000,2,8683708.8000000000
2023-06-01,IBC,IBC,21.6300000000,21.6300000000,21.6300000000,21.6300000000,31.0000000000,670.5300000000,3,9030222.1800000000
2023-06-02,IBC,IBC,22.4000000000,22.4000000000,22.4000000000,22.4000000000,25.0000000000,560.0000000000,2,9351686.4000000000
