Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,IMO,IMO,98.0000000000,98.0000000000,98.0000000000,98.0000000000,110.0000000000,10780.0000000000,5,882686000.0000000000
2023-04-04,IMO,IMO,98.0000000000,98.0000000000,98.0000000000,98.0000000000,110.0000000000,10780.0000000000,3,882686000.0000000000
2023-04-05,IMO,IMO,98.0000000000,98.0000000000,98.0000000000,98.0000000000,10.0000000000,980.0000000000,1,882686000.0000000000
2023-04-06,IMO,IMO,98.0000000000,97.0000000000,98.0000000000,97.0000000000,816.0000000000,79504.5000000000,21,873679000.0000000000
2023-04-07,IMO,IMO,97.0100000000,97.5000000000,97.5000000000,97.0100000000,5939.0000000000,576161.5000000000,3,878182500.0000000000
2023-04-10,IMO,IMO,97.1000000000,97.0000000000,98.0000000000,97.0000000000,299.0000000000,29011.3000000000,12,873679000.0000000000
2023-04-11,IMO,IMO,,97.0000000000,,,,,0,873679000.0000000000
2023-04-12,IMO,IMO,97.0000000000,97.0000000000,98.0000000000,97.0000000000,3786.0000000000,367257.3700000000,17,873679000.0000000000
2023-04-13,IMO,IMO,98.0000000000,98.0000000000,98.0000000000,98.0000000000,20.0000000000,1960.0000000000,1,882686000.0000000000
2023-04-14,IMO,IMO,97.9900000000,97.0000000000,98.0000000000,97.0000000000,11775.0000000000,1153309.5000000000,23,873679000.0000000000
2023-04-17,IMO,IMO,97.0600000000,97.0600000000,97.0600000000,97.0600000000,15.0000000000,1455.9000000000,1,874219420.0000000000
2023-04-18,IMO,IMO,98.0000000000,98.0000000000,98.0000000000,98.0000000000,37.0000000000,3626.0000000000,2,882686000.0000000000
2023-04-19,IMO,IMO,98.0000000000,98.0000000000,98.0000000000,97.0000000000,20.0000000000,1959.0000000000,4,882686000.0000000000
2023-04-20,IMO,IMO,98.0000000000,98.0000000000,98.0000000000,98.0000000000,6.0000000000,588.0000000000,2,882686000.0000000000
2023-04-21,IMO,IMO,98.0000000000,96.0000000000,98.0000000000,96.0000000000,1589.0000000000,154031.0000000000,21,864672000.0000000000
2023-04-25,IMO,IMO,97.9000000000,97.9000000000,97.9000000000,97.9000000000,5.0000000000,489.5000000000,1,881785300.0000000000
2023-04-26,IMO,IMO,,97.9000000000,,,,,0,881785300.0000000000
2023-04-27,IMO,IMO,,97.9000000000,,,,,0,881785300.0000000000
2023-04-28,IMO,IMO,97.9000000000,95.0000000000,97.9000000000,95.0000000000,1012.0000000000,96174.8000000000,19,855665000.0000000000
2023-05-02,IMO,IMO,97.8500000000,97.9000000000,97.9000000000,97.8500000000,120.0000000000,11746.0000000000,4,881785300.0000000000
2023-05-03,IMO,IMO,97.9000000000,97.0000000000,97.9000000000,97.0000000000,323.0000000000,31574.3000000000,6,873679000.0000000000
2023-05-04,IMO,IMO,,97.0000000000,,,,,0,873679000.0000000000
2023-05-05,IMO,IMO,97.0000000000,95.8000000000,97.9000000000,95.8000000000,1062.0000000000,103696.0000000000,13,862870600.0000000000
2023-05-08,IMO,IMO,97.9000000000,97.8900000000,97.9000000000,97.8900000000,6.0000000000,587.3500000000,2,881695230.0000000000
2023-05-09,IMO,IMO,97.8000000000,97.0000000000,97.8000000000,96.2000000000,420.0000000000,40956.0000000000,8,873679000.0000000000
2023-05-10,IMO,IMO,97.0000000000,97.0000000000,97.0000000000,97.0000000000,20.0000000000,1940.0000000000,1,873679000.0000000000
2023-05-11,IMO,IMO,97.0000000000,97.1000000000,97.1000000000,97.0000000000,148.0000000000,14358.5000000000,6,874579700.0000000000
2023-05-12,IMO,IMO,97.0000000000,97.0000000000,97.0000000000,97.0000000000,204.0000000000,19788.0000000000,11,873679000.0000000000
