Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,INV,INV,,94.6000000000,,,,,0,36204933.6000000000
2023-04-04,INV,INV,97.8000000000,97.8000000000,97.8000000000,97.8000000000,3.0000000000,293.4000000000,1,37429624.8000000000
2023-04-05,INV,INV,,97.8000000000,,,,,0,37429624.8000000000
2023-04-06,INV,INV,,97.8000000000,,,,,0,37429624.8000000000
2023-04-07,INV,INV,,97.8000000000,,,,,0,37429624.8000000000
2023-04-10,INV,INV,97.7500000000,97.7500000000,97.7500000000,97.7500000000,1.0000000000,97.7500000000,1,37410489.0000000000
2023-04-11,INV,INV,,97.7500000000,,,,,0,37410489.0000000000
2023-04-12,INV,INV,,97.7500000000,,,,,0,37410489.0000000000
2023-04-13,INV,INV,,97.7500000000,,,,,0,37410489.0000000000
2023-04-14,INV,INV,,97.7500000000,,,,,0,37410489.0000000000
2023-04-17,INV,INV,96.0000000000,96.0000000000,96.0000000000,96.0000000000,10.0000000000,960.0000000000,1,36740736.0000000000
2023-04-18,INV,INV,,96.0000000000,,,,,0,36740736.0000000000
2023-04-19,INV,INV,,96.0000000000,,,,,0,36740736.0000000000
2023-04-20,INV,INV,,96.0000000000,,,,,0,36740736.0000000000
2023-04-21,INV,INV,97.7500000000,97.7500000000,97.7500000000,97.7500000000,566.0000000000,55326.5000000000,4,37410489.0000000000
2023-04-25,INV,INV,,97.7500000000,,,,,0,37410489.0000000000
2023-04-26,INV,INV,97.9400000000,97.9400000000,97.9400000000,97.9400000000,1.0000000000,97.9400000000,1,37483205.0400000000
2023-04-27,INV,INV,,97.9400000000,,,,,0,37483205.0400000000
2023-04-28,INV,INV,97.9500000000,97.9500000000,97.9500000000,97.9500000000,100.0000000000,9795.0000000000,3,37487032.2000000000
2023-05-02,INV,INV,,97.9500000000,,,,,0,37487032.2000000000
2023-05-03,INV,INV,,97.9500000000,,,,,0,37487032.2000000000
2023-05-04,INV,INV,,97.9500000000,,,,,0,37487032.2000000000
2023-05-05,INV,INV,,97.9500000000,,,,,0,37487032.2000000000
2023-05-08,INV,INV,97.9500000000,97.9500000000,97.9500000000,97.9500000000,3.0000000000,293.8500000000,1,37487032.2000000000
2023-05-09,INV,INV,94.2000000000,94.2000000000,94.2000000000,94.2000000000,13.0000000000,1224.6000000000,3,36051847.2000000000
2023-05-10,INV,INV,95.0000000000,95.0000000000,95.0000000000,95.0000000000,18.0000000000,1710.0000000000,2,36358020.0000000000
2023-05-11,INV,INV,,95.0000000000,,,,,0,36358020.0000000000
2023-05-12,INV,INV,94.0000000000,94.0000000000,94.0000000000,94.0000000000,50.0000000000,4700.0000000000,4,35975304.0000000000
2023-05-15,INV,INV,94.0000000000,94.0000000000,94.0000000000,94.0000000000,230.0000000000,21620.0000000000,6,35975304.0000000000
2023-05-16,INV,INV,,94.0000000000,,,,,0,35975304.0000000000
2023-05-17,INV,INV,,94.0000000000,,,,,0,35975304.0000000000
2023-05-18,INV,INV,,94.0000000000,,,,,0,35975304.0000000000
2023-05-19,INV,INV,,94.0000000000,,,,,0,35975304.0000000000
2023-05-22,INV,INV,97.0000000000,97.0000000000,97.0000000000,97.0000000000,20.0000000000,1940.0000000000,1,37123452.0000000000
2023-05-23,INV,INV,,97.0000000000,,,,,0,37123452.0000000000
2023-05-24,INV,INV,,97.0000000000,,,,,0,37123452.0000000000
2023-05-25,INV,INV,,97.0000000000,,,,,0,37123452.0000000000
