Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,JET,JET,200.0000000000,200.0000000000,200.0000000000,200.0000000000,710.0000000000,142000.0000000000,6,605904400.0000000000
2023-04-04,JET,JET,200.0000000000,200.0000000000,200.0000000000,200.0000000000,760.0000000000,152000.0000000000,3,605904400.0000000000
2023-04-05,JET,JET,200.0000000000,196.2000000000,200.0000000000,196.2000000000,69.0000000000,13651.8000000000,6,594392216.4000000000
2023-04-06,JET,JET,,196.2000000000,,,,,0,594392216.4000000000
2023-04-07,JET,JET,204.0000000000,204.0000000000,204.0000000000,204.0000000000,202.0000000000,41208.0000000000,4,618022488.0000000000
2023-04-10,JET,JET,204.0000000000,204.0000000000,204.0000000000,204.0000000000,1.0000000000,204.0000000000,1,618022488.0000000000
2023-04-11,JET,JET,,204.0000000000,,,,,0,618022488.0000000000
2023-04-12,JET,JET,200.0000000000,200.0000000000,200.0000000000,200.0000000000,6.0000000000,1200.0000000000,2,605904400.0000000000
2023-04-13,JET,JET,,200.0000000000,,,,,0,605904400.0000000000
2023-04-14,JET,JET,204.0000000000,204.0000000000,204.0000000000,204.0000000000,1000.0000000000,204000.0000000000,5,618022488.0000000000
2023-04-17,JET,JET,,204.0000000000,,,,,0,618022488.0000000000
2023-04-18,JET,JET,,204.0000000000,,,,,0,618022488.0000000000
2023-04-19,JET,JET,,204.0000000000,,,,,0,618022488.0000000000
2023-04-20,JET,JET,,204.0000000000,,,,,0,618022488.0000000000
2023-04-21,JET,JET,,204.0000000000,,,,,0,618022488.0000000000
2023-04-25,JET,JET,,204.0000000000,,,,,0,618022488.0000000000
2023-04-26,JET,JET,,204.0000000000,,,,,0,618022488.0000000000
2023-04-27,JET,JET,201.9000000000,202.0000000000,202.0000000000,196.4000000000,1802.0000000000,363977.6500000000,13,611963444.0000000000
2023-04-28,JET,JET,203.0000000000,200.0000000000,203.0000000000,197.0500000000,2071.0000000000,414353.7000000000,12,605904400.0000000000
2023-05-02,JET,JET,196.1500000000,196.0000000000,196.1500000000,196.0000000000,25.0000000000,4901.1000000000,4,593786312.0000000000
2023-05-03,JET,JET,201.8500000000,201.8500000000,201.8500000000,201.8500000000,5.0000000000,1009.2500000000,1,611509015.7000000000
2023-05-04,JET,JET,201.0000000000,201.0000000000,201.0000000000,201.0000000000,300.0000000000,60300.0000000000,6,608933922.0000000000
2023-05-05,JET,JET,201.7000000000,201.9000000000,201.9000000000,201.7000000000,38.0000000000,7669.0000000000,2,611660491.8000000000
2023-05-08,JET,JET,201.0000000000,200.7000000000,201.0000000000,193.0000000000,57.0000000000,11100.7000000000,9,608025065.4000000000
2023-05-09,JET,JET,194.1500000000,199.9500000000,199.9500000000,194.1500000000,6.0000000000,1189.9500000000,3,605752923.9000000000
2023-05-10,JET,JET,199.9500000000,193.0000000000,200.0000000000,193.0000000000,131.0000000000,25590.2000000000,13,584697746.0000000000
2023-05-11,JET,JET,,193.0000000000,,,,,0,584697746.0000000000
2023-05-12,JET,JET,194.5000000000,194.4500000000,194.5000000000,194.4500000000,20.0000000000,3889.5000000000,2,589090552.9000000000
