Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,LBV,LBV,,4350.0000000000,,,,,0,12588712950.0000000000
2023-04-04,LBV,LBV,4300.0000000000,4300.0000000000,4301.0000000000,4300.0000000000,4034.0000000000,17346204.0000000000,12,12444015100.0000000000
2023-04-05,LBV,LBV,4280.0000000000,4280.0000000000,4280.0000000000,4280.0000000000,6060.0000000000,25936800.0000000000,9,12386135960.0000000000
2023-04-06,LBV,LBV,,4280.0000000000,,,,,0,12386135960.0000000000
2023-04-07,LBV,LBV,4399.0000000000,4399.0000000000,4399.0000000000,4399.0000000000,23.0000000000,101177.0000000000,2,12730516843.0000000000
2023-04-10,LBV,LBV,4276.0000000000,4200.0000000000,4276.0000000000,4200.0000000000,4217.0000000000,17713805.0000000000,16,12154619400.0000000000
2023-04-11,LBV,LBV,4200.0000000000,4200.0000000000,4300.0000000000,4200.0000000000,1188.0000000000,4989700.0000000000,5,12154619400.0000000000
2023-04-12,LBV,LBV,4162.0000000000,4150.0000000000,4162.0000000000,4150.0000000000,4000.0000000000,16600514.0000000000,17,12009921550.0000000000
2023-04-13,LBV,LBV,4150.0000000000,4150.0000000000,4150.0000000000,4150.0000000000,25.0000000000,103750.0000000000,1,12009921550.0000000000
2023-04-14,LBV,LBV,4249.0000000000,4249.0000000000,4249.0000000000,4249.0000000000,100.0000000000,424900.0000000000,4,12296423293.0000000000
2023-04-17,LBV,LBV,,4249.0000000000,,,,,0,12296423293.0000000000
2023-04-18,LBV,LBV,,4249.0000000000,,,,,0,12296423293.0000000000
2023-04-19,LBV,LBV,4150.0000000000,4249.0000000000,4249.0000000000,4100.0000000000,3818.0000000000,15657052.0000000000,18,12296423293.0000000000
2023-04-20,LBV,LBV,,4249.0000000000,,,,,0,12296423293.0000000000
2023-04-21,LBV,LBV,4495.0000000000,4495.0000000000,4495.0000000000,4495.0000000000,15.0000000000,67425.0000000000,6,13008336715.0000000000
2023-04-25,LBV,LBV,,4495.0000000000,,,,,0,13008336715.0000000000
