Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,LES,LES,,248.2500000000,,,,,0,6859522357.5000000000
2023-04-04,LES,LES,,248.2500000000,,,,,0,6859522357.5000000000
2023-04-05,LES,LES,250.0000000000,250.0000000000,250.0000000000,250.0000000000,1.0000000000,250.0000000000,1,6907877500.0000000000
2023-04-06,LES,LES,250.5000000000,250.5000000000,250.5000000000,250.5000000000,1.0000000000,250.5000000000,1,6921693255.0000000000
2023-04-07,LES,LES,254.9000000000,250.0000000000,254.9000000000,250.0000000000,60.0000000000,15004.9000000000,2,6907877500.0000000000
2023-04-10,LES,LES,253.0000000000,253.0000000000,253.0000000000,253.0000000000,1.0000000000,253.0000000000,1,6990772030.0000000000
2023-04-11,LES,LES,,253.0000000000,,,,,0,6990772030.0000000000
2023-04-12,LES,LES,250.0000000000,250.0000000000,254.7500000000,250.0000000000,1241.0000000000,310254.9500000000,10,6907877500.0000000000
2023-04-13,LES,LES,,250.0000000000,,,,,0,6907877500.0000000000
2023-04-14,LES,LES,250.0500000000,250.0500000000,250.0500000000,250.0500000000,1.0000000000,250.0500000000,1,6909259075.5000000000
2023-04-17,LES,LES,250.0500000000,250.0000000000,250.0500000000,250.0000000000,59.0000000000,14750.1000000000,2,6907877500.0000000000
2023-04-18,LES,LES,250.0000000000,250.0000000000,250.0000000000,250.0000000000,318.0000000000,79500.0000000000,3,6907877500.0000000000
2023-04-19,LES,LES,255.0000000000,255.0000000000,255.0000000000,254.9500000000,40.0000000000,10199.7000000000,7,7046035050.0000000000
2023-04-20,LES,LES,250.0500000000,250.0500000000,255.0000000000,250.0500000000,28.0000000000,7006.3500000000,4,6909259075.5000000000
2023-04-21,LES,LES,250.0500000000,250.0500000000,250.0500000000,250.0500000000,10.0000000000,2500.5000000000,1,6909259075.5000000000
2023-04-25,LES,LES,250.0500000000,250.0500000000,250.0500000000,250.0500000000,179.0000000000,44758.9500000000,2,6909259075.5000000000
