Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,LHM,LHM,,1382.0000000000,,,,,0,32381973680.0000000000
2023-04-04,LHM,LHM,1404.0000000000,1386.0000000000,1404.0000000000,1386.0000000000,1994.0000000000,2799380.0000000000,8,32475698640.0000000000
2023-04-05,LHM,LHM,1400.0000000000,1400.0000000000,1400.0000000000,1400.0000000000,30.0000000000,42000.0000000000,1,32803736000.0000000000
2023-04-06,LHM,LHM,1386.0000000000,1390.0000000000,1390.0000000000,1385.0000000000,38.0000000000,52782.0000000000,3,32569423600.0000000000
2023-04-07,LHM,LHM,1400.0000000000,1390.0000000000,1430.0000000000,1390.0000000000,10322.0000000000,14747900.0000000000,5,32569423600.0000000000
2023-04-10,LHM,LHM,1430.0000000000,1430.0000000000,1430.0000000000,1430.0000000000,3623.0000000000,5180890.0000000000,13,33506673200.0000000000
2023-04-11,LHM,LHM,1430.0000000000,1400.0000000000,1449.0000000000,1400.0000000000,136.0000000000,191265.0000000000,8,32803736000.0000000000
2023-04-12,LHM,LHM,1402.0000000000,1405.0000000000,1405.0000000000,1400.0000000000,22378.0000000000,31329323.0000000000,9,32920892200.0000000000
2023-04-13,LHM,LHM,1389.0000000000,1405.0000000000,1405.0000000000,1389.0000000000,839.0000000000,1178491.0000000000,6,32920892200.0000000000
2023-04-14,LHM,LHM,1401.0000000000,1450.0000000000,1450.0000000000,1401.0000000000,19805.0000000000,28716500.0000000000,24,33975298000.0000000000
2023-04-17,LHM,LHM,1477.0000000000,1450.0000000000,1477.0000000000,1450.0000000000,2021.0000000000,2930666.0000000000,6,33975298000.0000000000
2023-04-18,LHM,LHM,1452.0000000000,1450.0000000000,1452.0000000000,1450.0000000000,681.0000000000,988550.0000000000,5,33975298000.0000000000
2023-04-19,LHM,LHM,1450.0000000000,1490.0000000000,1490.0000000000,1450.0000000000,8376.0000000000,12479200.0000000000,20,34912547600.0000000000
2023-04-20,LHM,LHM,1489.0000000000,1515.0000000000,1515.0000000000,1489.0000000000,3071.0000000000,4644859.0000000000,16,35498328600.0000000000
2023-04-21,LHM,LHM,1470.0000000000,1470.0000000000,1470.0000000000,1470.0000000000,186.0000000000,273420.0000000000,3,34443922800.0000000000
2023-04-25,LHM,LHM,1470.0000000000,1471.0000000000,1471.0000000000,1470.0000000000,346.0000000000,508965.0000000000,2,34467354040.0000000000
2023-04-26,LHM,LHM,1490.0000000000,1520.0000000000,1520.0000000000,1490.0000000000,5754.0000000000,8641080.0000000000,19,35615484800.0000000000
2023-04-27,LHM,LHM,1460.0000000000,1460.0000000000,1460.0000000000,1460.0000000000,22.0000000000,32120.0000000000,2,34209610400.0000000000
2023-04-28,LHM,LHM,1460.0000000000,1490.0000000000,1490.0000000000,1460.0000000000,1003.0000000000,1494380.0000000000,2,34912547600.0000000000
2023-05-02,LHM,LHM,1485.0000000000,1519.0000000000,1519.0000000000,1485.0000000000,474.0000000000,719262.0000000000,10,35592053560.0000000000
2023-05-03,LHM,LHM,1495.0000000000,1495.0000000000,1495.0000000000,1495.0000000000,1113.0000000000,1663935.0000000000,9,35029703800.0000000000
2023-05-04,LHM,LHM,1450.0000000000,1450.0000000000,1450.0000000000,1450.0000000000,2.0000000000,2900.0000000000,2,33975298000.0000000000
