Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,M2M,M2M,,778.0000000000,,,,,0,503970506.0000000000
2023-04-04,M2M,M2M,,778.0000000000,,,,,0,503970506.0000000000
2023-04-05,M2M,M2M,,778.0000000000,,,,,0,503970506.0000000000
2023-04-06,M2M,M2M,,778.0000000000,,,,,0,503970506.0000000000
2023-04-07,M2M,M2M,,778.0000000000,,,,,0,503970506.0000000000
2023-04-10,M2M,M2M,,778.0000000000,,,,,0,503970506.0000000000
2023-04-11,M2M,M2M,,778.0000000000,,,,,0,503970506.0000000000
2023-04-12,M2M,M2M,,778.0000000000,,,,,0,503970506.0000000000
2023-04-13,M2M,M2M,,778.0000000000,,,,,0,503970506.0000000000
2023-04-14,M2M,M2M,,778.0000000000,,,,,0,503970506.0000000000
2023-04-17,M2M,M2M,,778.0000000000,,,,,0,503970506.0000000000
2023-04-18,M2M,M2M,,778.0000000000,,,,,0,503970506.0000000000
2023-04-19,M2M,M2M,,778.0000000000,,,,,0,503970506.0000000000
2023-04-20,M2M,M2M,,778.0000000000,,,,,0,503970506.0000000000
2023-04-21,M2M,M2M,,778.0000000000,,,,,0,503970506.0000000000
2023-04-25,M2M,M2M,,778.0000000000,,,,,0,503970506.0000000000
2023-04-26,M2M,M2M,,778.0000000000,,,,,0,503970506.0000000000
2023-04-27,M2M,M2M,,778.0000000000,,,,,0,503970506.0000000000
2023-04-28,M2M,M2M,,778.0000000000,,,,,0,503970506.0000000000
2023-05-02,M2M,M2M,,778.0000000000,,,,,0,503970506.0000000000
2023-05-03,M2M,M2M,,778.0000000000,,,,,0,503970506.0000000000
2023-05-04,M2M,M2M,,778.0000000000,,,,,0,503970506.0000000000
2023-05-05,M2M,M2M,,778.0000000000,,,,,0,503970506.0000000000
2023-05-08,M2M,M2M,,778.0000000000,,,,,0,503970506.0000000000
2023-05-09,M2M,M2M,778.0000000000,778.0000000000,778.0000000000,778.0000000000,3.0000000000,2334.0000000000,1,503970506.0000000000
2023-05-10,M2M,M2M,,778.0000000000,,,,,0,503970506.0000000000
2023-05-11,M2M,M2M,,778.0000000000,,,,,0,503970506.0000000000
2023-05-12,M2M,M2M,,778.0000000000,,,,,0,503970506.0000000000
2023-05-15,M2M,M2M,,778.0000000000,,,,,0,503970506.0000000000
2023-05-16,M2M,M2M,,778.0000000000,,,,,0,503970506.0000000000
2023-05-17,M2M,M2M,,778.0000000000,,,,,0,503970506.0000000000
2023-05-18,M2M,M2M,,778.0000000000,,,,,0,503970506.0000000000
2023-05-19,M2M,M2M,,778.0000000000,,,,,0,503970506.0000000000
2023-05-22,M2M,M2M,,778.0000000000,,,,,0,503970506.0000000000
2023-05-23,M2M,M2M,789.0000000000,789.0000000000,789.0000000000,789.0000000000,160.0000000000,126240.0000000000,3,511096053.0000000000
2023-05-24,M2M,M2M,789.0000000000,789.0000000000,789.0000000000,789.0000000000,394.0000000000,310866.0000000000,3,511096053.0000000000
2023-05-25,M2M,M2M,,789.0000000000,,,,,0,511096053.0000000000
2023-05-26,M2M,M2M,,789.0000000000,,,,,0,511096053.0000000000
2023-05-29,M2M,M2M,,789.0000000000,,,,,0,511096053.0000000000
2023-05-30,M2M,M2M,,789.0000000000,,,,,0,511096053.0000000000
2023-05-31,M2M,M2M,,789.0000000000,,,,,0,511096053.0000000000
2023-06-01,M2M,M2M,,789.0000000000,,,,,0,511096053.0000000000
2023-06-02,M2M,M2M,,789.0000000000,,,,,0,511096053.0000000000
2023-06-05,M2M,M2M,,789.0000000000,,,,,0,511096053.0000000000
2023-06-06,M2M,M2M,770.0000000000,770.0000000000,770.0000000000,770.0000000000,3659.0000000000,2817430.0000000000,4,498788290.0000000000
2023-06-07,M2M,M2M,,770.0000000000,,,,,0,498788290.0000000000
2023-06-08,M2M,M2M,,770.0000000000,,,,,0,498788290.0000000000
2023-06-09,M2M,M2M,,770.0000000000,,,,,0,498788290.0000000000
2023-06-12,M2M,M2M,,770.0000000000,,,,,0,498788290.0000000000
2023-06-13,M2M,M2M,,770.0000000000,,,,,0,498788290.0000000000
2023-06-14,M2M,M2M,,770.0000000000,,,,,0,498788290.0000000000
2023-06-15,M2M,M2M,,770.0000000000,,,,,0,498788290.0000000000
2023-06-16,M2M,M2M,,770.0000000000,,,,,0,498788290.0000000000
2023-06-19,M2M,M2M,,770.0000000000,,,,,0,498788290.0000000000
2023-06-20,M2M,M2M,739.3000000000,739.3000000000,739.3000000000,739.3000000000,763.0000000000,564085.9000000000,3,478901536.1000000000
2023-06-21,M2M,M2M,730.0000000000,730.0000000000,730.0000000000,730.0000000000,9.0000000000,6570.0000000000,2,472877210.0000000000
2023-06-22,M2M,M2M,,730.0000000000,,,,,0,472877210.0000000000
2023-06-23,M2M,M2M,725.0000000000,725.0000000000,725.0000000000,725.0000000000,3.0000000000,2175.0000000000,2,469638325.0000000000
2023-06-26,M2M,M2M,,725.0000000000,,,,,0,469638325.0000000000
2023-06-27,M2M,M2M,,725.0000000000,,,,,0,469638325.0000000000
2023-06-28,M2M,M2M,,725.0000000000,,,,,0,469638325.0000000000
2023-07-03,M2M,M2M,,725.0000000000,,,,,0,469638325.0000000000
