Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,MAB,MAB,,860.0000000000,,,,,0,1190396520.0000000000
2023-04-04,MAB,MAB,,860.0000000000,,,,,0,1190396520.0000000000
2023-04-05,MAB,MAB,,860.0000000000,,,,,0,1190396520.0000000000
2023-04-06,MAB,MAB,,860.0000000000,,,,,0,1190396520.0000000000
2023-04-07,MAB,MAB,,860.0000000000,,,,,0,1190396520.0000000000
2023-04-10,MAB,MAB,890.0000000000,890.0000000000,890.0000000000,890.0000000000,3.0000000000,2670.0000000000,1,1231921980.0000000000
2023-04-11,MAB,MAB,889.0000000000,889.0000000000,889.0000000000,889.0000000000,276.0000000000,245364.0000000000,2,1230537798.0000000000
2023-04-12,MAB,MAB,,889.0000000000,,,,,0,1230537798.0000000000
2023-04-13,MAB,MAB,,889.0000000000,,,,,0,1230537798.0000000000
2023-04-14,MAB,MAB,,889.0000000000,,,,,0,1230537798.0000000000
2023-04-17,MAB,MAB,,889.0000000000,,,,,0,1230537798.0000000000
2023-04-18,MAB,MAB,889.0000000000,889.0000000000,889.0000000000,889.0000000000,4.0000000000,3556.0000000000,1,1230537798.0000000000
2023-04-19,MAB,MAB,,889.0000000000,,,,,0,1230537798.0000000000
2023-04-20,MAB,MAB,,889.0000000000,,,,,0,1230537798.0000000000
2023-04-21,MAB,MAB,,889.0000000000,,,,,0,1230537798.0000000000
2023-04-25,MAB,MAB,,889.0000000000,,,,,0,1230537798.0000000000
2023-04-26,MAB,MAB,,889.0000000000,,,,,0,1230537798.0000000000
2023-04-27,MAB,MAB,,889.0000000000,,,,,0,1230537798.0000000000
2023-04-28,MAB,MAB,889.0000000000,889.0000000000,889.0000000000,889.0000000000,7.0000000000,6223.0000000000,1,1230537798.0000000000
2023-05-02,MAB,MAB,889.0000000000,889.0000000000,889.0000000000,889.0000000000,73.0000000000,64897.0000000000,2,1230537798.0000000000
2023-05-03,MAB,MAB,,889.0000000000,,,,,0,1230537798.0000000000
2023-05-04,MAB,MAB,,889.0000000000,,,,,0,1230537798.0000000000
2023-05-05,MAB,MAB,855.0000000000,855.0000000000,855.0000000000,855.0000000000,64.0000000000,54720.0000000000,2,1183475610.0000000000
2023-05-08,MAB,MAB,,855.0000000000,,,,,0,1183475610.0000000000
2023-05-09,MAB,MAB,,855.0000000000,,,,,0,1183475610.0000000000
2023-05-10,MAB,MAB,,855.0000000000,,,,,0,1183475610.0000000000
2023-05-11,MAB,MAB,,855.0000000000,,,,,0,1183475610.0000000000
2023-05-12,MAB,MAB,,855.0000000000,,,,,0,1183475610.0000000000
2023-05-15,MAB,MAB,,855.0000000000,,,,,0,1183475610.0000000000
2023-05-16,MAB,MAB,880.0000000000,880.0000000000,880.0000000000,880.0000000000,5.0000000000,4400.0000000000,1,1218080160.0000000000
2023-05-17,MAB,MAB,,880.0000000000,,,,,0,1218080160.0000000000
2023-05-18,MAB,MAB,,880.0000000000,,,,,0,1218080160.0000000000
2023-05-19,MAB,MAB,,880.0000000000,,,,,0,1218080160.0000000000
2023-05-22,MAB,MAB,,880.0000000000,,,,,0,1218080160.0000000000
2023-05-23,MAB,MAB,,880.0000000000,,,,,0,1218080160.0000000000
2023-05-24,MAB,MAB,,880.0000000000,,,,,0,1218080160.0000000000
2023-05-25,MAB,MAB,,880.0000000000,,,,,0,1218080160.0000000000
2023-05-26,MAB,MAB,900.0000000000,900.0000000000,900.0000000000,900.0000000000,3.0000000000,2700.0000000000,1,1245763800.0000000000
2023-05-29,MAB,MAB,914.0000000000,914.0000000000,914.0000000000,914.0000000000,3.0000000000,2742.0000000000,1,1265142348.0000000000
2023-05-30,MAB,MAB,,914.0000000000,,,,,0,1265142348.0000000000
2023-05-31,MAB,MAB,901.0000000000,901.0000000000,901.0000000000,901.0000000000,5.0000000000,4505.0000000000,1,1247147982.0000000000
2023-06-01,MAB,MAB,937.0000000000,937.0000000000,937.0000000000,937.0000000000,26.0000000000,24362.0000000000,1,1296978534.0000000000
2023-06-02,MAB,MAB,937.0000000000,937.0000000000,937.0000000000,937.0000000000,100.0000000000,93700.0000000000,1,1296978534.0000000000
2023-06-05,MAB,MAB,937.0000000000,937.0000000000,937.0000000000,937.0000000000,5.0000000000,4685.0000000000,1,1296978534.0000000000
2023-06-06,MAB,MAB,,937.0000000000,,,,,0,1296978534.0000000000
2023-06-07,MAB,MAB,,937.0000000000,,,,,0,1296978534.0000000000
2023-06-08,MAB,MAB,940.0000000000,940.0000000000,940.0000000000,940.0000000000,4.0000000000,3760.0000000000,2,1301131080.0000000000
2023-06-09,MAB,MAB,,940.0000000000,,,,,0,1301131080.0000000000
2023-06-12,MAB,MAB,,940.0000000000,,,,,0,1301131080.0000000000
2023-06-13,MAB,MAB,,940.0000000000,,,,,0,1301131080.0000000000
2023-06-14,MAB,MAB,,940.0000000000,,,,,0,1301131080.0000000000
2023-06-15,MAB,MAB,,940.0000000000,,,,,0,1301131080.0000000000
2023-06-16,MAB,MAB,,940.0000000000,,,,,0,1301131080.0000000000
2023-06-19,MAB,MAB,,940.0000000000,,,,,0,1301131080.0000000000
2023-06-20,MAB,MAB,,940.0000000000,,,,,0,1301131080.0000000000
2023-06-21,MAB,MAB,,940.0000000000,,,,,0,1301131080.0000000000
2023-06-22,MAB,MAB,,940.0000000000,,,,,0,1301131080.0000000000
2023-06-23,MAB,MAB,,940.0000000000,,,,,0,1301131080.0000000000
2023-06-26,MAB,MAB,,940.0000000000,,,,,0,1301131080.0000000000
2023-06-27,MAB,MAB,,940.0000000000,,,,,0,1301131080.0000000000
