Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,MDP,MDP,24.0000000000,23.8000000000,25.0000000000,23.8000000000,3017.0000000000,72408.2700000000,24,113854987.4000000000
2023-04-04,MDP,MDP,24.7900000000,23.7000000000,24.7900000000,23.7000000000,1435.0000000000,34020.4000000000,14,113376605.1000000000
2023-04-05,MDP,MDP,24.6700000000,24.8000000000,24.8000000000,24.5000000000,686.0000000000,16942.7500000000,12,118638810.4000000000
2023-04-06,MDP,MDP,24.8000000000,24.9000000000,24.9000000000,23.9000000000,24.0000000000,593.9000000000,3,119117192.7000000000
2023-04-07,MDP,MDP,,24.9000000000,,,,,0,119117192.7000000000
2023-04-10,MDP,MDP,24.5000000000,24.0000000000,24.5000000000,23.9600000000,830.0000000000,20014.8000000000,5,114811752.0000000000
2023-04-11,MDP,MDP,23.9900000000,23.6000000000,24.0000000000,23.6000000000,914.0000000000,21866.6200000000,7,112898222.8000000000
2023-04-12,MDP,MDP,23.5000000000,23.0100000000,23.5600000000,23.0100000000,3867.0000000000,89256.1400000000,15,110075767.2300000000
2023-04-13,MDP,MDP,23.0100000000,24.0000000000,24.0000000000,23.0100000000,570.0000000000,13238.1500000000,9,114811752.0000000000
2023-04-14,MDP,MDP,,24.0000000000,,,,,0,114811752.0000000000
2023-04-17,MDP,MDP,24.0000000000,24.0000000000,24.0000000000,24.0000000000,10.0000000000,240.0000000000,2,114811752.0000000000
2023-04-18,MDP,MDP,23.4000000000,23.4000000000,23.4000000000,23.4000000000,50.0000000000,1170.0000000000,2,111941458.2000000000
2023-04-19,MDP,MDP,23.0200000000,23.1100000000,23.9800000000,23.0200000000,605.0000000000,13976.9000000000,6,110554149.5300000000
2023-04-20,MDP,MDP,24.0000000000,24.0000000000,24.0000000000,24.0000000000,5.0000000000,120.0000000000,2,114811752.0000000000
2023-04-21,MDP,MDP,24.0000000000,23.0000000000,24.0000000000,23.0000000000,2135.0000000000,49227.1300000000,14,110027929.0000000000
2023-04-25,MDP,MDP,23.9600000000,23.9400000000,23.9600000000,23.5000000000,1030.0000000000,24223.3000000000,6,114524722.6200000000
2023-04-26,MDP,MDP,23.7000000000,23.9500000000,23.9500000000,23.5100000000,1377.0000000000,32846.1700000000,10,114572560.8500000000
2023-04-27,MDP,MDP,23.9500000000,24.3500000000,24.3500000000,23.7000000000,1651.0000000000,39254.1000000000,9,116486090.0500000000
2023-04-28,MDP,MDP,23.8000000000,23.0400000000,24.7500000000,23.0400000000,7831.0000000000,182825.8800000000,46,110219281.9200000000
2023-05-02,MDP,MDP,24.3800000000,24.0000000000,24.3800000000,23.5000000000,255.0000000000,6117.2400000000,11,114811752.0000000000
2023-05-03,MDP,MDP,24.6700000000,23.9900000000,24.6700000000,23.6000000000,228.0000000000,5434.6400000000,6,114763913.7700000000
2023-05-04,MDP,MDP,23.8000000000,23.0000000000,23.8000000000,23.0000000000,4181.0000000000,96284.2000000000,48,110027929.0000000000
2023-05-05,MDP,MDP,23.9900000000,23.9000000000,23.9900000000,23.0000000000,3195.0000000000,73588.6100000000,22,114333369.7000000000
2023-05-08,MDP,MDP,23.9400000000,23.7900000000,23.9500000000,23.0500000000,1752.0000000000,41022.3700000000,20,113807149.1700000000
2023-05-09,MDP,MDP,23.2000000000,22.9000000000,23.6800000000,22.9000000000,5740.0000000000,132402.4000000000,39,109549546.7000000000
2023-05-10,MDP,MDP,23.9000000000,22.6100000000,23.9000000000,22.6100000000,2804.0000000000,64132.1100000000,33,108162238.0300000000
2023-05-11,MDP,MDP,23.7400000000,23.0400000000,23.7400000000,22.2000000000,6246.0000000000,140157.8100000000,42,110219281.9200000000
