Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,MIC,MIC,510.0000000000,510.0000000000,510.0000000000,510.0000000000,33.0000000000,16830.0000000000,3,856800000.0000000000
2023-04-04,MIC,MIC,,510.0000000000,,,,,0,856800000.0000000000
2023-04-05,MIC,MIC,510.0000000000,510.0000000000,510.0000000000,510.0000000000,53.0000000000,27030.0000000000,2,856800000.0000000000
2023-04-06,MIC,MIC,510.0000000000,508.0000000000,510.0000000000,506.0000000000,1044.0000000000,531948.0000000000,11,853440000.0000000000
2023-04-07,MIC,MIC,,508.0000000000,,,,,0,853440000.0000000000
2023-04-10,MIC,MIC,478.0000000000,492.0000000000,513.0000000000,478.0000000000,819.0000000000,395135.5500000000,59,826560000.0000000000
2023-04-11,MIC,MIC,492.0000000000,492.0000000000,492.0000000000,492.0000000000,68.0000000000,33456.0000000000,2,826560000.0000000000
2023-04-12,MIC,MIC,,492.0000000000,,,,,0,826560000.0000000000
2023-04-13,MIC,MIC,506.0000000000,506.0000000000,506.0000000000,506.0000000000,2.0000000000,1012.0000000000,2,850080000.0000000000
2023-04-14,MIC,MIC,506.0000000000,506.0000000000,508.0000000000,506.0000000000,7.0000000000,3544.0000000000,3,850080000.0000000000
2023-04-17,MIC,MIC,,506.0000000000,,,,,0,850080000.0000000000
2023-04-18,MIC,MIC,,506.0000000000,,,,,0,850080000.0000000000
2023-04-19,MIC,MIC,,506.0000000000,,,,,0,850080000.0000000000
2023-04-20,MIC,MIC,492.6000000000,511.0000000000,511.0000000000,492.6000000000,7.0000000000,3533.6000000000,3,858480000.0000000000
2023-04-21,MIC,MIC,513.0000000000,513.0000000000,513.0000000000,513.0000000000,6.0000000000,3078.0000000000,1,861840000.0000000000
2023-04-25,MIC,MIC,,513.0000000000,,,,,0,861840000.0000000000
2023-04-26,MIC,MIC,512.9000000000,509.9000000000,512.9000000000,492.3000000000,21.0000000000,10597.1000000000,6,856632000.0000000000
2023-04-27,MIC,MIC,507.9000000000,509.9000000000,509.9000000000,507.9000000000,19.0000000000,9659.5000000000,4,856632000.0000000000
2023-04-28,MIC,MIC,509.0000000000,510.0000000000,510.0000000000,509.0000000000,80.0000000000,40741.8000000000,3,856800000.0000000000
2023-05-02,MIC,MIC,,510.0000000000,,,,,0,856800000.0000000000
2023-05-03,MIC,MIC,,510.0000000000,,,,,0,856800000.0000000000
2023-05-04,MIC,MIC,,510.0000000000,,,,,0,856800000.0000000000
2023-05-05,MIC,MIC,,510.0000000000,,,,,0,856800000.0000000000
2023-05-08,MIC,MIC,,510.0000000000,,,,,0,856800000.0000000000
2023-05-09,MIC,MIC,,510.0000000000,,,,,0,856800000.0000000000
2023-05-10,MIC,MIC,507.3000000000,505.9000000000,507.3000000000,495.0000000000,39.0000000000,19490.8000000000,6,849912000.0000000000
2023-05-11,MIC,MIC,496.1000000000,495.0000000000,496.1000000000,495.0000000000,91.0000000000,45115.5000000000,5,831600000.0000000000
2023-05-12,MIC,MIC,495.1000000000,495.0000000000,495.1000000000,495.0000000000,160.0000000000,79201.0000000000,15,831600000.0000000000
2023-05-15,MIC,MIC,493.0000000000,507.9000000000,507.9000000000,493.0000000000,108.0000000000,53524.1000000000,17,853272000.0000000000
2023-05-16,MIC,MIC,,507.9000000000,,,,,0,853272000.0000000000
2023-05-17,MIC,MIC,,507.9000000000,,,,,0,853272000.0000000000
2023-05-18,MIC,MIC,497.0000000000,496.0000000000,497.0000000000,496.0000000000,20.0000000000,9923.4000000000,5,833280000.0000000000
2023-05-19,MIC,MIC,506.0000000000,506.0000000000,506.0000000000,506.0000000000,10.0000000000,5060.0000000000,2,850080000.0000000000
2023-05-22,MIC,MIC,505.9000000000,505.8000000000,505.9000000000,505.8000000000,24.0000000000,12141.2000000000,3,849744000.0000000000
2023-05-23,MIC,MIC,496.0000000000,505.9000000000,505.9000000000,495.0000000000,6.0000000000,2984.9000000000,3,849912000.0000000000
2023-05-24,MIC,MIC,500.0000000000,500.0000000000,500.0000000000,500.0000000000,5.0000000000,2500.0000000000,1,840000000.0000000000
2023-05-25,MIC,MIC,500.0000000000,500.0000000000,500.0000000000,500.0000000000,300.0000000000,150000.0000000000,3,840000000.0000000000
2023-05-26,MIC,MIC,500.0000000000,507.0000000000,507.0000000000,495.0000000000,37.0000000000,18476.0000000000,9,851760000.0000000000
