Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,MLE,MLE,,360.0000000000,,,,,0,999636480.0000000000
2023-04-04,MLE,MLE,,360.0000000000,,,,,0,999636480.0000000000
2023-04-05,MLE,MLE,,360.0000000000,,,,,0,999636480.0000000000
2023-04-06,MLE,MLE,,360.0000000000,,,,,0,999636480.0000000000
2023-04-07,MLE,MLE,,360.0000000000,,,,,0,999636480.0000000000
2023-04-10,MLE,MLE,,360.0000000000,,,,,0,999636480.0000000000
2023-04-11,MLE,MLE,365.0000000000,365.0000000000,365.0000000000,365.0000000000,21.0000000000,7665.0000000000,1,1013520320.0000000000
2023-04-12,MLE,MLE,360.0000000000,360.0000000000,360.0000000000,360.0000000000,29.0000000000,10440.0000000000,1,999636480.0000000000
2023-04-13,MLE,MLE,,360.0000000000,,,,,0,999636480.0000000000
2023-04-14,MLE,MLE,,360.0000000000,,,,,0,999636480.0000000000
2023-04-17,MLE,MLE,,360.0000000000,,,,,0,999636480.0000000000
2023-04-18,MLE,MLE,,360.0000000000,,,,,0,999636480.0000000000
2023-04-19,MLE,MLE,,360.0000000000,,,,,0,999636480.0000000000
2023-04-20,MLE,MLE,,360.0000000000,,,,,0,999636480.0000000000
2023-04-21,MLE,MLE,,360.0000000000,,,,,0,999636480.0000000000
2023-04-25,MLE,MLE,,360.0000000000,,,,,0,999636480.0000000000
2023-04-26,MLE,MLE,,360.0000000000,,,,,0,999636480.0000000000
2023-04-27,MLE,MLE,,360.0000000000,,,,,0,999636480.0000000000
2023-04-28,MLE,MLE,360.0000000000,360.0000000000,360.0000000000,360.0000000000,6.0000000000,2160.0000000000,1,999636480.0000000000
2023-05-02,MLE,MLE,,360.0000000000,,,,,0,999636480.0000000000
2023-05-03,MLE,MLE,,360.0000000000,,,,,0,999636480.0000000000
2023-05-04,MLE,MLE,,360.0000000000,,,,,0,999636480.0000000000
2023-05-05,MLE,MLE,,360.0000000000,,,,,0,999636480.0000000000
2023-05-08,MLE,MLE,,360.0000000000,,,,,0,999636480.0000000000
2023-05-09,MLE,MLE,,360.0000000000,,,,,0,999636480.0000000000
2023-05-10,MLE,MLE,,360.0000000000,,,,,0,999636480.0000000000
2023-05-11,MLE,MLE,,360.0000000000,,,,,0,999636480.0000000000
2023-05-12,MLE,MLE,351.0000000000,351.0000000000,351.0000000000,351.0000000000,9.0000000000,3159.0000000000,2,974645568.0000000000
2023-05-15,MLE,MLE,337.0000000000,337.0000000000,337.0000000000,337.0000000000,10.0000000000,3370.0000000000,2,935770816.0000000000
2023-05-16,MLE,MLE,340.0000000000,340.0000000000,340.0000000000,340.0000000000,1.0000000000,340.0000000000,1,944101120.0000000000
2023-05-17,MLE,MLE,,340.0000000000,,,,,0,944101120.0000000000
2023-05-18,MLE,MLE,,340.0000000000,,,,,0,944101120.0000000000
2023-05-19,MLE,MLE,,340.0000000000,,,,,0,944101120.0000000000
2023-05-22,MLE,MLE,,340.0000000000,,,,,0,944101120.0000000000
2023-05-23,MLE,MLE,,340.0000000000,,,,,0,944101120.0000000000
2023-05-24,MLE,MLE,,340.0000000000,,,,,0,944101120.0000000000
2023-05-25,MLE,MLE,,340.0000000000,,,,,0,944101120.0000000000
2023-05-26,MLE,MLE,,340.0000000000,,,,,0,944101120.0000000000
2023-05-29,MLE,MLE,,340.0000000000,,,,,0,944101120.0000000000
2023-05-30,MLE,MLE,,340.0000000000,,,,,0,944101120.0000000000
2023-05-31,MLE,MLE,353.5500000000,353.5500000000,353.5500000000,353.5500000000,9.0000000000,3181.9500000000,2,981726326.4000000000
2023-06-01,MLE,MLE,,353.5500000000,,,,,0,981726326.4000000000
2023-06-02,MLE,MLE,,353.5500000000,,,,,0,981726326.4000000000
2023-06-05,MLE,MLE,,353.5500000000,,,,,0,981726326.4000000000
2023-06-06,MLE,MLE,,353.5500000000,,,,,0,981726326.4000000000
2023-06-07,MLE,MLE,,353.5500000000,,,,,0,981726326.4000000000
2023-06-08,MLE,MLE,,353.5500000000,,,,,0,981726326.4000000000
2023-06-09,MLE,MLE,356.0000000000,356.0000000000,356.0000000000,356.0000000000,1.0000000000,356.0000000000,1,988529408.0000000000
2023-06-12,MLE,MLE,,356.0000000000,,,,,0,988529408.0000000000
2023-06-13,MLE,MLE,,356.0000000000,,,,,0,988529408.0000000000
2023-06-14,MLE,MLE,,356.0000000000,,,,,0,988529408.0000000000
2023-06-15,MLE,MLE,,356.0000000000,,,,,0,988529408.0000000000
2023-06-16,MLE,MLE,,356.0000000000,,,,,0,988529408.0000000000
2023-06-19,MLE,MLE,,356.0000000000,,,,,0,988529408.0000000000
2023-06-20,MLE,MLE,,356.0000000000,,,,,0,988529408.0000000000
2023-06-21,MLE,MLE,,356.0000000000,,,,,0,988529408.0000000000
2023-06-22,MLE,MLE,,356.0000000000,,,,,0,988529408.0000000000
2023-06-23,MLE,MLE,,356.0000000000,,,,,0,988529408.0000000000
2023-06-26,MLE,MLE,,356.0000000000,,,,,0,988529408.0000000000
2023-06-27,MLE,MLE,,356.0000000000,,,,,0,988529408.0000000000
2023-06-28,MLE,MLE,,356.0000000000,,,,,0,988529408.0000000000
2023-07-03,MLE,MLE,,356.0000000000,,,,,0,988529408.0000000000
2023-07-04,MLE,MLE,,356.0000000000,,,,,0,988529408.0000000000
2023-07-05,MLE,MLE,,356.0000000000,,,,,0,988529408.0000000000
2023-07-06,MLE,MLE,370.0000000000,370.0000000000,370.0000000000,370.0000000000,10.0000000000,3700.0000000000,1,1027404160.0000000000
2023-07-07,MLE,MLE,,370.0000000000,,,,,0,1027404160.0000000000
2023-07-10,MLE,MLE,,370.0000000000,,,,,0,1027404160.0000000000
2023-07-11,MLE,MLE,,370.0000000000,,,,,0,1027404160.0000000000
2023-07-12,MLE,MLE,,370.0000000000,,,,,0,1027404160.0000000000
2023-07-13,MLE,MLE,,370.0000000000,,,,,0,1027404160.0000000000
2023-07-14,MLE,MLE,,370.0000000000,,,,,0,1027404160.0000000000
2023-07-17,MLE,MLE,,370.0000000000,,,,,0,1027404160.0000000000
2023-07-18,MLE,MLE,,370.0000000000,,,,,0,1027404160.0000000000
2023-07-20,MLE,MLE,,370.0000000000,,,,,0,1027404160.0000000000
2023-07-21,MLE,MLE,,370.0000000000,,,,,0,1027404160.0000000000
2023-07-24,MLE,MLE,,370.0000000000,,,,,0,1027404160.0000000000
2023-07-25,MLE,MLE,,370.0000000000,,,,,0,1027404160.0000000000
2023-07-26,MLE,MLE,,370.0000000000,,,,,0,1027404160.0000000000
2023-07-27,MLE,MLE,,370.0000000000,,,,,0,1027404160.0000000000
2023-07-28,MLE,MLE,,370.0000000000,,,,,0,1027404160.0000000000
2023-07-31,MLE,MLE,,370.0000000000,,,,,0,1027404160.0000000000
2023-08-01,MLE,MLE,370.0000000000,370.0000000000,370.0000000000,370.0000000000,5.0000000000,1850.0000000000,1,1027404160.0000000000
2023-08-02,MLE,MLE,370.0000000000,370.0000000000,370.0000000000,370.0000000000,11.0000000000,4070.0000000000,1,1027404160.0000000000
2023-08-03,MLE,MLE,370.0000000000,370.0000000000,370.0000000000,370.0000000000,10.0000000000,3700.0000000000,1,1027404160.0000000000
2023-08-04,MLE,MLE,370.0000000000,370.0000000000,370.0000000000,370.0000000000,34.0000000000,12580.0000000000,2,1027404160.0000000000
2023-08-07,MLE,MLE,384.7500000000,384.7500000000,384.7500000000,384.7500000000,6.0000000000,2308.5000000000,2,1068361488.0000000000
2023-08-08,MLE,MLE,384.7500000000,384.7500000000,384.7500000000,384.7500000000,4.0000000000,1539.0000000000,1,1068361488.0000000000
2023-08-09,MLE,MLE,,384.7500000000,,,,,0,1068361488.0000000000
2023-08-10,MLE,MLE,,384.7500000000,,,,,0,1068361488.0000000000
2023-08-11,MLE,MLE,,384.7500000000,,,,,0,1068361488.0000000000
2023-08-15,MLE,MLE,,384.7500000000,,,,,0,1068361488.0000000000
2023-08-16,MLE,MLE,,384.7500000000,,,,,0,1068361488.0000000000
2023-08-17,MLE,MLE,,384.7500000000,,,,,0,1068361488.0000000000
2023-08-18,MLE,MLE,,384.7500000000,,,,,0,1068361488.0000000000
2023-08-22,MLE,MLE,371.5000000000,371.5000000000,371.5000000000,371.5000000000,2.0000000000,743.0000000000,1,1031569312.0000000000
2023-08-23,MLE,MLE,371.5000000000,371.5000000000,371.5000000000,371.5000000000,221.0000000000,82101.5000000000,2,1031569312.0000000000
2023-08-24,MLE,MLE,,371.5000000000,,,,,0,1031569312.0000000000
2023-08-25,MLE,MLE,,371.5000000000,,,,,0,1031569312.0000000000
2023-08-28,MLE,MLE,,371.5000000000,,,,,0,1031569312.0000000000
2023-08-29,MLE,MLE,,371.5000000000,,,,,0,1031569312.0000000000
2023-08-30,MLE,MLE,371.5000000000,371.5000000000,371.5000000000,371.5000000000,17.0000000000,6315.5000000000,2,1031569312.0000000000
