Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,MNG,MNG,2535.0000000000,2549.0000000000,2549.0000000000,2500.0000000000,406.0000000000,1017600.0000000000,21,25467844092.0000000000
2023-04-04,MNG,MNG,2520.0000000000,2501.0000000000,2520.0000000000,2500.0000000000,130.0000000000,325567.0000000000,14,24988261308.0000000000
2023-04-05,MNG,MNG,2505.0000000000,2611.0000000000,2611.0000000000,2505.0000000000,46.0000000000,119894.0000000000,8,26087305188.0000000000
2023-04-06,MNG,MNG,2598.0000000000,2597.0000000000,2598.0000000000,2597.0000000000,21.0000000000,54557.0000000000,3,25947426876.0000000000
2023-04-07,MNG,MNG,2596.0000000000,2611.0000000000,2611.0000000000,2590.0000000000,389.0000000000,1011116.0000000000,7,26087305188.0000000000
2023-04-10,MNG,MNG,2590.0000000000,2590.0000000000,2610.0000000000,2590.0000000000,69.0000000000,179482.0000000000,8,25877487720.0000000000
2023-04-11,MNG,MNG,2550.0000000000,2549.0000000000,2550.0000000000,2549.0000000000,13.0000000000,33140.0000000000,3,25467844092.0000000000
2023-04-12,MNG,MNG,2594.0000000000,2587.0000000000,2594.0000000000,2515.0000000000,244.0000000000,616591.0000000000,23,25847513796.0000000000
2023-04-13,MNG,MNG,2520.0000000000,2517.0000000000,2525.0000000000,2517.0000000000,145.0000000000,365293.0000000000,10,25148122236.0000000000
2023-04-14,MNG,MNG,2589.0000000000,2550.0000000000,2589.0000000000,2550.0000000000,4.0000000000,10317.0000000000,2,25477835400.0000000000
2023-04-17,MNG,MNG,2587.0000000000,2525.0000000000,2587.0000000000,2525.0000000000,1092.0000000000,2761254.0000000000,11,25228052700.0000000000
2023-04-18,MNG,MNG,2531.0000000000,2526.0000000000,2531.0000000000,2525.0000000000,63.0000000000,159107.0000000000,9,25238044008.0000000000
2023-04-19,MNG,MNG,2529.0000000000,2529.0000000000,2529.0000000000,2529.0000000000,55.0000000000,139095.0000000000,2,25268017932.0000000000
2023-04-20,MNG,MNG,2529.0000000000,2500.0000000000,2529.0000000000,2500.0000000000,287.0000000000,720562.0000000000,29,24978270000.0000000000
2023-04-21,MNG,MNG,2501.0000000000,2452.0000000000,2501.0000000000,2451.0000000000,163.0000000000,400975.0000000000,19,24498687216.0000000000
2023-04-25,MNG,MNG,2452.0000000000,2305.0000000000,2452.0000000000,2305.0000000000,1294.0000000000,3019053.0000000000,112,23029964940.0000000000
2023-04-26,MNG,MNG,2289.0000000000,2200.0000000000,2289.0000000000,2167.0000000000,4819.0000000000,10495597.0000000000,117,21980877600.0000000000
2023-04-27,MNG,MNG,2298.0000000000,2330.0000000000,2331.0000000000,2257.0000000000,335.0000000000,776348.0000000000,32,23279747640.0000000000
2023-04-28,MNG,MNG,2455.0000000000,2439.0000000000,2455.0000000000,2439.0000000000,228.0000000000,557943.0000000000,24,24368800212.0000000000
2023-05-02,MNG,MNG,2400.0000000000,2331.0000000000,2400.0000000000,2330.0000000000,492974.0000000000,1148634541.0000000000,35,23289738948.0000000000
2023-05-03,MNG,MNG,2332.0000000000,2332.0000000000,2333.0000000000,2332.0000000000,56.0000000000,130593.0000000000,11,23299730256.0000000000
2023-05-04,MNG,MNG,2333.0000000000,2334.0000000000,2334.0000000000,2333.0000000000,45.0000000000,105009.0000000000,5,23319712872.0000000000
2023-05-05,MNG,MNG,2370.0000000000,2350.0000000000,2394.0000000000,2350.0000000000,200.0000000000,474972.0000000000,16,23479573800.0000000000
2023-05-08,MNG,MNG,2390.0000000000,2385.0000000000,2390.0000000000,2350.0000000000,146.0000000000,347465.0000000000,13,23829269580.0000000000
2023-05-09,MNG,MNG,2353.0000000000,2345.0000000000,2361.0000000000,2345.0000000000,643.0000000000,1509605.0000000000,22,23429617260.0000000000
2023-05-10,MNG,MNG,2350.0000000000,2369.0000000000,2369.0000000000,2350.0000000000,627.0000000000,1473488.0000000000,5,23669408652.0000000000
2023-05-11,MNG,MNG,2365.0000000000,2350.0000000000,2365.0000000000,2350.0000000000,2002.0000000000,4704716.0000000000,7,23479573800.0000000000
2023-05-12,MNG,MNG,2330.0000000000,2350.0000000000,2386.0000000000,2330.0000000000,1533.0000000000,3602546.0000000000,12,23479573800.0000000000
2023-05-15,MNG,MNG,2330.0000000000,2320.0000000000,2330.0000000000,2320.0000000000,140.0000000000,325327.0000000000,19,23179834560.0000000000
2023-05-16,MNG,MNG,2320.0000000000,2320.0000000000,2320.0000000000,2320.0000000000,17.0000000000,39440.0000000000,3,23179834560.0000000000
2023-05-17,MNG,MNG,2310.0000000000,2310.0000000000,2310.0000000000,2310.0000000000,35.0000000000,80850.0000000000,2,23079921480.0000000000
2023-05-18,MNG,MNG,2310.0000000000,2260.0000000000,2310.0000000000,2250.0000000000,3259.0000000000,7382496.0000000000,39,22580356080.0000000000
2023-05-19,MNG,MNG,2261.0000000000,2250.0000000000,2289.0000000000,2250.0000000000,617.0000000000,1389461.0000000000,20,22480443000.0000000000
2023-05-22,MNG,MNG,2250.0000000000,2250.0000000000,2250.0000000000,2250.0000000000,46.0000000000,103500.0000000000,8,22480443000.0000000000
2023-05-23,MNG,MNG,2259.0000000000,2259.0000000000,2259.0000000000,2259.0000000000,4.0000000000,9036.0000000000,2,22570364772.0000000000
2023-05-24,MNG,MNG,2295.0000000000,2294.0000000000,2295.0000000000,2294.0000000000,18.0000000000,41302.0000000000,4,22920060552.0000000000
2023-05-25,MNG,MNG,2295.0000000000,2157.0000000000,2295.0000000000,2157.0000000000,2087.0000000000,4555863.0000000000,76,21551251356.0000000000
2023-05-26,MNG,MNG,2071.0000000000,2080.0000000000,2133.0000000000,2063.0000000000,6230.0000000000,13013223.0000000000,124,20781920640.0000000000
2023-05-29,MNG,MNG,2090.0000000000,2125.0000000000,2125.0000000000,2090.0000000000,52.0000000000,110049.0000000000,18,21231529500.0000000000
2023-05-30,MNG,MNG,2125.0000000000,2150.0000000000,2150.0000000000,2095.0000000000,194.0000000000,413041.0000000000,23,21481312200.0000000000
2023-05-31,MNG,MNG,2110.0000000000,2099.0000000000,2150.0000000000,2097.0000000000,3928.0000000000,8247107.0000000000,47,20971755492.0000000000
