Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,MOX,MOX,,272.0000000000,,,,,0,221000000.0000000000
2023-04-04,MOX,MOX,,272.0000000000,,,,,0,221000000.0000000000
2023-04-05,MOX,MOX,,272.0000000000,,,,,0,221000000.0000000000
2023-04-06,MOX,MOX,,272.0000000000,,,,,0,221000000.0000000000
2023-04-07,MOX,MOX,,272.0000000000,,,,,0,221000000.0000000000
2023-04-10,MOX,MOX,,272.0000000000,,,,,0,221000000.0000000000
2023-04-11,MOX,MOX,,272.0000000000,,,,,0,221000000.0000000000
2023-04-12,MOX,MOX,,272.0000000000,,,,,0,221000000.0000000000
2023-04-13,MOX,MOX,,272.0000000000,,,,,0,221000000.0000000000
2023-04-14,MOX,MOX,,272.0000000000,,,,,0,221000000.0000000000
2023-04-17,MOX,MOX,,272.0000000000,,,,,0,221000000.0000000000
2023-04-18,MOX,MOX,,272.0000000000,,,,,0,221000000.0000000000
2023-04-19,MOX,MOX,,272.0000000000,,,,,0,221000000.0000000000
2023-04-20,MOX,MOX,,272.0000000000,,,,,0,221000000.0000000000
2023-04-21,MOX,MOX,,272.0000000000,,,,,0,221000000.0000000000
2023-04-25,MOX,MOX,,272.0000000000,,,,,0,221000000.0000000000
2023-04-26,MOX,MOX,,272.0000000000,,,,,0,221000000.0000000000
2023-04-27,MOX,MOX,,272.0000000000,,,,,0,221000000.0000000000
2023-04-28,MOX,MOX,,272.0000000000,,,,,0,221000000.0000000000
2023-05-02,MOX,MOX,,268.0000000000,,,,,0,217750000.0000000000
2023-05-03,MOX,MOX,,268.0000000000,,,,,0,217750000.0000000000
2023-05-04,MOX,MOX,,268.0000000000,,,,,0,217750000.0000000000
2023-05-05,MOX,MOX,,268.0000000000,,,,,0,217750000.0000000000
2023-05-08,MOX,MOX,260.0000000000,260.0000000000,260.0000000000,260.0000000000,1.0000000000,260.0000000000,1,211250000.0000000000
2023-05-09,MOX,MOX,260.0000000000,260.0000000000,260.0000000000,260.0000000000,20.0000000000,5200.0000000000,2,211250000.0000000000
2023-05-10,MOX,MOX,,260.0000000000,,,,,0,211250000.0000000000
2023-05-11,MOX,MOX,,260.0000000000,,,,,0,211250000.0000000000
2023-05-12,MOX,MOX,,260.0000000000,,,,,0,211250000.0000000000
2023-05-15,MOX,MOX,,260.0000000000,,,,,0,211250000.0000000000
2023-05-16,MOX,MOX,,260.0000000000,,,,,0,211250000.0000000000
2023-05-17,MOX,MOX,,260.0000000000,,,,,0,211250000.0000000000
2023-05-18,MOX,MOX,,260.0000000000,,,,,0,211250000.0000000000
2023-05-19,MOX,MOX,,260.0000000000,,,,,0,211250000.0000000000
2023-05-22,MOX,MOX,249.6500000000,249.6500000000,249.6500000000,249.6500000000,1.0000000000,249.6500000000,1,202840625.0000000000
2023-05-23,MOX,MOX,239.8000000000,239.8000000000,239.8000000000,239.8000000000,1.0000000000,239.8000000000,1,194837500.0000000000
2023-05-24,MOX,MOX,230.2500000000,230.2500000000,230.2500000000,230.2500000000,11.0000000000,2532.7500000000,2,187078125.0000000000
2023-05-25,MOX,MOX,,230.2500000000,,,,,0,187078125.0000000000
2023-05-26,MOX,MOX,,230.2500000000,,,,,0,187078125.0000000000
2023-05-29,MOX,MOX,222.0000000000,222.0000000000,222.0000000000,222.0000000000,10.0000000000,2220.0000000000,1,180375000.0000000000
2023-05-30,MOX,MOX,213.1500000000,213.1500000000,213.1500000000,213.1500000000,30.0000000000,6394.5000000000,2,173184375.0000000000
2023-05-31,MOX,MOX,204.8000000000,204.8000000000,204.8000000000,204.8000000000,117.0000000000,23961.6000000000,7,166400000.0000000000
2023-06-01,MOX,MOX,200.0000000000,200.0000000000,200.0000000000,200.0000000000,178.0000000000,35600.0000000000,12,162500000.0000000000
2023-06-02,MOX,MOX,192.0500000000,192.0500000000,192.0500000000,192.0500000000,186.0000000000,35721.3000000000,6,156040625.0000000000
2023-06-05,MOX,MOX,184.4000000000,184.4000000000,184.4000000000,184.4000000000,1337.0000000000,246542.8000000000,13,149825000.0000000000
2023-06-06,MOX,MOX,191.7500000000,191.7500000000,191.7500000000,191.7500000000,55.0000000000,10546.2500000000,2,155796875.0000000000
2023-06-07,MOX,MOX,186.0000000000,186.0000000000,186.0000000000,186.0000000000,81.0000000000,15066.0000000000,4,151125000.0000000000
2023-06-08,MOX,MOX,193.4000000000,193.4000000000,193.4000000000,193.4000000000,95.0000000000,18373.0000000000,2,157137500.0000000000
2023-06-09,MOX,MOX,201.1000000000,201.1000000000,201.1000000000,201.1000000000,158.0000000000,31773.8000000000,9,163393750.0000000000
2023-06-12,MOX,MOX,209.0000000000,209.0000000000,209.0000000000,209.0000000000,21.0000000000,4389.0000000000,4,169812500.0000000000
2023-06-13,MOX,MOX,,209.0000000000,,,,,0,169812500.0000000000
2023-06-14,MOX,MOX,217.3500000000,217.3500000000,217.3500000000,217.3500000000,27.0000000000,5868.4500000000,5,176596875.0000000000
2023-06-15,MOX,MOX,225.0000000000,225.0000000000,225.0000000000,225.0000000000,18.0000000000,4050.0000000000,3,182812500.0000000000
2023-06-16,MOX,MOX,,225.0000000000,,,,,0,182812500.0000000000
2023-06-19,MOX,MOX,,225.0000000000,,,,,0,182812500.0000000000
2023-06-20,MOX,MOX,216.1000000000,216.1000000000,216.1000000000,216.1000000000,8.0000000000,1728.8000000000,1,175581250.0000000000
2023-06-21,MOX,MOX,209.0000000000,209.0000000000,209.0000000000,209.0000000000,62.0000000000,12958.0000000000,4,169812500.0000000000
2023-06-22,MOX,MOX,200.6500000000,200.6500000000,200.6500000000,200.6500000000,53.0000000000,10634.4500000000,4,163028125.0000000000
2023-06-23,MOX,MOX,208.6500000000,208.6500000000,208.6500000000,208.6500000000,4.0000000000,834.6000000000,1,169528125.0000000000
2023-06-26,MOX,MOX,210.0000000000,210.0000000000,210.0000000000,210.0000000000,8.0000000000,1680.0000000000,2,170625000.0000000000
2023-06-27,MOX,MOX,,210.0000000000,,,,,0,170625000.0000000000
2023-06-28,MOX,MOX,216.9000000000,216.9000000000,216.9000000000,216.9000000000,1.0000000000,216.9000000000,1,176231250.0000000000
2023-07-03,MOX,MOX,208.2500000000,208.2500000000,208.2500000000,208.2500000000,127.0000000000,26447.7500000000,2,169203125.0000000000
2023-07-04,MOX,MOX,210.0000000000,210.0000000000,210.0000000000,210.0000000000,10.0000000000,2100.0000000000,1,170625000.0000000000
2023-07-05,MOX,MOX,215.0000000000,215.0000000000,215.0000000000,215.0000000000,20.0000000000,4300.0000000000,3,174687500.0000000000
2023-07-06,MOX,MOX,223.5500000000,223.5500000000,223.5500000000,223.5500000000,50.0000000000,11177.5000000000,3,181634375.0000000000
2023-07-07,MOX,MOX,223.0000000000,223.0000000000,223.0000000000,223.0000000000,4.0000000000,892.0000000000,1,181187500.0000000000
2023-07-10,MOX,MOX,,223.0000000000,,,,,0,181187500.0000000000
2023-07-11,MOX,MOX,224.9500000000,224.9500000000,224.9500000000,224.9500000000,12.0000000000,2699.4000000000,2,182771875.0000000000
2023-07-12,MOX,MOX,216.0000000000,216.0000000000,216.0000000000,216.0000000000,7.0000000000,1512.0000000000,1,175500000.0000000000
2023-07-13,MOX,MOX,217.0000000000,217.0000000000,217.0000000000,217.0000000000,101.0000000000,21917.0000000000,2,176312500.0000000000
2023-07-14,MOX,MOX,216.0000000000,216.0000000000,216.0000000000,216.0000000000,200.0000000000,43200.0000000000,2,175500000.0000000000
2023-07-17,MOX,MOX,208.0000000000,208.0000000000,208.0000000000,208.0000000000,8.0000000000,1664.0000000000,1,169000000.0000000000
2023-07-18,MOX,MOX,216.3000000000,216.3000000000,216.3000000000,216.3000000000,95.0000000000,20548.5000000000,4,175743750.0000000000
2023-07-20,MOX,MOX,,216.3000000000,,,,,0,175743750.0000000000
2023-07-21,MOX,MOX,,216.3000000000,,,,,0,175743750.0000000000
2023-07-24,MOX,MOX,215.0000000000,215.0000000000,215.0000000000,215.0000000000,14.0000000000,3010.0000000000,1,174687500.0000000000
2023-07-25,MOX,MOX,220.0000000000,220.0000000000,220.0000000000,220.0000000000,1.0000000000,220.0000000000,1,178750000.0000000000
2023-07-26,MOX,MOX,212.0000000000,212.0000000000,212.0000000000,212.0000000000,25.0000000000,5300.0000000000,3,172250000.0000000000
2023-07-27,MOX,MOX,220.0000000000,220.0000000000,220.0000000000,220.0000000000,100.0000000000,22000.0000000000,4,178750000.0000000000
2023-07-28,MOX,MOX,221.0000000000,221.0000000000,221.0000000000,221.0000000000,93.0000000000,20553.0000000000,4,179562500.0000000000
2023-07-31,MOX,MOX,229.8000000000,229.8000000000,229.8000000000,229.8000000000,211.0000000000,48487.8000000000,8,186712500.0000000000
2023-08-01,MOX,MOX,230.0000000000,230.0000000000,230.0000000000,230.0000000000,5.0000000000,1150.0000000000,1,186875000.0000000000
2023-08-02,MOX,MOX,230.0000000000,230.0000000000,230.0000000000,230.0000000000,15.0000000000,3450.0000000000,2,186875000.0000000000
2023-08-03,MOX,MOX,230.0000000000,230.0000000000,230.0000000000,230.0000000000,30.0000000000,6900.0000000000,2,186875000.0000000000
2023-08-04,MOX,MOX,,230.0000000000,,,,,0,186875000.0000000000
2023-08-07,MOX,MOX,237.0000000000,237.0000000000,237.0000000000,237.0000000000,10.0000000000,2370.0000000000,1,192562500.0000000000
2023-08-08,MOX,MOX,,237.0000000000,,,,,0,192562500.0000000000
2023-08-09,MOX,MOX,,237.0000000000,,,,,0,192562500.0000000000
2023-08-10,MOX,MOX,,237.0000000000,,,,,0,192562500.0000000000
2023-08-11,MOX,MOX,245.0000000000,245.0000000000,245.0000000000,245.0000000000,180.0000000000,44100.0000000000,5,199062500.0000000000
2023-08-15,MOX,MOX,,245.0000000000,,,,,0,199062500.0000000000
2023-08-16,MOX,MOX,,245.0000000000,,,,,0,199062500.0000000000
2023-08-17,MOX,MOX,244.0000000000,244.0000000000,244.0000000000,244.0000000000,4.0000000000,976.0000000000,1,198250000.0000000000
2023-08-18,MOX,MOX,,244.0000000000,,,,,0,198250000.0000000000
2023-08-22,MOX,MOX,243.0000000000,243.0000000000,243.0000000000,243.0000000000,10.0000000000,2430.0000000000,2,197437500.0000000000
2023-08-23,MOX,MOX,,243.0000000000,,,,,0,197437500.0000000000
2023-08-24,MOX,MOX,,243.0000000000,,,,,0,197437500.0000000000
2023-08-25,MOX,MOX,233.5000000000,233.5000000000,233.5000000000,233.5000000000,5.0000000000,1167.5000000000,1,189718750.0000000000
2023-08-28,MOX,MOX,233.0000000000,233.0000000000,233.0000000000,233.0000000000,100.0000000000,23300.0000000000,2,189312500.0000000000
2023-08-29,MOX,MOX,,233.0000000000,,,,,0,189312500.0000000000
2023-08-30,MOX,MOX,,233.0000000000,,,,,0,189312500.0000000000
2023-08-31,MOX,MOX,,233.0000000000,,,,,0,189312500.0000000000
2023-09-01,MOX,MOX,223.7000000000,223.7000000000,223.7000000000,223.7000000000,101.0000000000,22593.7000000000,4,181756250.0000000000
2023-09-04,MOX,MOX,224.0000000000,224.0000000000,224.0000000000,224.0000000000,100.0000000000,22400.0000000000,2,182000000.0000000000
2023-09-05,MOX,MOX,223.7000000000,223.7000000000,223.7000000000,223.7000000000,129.0000000000,28857.3000000000,6,181756250.0000000000
2023-09-06,MOX,MOX,,223.7000000000,,,,,0,181756250.0000000000
2023-09-07,MOX,MOX,216.0000000000,216.0000000000,216.0000000000,216.0000000000,6.0000000000,1296.0000000000,2,175500000.0000000000
2023-09-08,MOX,MOX,,216.0000000000,,,,,0,175500000.0000000000
2023-09-11,MOX,MOX,,216.0000000000,,,,,0,175500000.0000000000
2023-09-12,MOX,MOX,224.0000000000,224.0000000000,224.0000000000,224.0000000000,2.0000000000,448.0000000000,2,182000000.0000000000
2023-09-13,MOX,MOX,216.0000000000,216.0000000000,216.0000000000,216.0000000000,129.0000000000,27864.0000000000,2,175500000.0000000000
2023-09-14,MOX,MOX,224.0000000000,224.0000000000,224.0000000000,224.0000000000,100.0000000000,22400.0000000000,1,182000000.0000000000
2023-09-15,MOX,MOX,225.0000000000,225.0000000000,225.0000000000,225.0000000000,6.0000000000,1350.0000000000,2,182812500.0000000000
2023-09-18,MOX,MOX,233.9500000000,233.9500000000,233.9500000000,233.9500000000,20.0000000000,4679.0000000000,1,190084375.0000000000
2023-09-19,MOX,MOX,,233.9500000000,,,,,0,190084375.0000000000
2023-09-20,MOX,MOX,227.0000000000,227.0000000000,227.0000000000,227.0000000000,27.0000000000,6129.0000000000,4,184437500.0000000000
2023-09-21,MOX,MOX,,227.0000000000,,,,,0,184437500.0000000000
