Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,MSA,MSA,219.0000000000,214.0000000000,219.9000000000,213.5000000000,142.0000000000,30453.9000000000,14,15706658400.0000000000
2023-04-04,MSA,MSA,214.0000000000,219.5000000000,219.5000000000,214.0000000000,27104.0000000000,5913734.5000000000,22,16110334200.0000000000
2023-04-05,MSA,MSA,215.0000000000,219.9000000000,219.9000000000,215.0000000000,52594.0000000000,11488171.3000000000,29,16139692440.0000000000
2023-04-06,MSA,MSA,216.0000000000,218.0000000000,218.9000000000,216.0000000000,25100.0000000000,5484286.8000000000,9,16000240800.0000000000
2023-04-07,MSA,MSA,216.2000000000,219.0000000000,219.0000000000,216.2000000000,38035.0000000000,8328550.7500000000,10,16073636400.0000000000
2023-04-10,MSA,MSA,216.1500000000,219.0000000000,219.7000000000,216.1500000000,104343.0000000000,22850786.7000000000,26,16073636400.0000000000
2023-04-11,MSA,MSA,218.0000000000,217.0000000000,219.0000000000,216.5000000000,25225.0000000000,5523828.0500000000,18,15926845200.0000000000
2023-04-12,MSA,MSA,217.0500000000,219.0000000000,219.0000000000,217.0500000000,25269.0000000000,5533451.9500000000,17,16073636400.0000000000
2023-04-13,MSA,MSA,217.1000000000,219.0000000000,219.0000000000,217.1000000000,9399.0000000000,2057047.2000000000,8,16073636400.0000000000
2023-04-14,MSA,MSA,219.0000000000,219.0000000000,219.0000000000,219.0000000000,7040.0000000000,1541760.0000000000,13,16073636400.0000000000
2023-04-17,MSA,MSA,218.0000000000,220.0000000000,220.0000000000,217.0000000000,728.0000000000,159953.0500000000,18,16147032000.0000000000
2023-04-18,MSA,MSA,218.1000000000,220.0000000000,220.0000000000,218.0500000000,16159.0000000000,3525471.5500000000,9,16147032000.0000000000
2023-04-19,MSA,MSA,220.0000000000,218.0000000000,220.0000000000,218.0000000000,11093.0000000000,2418492.0000000000,13,16000240800.0000000000
2023-04-20,MSA,MSA,218.0000000000,218.0500000000,218.0500000000,218.0000000000,5219.0000000000,1137992.6500000000,10,16003910580.0000000000
2023-04-21,MSA,MSA,219.0000000000,220.0000000000,220.0000000000,218.2000000000,5091.0000000000,1119927.4000000000,8,16147032000.0000000000
2023-04-25,MSA,MSA,220.0000000000,220.0000000000,220.1000000000,218.5000000000,9233.0000000000,2031158.0000000000,20,16147032000.0000000000
2023-04-26,MSA,MSA,220.0000000000,223.9000000000,223.9000000000,218.5000000000,30822.0000000000,6793129.2000000000,18,16433274840.0000000000
2023-04-27,MSA,MSA,223.9500000000,220.5000000000,223.9500000000,220.1000000000,30608.0000000000,6749366.2000000000,12,16183729800.0000000000
2023-04-28,MSA,MSA,221.0000000000,233.7000000000,233.7000000000,220.3000000000,4172.0000000000,964139.1000000000,45,17152551720.0000000000
2023-05-02,MSA,MSA,230.0000000000,221.1000000000,232.0000000000,221.1000000000,4572.0000000000,1019868.7000000000,64,16227767160.0000000000
2023-05-03,MSA,MSA,223.0000000000,223.6000000000,228.6000000000,222.0000000000,51708.0000000000,11531767.1500000000,35,16411256160.0000000000
2023-05-04,MSA,MSA,221.5500000000,227.9000000000,227.9000000000,221.5500000000,2037.0000000000,458790.9000000000,27,16726857240.0000000000
2023-05-05,MSA,MSA,224.0000000000,229.0000000000,229.0000000000,222.5000000000,7536.0000000000,1710739.8500000000,44,16807592400.0000000000
2023-05-08,MSA,MSA,229.2000000000,229.0000000000,230.0000000000,224.5000000000,11419.0000000000,2573316.8500000000,31,16807592400.0000000000
2023-05-09,MSA,MSA,228.0000000000,228.0000000000,228.0000000000,225.0500000000,965.0000000000,219103.2500000000,21,16734196800.0000000000
2023-05-10,MSA,MSA,225.6000000000,226.0500000000,227.9000000000,225.0500000000,2056.0000000000,464490.4000000000,20,16591075380.0000000000
2023-05-11,MSA,MSA,227.0000000000,230.0000000000,230.0000000000,227.0000000000,60013.0000000000,13684093.7000000000,39,16880988000.0000000000
2023-05-12,MSA,MSA,230.0000000000,234.5000000000,235.0000000000,230.0000000000,52119.0000000000,12139670.3500000000,75,17211268200.0000000000
2023-05-15,MSA,MSA,234.0000000000,237.0000000000,237.7000000000,234.0000000000,12482.0000000000,2956662.2500000000,35,17394757200.0000000000
2023-05-16,MSA,MSA,237.0000000000,239.0000000000,239.0000000000,235.5000000000,12660.0000000000,3003586.7500000000,33,17541548400.0000000000
2023-05-17,MSA,MSA,239.0000000000,239.5000000000,239.9000000000,239.0000000000,140.0000000000,33555.7500000000,12,17578246200.0000000000
