Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,MUT,MUT,213.9000000000,212.0000000000,213.9000000000,211.0500000000,702.0000000000,148310.4500000000,15,1960308244.0000000000
2023-04-04,MUT,MUT,213.9000000000,213.9000000000,213.9000000000,211.0000000000,440.0000000000,93004.8000000000,14,1977877044.3000000000
2023-04-05,MUT,MUT,213.9000000000,214.0000000000,214.5000000000,213.8500000000,6785.0000000000,1452151.5500000000,28,1978801718.0000000000
2023-04-06,MUT,MUT,214.8500000000,218.0000000000,218.0000000000,214.0000000000,3107.0000000000,665673.4000000000,22,2015788666.0000000000
2023-04-07,MUT,MUT,216.0000000000,215.1000000000,216.2000000000,215.1000000000,329.0000000000,71054.5000000000,9,1988973128.7000000000
2023-04-10,MUT,MUT,217.8500000000,217.0000000000,218.0000000000,217.0000000000,58760.0000000000,12751005.9000000000,14,2006541929.0000000000
2023-04-11,MUT,MUT,215.0000000000,217.0000000000,217.0000000000,213.0500000000,26785.0000000000,5810223.2500000000,21,2006541929.0000000000
2023-04-12,MUT,MUT,216.0000000000,215.0000000000,217.9000000000,215.0000000000,381.0000000000,82542.2000000000,13,1988048455.0000000000
2023-04-13,MUT,MUT,215.0500000000,216.9500000000,216.9500000000,215.0500000000,225.0000000000,48573.7500000000,3,2006079592.1500000000
2023-04-14,MUT,MUT,215.2000000000,215.2500000000,215.2500000000,215.2000000000,7.0000000000,1506.4500000000,2,1990360139.2500000000
2023-04-17,MUT,MUT,216.8000000000,215.2500000000,216.8000000000,215.2500000000,585.0000000000,125927.8000000000,9,1990360139.2500000000
2023-04-18,MUT,MUT,215.2500000000,211.5000000000,215.2500000000,210.0000000000,565.0000000000,119204.6500000000,22,1955684875.5000000000
2023-04-19,MUT,MUT,215.9500000000,215.0000000000,215.9500000000,215.0000000000,1297.0000000000,278864.5000000000,12,1988048455.0000000000
2023-04-20,MUT,MUT,215.5500000000,215.0000000000,215.5500000000,215.0000000000,58.0000000000,12471.1000000000,6,1988048455.0000000000
2023-04-21,MUT,MUT,215.0000000000,213.1000000000,215.0000000000,213.1000000000,44.0000000000,9437.4000000000,6,1970479654.7000000000
2023-04-25,MUT,MUT,216.0000000000,217.0000000000,217.0000000000,215.0000000000,10810.0000000000,2344549.5000000000,10,2006541929.0000000000
2023-04-26,MUT,MUT,217.5500000000,217.0000000000,217.5500000000,215.1500000000,9380.0000000000,2035202.8500000000,7,2006541929.0000000000
2023-04-27,MUT,MUT,217.5000000000,216.0000000000,217.5000000000,215.0000000000,3481.0000000000,751775.4500000000,16,1997295192.0000000000
2023-04-28,MUT,MUT,216.0000000000,216.2000000000,217.4000000000,215.7500000000,538.0000000000,116415.7500000000,18,1999144539.4000000000
2023-05-02,MUT,MUT,217.4000000000,215.0000000000,217.9000000000,215.0000000000,1341.0000000000,289945.6000000000,46,1988048455.0000000000
2023-05-03,MUT,MUT,217.7000000000,217.8500000000,217.8500000000,217.7000000000,9.0000000000,1960.5000000000,3,2014401655.4500000000
2023-05-04,MUT,MUT,214.7500000000,215.1500000000,217.0000000000,214.7500000000,10281.0000000000,2230862.6500000000,12,1989435465.5500000000
2023-05-05,MUT,MUT,218.0000000000,222.4500000000,223.0000000000,217.0000000000,15538.0000000000,3417767.4500000000,77,2056936645.6500000000
2023-05-08,MUT,MUT,223.0000000000,225.0000000000,227.0000000000,223.0000000000,2101.0000000000,470874.2500000000,48,2080515825.0000000000
2023-05-09,MUT,MUT,225.0000000000,223.5000000000,226.9500000000,222.1500000000,481.0000000000,107499.0000000000,10,2066645719.5000000000
2023-05-10,MUT,MUT,222.0000000000,224.0000000000,226.4500000000,222.0000000000,1931.0000000000,433657.1000000000,26,2071269088.0000000000
2023-05-11,MUT,MUT,224.0500000000,230.0000000000,231.9000000000,224.0500000000,102726.0000000000,23616320.5000000000,72,2126749510.0000000000
2023-05-12,MUT,MUT,231.5000000000,230.0000000000,231.5000000000,228.0000000000,8648.0000000000,1988416.0000000000,32,2126749510.0000000000
2023-05-15,MUT,MUT,230.0000000000,230.0000000000,230.0500000000,230.0000000000,2420.0000000000,556602.4500000000,15,2126749510.0000000000
2023-05-16,MUT,MUT,231.5000000000,230.3000000000,233.0000000000,230.0000000000,4162.0000000000,959234.3500000000,29,2129523531.1000000000
2023-05-17,MUT,MUT,231.0500000000,232.0000000000,232.9000000000,231.0500000000,4246.0000000000,984987.0500000000,14,2145242984.0000000000
2023-05-18,MUT,MUT,232.9500000000,232.0000000000,232.9500000000,230.0000000000,856.0000000000,197560.7000000000,24,2145242984.0000000000
2023-05-19,MUT,MUT,232.0000000000,232.0000000000,232.0000000000,231.0000000000,519.0000000000,120406.0000000000,9,2145242984.0000000000
2023-05-22,MUT,MUT,232.0000000000,231.0000000000,232.8000000000,231.0000000000,92.0000000000,21338.0000000000,9,2135996247.0000000000
2023-05-23,MUT,MUT,231.0000000000,231.0000000000,231.0000000000,230.0000000000,1325.0000000000,304894.9000000000,15,2135996247.0000000000
