Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,NKL,NKL,33.5100000000,32.9300000000,33.9200000000,32.9300000000,529.0000000000,17535.7000000000,13,987900000.0000000000
2023-04-04,NKL,NKL,33.8000000000,33.7300000000,33.8000000000,33.7300000000,30.0000000000,1013.3000000000,4,1011900000.0000000000
2023-04-05,NKL,NKL,32.7000000000,33.5600000000,33.6300000000,32.7000000000,66.0000000000,2194.0000000000,5,1006800000.0000000000
2023-04-06,NKL,NKL,32.7600000000,32.7600000000,32.7600000000,32.7600000000,16.0000000000,524.1600000000,1,982800000.0000000000
2023-04-07,NKL,NKL,,32.7600000000,,,,,0,982800000.0000000000
2023-04-10,NKL,NKL,33.6300000000,33.5500000000,33.6300000000,33.5500000000,35.0000000000,1175.4500000000,3,1006500000.0000000000
2023-04-11,NKL,NKL,33.0000000000,33.3900000000,33.4400000000,32.8100000000,93.0000000000,3087.9800000000,8,1001700000.0000000000
2023-04-12,NKL,NKL,,33.3900000000,,,,,0,1001700000.0000000000
2023-04-13,NKL,NKL,32.8100000000,35.0000000000,35.0000000000,32.8000000000,10373.0000000000,359866.5100000000,40,1050000000.0000000000
2023-04-14,NKL,NKL,33.1300000000,34.8800000000,34.8800000000,33.1300000000,95.0000000000,3156.1000000000,5,1046400000.0000000000
2023-04-17,NKL,NKL,,34.8800000000,,,,,0,1046400000.0000000000
2023-04-18,NKL,NKL,,34.8800000000,,,,,0,1046400000.0000000000
2023-04-19,NKL,NKL,33.0300000000,33.0300000000,33.0300000000,33.0300000000,50.0000000000,1651.5000000000,4,990900000.0000000000
2023-04-20,NKL,NKL,33.0300000000,34.1900000000,34.2900000000,33.0300000000,65.0000000000,2189.0500000000,9,1025700000.0000000000
2023-04-21,NKL,NKL,34.5700000000,34.4900000000,34.5700000000,34.4900000000,11.0000000000,379.4700000000,2,1034700000.0000000000
2023-04-25,NKL,NKL,33.1500000000,34.3000000000,34.4300000000,33.1500000000,81.0000000000,2735.3000000000,9,1029000000.0000000000
2023-04-26,NKL,NKL,,34.3000000000,,,,,0,1029000000.0000000000
