Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,OUL,OUL,,1322.0000000000,,,,,0,2617560000.0000000000
2023-04-04,OUL,OUL,,1322.0000000000,,,,,0,2617560000.0000000000
2023-04-05,OUL,OUL,,1322.0000000000,,,,,0,2617560000.0000000000
2023-04-06,OUL,OUL,,1322.0000000000,,,,,0,2617560000.0000000000
2023-04-07,OUL,OUL,,1322.0000000000,,,,,0,2617560000.0000000000
2023-04-10,OUL,OUL,,1322.0000000000,,,,,0,2617560000.0000000000
2023-04-11,OUL,OUL,,1322.0000000000,,,,,0,2617560000.0000000000
2023-04-12,OUL,OUL,,1322.0000000000,,,,,0,2617560000.0000000000
2023-04-13,OUL,OUL,,1322.0000000000,,,,,0,2617560000.0000000000
2023-04-14,OUL,OUL,,1322.0000000000,,,,,0,2617560000.0000000000
2023-04-17,OUL,OUL,,1322.0000000000,,,,,0,2617560000.0000000000
2023-04-18,OUL,OUL,,1322.0000000000,,,,,0,2617560000.0000000000
2023-04-19,OUL,OUL,,1322.0000000000,,,,,0,2617560000.0000000000
2023-04-20,OUL,OUL,,1322.0000000000,,,,,0,2617560000.0000000000
2023-04-21,OUL,OUL,,1322.0000000000,,,,,0,2617560000.0000000000
2023-04-25,OUL,OUL,,1322.0000000000,,,,,0,2617560000.0000000000
2023-04-26,OUL,OUL,,1322.0000000000,,,,,0,2617560000.0000000000
2023-04-27,OUL,OUL,,1322.0000000000,,,,,0,2617560000.0000000000
2023-04-28,OUL,OUL,,1322.0000000000,,,,,0,2617560000.0000000000
2023-05-02,OUL,OUL,,1322.0000000000,,,,,0,2617560000.0000000000
2023-05-03,OUL,OUL,,1322.0000000000,,,,,0,2617560000.0000000000
2023-05-04,OUL,OUL,,1322.0000000000,,,,,0,2617560000.0000000000
2023-05-05,OUL,OUL,,1322.0000000000,,,,,0,2617560000.0000000000
2023-05-08,OUL,OUL,,1322.0000000000,,,,,0,2617560000.0000000000
2023-05-09,OUL,OUL,,1322.0000000000,,,,,0,2617560000.0000000000
2023-05-10,OUL,OUL,,1322.0000000000,,,,,0,2617560000.0000000000
2023-05-11,OUL,OUL,,1322.0000000000,,,,,0,2617560000.0000000000
2023-05-12,OUL,OUL,,1322.0000000000,,,,,0,2617560000.0000000000
2023-05-15,OUL,OUL,,1322.0000000000,,,,,0,2617560000.0000000000
2023-05-16,OUL,OUL,,1322.0000000000,,,,,0,2617560000.0000000000
2023-05-17,OUL,OUL,,1322.0000000000,,,,,0,2617560000.0000000000
2023-05-18,OUL,OUL,,1322.0000000000,,,,,0,2617560000.0000000000
2023-05-19,OUL,OUL,,1322.0000000000,,,,,0,2617560000.0000000000
2023-05-22,OUL,OUL,,1322.0000000000,,,,,0,2617560000.0000000000
2023-05-23,OUL,OUL,,1322.0000000000,,,,,0,2617560000.0000000000
2023-05-24,OUL,OUL,,1322.0000000000,,,,,0,2617560000.0000000000
2023-05-25,OUL,OUL,,1322.0000000000,,,,,0,2617560000.0000000000
2023-05-26,OUL,OUL,,1322.0000000000,,,,,0,2617560000.0000000000
2023-05-29,OUL,OUL,,1322.0000000000,,,,,0,2617560000.0000000000
