Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,PRO,PRO,,1040.0000000000,,,,,0,1040000000.0000000000
2023-04-04,PRO,PRO,,1040.0000000000,,,,,0,1040000000.0000000000
2023-04-05,PRO,PRO,,1040.0000000000,,,,,0,1040000000.0000000000
2023-04-06,PRO,PRO,,1040.0000000000,,,,,0,1040000000.0000000000
2023-04-07,PRO,PRO,,1040.0000000000,,,,,0,1040000000.0000000000
2023-04-10,PRO,PRO,,1040.0000000000,,,,,0,1040000000.0000000000
2023-04-11,PRO,PRO,,1040.0000000000,,,,,0,1040000000.0000000000
2023-04-12,PRO,PRO,,1040.0000000000,,,,,0,1040000000.0000000000
2023-04-13,PRO,PRO,,1040.0000000000,,,,,0,1040000000.0000000000
2023-04-14,PRO,PRO,,1040.0000000000,,,,,0,1040000000.0000000000
2023-04-17,PRO,PRO,,1040.0000000000,,,,,0,1040000000.0000000000
2023-04-18,PRO,PRO,,1040.0000000000,,,,,0,1040000000.0000000000
2023-04-19,PRO,PRO,,1040.0000000000,,,,,0,1040000000.0000000000
2023-04-20,PRO,PRO,,1040.0000000000,,,,,0,1040000000.0000000000
2023-04-21,PRO,PRO,,1040.0000000000,,,,,0,1040000000.0000000000
2023-04-25,PRO,PRO,,1040.0000000000,,,,,0,1040000000.0000000000
2023-04-26,PRO,PRO,,1040.0000000000,,,,,0,1040000000.0000000000
2023-04-27,PRO,PRO,,1040.0000000000,,,,,0,1040000000.0000000000
2023-04-28,PRO,PRO,,1040.0000000000,,,,,0,1040000000.0000000000
2023-05-02,PRO,PRO,,1040.0000000000,,,,,0,1040000000.0000000000
2023-05-03,PRO,PRO,,1040.0000000000,,,,,0,1040000000.0000000000
2023-05-04,PRO,PRO,,1040.0000000000,,,,,0,1040000000.0000000000
2023-05-05,PRO,PRO,,1040.0000000000,,,,,0,1040000000.0000000000
2023-05-08,PRO,PRO,,1040.0000000000,,,,,0,1040000000.0000000000
2023-05-09,PRO,PRO,,1040.0000000000,,,,,0,1040000000.0000000000
