Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,RDS,RDS,10.0000000000,10.0000000000,10.0000000000,10.0000000000,10399.0000000000,103990.0000000000,29,262088500.0000000000
2023-04-04,RDS,RDS,10.4800000000,10.2700000000,10.4800000000,10.0000000000,1957.0000000000,19578.0700000000,26,269164889.5000000000
2023-04-05,RDS,RDS,10.0000000000,10.0000000000,10.2800000000,9.8700000000,3874.0000000000,38726.6700000000,30,262088500.0000000000
2023-04-06,RDS,RDS,9.8700000000,10.3800000000,10.3800000000,9.8700000000,252.0000000000,2488.2600000000,8,272047863.0000000000
2023-04-07,RDS,RDS,10.3600000000,10.0000000000,10.6000000000,10.0000000000,8340.0000000000,84788.4100000000,33,262088500.0000000000
2023-04-10,RDS,RDS,10.2000000000,10.3600000000,10.3900000000,10.2000000000,3216.0000000000,32922.6300000000,15,271523686.0000000000
2023-04-11,RDS,RDS,10.3500000000,10.1000000000,10.5000000000,10.0000000000,10278.0000000000,103886.9600000000,35,264709385.0000000000
2023-04-12,RDS,RDS,10.1000000000,10.0000000000,10.3600000000,10.0000000000,4155.0000000000,41691.8000000000,26,262088500.0000000000
2023-04-13,RDS,RDS,10.2400000000,10.0000000000,10.2400000000,10.0000000000,981.0000000000,9849.7200000000,13,262088500.0000000000
2023-04-14,RDS,RDS,10.0000000000,10.0000000000,10.1300000000,9.9200000000,401059.0000000000,4030592.2300000000,12,262088500.0000000000
2023-04-17,RDS,RDS,10.1900000000,10.1500000000,10.1900000000,10.0000000000,550.0000000000,5595.3000000000,6,266019827.5000000000
2023-04-18,RDS,RDS,10.0000000000,10.1400000000,10.1400000000,9.8500000000,3322.0000000000,33178.3200000000,22,265757739.0000000000
2023-04-19,RDS,RDS,10.0000000000,10.2500000000,10.2500000000,9.8900000000,545.0000000000,5408.3600000000,4,268640712.5000000000
2023-04-20,RDS,RDS,10.2500000000,10.4800000000,10.4800000000,10.2000000000,3148.0000000000,32128.5800000000,10,274668748.0000000000
2023-04-21,RDS,RDS,10.2200000000,10.3900000000,10.4300000000,10.1500000000,2524.0000000000,25880.2900000000,10,272309951.5000000000
2023-04-25,RDS,RDS,10.3900000000,10.7100000000,10.7500000000,10.3000000000,2947.0000000000,30890.9200000000,18,280696783.5000000000
2023-04-26,RDS,RDS,10.7200000000,10.8900000000,11.3200000000,10.3700000000,9754.0000000000,105759.4400000000,59,285414376.5000000000
2023-04-27,RDS,RDS,11.2800000000,11.0000000000,11.2800000000,10.8700000000,15283.0000000000,167659.1900000000,63,288297350.0000000000
2023-04-28,RDS,RDS,11.0600000000,10.7000000000,11.2000000000,10.7000000000,15325.0000000000,166832.1900000000,60,280434695.0000000000
2023-05-02,RDS,RDS,10.7000000000,11.0000000000,11.1200000000,10.5000000000,3841.0000000000,41725.5900000000,35,288297350.0000000000
2023-05-03,RDS,RDS,11.2800000000,11.6500000000,11.6500000000,11.1300000000,72176.0000000000,836920.1900000000,121,305333102.5000000000
2023-05-04,RDS,RDS,11.6500000000,12.1000000000,12.2500000000,11.6500000000,54725.0000000000,663993.9300000000,115,317127085.0000000000
2023-05-05,RDS,RDS,12.2400000000,12.1200000000,12.4600000000,12.1200000000,74362.0000000000,906453.0600000000,178,317651262.0000000000
2023-05-08,RDS,RDS,12.1200000000,12.7300000000,12.7400000000,12.1200000000,109740.0000000000,1379895.2900000000,215,333638660.5000000000
2023-05-09,RDS,RDS,12.7900000000,13.2200000000,13.3000000000,12.6500000000,133130.0000000000,1754684.8500000000,201,346480997.0000000000
2023-05-10,RDS,RDS,13.3600000000,13.4200000000,13.5500000000,13.2000000000,63639.0000000000,851280.3700000000,176,351722767.0000000000
2023-05-11,RDS,RDS,13.7800000000,12.6200000000,13.7800000000,12.6200000000,146579.0000000000,1889480.4400000000,243,330755687.0000000000
2023-05-12,RDS,RDS,12.5300000000,12.7800000000,12.9700000000,12.2000000000,83976.0000000000,1052851.7200000000,144,334949103.0000000000
2023-05-15,RDS,RDS,13.0000000000,13.2200000000,13.2800000000,12.7800000000,37199.0000000000,488864.9800000000,113,346480997.0000000000
2023-05-16,RDS,RDS,13.2500000000,13.3000000000,13.3900000000,13.0000000000,38506.0000000000,507515.7000000000,62,348577705.0000000000
2023-05-17,RDS,RDS,13.3200000000,13.0500000000,13.4000000000,13.0000000000,33775.0000000000,442942.3700000000,67,342025492.5000000000
2023-05-18,RDS,RDS,13.0000000000,12.9000000000,13.2200000000,12.6100000000,38634.0000000000,494869.4000000000,72,338094165.0000000000
2023-05-19,RDS,RDS,12.7100000000,13.0800000000,13.0800000000,12.6600000000,2901.0000000000,37631.6500000000,26,342811758.0000000000
2023-05-22,RDS,RDS,12.7700000000,13.0000000000,13.0000000000,12.7700000000,2371.0000000000,30663.7700000000,20,340715050.0000000000
2023-05-23,RDS,RDS,12.7700000000,12.9600000000,13.0000000000,12.7700000000,1726.0000000000,22292.6500000000,19,339666696.0000000000
