Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,REB,REB,,113.5000000000,,,,,0,20027756.0000000000
2023-04-04,REB,REB,,113.5000000000,,,,,0,20027756.0000000000
2023-04-05,REB,REB,,113.5000000000,,,,,0,20027756.0000000000
2023-04-06,REB,REB,,113.5000000000,,,,,0,20027756.0000000000
2023-04-07,REB,REB,,113.5000000000,,,,,0,20027756.0000000000
2023-04-10,REB,REB,113.5000000000,113.5000000000,113.5000000000,113.5000000000,1.0000000000,113.5000000000,1,20027756.0000000000
2023-04-11,REB,REB,,113.5000000000,,,,,0,20027756.0000000000
2023-04-12,REB,REB,,113.5000000000,,,,,0,20027756.0000000000
2023-04-13,REB,REB,,113.5000000000,,,,,0,20027756.0000000000
2023-04-14,REB,REB,,113.5000000000,,,,,0,20027756.0000000000
2023-04-17,REB,REB,,113.5000000000,,,,,0,20027756.0000000000
2023-04-18,REB,REB,,113.5000000000,,,,,0,20027756.0000000000
2023-04-19,REB,REB,,113.5000000000,,,,,0,20027756.0000000000
2023-04-20,REB,REB,,113.5000000000,,,,,0,20027756.0000000000
2023-04-21,REB,REB,,113.5000000000,,,,,0,20027756.0000000000
2023-04-25,REB,REB,,113.5000000000,,,,,0,20027756.0000000000
2023-04-26,REB,REB,,113.5000000000,,,,,0,20027756.0000000000
2023-04-27,REB,REB,,113.5000000000,,,,,0,20027756.0000000000
2023-04-28,REB,REB,,113.5000000000,,,,,0,20027756.0000000000
2023-05-02,REB,REB,113.4500000000,113.4500000000,113.4500000000,113.4500000000,100.0000000000,11345.0000000000,1,20018933.2000000000
2023-05-03,REB,REB,,113.4500000000,,,,,0,20018933.2000000000
2023-05-04,REB,REB,,113.4500000000,,,,,0,20018933.2000000000
2023-05-05,REB,REB,,113.4500000000,,,,,0,20018933.2000000000
2023-05-08,REB,REB,110.0000000000,110.0000000000,110.0000000000,110.0000000000,176.0000000000,19360.0000000000,1,19410160.0000000000
2023-05-09,REB,REB,,110.0000000000,,,,,0,19410160.0000000000
2023-05-10,REB,REB,,110.0000000000,,,,,0,19410160.0000000000
2023-05-11,REB,REB,,110.0000000000,,,,,0,19410160.0000000000
2023-05-12,REB,REB,,110.0000000000,,,,,0,19410160.0000000000
2023-05-15,REB,REB,,110.0000000000,,,,,0,19410160.0000000000
2023-05-16,REB,REB,,110.0000000000,,,,,0,19410160.0000000000
2023-05-17,REB,REB,105.6500000000,105.6500000000,105.6500000000,105.6500000000,1.0000000000,105.6500000000,1,18642576.4000000000
2023-05-18,REB,REB,,105.6500000000,,,,,0,18642576.4000000000
2023-05-19,REB,REB,101.5000000000,101.5000000000,101.5000000000,101.5000000000,1.0000000000,101.5000000000,1,17910284.0000000000
2023-05-22,REB,REB,97.4500000000,97.4500000000,97.4500000000,97.4500000000,1.0000000000,97.4500000000,1,17195637.2000000000
2023-05-23,REB,REB,,97.4500000000,,,,,0,17195637.2000000000
2023-05-24,REB,REB,93.5600000000,93.5600000000,93.5600000000,93.5600000000,1.0000000000,93.5600000000,1,16509223.3600000000
2023-05-25,REB,REB,,93.5600000000,,,,,0,16509223.3600000000
2023-05-26,REB,REB,,93.5600000000,,,,,0,16509223.3600000000
2023-05-29,REB,REB,,93.5600000000,,,,,0,16509223.3600000000
2023-05-30,REB,REB,,93.5600000000,,,,,0,16509223.3600000000
2023-05-31,REB,REB,,93.5600000000,,,,,0,16509223.3600000000
2023-06-01,REB,REB,,93.5600000000,,,,,0,16509223.3600000000
2023-06-02,REB,REB,,93.5600000000,,,,,0,16509223.3600000000
2023-06-05,REB,REB,,93.5600000000,,,,,0,16509223.3600000000
2023-06-06,REB,REB,,93.5600000000,,,,,0,16509223.3600000000
2023-06-07,REB,REB,90.0000000000,90.0000000000,90.0000000000,90.0000000000,12.0000000000,1080.0000000000,2,15881040.0000000000
2023-06-08,REB,REB,93.5900000000,93.5900000000,93.5900000000,93.5900000000,4.0000000000,374.3600000000,2,16514517.0400000000
2023-06-09,REB,REB,90.0000000000,90.0000000000,90.0000000000,90.0000000000,2.0000000000,180.0000000000,1,15881040.0000000000
2023-06-12,REB,REB,90.0000000000,90.0000000000,90.0000000000,90.0000000000,188.0000000000,16920.0000000000,1,15881040.0000000000
2023-06-13,REB,REB,,90.0000000000,,,,,0,15881040.0000000000
2023-06-14,REB,REB,,90.0000000000,,,,,0,15881040.0000000000
2023-06-15,REB,REB,,90.0000000000,,,,,0,15881040.0000000000
2023-06-16,REB,REB,93.5900000000,93.5900000000,93.5900000000,93.5900000000,1.0000000000,93.5900000000,1,16514517.0400000000
2023-06-19,REB,REB,,93.5900000000,,,,,0,16514517.0400000000
2023-06-20,REB,REB,,93.5900000000,,,,,0,16514517.0400000000
2023-06-21,REB,REB,,93.5900000000,,,,,0,16514517.0400000000
2023-06-22,REB,REB,93.5000000000,93.5000000000,93.5000000000,93.5000000000,1.0000000000,93.5000000000,1,16498636.0000000000
2023-06-23,REB,REB,93.5000000000,93.5000000000,93.5000000000,93.5000000000,6.0000000000,561.0000000000,1,16498636.0000000000
2023-06-26,REB,REB,,93.5000000000,,,,,0,16498636.0000000000
2023-06-27,REB,REB,,93.5000000000,,,,,0,16498636.0000000000
2023-06-28,REB,REB,,93.5000000000,,,,,0,16498636.0000000000
2023-07-03,REB,REB,93.5000000000,93.5000000000,93.5000000000,93.5000000000,1.0000000000,93.5000000000,1,16498636.0000000000
2023-07-04,REB,REB,,93.5000000000,,,,,0,16498636.0000000000
2023-07-05,REB,REB,,93.5000000000,,,,,0,16498636.0000000000
2023-07-06,REB,REB,,93.5000000000,,,,,0,16498636.0000000000
2023-07-07,REB,REB,91.9000000000,91.9000000000,91.9000000000,91.9000000000,106.0000000000,9741.4000000000,1,16216306.4000000000
2023-07-10,REB,REB,,91.9000000000,,,,,0,16216306.4000000000
2023-07-11,REB,REB,90.0000000000,90.0000000000,90.0000000000,90.0000000000,103.0000000000,9270.0000000000,1,15881040.0000000000
2023-07-12,REB,REB,,90.0000000000,,,,,0,15881040.0000000000
2023-07-13,REB,REB,,90.0000000000,,,,,0,15881040.0000000000
2023-07-14,REB,REB,90.0000000000,90.0000000000,90.0000000000,90.0000000000,103.0000000000,9270.0000000000,2,15881040.0000000000
2023-07-17,REB,REB,,90.0000000000,,,,,0,15881040.0000000000
