Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,RIS,RIS,119.0000000000,119.0000000000,119.0000000000,119.0000000000,500.0000000000,59500.0000000000,1,1704906693.0000000000
2023-04-04,RIS,RIS,120.0000000000,117.0000000000,120.0000000000,117.0000000000,7.0000000000,828.0000000000,2,1676252799.0000000000
2023-04-05,RIS,RIS,116.5500000000,117.0000000000,120.0000000000,116.5500000000,243.0000000000,28937.4000000000,4,1676252799.0000000000
2023-04-06,RIS,RIS,118.0000000000,120.4500000000,120.4500000000,118.0000000000,667.0000000000,80275.1500000000,6,1725680766.1500000000
2023-04-07,RIS,RIS,120.0000000000,120.0000000000,120.0000000000,120.0000000000,2144.0000000000,257280.0000000000,5,1719233640.0000000000
2023-04-10,RIS,RIS,120.8000000000,123.0000000000,126.0000000000,120.8000000000,13430.0000000000,1654352.7500000000,48,1762214481.0000000000
2023-04-11,RIS,RIS,123.0000000000,129.0000000000,129.0000000000,123.0000000000,1098.0000000000,141078.5000000000,20,1848176163.0000000000
2023-04-12,RIS,RIS,129.0000000000,123.0000000000,129.0000000000,123.0000000000,1178.0000000000,147397.2500000000,19,1762214481.0000000000
2023-04-13,RIS,RIS,120.0000000000,121.3000000000,127.9000000000,120.0000000000,5210.0000000000,632673.3000000000,8,1737858671.1000000000
2023-04-14,RIS,RIS,122.9500000000,125.5000000000,128.0000000000,121.5000000000,6349.0000000000,793267.0000000000,28,1798031848.5000000000
2023-04-17,RIS,RIS,127.5000000000,125.0000000000,129.2500000000,125.0000000000,3622.0000000000,455358.0000000000,25,1790868375.0000000000
2023-04-18,RIS,RIS,126.0000000000,125.0000000000,127.0000000000,124.1000000000,1498.0000000000,187782.0000000000,7,1790868375.0000000000
2023-04-19,RIS,RIS,125.0000000000,127.1000000000,131.9500000000,125.0000000000,10236.0000000000,1312585.3500000000,58,1820954963.7000000000
2023-04-20,RIS,RIS,130.9000000000,127.6000000000,131.0000000000,127.6000000000,6933.0000000000,895629.5500000000,27,1828118437.2000000000
2023-04-21,RIS,RIS,131.9500000000,132.5000000000,133.9500000000,131.9000000000,1663.0000000000,220624.9000000000,11,1898320477.5000000000
2023-04-25,RIS,RIS,131.0000000000,130.9500000000,132.3500000000,130.9500000000,66.0000000000,8654.0500000000,5,1876113709.6500000000
2023-04-26,RIS,RIS,128.0500000000,130.0000000000,130.0000000000,128.0500000000,1855.0000000000,240847.7500000000,5,1862503110.0000000000
2023-04-27,RIS,RIS,128.9500000000,128.9500000000,128.9500000000,122.6000000000,4578.0000000000,565814.2500000000,30,1847459815.6500000000
2023-04-28,RIS,RIS,126.0000000000,126.0000000000,129.9000000000,126.0000000000,2611.0000000000,331160.5000000000,20,1805195322.0000000000
2023-05-02,RIS,RIS,126.4000000000,130.0000000000,130.0000000000,126.4000000000,1578.0000000000,203246.9500000000,20,1862503110.0000000000
2023-05-03,RIS,RIS,130.0000000000,128.1000000000,132.0000000000,127.0000000000,4903.0000000000,636694.1000000000,39,1835281910.7000000000
2023-05-04,RIS,RIS,128.1000000000,128.1000000000,132.0000000000,128.1000000000,874.0000000000,112930.7500000000,14,1835281910.7000000000
2023-05-05,RIS,RIS,130.0000000000,125.7000000000,135.0000000000,125.7000000000,8207.0000000000,1095409.8500000000,46,1800897237.9000000000
2023-05-08,RIS,RIS,133.0000000000,130.0000000000,133.0000000000,130.0000000000,171.0000000000,22353.0000000000,6,1862503110.0000000000
2023-05-09,RIS,RIS,133.0000000000,132.5000000000,133.0000000000,132.5000000000,35.0000000000,4642.5000000000,2,1898320477.5000000000
2023-05-10,RIS,RIS,128.6000000000,140.4000000000,140.4000000000,128.6000000000,22001.0000000000,3033365.1500000000,61,2011503358.8000000000
2023-05-11,RIS,RIS,145.0000000000,145.4500000000,148.0000000000,142.5000000000,16023.0000000000,2286628.5000000000,23,2083854441.1500000000
2023-05-12,RIS,RIS,147.0000000000,149.0000000000,149.9000000000,147.0000000000,9049.0000000000,1338929.1000000000,58,2134715103.0000000000
2023-05-15,RIS,RIS,149.8500000000,148.5000000000,149.8500000000,146.5000000000,1168.0000000000,174943.6000000000,12,2127551629.5000000000
2023-05-16,RIS,RIS,148.3000000000,149.0000000000,149.0000000000,144.1000000000,3261.0000000000,484862.4000000000,32,2134715103.0000000000
2023-05-17,RIS,RIS,149.0000000000,150.0500000000,153.0000000000,148.0000000000,21213.0000000000,3163080.5500000000,76,2149758397.3500000000
2023-05-18,RIS,RIS,150.0500000000,153.9000000000,154.0000000000,150.0000000000,4289.0000000000,643900.2000000000,16,2204917143.3000000000
2023-05-19,RIS,RIS,150.0000000000,150.0000000000,153.0000000000,150.0000000000,12676.0000000000,1901569.6500000000,32,2149042050.0000000000
2023-05-22,RIS,RIS,150.0000000000,152.6000000000,152.6000000000,150.0000000000,1015.0000000000,152263.0000000000,10,2186292112.2000000000
2023-05-23,RIS,RIS,150.0000000000,150.0000000000,151.6000000000,146.0000000000,430.0000000000,64427.4000000000,12,2149042050.0000000000
2023-05-24,RIS,RIS,150.0000000000,150.0000000000,150.0000000000,150.0000000000,8.0000000000,1200.0000000000,2,2149042050.0000000000
2023-05-25,RIS,RIS,146.1000000000,146.5000000000,146.5000000000,146.1000000000,294.0000000000,43048.8000000000,9,2098897735.5000000000
2023-05-26,RIS,RIS,146.5000000000,149.3000000000,149.3000000000,146.5000000000,363.0000000000,53553.8000000000,11,2139013187.1000000000
2023-05-29,RIS,RIS,149.3000000000,153.9500000000,154.0000000000,149.3000000000,3737.0000000000,561537.7500000000,33,2205633490.6500000000
2023-05-30,RIS,RIS,153.9500000000,155.0000000000,159.0000000000,153.9000000000,3591.0000000000,556246.2500000000,36,2220676785.0000000000
2023-05-31,RIS,RIS,157.0000000000,160.0000000000,164.2500000000,155.0000000000,13961.0000000000,2250887.3500000000,80,2292311520.0000000000
2023-06-01,RIS,RIS,160.0000000000,158.0000000000,160.0000000000,155.4000000000,7070.0000000000,1129396.5500000000,28,2263657626.0000000000
2023-06-02,RIS,RIS,160.0000000000,153.1000000000,160.0000000000,153.0000000000,924.0000000000,143497.2000000000,17,2193455585.7000000000
2023-06-05,RIS,RIS,155.9000000000,153.0000000000,157.0000000000,153.0000000000,1080.0000000000,168055.0000000000,11,2192022891.0000000000
2023-06-06,RIS,RIS,153.1000000000,156.8500000000,156.8500000000,153.1000000000,85.0000000000,13144.7500000000,3,2247181636.9500000000
2023-06-07,RIS,RIS,152.5000000000,156.0000000000,156.0000000000,152.2000000000,110.0000000000,16783.0000000000,3,2235003732.0000000000
2023-06-08,RIS,RIS,151.6500000000,159.4500000000,159.4500000000,151.6000000000,2262.0000000000,354934.1000000000,23,2284431699.1500000000
2023-06-09,RIS,RIS,159.4500000000,159.4500000000,159.4500000000,153.0000000000,135.0000000000,20687.2500000000,6,2284431699.1500000000
2023-06-12,RIS,RIS,154.0000000000,160.0000000000,160.0000000000,154.0000000000,4260.0000000000,681333.8500000000,26,2292311520.0000000000
2023-06-13,RIS,RIS,156.0000000000,158.0000000000,160.0000000000,156.0000000000,1008.0000000000,160956.7500000000,9,2263657626.0000000000
2023-06-14,RIS,RIS,156.7000000000,159.5000000000,160.0000000000,156.7000000000,182.0000000000,28882.5500000000,8,2285148046.5000000000
2023-06-15,RIS,RIS,160.0000000000,159.0000000000,160.0000000000,156.0000000000,2241.0000000000,352036.0500000000,20,2277984573.0000000000
2023-06-16,RIS,RIS,155.5000000000,157.0000000000,158.0000000000,153.0000000000,4102.0000000000,631842.4500000000,34,2249330679.0000000000
2023-06-19,RIS,RIS,151.1000000000,151.6000000000,155.8500000000,151.1000000000,1937.0000000000,293321.0000000000,23,2171965165.2000000000
2023-06-20,RIS,RIS,155.3500000000,155.0000000000,155.4000000000,154.9000000000,2178.0000000000,337588.5500000000,7,2220676785.0000000000
2023-06-21,RIS,RIS,155.8500000000,152.1000000000,155.9000000000,151.9000000000,153.0000000000,23274.6500000000,7,2179128638.7000000000
2023-06-22,RIS,RIS,154.0000000000,151.9500000000,154.0000000000,151.9500000000,545.0000000000,83096.4000000000,11,2176979596.6500000000
2023-06-23,RIS,RIS,152.0000000000,160.0000000000,160.0000000000,148.5000000000,7512.0000000000,1181001.0500000000,44,2292311520.0000000000
2023-06-26,RIS,RIS,155.0000000000,160.9000000000,163.0000000000,155.0000000000,412.0000000000,65082.9000000000,12,2305205772.3000000000
2023-06-27,RIS,RIS,163.8000000000,165.0000000000,169.0000000000,159.6000000000,12517.0000000000,2061504.1500000000,95,2363946255.0000000000
2023-06-28,RIS,RIS,165.0000000000,166.8500000000,166.8500000000,165.0000000000,2732.0000000000,451124.5000000000,13,2390451106.9500000000
2023-07-03,RIS,RIS,162.1500000000,165.7500000000,166.5000000000,161.0000000000,2845.0000000000,459216.0000000000,21,2374691465.2500000000
2023-07-04,RIS,RIS,163.0000000000,165.9500000000,165.9500000000,161.5000000000,880.0000000000,142329.5000000000,6,2377556854.6500000000
2023-07-05,RIS,RIS,162.1000000000,162.0000000000,162.1000000000,162.0000000000,580.0000000000,93968.3000000000,9,2320965414.0000000000
2023-07-06,RIS,RIS,162.0000000000,170.0000000000,170.0000000000,162.0000000000,11125.0000000000,1884052.1500000000,59,2435580990.0000000000
2023-07-07,RIS,RIS,175.0000000000,175.9500000000,180.0000000000,175.0000000000,6874.0000000000,1216989.9500000000,58,2520826324.6500000000
2023-07-10,RIS,RIS,176.0000000000,176.0000000000,177.8000000000,172.0000000000,655.0000000000,114674.2000000000,15,2521542672.0000000000
2023-07-11,RIS,RIS,173.5000000000,177.7500000000,178.0000000000,173.0000000000,4235.0000000000,744983.7000000000,27,2546614829.2500000000
2023-07-12,RIS,RIS,177.7000000000,177.5000000000,177.7500000000,173.5000000000,2611.0000000000,462797.5000000000,21,2543033092.5000000000
2023-07-13,RIS,RIS,177.0000000000,176.8500000000,177.0000000000,175.0000000000,3940.0000000000,694639.2000000000,13,2533720576.9500000000
2023-07-14,RIS,RIS,176.4500000000,177.0000000000,177.0000000000,175.0000000000,4318.0000000000,763728.6000000000,18,2535869619.0000000000
2023-07-17,RIS,RIS,175.0000000000,175.0000000000,175.0000000000,172.0000000000,7260.0000000000,1270487.0000000000,10,2507215725.0000000000
2023-07-18,RIS,RIS,175.0000000000,176.0000000000,177.0000000000,175.0000000000,7994.0000000000,1399376.0000000000,11,2521542672.0000000000
2023-07-20,RIS,RIS,176.0000000000,180.0000000000,182.0000000000,175.0000000000,8216.0000000000,1474997.1000000000,58,2578850460.0000000000
2023-07-21,RIS,RIS,180.0000000000,183.0000000000,186.5000000000,180.0000000000,4883.0000000000,896091.0000000000,45,2621831301.0000000000
2023-07-24,RIS,RIS,182.0000000000,180.0000000000,183.0000000000,180.0000000000,23236.0000000000,4184011.2000000000,24,2578850460.0000000000
2023-07-25,RIS,RIS,180.0500000000,184.0000000000,184.0000000000,179.0000000000,284.0000000000,51887.1500000000,11,2636158248.0000000000
2023-07-26,RIS,RIS,183.5000000000,184.0000000000,184.0000000000,180.0000000000,42.0000000000,7605.5000000000,4,2636158248.0000000000
2023-07-27,RIS,RIS,182.0000000000,182.0000000000,182.0000000000,180.5000000000,59.0000000000,10733.5000000000,5,2607504354.0000000000
