Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,S2M,S2M,,194.0000000000,,,,,0,157541580.0000000000
2023-04-04,S2M,S2M,,194.0000000000,,,,,0,157541580.0000000000
2023-04-05,S2M,S2M,,194.0000000000,,,,,0,157541580.0000000000
2023-04-06,S2M,S2M,,194.0000000000,,,,,0,157541580.0000000000
2023-04-07,S2M,S2M,,194.0000000000,,,,,0,157541580.0000000000
2023-04-10,S2M,S2M,,194.0000000000,,,,,0,157541580.0000000000
2023-04-11,S2M,S2M,,194.0000000000,,,,,0,157541580.0000000000
2023-04-12,S2M,S2M,186.5000000000,186.5000000000,186.5000000000,186.5000000000,10.0000000000,1865.0000000000,1,151451055.0000000000
2023-04-13,S2M,S2M,,186.5000000000,,,,,0,151451055.0000000000
2023-04-14,S2M,S2M,,186.5000000000,,,,,0,151451055.0000000000
2023-04-17,S2M,S2M,179.0500000000,179.0500000000,179.0500000000,179.0500000000,1.0000000000,179.0500000000,1,145401133.5000000000
2023-04-18,S2M,S2M,171.9000000000,171.9000000000,171.9000000000,171.9000000000,15.0000000000,2578.5000000000,4,139594833.0000000000
2023-04-19,S2M,S2M,172.0000000000,172.0000000000,172.0000000000,172.0000000000,1.0000000000,172.0000000000,1,139676040.0000000000
2023-04-20,S2M,S2M,,172.0000000000,,,,,0,139676040.0000000000
2023-04-21,S2M,S2M,,172.0000000000,,,,,0,139676040.0000000000
2023-04-25,S2M,S2M,166.0000000000,166.0000000000,166.0000000000,166.0000000000,30.0000000000,4980.0000000000,3,134803620.0000000000
2023-04-26,S2M,S2M,,166.0000000000,,,,,0,134803620.0000000000
2023-04-27,S2M,S2M,,166.0000000000,,,,,0,134803620.0000000000
2023-04-28,S2M,S2M,,166.0000000000,,,,,0,134803620.0000000000
2023-05-02,S2M,S2M,172.5000000000,172.5000000000,172.5000000000,172.5000000000,2.0000000000,345.0000000000,1,140082075.0000000000
2023-05-03,S2M,S2M,165.6500000000,165.6500000000,165.6500000000,165.6500000000,20.0000000000,3313.0000000000,3,134519395.5000000000
2023-05-04,S2M,S2M,,165.6500000000,,,,,0,134519395.5000000000
2023-05-05,S2M,S2M,172.2500000000,172.2500000000,172.2500000000,172.2500000000,1.0000000000,172.2500000000,1,139879057.5000000000
2023-05-08,S2M,S2M,170.0000000000,170.0000000000,170.0000000000,170.0000000000,25.0000000000,4250.0000000000,2,138051900.0000000000
2023-05-09,S2M,S2M,166.1000000000,166.1000000000,166.1000000000,166.1000000000,22.0000000000,3654.2000000000,2,134884827.0000000000
2023-05-10,S2M,S2M,,166.1000000000,,,,,0,134884827.0000000000
2023-05-11,S2M,S2M,170.0000000000,170.0000000000,170.0000000000,170.0000000000,40.0000000000,6800.0000000000,2,138051900.0000000000
2023-05-12,S2M,S2M,,170.0000000000,,,,,0,138051900.0000000000
2023-05-15,S2M,S2M,170.0000000000,170.0000000000,170.0000000000,170.0000000000,42.0000000000,7140.0000000000,3,138051900.0000000000
2023-05-16,S2M,S2M,,170.0000000000,,,,,0,138051900.0000000000
2023-05-17,S2M,S2M,176.7000000000,176.7000000000,176.7000000000,176.7000000000,2.0000000000,353.4000000000,1,143492769.0000000000
2023-05-18,S2M,S2M,,176.7000000000,,,,,0,143492769.0000000000
2023-05-19,S2M,S2M,,176.7000000000,,,,,0,143492769.0000000000
2023-05-22,S2M,S2M,,176.7000000000,,,,,0,143492769.0000000000
2023-05-23,S2M,S2M,177.0000000000,177.0000000000,177.0000000000,177.0000000000,2.0000000000,354.0000000000,1,143736390.0000000000
2023-05-24,S2M,S2M,,177.0000000000,,,,,0,143736390.0000000000
2023-05-25,S2M,S2M,178.0000000000,178.0000000000,178.0000000000,178.0000000000,10.0000000000,1780.0000000000,1,144548460.0000000000
2023-05-26,S2M,S2M,178.0000000000,178.0000000000,178.0000000000,178.0000000000,20.0000000000,3560.0000000000,1,144548460.0000000000
2023-05-29,S2M,S2M,178.0000000000,178.0000000000,178.0000000000,178.0000000000,30.0000000000,5340.0000000000,1,144548460.0000000000
2023-05-30,S2M,S2M,,178.0000000000,,,,,0,144548460.0000000000
2023-05-31,S2M,S2M,,178.0000000000,,,,,0,144548460.0000000000
2023-06-01,S2M,S2M,,178.0000000000,,,,,0,144548460.0000000000
2023-06-02,S2M,S2M,,178.0000000000,,,,,0,144548460.0000000000
2023-06-05,S2M,S2M,171.0000000000,171.0000000000,171.0000000000,171.0000000000,45.0000000000,7695.0000000000,1,138863970.0000000000
