Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,SAH,SAH,950.0000000000,950.0000000000,950.0000000000,950.0000000000,15.0000000000,14250.0000000000,4,3911030300.0000000000
2023-04-04,SAH,SAH,978.0000000000,993.9000000000,993.9000000000,978.0000000000,51.0000000000,49893.9000000000,3,4091761068.6000000000
2023-04-05,SAH,SAH,998.0000000000,1000.0000000000,1000.0000000000,998.0000000000,4.0000000000,3996.0000000000,2,4116874000.0000000000
2023-04-06,SAH,SAH,1000.0000000000,1000.0000000000,1000.0000000000,1000.0000000000,50.0000000000,50000.0000000000,2,4116874000.0000000000
2023-04-07,SAH,SAH,973.0000000000,973.0000000000,973.0000000000,973.0000000000,2.0000000000,1946.0000000000,1,4005718402.0000000000
2023-04-10,SAH,SAH,999.0000000000,999.0000000000,999.0000000000,999.0000000000,20.0000000000,19980.0000000000,1,4112757126.0000000000
2023-04-11,SAH,SAH,,999.0000000000,,,,,0,4112757126.0000000000
2023-04-12,SAH,SAH,,999.0000000000,,,,,0,4112757126.0000000000
2023-04-13,SAH,SAH,952.0000000000,952.0000000000,952.0000000000,952.0000000000,4.0000000000,3808.0000000000,2,3919264048.0000000000
2023-04-14,SAH,SAH,1000.0000000000,900.0000000000,1000.0000000000,900.0000000000,443.0000000000,425700.0000000000,17,3705186600.0000000000
2023-04-17,SAH,SAH,,900.0000000000,,,,,0,3705186600.0000000000
2023-04-18,SAH,SAH,,900.0000000000,,,,,0,3705186600.0000000000
2023-04-19,SAH,SAH,905.0000000000,905.0000000000,905.0000000000,905.0000000000,1.0000000000,905.0000000000,1,3725770970.0000000000
2023-04-20,SAH,SAH,910.0000000000,910.0000000000,910.0000000000,910.0000000000,5.0000000000,4550.0000000000,1,3746355340.0000000000
2023-04-21,SAH,SAH,964.5000000000,856.0000000000,964.5000000000,856.0000000000,591.0000000000,545714.5000000000,13,3524044144.0000000000
2023-04-25,SAH,SAH,880.0000000000,906.0000000000,906.0000000000,880.0000000000,35.0000000000,31580.0000000000,5,3729887844.0000000000
2023-04-26,SAH,SAH,959.0000000000,959.0000000000,959.0000000000,959.0000000000,230.0000000000,220570.0000000000,4,3948082166.0000000000
2023-04-27,SAH,SAH,974.0000000000,990.0000000000,990.0000000000,974.0000000000,680.0000000000,671641.0000000000,10,4075705260.0000000000
2023-04-28,SAH,SAH,950.0000000000,950.0000000000,950.0000000000,950.0000000000,301.0000000000,285950.0000000000,3,3911030300.0000000000
2023-05-02,SAH,SAH,940.0000000000,1000.0000000000,1000.0000000000,940.0000000000,150.0000000000,149340.0000000000,11,4116874000.0000000000
2023-05-03,SAH,SAH,960.0000000000,960.0000000000,960.0000000000,960.0000000000,272.0000000000,261120.0000000000,4,3952199040.0000000000
2023-05-04,SAH,SAH,945.0000000000,945.0000000000,945.0000000000,945.0000000000,200.0000000000,189000.0000000000,8,3890445930.0000000000
2023-05-05,SAH,SAH,945.0000000000,945.0000000000,945.0000000000,945.0000000000,200.0000000000,189000.0000000000,1,3890445930.0000000000
2023-05-08,SAH,SAH,,945.0000000000,,,,,0,3890445930.0000000000
2023-05-09,SAH,SAH,,945.0000000000,,,,,0,3890445930.0000000000
2023-05-10,SAH,SAH,973.0000000000,973.0000000000,973.0000000000,973.0000000000,1.0000000000,973.0000000000,1,4005718402.0000000000
2023-05-11,SAH,SAH,989.0000000000,989.0000000000,989.0000000000,989.0000000000,2.0000000000,1978.0000000000,1,4071588386.0000000000
2023-05-12,SAH,SAH,988.0000000000,988.0000000000,988.0000000000,988.0000000000,1.0000000000,988.0000000000,1,4067471512.0000000000
2023-05-15,SAH,SAH,,988.0000000000,,,,,0,4067471512.0000000000
2023-05-16,SAH,SAH,,988.0000000000,,,,,0,4067471512.0000000000
2023-05-17,SAH,SAH,,988.0000000000,,,,,0,4067471512.0000000000
2023-05-18,SAH,SAH,,988.0000000000,,,,,0,4067471512.0000000000
2023-05-19,SAH,SAH,,988.0000000000,,,,,0,4067471512.0000000000
2023-05-22,SAH,SAH,983.0000000000,987.0000000000,987.0000000000,954.0000000000,106.0000000000,104243.0000000000,5,4063354638.0000000000
2023-05-23,SAH,SAH,989.0000000000,989.0000000000,989.0000000000,989.0000000000,100.0000000000,98900.0000000000,3,4071588386.0000000000
2023-05-24,SAH,SAH,,989.0000000000,,,,,0,4071588386.0000000000
2023-05-25,SAH,SAH,,989.0000000000,,,,,0,4071588386.0000000000
2023-05-26,SAH,SAH,989.0000000000,989.0000000000,989.0000000000,989.0000000000,1.0000000000,989.0000000000,1,4071588386.0000000000
2023-05-29,SAH,SAH,980.0000000000,980.0000000000,980.0000000000,980.0000000000,1.0000000000,980.0000000000,1,4034536520.0000000000
2023-05-30,SAH,SAH,980.0000000000,1000.0000000000,1000.0000000000,980.0000000000,22.0000000000,21890.0000000000,4,4116874000.0000000000
2023-05-31,SAH,SAH,,1000.0000000000,,,,,0,4116874000.0000000000
2023-06-01,SAH,SAH,,1000.0000000000,,,,,0,4116874000.0000000000
2023-06-02,SAH,SAH,,1000.0000000000,,,,,0,4116874000.0000000000
2023-06-05,SAH,SAH,988.0000000000,973.0000000000,988.0000000000,970.0000000000,245.0000000000,241199.0000000000,6,4005718402.0000000000
2023-06-06,SAH,SAH,989.0000000000,989.0000000000,989.0000000000,989.0000000000,1.0000000000,989.0000000000,1,4071588386.0000000000
2023-06-07,SAH,SAH,970.5000000000,960.0000000000,970.5000000000,960.0000000000,30.0000000000,28834.0000000000,6,3952199040.0000000000
2023-06-08,SAH,SAH,955.0000000000,950.0000000000,955.0000000000,950.0000000000,200.0000000000,190250.0000000000,5,3911030300.0000000000
2023-06-09,SAH,SAH,950.1000000000,950.1000000000,950.1000000000,950.1000000000,25.0000000000,23752.5000000000,1,3911441987.4000000000
2023-06-12,SAH,SAH,,950.1000000000,,,,,0,3911441987.4000000000
2023-06-13,SAH,SAH,985.0000000000,985.0000000000,985.0000000000,985.0000000000,4.0000000000,3940.0000000000,1,4055120890.0000000000
2023-06-14,SAH,SAH,,985.0000000000,,,,,0,4055120890.0000000000
2023-06-15,SAH,SAH,982.0000000000,985.0000000000,985.0000000000,982.0000000000,80.0000000000,78620.0000000000,3,4055120890.0000000000
2023-06-16,SAH,SAH,980.0000000000,980.0000000000,980.0000000000,980.0000000000,30.0000000000,29400.0000000000,2,4034536520.0000000000
2023-06-19,SAH,SAH,980.0000000000,951.0000000000,980.0000000000,951.0000000000,18.0000000000,17176.0000000000,4,3915147174.0000000000
2023-06-20,SAH,SAH,970.0000000000,1000.0000000000,1000.0000000000,970.0000000000,375.0000000000,370161.0000000000,7,4116874000.0000000000
2023-06-21,SAH,SAH,941.0000000000,1000.0000000000,1000.0000000000,941.0000000000,26.0000000000,24938.0000000000,7,4116874000.0000000000
2023-06-22,SAH,SAH,,1000.0000000000,,,,,0,4116874000.0000000000
2023-06-23,SAH,SAH,999.0000000000,999.0000000000,1000.0000000000,999.0000000000,12842.0000000000,12829433.0000000000,19,4112757126.0000000000
2023-06-26,SAH,SAH,999.0000000000,999.0000000000,999.0000000000,999.0000000000,1000.0000000000,999000.0000000000,1,4112757126.0000000000
2023-06-27,SAH,SAH,,999.0000000000,,,,,0,4112757126.0000000000
2023-06-28,SAH,SAH,1050.0000000000,1000.0000000000,1050.0000000000,1000.0000000000,1451.0000000000,1452050.0000000000,13,4116874000.0000000000
2023-07-03,SAH,SAH,,1000.0000000000,,,,,0,4116874000.0000000000
