Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-04-04,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-04-05,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-04-06,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-04-07,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-04-10,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-04-11,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-04-12,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-04-13,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-04-14,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-04-17,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-04-18,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-04-19,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-04-20,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-04-21,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-04-25,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-04-26,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-04-27,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-04-28,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-05-02,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-05-03,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-05-04,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-05-05,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-05-08,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-05-09,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-05-10,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-05-11,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-05-12,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-05-15,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-05-16,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-05-17,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-05-18,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-05-19,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-05-22,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-05-23,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-05-24,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-05-25,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-05-26,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-05-29,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-05-30,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-05-31,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-06-01,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-06-02,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-06-05,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-06-06,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-06-07,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-06-08,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-06-09,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-06-12,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-06-13,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-06-14,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-06-15,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-06-16,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-06-19,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-06-20,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-06-21,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-06-22,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-06-23,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-06-26,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-06-27,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-06-28,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-07-03,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-07-04,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-07-05,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-07-06,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-07-07,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-07-10,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-07-11,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-07-12,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-07-13,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-07-14,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-07-17,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-07-18,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-07-20,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-07-21,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-07-24,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-07-25,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-07-26,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-07-27,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-07-28,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-07-31,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-08-01,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-08-02,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-08-03,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-08-04,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-08-07,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-08-08,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-08-09,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-08-10,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-08-11,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-08-15,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-08-16,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-08-17,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-08-18,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-08-22,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-08-23,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-08-24,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-08-25,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-08-28,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-08-29,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-08-30,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-08-31,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-09-01,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-09-04,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-09-05,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-09-06,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-09-07,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-09-08,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-09-11,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-09-12,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-09-13,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-09-14,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-09-15,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-09-18,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-09-19,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-09-20,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-09-21,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-09-22,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-09-25,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-09-26,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-09-27,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-10-02,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-10-03,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-10-04,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-10-05,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-10-06,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-10-09,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-10-10,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-10-11,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-10-12,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-10-13,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-10-16,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-10-17,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-10-18,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-10-19,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-10-20,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-10-23,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-10-24,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-10-25,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-10-26,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-10-27,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-10-30,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-10-31,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-11-01,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-11-02,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-11-03,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-11-07,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-11-08,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-11-09,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-11-10,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-11-13,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-11-14,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-11-15,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-11-16,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-11-17,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-11-20,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-11-21,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-11-22,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-11-23,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-11-24,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-11-27,SAM,SAM,,,,,,,0,1520777187.0000000000
2023-11-28,SAM,SAM,,,,,,,0,1520777187.0000000000
