Séance,Instrument,Ticker,Ouverture,Dernier Cours,+haut du jour,+bas du jour,Nombre de titres échangés,Volume des échanges,Nombre de transactions,Capitalisation
2023-04-03,SBM,SBM,,2270.0000000000,,,,,0,6423312310.0000000000
2023-04-04,SBM,SBM,2330.0000000000,2330.0000000000,2330.0000000000,2330.0000000000,100.0000000000,233000.0000000000,1,6593091490.0000000000
2023-04-05,SBM,SBM,,2330.0000000000,,,,,0,6593091490.0000000000
2023-04-06,SBM,SBM,,2330.0000000000,,,,,0,6593091490.0000000000
2023-04-07,SBM,SBM,2423.0000000000,2423.0000000000,2423.0000000000,2423.0000000000,6.0000000000,14538.0000000000,1,6856249219.0000000000
2023-04-10,SBM,SBM,2519.0000000000,2519.0000000000,2519.0000000000,2519.0000000000,1277.0000000000,3216763.0000000000,4,7127895907.0000000000
2023-04-11,SBM,SBM,2619.0000000000,2619.0000000000,2619.0000000000,2619.0000000000,1134.0000000000,2969946.0000000000,5,7410861207.0000000000
2023-04-12,SBM,SBM,2720.0000000000,2720.0000000000,2720.0000000000,2720.0000000000,2301.0000000000,6258720.0000000000,9,7696656160.0000000000
2023-04-13,SBM,SBM,,2720.0000000000,,,,,0,7696656160.0000000000
2023-04-14,SBM,SBM,2612.0000000000,2612.0000000000,2612.0000000000,2612.0000000000,2915.0000000000,7613980.0000000000,7,7391053636.0000000000
2023-04-17,SBM,SBM,2612.0000000000,2612.0000000000,2612.0000000000,2612.0000000000,11.0000000000,28732.0000000000,2,7391053636.0000000000
2023-04-18,SBM,SBM,,2612.0000000000,,,,,0,7391053636.0000000000
2023-04-19,SBM,SBM,2520.0000000000,2520.0000000000,2520.0000000000,2520.0000000000,3.0000000000,7560.0000000000,3,7130725560.0000000000
2023-04-20,SBM,SBM,,2520.0000000000,,,,,0,7130725560.0000000000
2023-04-21,SBM,SBM,2453.0000000000,2453.0000000000,2453.0000000000,2453.0000000000,85.0000000000,208505.0000000000,1,6941138809.0000000000
2023-04-25,SBM,SBM,,2453.0000000000,,,,,0,6941138809.0000000000
2023-04-26,SBM,SBM,,2453.0000000000,,,,,0,6941138809.0000000000
2023-04-27,SBM,SBM,2551.0000000000,2551.0000000000,2551.0000000000,2551.0000000000,10.0000000000,25510.0000000000,1,7218444803.0000000000
2023-04-28,SBM,SBM,2450.0000000000,2450.0000000000,2450.0000000000,2450.0000000000,456.0000000000,1117200.0000000000,3,6932649850.0000000000
2023-05-02,SBM,SBM,,2450.0000000000,,,,,0,6932649850.0000000000
2023-05-03,SBM,SBM,,2450.0000000000,,,,,0,6932649850.0000000000
2023-05-04,SBM,SBM,,2450.0000000000,,,,,0,6932649850.0000000000
2023-05-05,SBM,SBM,2526.0000000000,2526.0000000000,2526.0000000000,2526.0000000000,1500.0000000000,3789000.0000000000,2,7147703478.0000000000
2023-05-08,SBM,SBM,2550.0000000000,2550.0000000000,2550.0000000000,2550.0000000000,2.0000000000,5100.0000000000,1,7215615150.0000000000
2023-05-09,SBM,SBM,2550.0000000000,2550.0000000000,2550.0000000000,2550.0000000000,10.0000000000,25500.0000000000,3,7215615150.0000000000
2023-05-10,SBM,SBM,,2550.0000000000,,,,,0,7215615150.0000000000
2023-05-11,SBM,SBM,,2550.0000000000,,,,,0,7215615150.0000000000
2023-05-12,SBM,SBM,2619.0000000000,2619.0000000000,2619.0000000000,2619.0000000000,400.0000000000,1047600.0000000000,2,7410861207.0000000000
2023-05-15,SBM,SBM,2600.0000000000,2600.0000000000,2600.0000000000,2600.0000000000,639.0000000000,1661400.0000000000,3,7357097800.0000000000
2023-05-16,SBM,SBM,2580.0000000000,2580.0000000000,2580.0000000000,2580.0000000000,5700.0000000000,14706000.0000000000,4,7300504740.0000000000
2023-05-17,SBM,SBM,2600.0000000000,2600.0000000000,2600.0000000000,2600.0000000000,1479.0000000000,3845400.0000000000,4,7357097800.0000000000
2023-05-18,SBM,SBM,2680.0000000000,2680.0000000000,2680.0000000000,2680.0000000000,33.0000000000,88440.0000000000,2,7583470040.0000000000
2023-05-19,SBM,SBM,,2680.0000000000,,,,,0,7583470040.0000000000
2023-05-22,SBM,SBM,,2680.0000000000,,,,,0,7583470040.0000000000
2023-05-23,SBM,SBM,,2680.0000000000,,,,,0,7583470040.0000000000
2023-05-24,SBM,SBM,2700.0000000000,2700.0000000000,2700.0000000000,2700.0000000000,4.0000000000,10800.0000000000,2,7640063100.0000000000
2023-05-25,SBM,SBM,,2700.0000000000,,,,,0,7640063100.0000000000
2023-05-26,SBM,SBM,2700.0000000000,2700.0000000000,2700.0000000000,2700.0000000000,79.0000000000,213300.0000000000,1,7640063100.0000000000
2023-05-29,SBM,SBM,2700.0000000000,2700.0000000000,2700.0000000000,2700.0000000000,406.0000000000,1096200.0000000000,4,7640063100.0000000000
2023-05-30,SBM,SBM,2700.0000000000,2700.0000000000,2700.0000000000,2700.0000000000,2.0000000000,5400.0000000000,1,7640063100.0000000000
2023-05-31,SBM,SBM,2694.0000000000,2694.0000000000,2694.0000000000,2694.0000000000,1.0000000000,2694.0000000000,1,7623085182.0000000000
2023-06-01,SBM,SBM,2660.0000000000,2660.0000000000,2660.0000000000,2660.0000000000,2400.0000000000,6384000.0000000000,4,7526876980.0000000000
2023-06-02,SBM,SBM,2680.0000000000,2680.0000000000,2680.0000000000,2680.0000000000,13.0000000000,34840.0000000000,2,7583470040.0000000000
2023-06-05,SBM,SBM,2650.0000000000,2650.0000000000,2650.0000000000,2650.0000000000,41.0000000000,108650.0000000000,1,7498580450.0000000000
2023-06-06,SBM,SBM,2505.0000000000,2505.0000000000,2505.0000000000,2505.0000000000,10.0000000000,25050.0000000000,2,7088280765.0000000000
2023-06-07,SBM,SBM,,2505.0000000000,,,,,0,7088280765.0000000000
2023-06-08,SBM,SBM,2500.0000000000,2500.0000000000,2500.0000000000,2500.0000000000,23.0000000000,57500.0000000000,3,7074132500.0000000000
2023-06-09,SBM,SBM,2500.0000000000,2500.0000000000,2500.0000000000,2500.0000000000,180.0000000000,450000.0000000000,2,7074132500.0000000000
2023-06-12,SBM,SBM,2550.0000000000,2550.0000000000,2550.0000000000,2550.0000000000,17.0000000000,43350.0000000000,5,7215615150.0000000000
